GRB	Fa	Fa_min	Fa_max	alpha	alpha_min	alpha_max	Ta	Ta_min	Ta_max
190109A	-10.69749421727277	-10.98018495147636	-10.414803483069178	1.2098564431449512	0.9995421087705194	1.420170777519383	3.3406688151201407	3.007949171649455	3.6733884585908263
190109B	-10.297276394296084	-10.527889142159736	-10.066663646432431	1.1034372759293825	0.9605373724805831	1.2463371793781817	2.711982227722527	2.4224566462915025	3.0015078091535514
190123A	-10.040227367284853	-10.605050930511618	-9.475403804058088	1.1231703018869172	0.7152796641261595	1.5310609396476749	2.688302675426895	1.7893837989431778	3.5872215519106123
190202A	-9.571121723110615	-9.835864488000668	-9.306378958220561	1.430211515737883	1.3831059009029438	1.477317130572822	3.4216285521366223	3.2211562582653466	3.622100846007898
190219A	-11.54066740256315	-11.683520272153274	-11.397814532973026	0.9259639912142521	0.7042114922725925	1.1477164901559118	4.534062383215632	4.2486828046372045	4.81944196179406
190220A	-8.754306121699837	-9.189977755103502	-8.318634488296173	1.1283451417075776	0.9131133234050801	1.343576960010075	1.5650317192500778	1.002782178534551	2.1272812599656046
190311A	-9.966312865875821	-11.129002552812567	-8.803623178939075	0.7247301295616049	0.6668493239125907	0.7826109352106191	2.258294382072629	0.6380802839488797	3.878508480196378
190320A	-10.856838948164675	-11.449416733025393	-10.264261163303958	1.0794186813952358	0.9207283554425294	1.2381090073479422	3.304567233475064	2.731299914639971	3.8778345523101576
190422A	-10.380127740715293	-10.51811472488673	-10.242140756543856	0.9109679885963919	0.6720200063974827	1.1499159707953013	4.289125944536988	4.075235307705523	4.503016581368453
190511A	-9.845789518666177	-10.218814181644621	-9.472764855687732	1.4536120754664916	1.143388124104573	1.7638360268284103	3.173936079793103	2.760774985790918	3.5870971737952884
190515B	-11.237241162535852	-11.459679994725999	-11.014802330345706	0.9834114811957955	0.6992175607933278	1.2676054015982632	3.7387109985804887	3.411641080781276	4.065780916379701
190519A	-9.59768606966228	-9.672018102453487	-9.523354036871075	1.1200041126963782	1.0552196508158918	1.1847885745768647	3.369662338450604	3.259895042236244	3.479429634664964
190611A	-9.943714585370667	-11.004852632903134	-8.882576537838201	0.9763711737485591	0.8788612920916354	1.0738810554054827	1.9591377868453543	0.8514613855425068	3.066814188148202
190701A	-11.316424798383796	-11.576578432995504	-11.056271163772088	1.182267873629885	0.8047112401459193	1.5598245071138508	3.77730458772248	3.4552394862604006	4.0993696891845595
190821A	-10.408919470546415	-10.539027798478473	-10.278811142614357	1.0907664299118813	0.9131899007437406	1.2683429590800221	3.5328051971337624	3.342141690376475	3.72346870389105
190824A	-10.547982142570701	-10.647724493668873	-10.44823979147253	0.8722815438278966	0.7422683805252275	1.0022947071305657	3.8293105931184384	3.6460511334737933	4.012570052763083
191004A	-10.312170157811552	-10.559491966747828	-10.064848348875277	1.8821915688766004	1.460300432452292	2.304082705300909	3.3652969819113547	3.12940366059467	3.6011903032280395
191017B	-10.984087890372058	-11.118803763315029	-10.849372017429086	1.0657277563433498	0.9053344614600396	1.22612105122666	3.6255389806800284	3.392423847705323	3.858654113654734
191029A	-11.917119492865982	-12.067218731801887	-11.767020253930077	1.1363288284995912	0.9287284861288347	1.3439291708703476	4.132055783529593	3.952867957099163	4.311243609960022
191031C	-9.504148325195606	-9.83120253103127	-9.177094119359943	1.4796019583095774	1.1289992994931937	1.8302046171259612	3.3806460394360105	3.0063553840163717	3.7549366948556493
191101A	-11.397215581942573	-11.484243326785316	-11.31018783709983	0.9272083435449133	0.8015479720715046	1.052868715018322	4.522168911979895	4.366513318597222	4.677824505362568
191123A	-11.294128809856678	-11.385191648560129	-11.203065971153228	1.5604721955573588	1.3732855924569396	1.747658798657778	4.252200181778947	4.179933468547468	4.324466895010426
191220A	-11.722404311599236	-11.911999690944146	-11.532808932254326	0.6271167726881699	0.4697906071257807	0.7844429382505591	4.0073609010739	3.5901041614771527	4.424617640670648
191228A	-10.569913154592804	-10.733162628492275	-10.406663680693333	1.3632878815995841	1.202752617874463	1.5238231453247053	3.940223800443114	3.7770982845601955	4.103349316326033
200122A	-9.567017066180423	-9.682229562650226	-9.45180456971062	0.6840697602556135	0.5482675388044604	0.8198719817067666	3.53641962548729	3.279355319988727	3.793483930985853
200131A	-10.509499973468461	-10.757167894773188	-10.261832052163735	1.0204399726696656	0.9380584143013418	1.1028215310379892	3.778358163356565	3.504635385738568	4.052080940974562
200215A	-9.350058643716826	-13.230492375409993	-5.46962491202366	1.023163004961031	0.9457719548516348	1.1005540550704271	2.1223944338963903	-1.7005823093917196	5.9453711771845
200216B	-9.135576985385189	-9.275782501509804	-8.995371469260574	1.673822445901557	1.5032854554986643	1.8443594363044495	2.1561237698597773	2.0119109229940833	2.3003366167254713
200224A	-11.166400870977629	-13.010230683923599	-9.32257105803166	0.8384248599812151	0.6874620758415935	0.9893876441208367	2.3446912772474793	0.0053136281445662625	4.684068926350392
200227A	-9.731954951815155	-10.133109695709763	-9.330800207920547	1.3316144924511002	1.0303139181028016	1.6329150667993988	3.069397823594811	2.627435353940957	3.5113602932486647
200303A	-9.630681260902449	-9.71706294767531	-9.544299574129589	1.2955704535763481	1.1951783090691603	1.395962598083536	3.692996674108169	3.574447994244951	3.8115453539713866
200306A	-10.29817769070861	-10.447061160728865	-10.149294220688354	1.1124163904012847	0.9976812805458656	1.227151500256704	3.4433195360712876	3.2724600097956764	3.614179062346899
200306C	-10.264060672590205	-10.563186465854496	-9.964934879325913	2.0113449225273783	1.5191891796894734	2.503500665365283	3.4255909222079586	3.177514344226434	3.673667500189483
200324A	-10.535778036608768	-10.72766011622756	-10.343895956989977	1.2711960240605444	1.0816176350453446	1.4607744130757443	3.5348083565227206	3.317996113452897	3.7516205995925445
200409A	-11.220398542916072	-11.287888096525187	-11.152908989306958	1.3010247667173256	1.204146016245466	1.3979035171891852	3.640130112543458	3.5600372141569037	3.7202230109300127
200410A	-10.61034915618304	-10.751886618471554	-10.468811693894525	0.9005590807275373	0.7337105578856725	1.067407603569402	3.612325625090813	3.34573554466861	3.878915705513016
200425A	-9.263625401280086	-9.57955028339302	-8.947700519167151	1.1292857176805415	1.0582496014897624	1.2003218338713206	2.096533784752396	1.7901532958666784	2.4029142736381135
200512A	-9.212306135737132	-9.77546773822683	-8.649144533247433	1.8800142029597797	1.703404112171649	2.0566242937479107	2.543373652939615	2.214651657867994	2.8720956480112365
200519A	-10.125347655617574	-10.197615888017353	-10.053079423217795	1.4661885573776041	1.4068283534567259	1.5255487612984824	4.158016059010867	4.092956940044333	4.223075177977401
200711A	-9.846096484147534	-9.974231057864941	-9.717961910430127	1.4164412016481749	1.2384155350625339	1.594466868233816	3.68895061905901	3.5533952385271705	3.8245059995908495
200713A	-11.087308279176376	-11.247236204022075	-10.927380354330678	1.0692281134076735	0.9013977919870801	1.237058434828267	4.2061479290366215	4.00947136522536	4.402824492847883
200716C	-10.12928576843199	-10.236423745118799	-10.02214779174518	1.6854836295212536	1.5662551346700238	1.8047121243724835	3.5287340924204864	3.4276214781169103	3.6298467067240625
200806A	-9.916240264038585	-10.047818438069116	-9.784662090008053	1.1912081007592241	1.0966409898464493	1.285775211671999	3.368623140508737	3.196969917659239	3.540276363358235
200819A	-10.3367496621793	-11.336852965642926	-9.336646358715672	0.9030249799596233	0.6622476445792397	1.143802315340007	2.392783322453857	1.1047621290234795	3.6808045158842346
200901A	-11.224732301090716	-11.597569347880047	-10.851895254301386	1.0552282168227423	0.9083987938495064	1.2020576397959781	3.782016365870138	3.3147365264387307	4.249296205301545
200906A	-11.044598292006322	-11.243979056188232	-10.845217527824412	0.9317204871284289	0.6436469721036104	1.2197940021532474	3.7713060081240326	3.3744308750378975	4.168181141210168
200917A	-11.20204602847723	-11.451521547739778	-10.952570509214683	1.1364230125220802	0.683081372827331	1.5897646522168296	4.41427011184986	4.073563444250322	4.7549767794493984
200925B	-10.984407449888863	-11.217724998948077	-10.75108990082965	1.4261577845354467	0.9720117700980309	1.8803037989728626	4.067180958523575	3.6821033088496993	4.45225860819745
201013A	-9.92694709782261	-10.338283206335934	-9.515610989309288	-0.24089722747132508	-0.37916566921090383	-0.10262878573174633	2.5454743216218043	0.4845065542418574	4.606442089001751
201027A	-10.70103219219468	-10.821658090055083	-10.580406294334276	1.2670684483382906	1.1036621979375	1.430474698739081	3.034957316847099	2.904737809074918	3.16517682461928
201128A	-11.032636562525711	-11.199056442451791	-10.866216682599632	1.1837892417972897	0.9742210815686672	1.3933574020259123	3.6794636916928942	3.464167292316676	3.8947600910691125
201209A	-10.39507209786965	-10.43653947015375	-10.353604725585548	1.1674598025610765	1.1095103853305797	1.2254092197915734	4.19187210708911	4.134382908075605	4.249361306102615
201223A	-11.136802012711343	-11.324738127534664	-10.948865897888021	1.3900513387011062	1.0755505616787964	1.704552115723416	3.519491275663221	3.2676830214757295	3.7712995298507126
201229A	-11.072947954705691	-11.1684529393419	-10.977442970069482	1.0033897806930683	0.9240652925056376	1.082714268880499	4.220878194349573	4.098035968258316	4.34372042044083
210104A	-9.934319995378045	-10.33135535005276	-9.53728464070333	1.3744651109067676	1.3164586400575493	1.4324715817559859	3.7027222521857652	3.4115201140595497	3.9939243903119808
210104B	-10.53670546823422	-10.667240941620033	-10.406169994848408	0.9324186596818623	0.7649569041241131	1.0998804152396116	3.4605842897191823	3.219722537990643	3.7014460414477215
210112A	-9.935827807319006	-10.000516358514961	-9.871139256123051	1.3504321275854754	1.297767125824471	1.4030971293464798	3.823284957471337	3.7590744553041837	3.8874954596384903
210207B	-10.783913241163637	-10.90168550392708	-10.666140978400193	1.7928471254704066	1.6503283980357493	1.935365852905064	4.137316775433898	4.037101121299376	4.23753242956842
210211A	-11.189830109628154	-11.770273717508731	-10.609386501747577	1.927249443829489	0.8964498549958935	2.9580490326630846	3.46135743766232	2.921917332802363	4.000797542522277
210217A	-10.754627992653202	-10.851485866945671	-10.657770118360732	1.2654368829802711	1.1334465612246893	1.397427204735853	3.462276707375238	3.336963331116715	3.5875900836337613
210226A	-10.796736462668271	-10.905586953422757	-10.687885971913785	1.185792765618174	1.0631231391828178	1.30846239205353	3.443580877764241	3.2693340563836784	3.617827699144804
210305A	-11.122658520776808	-11.310989529649365	-10.93432751190425	1.1002505778183995	0.8671682412946391	1.33333291434216	4.2128668371445395	3.977203172273622	4.448530502015457
210307A	-12.194096984730677	-13.211844160820007	-11.176349808641348	2.789831706605768	0.4930309313086503	5.086632481902885	5.261967065391031	4.857729897546512	5.66620423323555
210308A	-9.717076698388883	-9.855686507455857	-9.57846688932191	1.3373055244524334	1.2050193656183077	1.4695916832865592	2.9808958918776964	2.8171395733201474	3.1446522104352455
210323A	-12.281048348686193	-13.280153947298013	-11.281942750074373	3.729913329094069	1.469025098770683	5.990801559417456	4.4570116647842815	4.161369634932042	4.752653694636521
210410A	-10.01747319784802	-10.212887119881634	-9.822059275814405	1.2795917045312222	1.1342045024073204	1.424978906655124	2.861720993033134	2.647915657434528	3.07552632863174
210419A	-11.231446439430556	-11.82551956185901	-10.637373317002101	1.029210964918344	0.2447268055388414	1.8136951242978467	3.9339391275980784	3.1272436537011146	4.740634601495042
210509A	-11.90560957243771	-12.164862057398784	-11.646357087476636	1.4642927515296646	1.1054992340502032	1.823086269009126	4.0049412019415245	3.746896321434213	4.262986082448836
210515C	-12.245592139078282	-12.348587211464364	-12.142597066692199	1.4269460373582297	1.2355237474143008	1.6183683273021585	4.223413932581793	4.1262867521998325	4.320541112963753
210712A	-10.381121734076661	-10.525269912929515	-10.236973555223807	1.110774032169937	0.978238699919153	1.2433093644207212	3.366599846358943	3.15469644121207	3.5785032515058157
210724A	-11.656420939687822	-12.021490357714379	-11.291351521661264	1.0042047780696677	0.6799410574900027	1.3284684986493327	4.374930466940939	3.801349442172722	4.948511491709157
210730A	-9.819030697671185	-10.44194121869526	-9.19612017664711	1.0395884904004946	0.8715143045891992	1.2076626762117901	2.5278487247060886	1.7587719312719325	3.2969255181402444
210807A	-9.465075171735815	-9.87084461727542	-9.05930572619621	1.6077043296721243	1.529063124730549	1.6863455346136995	3.6115736230944178	3.3509540354099348	3.8721932107789008
210901A	-11.257543016281362	-11.564426114832314	-10.95065991773041	0.7638807397282525	0.4705718760538078	1.0571896034026973	3.4311484344978576	2.592608246160318	4.269688622835397
210912A	-10.889683417336721	-11.048132069886519	-10.731234764786924	1.0893971193977074	0.9517649431620401	1.2270292956333748	3.6297490378249484	3.4156753029417843	3.8438227727081125
210930A	-10.963369038336479	-11.123012283975669	-10.80372579269729	0.895941466575245	0.8120940479870861	0.9797888851634039	3.235265944286521	2.9649230199987855	3.5056088685742566
211025A	-11.28815075889711	-11.477818615534591	-11.09848290225963	1.1243675787989786	0.875310752082133	1.3734244055158242	3.552362272609066	3.30769595260452	3.797028592613612
220117B	-11.047568294483254	-11.248437015333234	-10.846699573633273	1.0470173456201373	0.7351943897342395	1.358840301506035	3.980292826910747	3.7328656382745087	4.227720015546986
220118A	-9.870426861382594	-10.335883505300124	-9.404970217465063	1.3298986755152526	0.8919434487218288	1.7678539023086763	2.8808947119084314	2.1813117578025527	3.58047766601431
220306B	-9.902859421127047	-11.913216821211035	-7.892502021043059	0.9141879826447203	0.7357894433326607	1.0925865219567799	2.205353929080286	-0.07830901600961493	4.489016874170187
220319A	-10.717902583427616	-11.047651295139051	-10.388153871716181	1.2250553516418143	0.910494000406598	1.5396167028770307	2.9146416277704774	2.5573193818096702	3.2719638737312846
220325A	-11.195848120199777	-11.313127760091104	-11.07856848030845	0.8913073727121145	0.757211956551626	1.025402788872603	3.6207778735439415	3.3926007720894953	3.848954974998388
220403B	-11.22398955553837	-11.34573219876209	-11.102246912314651	1.1650214559891003	0.9992311080048002	1.3308118039734005	4.109914737282493	3.950594800454335	4.26923467411065
220408A	-10.209242308787193	-10.32882457971103	-10.089660037863355	1.3876348970619996	1.2169843796470672	1.558285414476932	3.4777829164772696	3.294299083561097	3.6612667493934423
220427A	-9.521961848329001	-9.799766709750855	-9.244156986907146	1.023653105158011	0.9573067797135703	1.0899994306024516	2.147512638921789	1.8520136608957363	2.443011616947842
220430A	-9.647958374324675	-9.765275050491752	-9.530641698157599	1.424534705682051	1.3347266848919914	1.5143427264721105	3.4174798880938537	3.2982831939374546	3.536676582250253
220518A	-10.765189345858586	-10.890414701363639	-10.639963990353532	1.3806007139672978	1.2244618040295319	1.5367396239050637	3.4128969266928566	3.2389931926458	3.586800660739913
220623A	-10.706844963273719	-11.531517577498398	-9.88217234904904	1.7875457795151257	1.574565689186567	2.0005258698436847	3.7066499130131296	3.2087432978726413	4.204556528153618
220701A	-11.102846183670254	-11.43426798516343	-10.771424382177077	1.218175028464939	0.806685751612375	1.6296643053175033	2.9653321444113763	2.6025231396573627	3.32814114916539
220706A	-10.15939206842084	-10.56973550320045	-9.749048633641229	1.4911942869377128	1.1694498970571108	1.8129386768183149	4.176608711223506	3.7821099296138465	4.571107492833165
220711B	-10.634189110881541	-10.777306679135059	-10.491071542628024	1.034166859684572	0.9078223495319612	1.1605113698371825	3.496235410087201	3.301282775285819	3.691188044888583
220714B	-10.132486728797039	-10.24033072441022	-10.024642733183857	1.2973685372696815	1.249388505516063	1.3453485690233	3.8312651968097162	3.721153281896734	3.9413771117226983
220715B	-10.921546746469035	-11.151333955911937	-10.691759537026133	1.2905262341080626	0.916091552915795	1.66496091530033	3.6634910986279987	3.3728859338673196	3.954096263388678
220813A	-11.044196338581775	-11.142748622229568	-10.945644054933982	0.9197735352543914	0.8216823313407422	1.0178647391680407	3.6071152371831494	3.447764961538666	3.766465512827633
220826A	-10.232636459294202	-10.367895697653282	-10.097377220935122	1.2995293864412927	1.1474839308517122	1.4515748420308732	3.2692172248009097	3.0670750666679254	3.471359382933894
220930A	-9.843808871021057	-9.981780978397403	-9.705836763644712	1.250817621880912	1.1211938787858537	1.3804413649759701	3.4969268498610977	3.3063048288223023	3.687548870899893
221016A	-10.546834658209105	-10.731456317786328	-10.362212998631882	0.916444739680612	0.8071206161413074	1.0257688632199167	3.2399009328487245	2.9629413734805836	3.5168604922168654
221024A	-10.994116205553325	-11.113883512851455	-10.874348898255196	1.92238378168781	1.7059762187721645	2.1387913446034554	4.433290647761164	4.352297260410914	4.514284035111414
221027B	-9.099351432235697	-15.671378105116911	-2.5273247593544808	0.8719005823890871	0.8024092112333161	0.941391953544858	1.4133803792144672	-6.163788418354255	8.990549176783189
221201A	-10.197649038611466	-10.310780914484537	-10.084517162738395	1.0536287733006022	0.9512397480834995	1.156017798517705	3.648965154333435	3.4819175292664006	3.8160127794004692
221216A	-11.605736888055787	-12.040178867046588	-11.171294909064986	3.062760143866851	2.1269330087641745	3.998587278969527	4.5384601972957475	4.3712564300847365	4.705663964506758
230123A	-11.59246405202765	-11.879695999028291	-11.305232105027008	0.9708683272195501	0.613475548237759	1.3282611062013412	3.3385282948351866	2.8245978375512797	3.8524587521190936
230228A	-11.071329163713624	-11.23192068866734	-10.910737638759908	1.1266043200896227	0.9614552920084292	1.2917533481708163	2.958614296342171	2.7643232033870806	3.1529053892972616
230322B	-11.08844371226922	-11.231152782804568	-10.945734641733871	1.0541050131795946	0.8786504542856466	1.2295595720735426	3.538737332623678	3.311104270805918	3.7663703944414384
230405B	-9.630938277172348	-9.756430919882012	-9.505445634462683	1.1830608034794634	1.1070637723900143	1.2590578345689125	3.072258021265224	2.9228969764015407	3.2216190661289072
230409B	-9.732673739175281	-9.868831109554984	-9.596516368795578	0.9829492161493875	0.927352170961337	1.0385462613374379	3.057792944300545	2.883262721154656	3.2323231674464337
230420A	-11.39060765459788	-11.765487644119169	-11.01572766507659	1.1861754158295073	0.6341980417097131	1.7381527899493014	3.8007020926612203	3.2594893825679394	4.341914802754501
230628E	-9.474436165793712	-11.316191203889773	-7.632681127697651	0.8986720595011057	0.8368115997995746	0.9605325192026368	1.6663860657326026	-0.4000152119770646	3.73278734344227
230728A	-9.686845028024408	-9.873248779588709	-9.500441276460107	1.2206058265125062	1.0885798686859285	1.3526317843390838	3.1690958195580947	2.9103931696756637	3.4277984694405257
230815A	-9.78136639033754	-10.09635268829601	-9.46638009237907	1.882275111436884	1.4870604523989686	2.2774897704747996	3.5326339059006333	3.2059326751575807	3.859335136643686
230826A	-10.500697735102717	-10.610993801372114	-10.39040166883332	1.4493097009129647	1.3014142874947827	1.5972051143311468	3.548961744623733	3.4077853751189786	3.6901381141284877
230903A	-10.464702653924537	-10.765400105610102	-10.164005202238972	1.5835971694773716	1.1845443365784725	1.9826500023762708	2.885914523575631	2.6181942569205727	3.153634790230689
230911C	-11.809896409877053	-12.084361993005432	-11.535430826748675	1.1346689084300456	0.632035728154622	1.6373020887054692	4.794592926847181	4.3640582375995205	5.225127616094841
231104A	-9.286614337901588	-9.387969356786021	-9.185259319017154	1.0243455880539225	0.9636602292819659	1.085030946825879	3.183962389174269	3.0340268106041326	3.3338979677444054
