"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10FaErr_native","log10TaErr_native","AlphaErr_native","BetaErr_native","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"090809A",0.73239376,-11.8559,4.56066,1.6367,0.96,1.94644,-6.468521083,1.34,21.91952315,0.041392685,-12.091,4.04085,1.358692,0.9,1.216253263,0.338,0.237865,0.319405,0.01,5.00000003286357e-08,0.24,0.19999999974143,0.06,0.050707,0.53173,0.15,0.0978170519448906,0.063866836,0.0789626329999999,2.737,0.572523097849638
"090812A",1.824125834,-10.16730017,3.52924,1.37252,0.53,1.88559,-5.236572006,1.24,21.77771022,0.556302501,-8.76,4.275441,1.33,1,14.65837332,0.10615,0.13258,0.08412,0.015,2.00000003008931e-07,0.05,0.199999998309654,0.2287,0.384008,0.53173,0.16,0.0954430381608785,0.014975672,0.024127471,2.452,0.538070787043172
"090927A",0.342422681,-11.6716204,4.20121889,1.13087741,0.92,2.06549,-6.698970004,1.8,21.01785522,0.301029996,-13.0735,5.12,2.09,1.11,0.400898978,0.076268475,0.093241949,0.074843971,0.01,2.99999998917394e-08,0.2,0.199999999278263,0.110016,0.14528,0.53173,0.16,0.0791400972158072,0.0651441720000001,0.0434294480000001,1.37,0.374748346010104
"091018A",0.639486489,-9.627087997,2.89655535,1.18074867,0.91,1.98015,-5.853871964,1.77,21.19187281,1.012837225,-11.91,5.96,2.09,1.8,0.601065704,0.024288603,0.034497878,0.016335114,0.002061639,9.99999987148146e-08,0.24,0.399999997367294,0.027168,0.03,0.53173,0.16,0.0598714492362227,0.031021034,0.016865805,0.971,0.294686624279443
"091020A",1.590061231,-9.71219827,2.95265011,1.17417264,0.895,2.08587,-5.431798276,1.53,21.70587483,0.62324929,-11.1733,2.56,0.82,1.8,4.875038864,0.034480687,0.045271255,0.018244861,0.002182887,1.00000002539694e-07,0.07,0.299999995647318,0.24,0.384008,0.53173,0.06,0.0544128110188212,0.0117376889999999,0.031021034,1.71,0.432969290874406
"091029A",1.593286067,-11.34678749,4.30368998,1.12123368,1.064,2.11535,-5.619788758,1.46,21.45058625,0.255272505,-11.1733,2.56,1.038298,1.8,4.829610314,0.02563352,0.034224003,0.026782025,0.002,9.99999977860971e-08,0.27,0.099999999077456,0.072161,0.08,0.53173,0.04,0.0535069670717355,0.018095603,0.024127471,2.752,0.574262829707027
"091127A",0.84260924,-9.844663963,3.98466812,1.39581701,0.758,1.80187,-5.045757491,2.05,20.87872913,1.667452953,-11.98,6.41,2.09,0.74,0.150359555,0.018562516,0.021935207,0.013587309,0.00244132,3.00000005289561e-07,0.07,2.70000000612106,0.115184,0.03,0.53173,0.12,0.0093822306004846,0.014476483,0.025217099,0.49,0.173186268412274
"050416A",0.397940009,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,-8.76,4.394018,1.02823,1.8,0.44407209,0.0484,0.070765,0.0149485,0.005,3.69999997219683e-08,0.22,0.479999999735521,0.24,0.03,0.53173,0.12,0.0771432232434421,0.043784457,0.04271749,0.6528,0.218220304175545
"050820A",1.414973348,-10.01818139,3.750945731,1.136499703,0.9,1.96878,-5.463441557,1.25,21.61964524,0.389166084,-11.6955,2.56,1.487567,0.97,22.67611617,0.266741013,0.238477529,0.012525701,0.0405,2.42000001757109e-07,0.12,0.229999997647701,0.24,0.384008,0.53173,0.04,0.378773543191014,0.030552112,0.040770502,2.6147,0.558072259099146
"050922C",0.653212514,-9.477555766,2.52429,1.22035,1.064,2.2119,-5.790484985,1.37,21.44930866,0.860936621,-8.76,2.77,2.09,0.9,0.450457546,0.03194,0.034305,0.013275,0.013,5.40000010636155e-08,0.06,0.319999991818753,0.2287,0.020312,0.53173,0.27,0.0434736058796182,0.014476483,0.019142456,2.198,0.504878459410216
"051016B",0.602059991,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352,-8.76,4.036448,1.151212,0.78,0.469570015,0.04535,0.058175,0.04854,0.005,2.19999998613992e-08,0.23,0.1600000012581,0.027168,0.050707,0.53173,0.09,0.0509829166339321,0.056202815,0.053451629,0.9364,0.286995073968852
"051109A",1.57054294,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222,-8.76,2.64,2.09,0.42,7.089588968,0.04815,0.04637,0.019155,0.054794381,2.71999997629893e-07,0.2,0.690000001674233,0.24,0.14528,0.53173,0.103,0.0827679937346041,0.05369459,0.076056648,2.346,0.524525936626376
"051109B",1.155336037,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,-14.18,2.813159,0.481067,1,3.778168861,0.0922,0.126645,0.12217,0.01,4.10000001961361e-08,0.24,0.129999999857989,0.24,0.03,0.53173,0.15,0.114743908376789,0.069554976,0.102651423,0.08,0.0334237554869497
"060223A",1.053078443,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768,-11.8207,2.56,0.6555,1,1.095536415,0.1982,0.23477,0.18005,0.045,4.8000000347444e-08,0.12,0.180000000042169,0.24,0.03,0.53173,0.04,0.042104904450281,0.030974941,0.0579059310000001,4.41,0.73319726510657
"060502A",1.45331834,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705,-11.88,2.64,2.121816,0.68,9.827838,0.05675,0.075085,0.0205255,0.015,1.01999997575078e-07,0.08,0.209999998207312,0.015728,0.033281,0.53173,0.11,0.150287880735964,0.0191766390000001,0.0539655859999999,1.5026,0.398391440229475
"060510B",2.43964843,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,-11.98,5.12,1.779596,0.32,21.28954544,0.2206,0.31628,0.2313695,0.03,1.76000000657132e-07,0.08,0.110000000337716,0.24,0.384008,0.53173,0.16,0.0335971369822932,0.018780302,0.0838112159999999,4.9,0.770852011642144
"060912A",0.698970004,-10.1079054,2.455171016,1.045731532,0.63,1.8948,-5.869666232,1.74,21.36738202,0.933487288,-11.8207,2.56,2.09,0.78,0.58,0.147419953,0.156564864,0.028937785,0.0785,6.19999992892104e-08,0.09,0.440000002277576,0.2287,0.17,0.53173,0.16,0.0503781599397554,0.019945376,0.022271512,0.937,0.287129620719111
"061222A",1.853698212,-9.954677021,3.92091,1.35061,0.86,1.92748,-5.097453221,1.35,22.56660835,0.930949031,-8.76,2.813159,1.33119,0.97,16,0.02311,0.024435,0.018075,0.005,1.57999998387443e-07,0.04,0.260000001362206,0.24,0.06,0.53173,0.0303,0.0973208922530927,0.00858805099999998,0.013237581,2.088,0.489677291663699
"070714B",1.806179974,-10.74232143,3.22974,1.64623,0.93,2.07429,-6.142667504,1.36,21.64321572,0.431363764,-11.6955,5.12,0.607458,0.87,8.408797283,0.09935,0.0946,0.108425,0.005,8.99999995162111e-08,0.19,0.200000002273923,0.24,0.01,0.53173,0.08,0.0570608478017886,0.05428681,0.032169962,0.923,0.28397928423848
"070721B",2.531478917,-10.50863831,3.94739,2.5054,0.52,1.52512,-5.443697499,1.34,21.89473409,0.176091259,-8.76,5.96,1.33,0.44,21.32020684,0.3648,0.10084,0.09144,0,1.99999998309654e-07,0.11,0.299999998646817,0.015728,0.03,0.53173,0.05,0.0272330828957319,0.024127471,0.086858896,3.626,0.6652056284346
"070810A",1.041392685,-10.77728353,3.36583,1.36994,1.02,2.17076,-6.161150909,2.04,21.93100401,0.278753601,-11.98,2.813159,1.151212,0.87,4.99064124,0.06175,0.07187,0.077915,0.01,6.00000007404413e-08,0.14,0.200000001678087,0.24,0.384008,0.53173,0.285,0.197037086589132,0.037764738,0.045715209,2.17,0.501059262217751
"080319B",1.68090255756894,-12.15181088,5.36799912,1.42250979,0.73,1.81426,-4.091514981,1.04,20.8771334,1.394451681,-14.1,5.12,1.13,0.41,0.179108908,0.097779455,0.087626454,0.075139905,0,9.99999949845317e-07,0.02,0.499999992482672,0.06,0.105245,0.53173,0.103,0.00162180613819455,0.00536166,0.008755937,0.937,0.287129620719111
"080905B",2.10720997,-10.11125904,3.67820615,1.36946226,0.375,1.86248,-5.744727495,1.78,22.33533151,-0.301029996,-12.9424,5.96,2.09,0.52,28.05833332,0.03236457,0.038825489,0.033301752,0.00558525,1.99999998154912e-07,0.15,0.0999999994843889,0.24,0.03,0.53173,0.05,0.0951998384562338,0.048254942,0.086858896,2.374,0.528145078253106
"080916A",1.77815125,-10.75269955,3.60698,0.998947,0.83,1.88453,-5.397940009,1.17,21.7431239,0.431363764,-11.1733,2.806841,1.426558,1.01,6.325897569,0.0592,0.073495,0.0260505,0.01,9.9999999486244e-08,0.21,0.200000002273923,0.03,0.14528,0.53173,0.0303,0.0457883734954798,0.010857362,0.032169962,0.6887,0.227552503379865
"081028A",2.414973348,-11.3994,4.75426,2.20023,0.945,2.51,-5.431798276,1.25,20.90308999,-0.301029996,-11.6972,5.96,0.74,1.1,32.58849643,0.0572,0.03025,0.054715,5e-04,1.99999996559824e-07,0.38,0.0999999994843889,0.05,0.07,0.53173,0.34,0.0544346314312377,0.023475377,0.086858896,3.038,0.60616631460762
"081203A",2.46834733,-10.9243983,4.02089,1.86904,0.82,2.03508,-5.113509275,1.54,21.66176916,0.462397998,-11.1733,6.41,1.426558,0.44,82.96987405,0.05695,0.03932,0.064395,0.0325,2.99999995803032e-07,0.06,0.200000002854189,0.015728,0.050707,0.53173,0.15,0.122562443871835,0.016920564,0.029951344,2.1,0.491361693834273
"090418A",1.748188027,-10.04720756,3.52813657,1.52909667,0.98,2.03408,-5.337242168,1.48,22.02365981,0.278753601,-11.1733,4.04085,1.43,0.41,4.129211073,0.028659405,0.030759021,0.042154514,0.003531332,2.0000000249378e-07,0.07,0.300000000329674,0.24,0.137291,0.53173,0.04,0.0320230997079162,0.018882369,0.0685728129999999,1.608,0.416307587059883
"091109A",1.681241237,-11.14630179,3.37933883,1.06152816,0.89,1.96352,-5.795880017,1.31,21.89596701,0.113943352,-11.1691,2.56,1.487567,0.57781,16.70810678,0.05941034,0.074268877,0.033719571,0.03,1.99999999281973e-07,0.25,0.399999998655209,0.06,0.050707,0.53173,0.04,0.15117163716416,0.0542868100000001,0.133629071,3.076,0.610234175334389
"091208B",1.173186268,-10.18045606,3.31388094,1.1606541,0.86,2.03333,-5.48148606,1.74,21.91211094,1.181843588,-12.13,3.354189,2.09,1.8,2.897723268,0.036806415,0.052928177,0.030502454,0.034663611,2.00000002403374e-07,0.11,0.999999986534426,0.027168,0.02,0.53173,0.09,0.0844607534610546,0.026320878,0.028572005,1.063,0.314499227973151
"100316B",0.579783597,-11.1481304,3.5543767,1.36246063,1.08,2.23535,-6.698970004,2.23,21.41315218,0.113943352,-13.04,3.061361,1.034879,0.53,0.445223532,0.10431242,0.207348761,0.13322096,0.02,1.99999999278262e-08,0.18,0.100000000412142,0.24,0.384008,0.53173,0.27,0.0508837165764397,0.0434294479999999,0.0334072679999999,1.18,0.338456493604605
"100418A",0.84509804,-12.48811664,5.54363,1.81145,0.84,2.26662,-6.468521083,2.16,20.86974084,0,-13.2172,2.64,0.861959,1.11,0.963279858,0.10745,0.075475,0.16786,0.01,5.00000003286357e-08,0.25,0.19999999912352,0.0527,0.050707,0.53173,0.16,0.059763875267383,0.063866836,0.0868588959999999,0.6235,0.21045229296202
"100425A",1.568201724,-11.50168945,3.60199415,0.86819371,1.46,2.17077,-6.327902142,2.42,20.53466438,0.146128036,-12.9424,4.55,2.253787,0.74,3.773539953,0.070859065,0.115125536,0.055076895,0.035,8.99999998721899e-08,0.32,0.200000000653248,0.2287,0.035487,0.53173,0.04,0.0442926372724909,0.083162773,0.062042069,1.755,0.440121603187804
"100513A",1.924279286,-11.57186521,3.74522911,0.96306136,1.36,2.25722,-5.853871964,1.62,22.05240534,-0.22184875,-11.21,2.56,0.607458,1.8,14.87086076,0.09817689,0.128616618,0.061569437,0.025,9.99999987148146e-08,0.14,0.100000000394457,0.06,0.01,0.53173,0.06,0.0768849139302361,0.031021034,0.0723824140000001,4.772,0.761326322421457
"100704A",2.2955671,-10.35163999,3.62503495,1.01294211,1.29,2.11575,-5.22184875,1.73,21.52730245,0.633468456,-11.1733,3.47558,0.733879,1.8,23.25931459,0.04763446,0.053639373,0.01813996,0.01,2.00000003552016e-07,0.06,0.199999996784284,0.24,0.384008,0.53173,0.27,0.0511462884983093,0.014476483,0.020199743,3.6,0.662757831681574
"100728A",2.297760511,-10.17587417,4.03148606,1.5588143,0.96,1.90402,-4.420216403,1.18,21.52592288,0.707570176,-8.76,3.67566,1.151212,0.53,12.6465837,0.0760751,0.053762484,0.034265796,0.005,0,0.02,0.199999998157385,0.24,0.024033,0.53173,0.04,0.0276692267863542,0,0.017031156,1.567,0.409425868671443
"100814A",2.241795431,-11.49349497,5.22729477,1.76532941,1.1425,1.89414,-5.045757491,1.47,20.89608288,0.397940009,-11.98,6.41,1.13,0.44,9.468174905,0.04362636,0.035347138,0.084015169,0.01745135,1.99999989710863e-07,0.04,0.20000000272843,0.24,0.07,0.53173,0.11,0.0235643330529017,0.00965098799999999,0.034743559,1.44,0.387389826338729
"100816A",0.462397998,-11.5559552,3.97801299,1.04455013,1.09,1.91138,-5.698970004,0.73,21.34783526,1.037426498,-11.9084,3.67566,1.43,0.87,0.621173086,0.08674922,0.112014005,0.047175154,0.015,9.99999996391312e-08,0.24,0.399999995538626,0.24,0.050707,0.53173,0.285,0.0930248425840856,0.021714724,0.015937412,0.804,0.256236533205923
"100901A",2.64246452,-11.34103516,4.91124,1.50754,1.075,1.98285,-5.677780705,1.52,21.53188109,-0.096910013,-12.6,4.79,1.851865,0.97,22.56299024,0.0283,0.02425,0.036255,5e-04,3.00000000941409e-07,0.21,0.19999999912723,0.027168,0.065307,0.53173,0.08,0.0223211438768381,0.062042069,0.10857362,1.408,0.381656482585787
"100906A",2.058426024,-10.4698003,3.94074768,1.71220056,0.87,2.02817,-4.920818754,1.78,21.96198081,1.004321374,-8.76,6.41,2.09,0.68,1.591145486,0.048743085,0.039933316,0.059340084,0,0,0.03,0.399999989467152,0.2287,0.06,0.53173,0.05,0.00604043448603348,0,0.017199781,1.727,0.43568513794163
"101219B",1.531478917,-11.99567863,4.42003952,0.66918137,0.94,1.85684,-5.677780705,1.56,20.49692965,-0.22184875,-12.9424,6.41,1,0.9,5.420624286,0.089446275,0.166829365,0.039390628,0.105,3.99999998031593e-07,0.16,0.29999999980182,0.03,0.139983,0.53173,0.12,0.0692396240032236,0.082722758,0.217147241,0.55,0.190331698170291
"110213A",1.681241237,-9.896196279,3.84089,1.8412,1.1905,1.96436,-5.229147988,1.83,21.56708403,0.204119983,-13.1407,4.394018,1.95,1.8,16,0.03588,0.023515,0.02785,0.226362665,4.00000004563359e-07,0.12,0.600000001530054,0.2287,0.14528,0.53173,0.16,0.14476482742628,0.029443694,0.162860431,1.46,0.390935107103379
"110422A",1.413299764,-9.681936665,3.50066971,1.42239886,0.778,1.89199,-4.387216143,0.86,22.02088312,1.487138375,-8.76,2.56,1.851865,0.9,0.566646277,0.024137407,0.029472713,0.022779716,0.005,9.99999968631913e-07,0.1,0.999999994518838,0.06,0.04,0.53173,0.05,0.00950159657676303,0.010592548,0.0141464,1.77,0.442479769064449
"110503A",1,-9.08249449,2.54166555,1.14649063,0.687,1.90907,-5,0.88,21.13638759,0.130333768,-11.1691,5.12,1.095671,0.61,3.405445073,0.028998071,0.028887961,0.006289914,0.001,3.9999999364187e-07,0.25,0.0600000000140562,0.015728,0.050707,0.53173,0.06,0.147896600362852,0.017371779,0.019301977,1.613,0.417139409727326
"110715A",1.113943352,-9.075720714,2.61109719,0.95853538,0.755,1.85342,-4.928117993,1.25,22.0746007,1.731588765,-11.6955,3.22416,0.92,0.44,4,0.02377653,0.035600881,0.009554076,0.0015,1.99999988390653e-07,0.12,1.10000003776472,0.0492,0.07,0.53173,0.06,0.133629071449258,0.007360923,0.00886315299999999,0.82,0.260071387985075
"110731A",1.588831726,-12.08512818,5.08952072,1.42351927,0.39,1.85145,-5.22184875,1.15,21.95954126,1.041392685,-11.21,2.56,1.43,0.26,11.66246372,0.097418495,0.090702815,0.110855301,0.13,9.99999948682526e-08,0.05,0.300000000878567,0.24,0.05,0.53173,0.16,0.130539784388153,0.007238241,0.011844395,2.83,0.583198773968623
"110808A",1.681241237,-12.08440021,4.50711,0.807091,1.4,2.33721,-6.48148606,2.32,22.04291793,-0.397940009,-14.18,2.56,0.481067,0.9,22.627417,0.0837,0.155655,0.0776,0.025,8.00000002014966e-08,0.43,0.199999999893522,0.156279,0.067354,0.04,0.09,0.204728382319217,0.105283511,0.217147241,1.348,0.370698092575577
"110818A",2.012837225,-11.28316228,3.84627415,1.37167718,0.83,1.95985,-5.397940009,1.58,22.06812647,0.204119983,-11.78,6.41,1.851865,0.97,18.0548006,0.05514905,0.059648416,0.067338189,0.01,1.99999998972488e-07,0.11,0.299999998922959,0.24,0.19345,0.53173,0.04,0.0761271870594219,0.021714724,0.081430215,3.36,0.639486489268586
"111008A",1.802500068,-10.66756154,3.98993393,1.21584288,0.829,1.94053,-5.27572413,1.86,22.17059025,0.806179974,-12.13,6.41,0.82,0.32,2.36485691,0.028511085,0.035676696,0.027351291,0.001,3.00000006099059e-07,0.09,0.700000000642428,0.24,0.01,0.53173,0.11,0.0161841207996628,0.024582707,0.047500959,4.9898,0.777412321496744
"111123A",2.462397998,-11.60730305,4.42202873,1.46723371,1.25,2.55463,-5.13667714,1.68,21.35034301,-0.045757491,-11.21,3.26,2.09,1.09,88.09086218,0.07308827,0.070655771,0.105884147,0.005,2.99999992615351e-07,0.07,0.0999999990000848,0.015728,0.384008,0.53173,0.04,0.131921983937837,0.017847718,0.048254942,3.1516,0.618215503279417
"111209A",2.505149978,-9.057000407,4.13326,2.77382,0.2529,1.81212,-4.443697499,1.48,21.14009932,-0.301029996,-12.9424,3.67566,0.74,0.57781,29.55180898,0.02099,0.010455,0.04435,5e-05,1.0000000329948e-06,0.03,0.0999999994843889,0.2287,0.105245,0.53173,0.04,0.0401068361866461,0.012063736,0.086858896,0.677,0.224533062606086
"111228A",2.005180513,-10.65757732,4.10627835,1.15297662,0.99,2.03824,-5.070581074,2.27,21.41342718,1.093421685,-12.4311,3.47558,0.861959,1.1,5.415902489,0.030118345,0.037264425,0.023299272,0,2.00000006162849e-07,0.06,0.499999992095816,0.2287,0.384008,0.53173,0.08,0.023242060897345,0.010218694,0.017511874,0.714,0.234010817587179
"120118B",1.36660971,-10.95467702,3.68307,1.0241,1.01,2.20884,-5.744727495,2.08,21.451745,0.342422681,-11.8207,3.190433,2.09,1.8,19.64696058,0.1172,0.131765,0.077156,0.005,9.99999990774559e-08,0.11,0.300000001110681,0.015728,0.14528,0.53173,0.09,0.366834332492466,0.024127471,0.059221975,2.943,0.595826777073223
"120327A",1.798650645,-10.15181088,3.48517215,1.44859414,0.63,1.75797,-5.443697499,1.52,22.16619025,0.591064607,-12.8744,4.79,1.851865,0.68,7.52171255,0.04362492,0.051679097,0.058002882,0.02,1.0000000329948e-07,0.06,0.200000000953385,0.24,0.006768,0.53173,0.31,0.051933835584684,0.012063736,0.022271512,2.813,0.581266805273671
"120404A",1.587710965,-11.02687215,3.79948,1.90651,0.69,1.89579,-5.795880017,1.85,21.70983536,0.079181246,-12.9424,6.41,1.779596,0.97,16,0.11705,0.068285,0.121385,0.005,9.99999996409863e-08,0.13,0.200000000943656,0.24,0.03,0.53173,0.01,0.179553274179706,0.027143405,0.0723824139999999,2.876,0.588383768378728
"120422A",0.728353782,-12.73992861,5.23266697,0.86153199,1.1,2.32199,-6.638272164,1.19,22.0158332,-0.22184875,-11.6955,2.64,2.09,1.8,2.236067977,0.11830242,0.217818621,0.214451933,0.035,3.99999999382129e-08,0.24,0.199999999407363,0.036239,0.006768,0.53173,0.11,0.181516258620399,0.0755294749999999,0.144764827,0.283,0.108226656374928
"120729A",1.854306042,-10.29756946,3.52138487,2.26312734,0.645,1.8831,-5.619788758,1.62,21.34792103,0.462397998,-12.3053,3.47558,1.43,0.9,36.74353317,0.06906832,0.047294772,0.130088482,0.013331067,9.99999977860971e-08,0.08,0.200000002854189,0.2287,0.017308,0.53173,0.11,0.223182009707008,0.018095603,0.029951344,0.8,0.255272505103306
"120802A",1.698970004,-11.17198494,3.53838419,0.54215516,0.91,2.03526,-5.721246399,1.21,22.12127744,0.477121255,-8.76,3.16101,0.98,0.9,31.02460027,0.07803221,0.220557212,0.11816229,0.055,3.00000000329674e-07,0.47,0.199999996950035,0.24,0.384008,0.028589,0.285,0.2694762542188,0.0685728129999999,0.028952965,3.796,0.680879174426811
"120811C",1.428134794,-10.14327111,3.15909591,1.01613299,0.65,1.92121,-5.522878745,1.4,21.91722026,0.612783857,-8.76,2.56,1.85,0.97,3.693579286,0.05294686,0.084200302,0.03800099,0.090734018,2.99999998878931e-07,0.3,0.200000003166981,0.24,0.04,0.53173,0.05,0.0598545187495629,0.043429448,0.021185097,2.671,0.564784384503987
"120907A",1.227886705,-10.37675071,3.2113827,1.05329104,0.78,1.82021,-6.173925197,1.73,21.0438101,0.462397998,-12.9424,2.813159,1.02823,0.32,1.370430613,0.04130341,0.062296694,0.028647271,0.005,1.09999999893048e-07,0.25,0.399999999030881,0.015728,0.050707,0.53173,0.05,0.035217186540104,0.0713020789999999,0.059902687,0.97,0.294466226161593
"120922A",2.238046103,-10.59516628,3.59799,1.06622,1.17,2.06954,-5.207608311,1.58,21.0163605,0.301029996,-11.91,6.41,1.43,0.9,30.24009631,0.16365,0.133375,0.03563,0.005,6.99999999813366e-07,0.36,0.199999999278263,0.24,0.10234,0.1,0.09,0.075913913084108,0.049033248,0.0434294480000001,3.1,0.612783856719735
"121024A",1.838849091,-11.31158018,4.17178823,1.30353551,0.87,2.00683,-5.958607315,1.41,21.94617755,0.113943352,-11.822,2.64,1.358692,0.9,32.06243908,0.063305895,0.065435085,0.06666149,0,1.00000001137137e-07,0.22,0.200000000824285,0.105554,0.03,0.53173,0.11,0.201804932759115,0.039481317,0.0668145360000001,2.298,0.5182506513085
"121027A",1.796574333,-11.92081875,5.40919042,1.50995764,1.16,2.37144,-5.698970004,1.82,22.07736427,0.113943352,-11.1733,2.64,2.09,1.8,4.820058467,0.041584155,0.037953731,0.058939694,0,9.99999996391312e-08,0.09,0.200000000824285,0.015728,0.13,0.53173,0.1,0.03343969322178,0.021714724,0.0668145360000001,1.773,0.442949869577862
"121128A",1.367355921,-9.617982957,3.23392922,1.54546584,0.9455,1.98504,-5.161150909,1.32,22.04029767,1.11058971,-8.76,2.56,0.859364,0.9,1.63061216,0.028690024,0.029795568,0.032445001,0.010337721,4.00000004936276e-07,0.18,0.400000012707966,0.015728,0.14528,0.53173,0.285,0.0303933846890459,0.025176492,0.013466496,2.2,0.505149978319906
"121211A",2.260071388,-11.2823295,4.20933518,1.15615612,0.95,2.0682,-5.886056648,2.36,21.66138196,0,-12.9424,6.41,1.85,0.78,39.28730733,0.054250775,0.063247159,0.074602829,0.005,2.66999999424138e-07,0.26,0.300000000987865,0.24,0.006768,0.53173,0.08,0.0937486856135703,0.089197405,0.130288345,1.023,0.305995882770805
"130408A",1.447158031,-10.32975415,3.58393,1.39277,0.945,2.03183,-5.638272164,1.28,20.06405721,0.69019608,-11.1733,5.96,1.25,1.8,13.06603535,0.077,0.070305,0.0643,0.117120218,3.99999999382129e-07,0.26,1.00000000084789,0.06,0.03,0.53173,0.1,0.202660966333188,0.0755294749999999,0.0886315269999999,3.757,0.677333151419902
"130418A",2.07200023240372,-9.247183569,2.59006,1.28449,0.198,1.68684,-5.744727495,2.07,21.12149747,-0.22184875,-8.76,5.250332,2.09,1,46.08809848,0.06047,0.06867,0.031625,0.003,1.99999998154912e-07,0.17,0.199999999407363,0.015728,0.384008,0.53173,0.21,0.169579312058566,0.048254942,0.144764827,1.218,0.345961541813141
"130420A",2.091666958,-10.8728952,3.56731,0.914676,1.17,2.29559,-5.148741651,1.52,20.79265849,0.531478917,-11.1733,2.813159,0.82,0.53,11.73673073,0.05505,0.08535,0.0286905,0.005,2.99999999109595e-07,0.25,0.199999998183027,0.03,0.050707,0.53173,0.04,0.0412728533350444,0.018350471,0.025546734,1.297,0.361160995195026
"130511A",0.73479983,-10.51570016,2.65954,1.16497,0.65,2.06879,-6.657577319,1.35,21.01365445,0.113943352,-11.78,2.813159,0.607458,1.8,2.212184473,0.0838,0.089385,0.04916,0.01,3.99999999792346e-08,0.31,0.200000000824285,0.072161,0.033281,0.53173,0.16,0.176931769551824,0.078962633,0.0668145360000001,1.3033,0.362350507594848
"130514A",2.309630167,-10.7212464,3.68772,1.17745,0.65,2.0604,-5.040958608,1.8,21.19799139,0.447158031,-11.6085,3.22416,1.248584,0.57781,12.81269759,0.078,0.078365,0.04188,0.08,2.0000000680444e-07,0.05,0.30000000213302,0.24,0.384008,0.53173,0.04,0.0272768817014167,0.00954493399999999,0.046531552,3.6,0.662757831681574
"130604A",1.57634135,-8.316052869,2.071571247,1.742079764,0.98,2.08823,-5.853871964,1.51,21.35024026,-0.096910013,-12.091,2.80122,2.121816,1.8,4.559271868,0.166441725,0.100184013,0.041653571,0.015,9.99999987148146e-08,0.12,0.19999999912723,0.015728,0.006768,0.53173,0.11,0.0525216608675702,0.031021034,0.10857362,1.06,0.313867220369153
"130606A",2.441820772,-10.18045606,3.30222,1.37571,0.44,1.86465,-5.537602002,1.52,20.24962877,0.414973348,-14.18,6.41,1.851865,0.9,19.31096766,0.06815,0.07782,0.05186,0.045,2.00000002854189e-07,0.12,0.200000000979027,0.24,0.047598,0.53173,0.12,0.0303226795160044,0.029951344,0.033407268,5.913,0.839666556882433
"130831A",1.511883361,-9.89279003,3.31959,1.28481,1.01,1.79449,-5.187086643,1.93,22.16619025,1.133538908,-11.8207,6.41,0.82,0.94,1.864331486,0.054815,0.089045,0.06727,0.009011148,2.00000043037108e-08,0.05,0.600000009753563,0.24,0.384008,0.53173,0.08,0.0249128885159663,0.001336291,0.019160051,0.4791,0.16999753706657
"131030A",1.613841822,-9.294136288,2.84594,1.11188,0.693,2.09466,-4.537602002,1.3,20.84178667,1.44870632,-8.76,2.80122,0.561833,1.8,4.042662472,0.025175,0.027575,0.00815,0.0075,0,0.03,0.700000016427029,0.156279,0.387989,0.53173,0.16,0.0427179076225292,0,0.010818724,1.295,0.36078268987328
"131105A",2.050379756,-10.91009489,3.9488,1.19347,0.94,2.24976,-5.148741651,1.45,21.32749584,0.544068044,-8.76,2.56,0.607458,0.9,4.086802216,0.03335,0.047885,0.04544,0.005,4.9999999306654e-07,0.11,0.6000000026431,0.2287,0.14528,0.53173,0.04,0.0158047698317659,0.030584118,0.0744504830000001,1.686,0.429106008332697
"140206A",1.971275849,-9.730487056,3.59073,1.22509,0.672,1.88134,-4.795880017,1.04,22.00531353,1.28780173,-8.76,2.56,1.43,0.41,13.75282388,0.012995,0.021325,0.015545,0.021902336,3.0000001734364e-07,0.15,0.500000011244124,0.24,0.384008,0.53173,0.04,0.063811704252879,0.00814302200000001,0.011193157,2.73,0.571708831808688
"140213A",1.77815125,-10.12551818,3.829176603,1.108879519,0.83,1.96657,-4.920818754,1.8,20.99187128,1.371067862,-11.21,6.247263,0.607458,0.9,2.62312486,0.06303582,0.068643889,0.021746292,0.005,0,0.04,0.799999999447402,0.01,0.07,0.53173,0.08,0.0189868108841264,0,0.014784493,1.2076,0.343920385393226
