"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10FaErr_native","log10TaErr_native","AlphaErr_native","BetaErr_native","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"060526A",2.47444938,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,21.01785522,0.222716471,-12.9424,6.41,1.02823,0.32,23.04821868,0.06785,0.09216,0.0623145,0.0305,1.64999998679618e-07,0.24,0.180000001176275,0.24,0.050707,0.53173,0.16,0.0335716198838349,0.0568718959999999,0.046810184,3.221,0.625415352154408
"060604A",1.977723605,-11.76955108,4.45991,1.21596,1.02,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,-13.04,3.22416,0.82,0.93,17,0.04195,0.04994,0.04695,0,1.05999999606952e-07,0.42,0.130000000384725,0.05,0.067354,0.02688,0.11,0.0777158547080599,0.11451546,0.166053773,2.1357,0.496334505996816
"060605A",2.059904056,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,-12.9876,2.64,1.487567,0.68,35.01416491,0.05315,0.037375,0.085,0.10149311,8.99999998362551e-08,0.2,0.120000000437079,0.2287,0.14528,0.53173,0.11,0.132471980179598,0.056078197,0.113294213,3.78,0.679427896612119
"060614A",2.036229544,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784,-12.4453,4.749372,1.06783,0.32,3.31042292,0.0429,0.0289,0.05983,0.006,3.62999994737484e-07,0.04,0.740000004904324,0.01,0.384008,0.53173,0.17,0.0132262962944593,0.007727887,0.027945906,0.125,0.0511525224473813
"060707A",1.820857989,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374,-8.76,4.749372,1.487567,0.68,6.314200491,0.07695,0.127895,0.0364485,0.035,1.51000001115751e-07,0.363636364,0.229999999176237,0.060832,0.17,0.53173,0.09,0.0414232996019404,0.0409865420000001,0.098898743,3.425,0.645913275033844
"060708A",1.008600172,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173,-11.4731,2.64,2.09,0.9,3.601244236,0.06115,0.062725,0.028525,0.33410152,3.69999997660683e-08,0.12,0.140000000468146,0.2287,0.14528,0.53173,0.04,0.153333382237578,0.032528129,0.0313408390000001,1.92,0.465382851448418
"060714A",2.060660074,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997,-12.89,6.41,0.922285,0.44,9.129365384,0.0352,0.046765,0.035305,0.005,1.66999998483979e-07,0.11,0.12999999916728,0.023499,0.384008,0.53173,0.07,0.0344798070207195,0.025627978,0.0441080329999999,2.711,0.569490954348783
"060729A",2.062017599,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862,-12.9424,6.41,1.851865,1.8,33.90346061,0.0116,0.012825,0.013425,0.077392286,2.11000002664175e-07,0.14,0.129999998907599,0.24,0.035487,0.53173,0.1,0.127647038192483,0.0351096309999999,0.048254942,0.54,0.187520720836463
"060814A",2.162265614,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411,-8.76,4.04085,0.82,0.87,4.898458524,0.0353,0.034855,0.024565,0,2.38999994189754e-07,0.03,0.290000000734377,0.0492,0.024033,0.028803,0.15,0.0146412491965932,0.00710934099999999,0.017323989,1.9229,0.465813957269479
"060906A",1.638489257,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226,-11.8207,4.394018,0.92,0.98,8.166987204,0.08845,0.072145,0.169635,0.005,1.35999998719723e-07,0.11,0.280000002237752,0.24,0.03,0.53173,0.12,0.0815374132437055,0.0267258140000001,0.0617271349999999,3.686,0.670802284260944
"060908A",1.285557309,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1,21.80952201,0.481442629,-8.76,4.04085,1.33,0.93,1.330335293,0.045185,0.05993,0.04964,0.003474954,1.1099999924188e-07,0.181818182,0.249999999973775,0.24,0.006768,0.53173,0.09,0.0299356101990356,0.017216674,0.0358328779999999,1.8836,0.459935016851525
"060926A",0.903089987,-10.84771166,3.351,1.45111,1.357,2.00443,-6.659555885,2.54,22.50004427,0.037426498,-12.4597,3.793643,0.607458,1.8,1.212679677,0.08245,0.09927,0.11561,0.009157091,2.50000001851641e-08,0.23,0.140000000948337,0.015728,0.006768,0.53173,0.04,0.0658325115034435,0.049576996,0.0557809430000001,3.2,0.6232492903979
"060927A",1.352953912,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764,-8.76,4.020463,1.95,1.5,1.294276634,0.08115,0.108435,0.118785,0.178498106,6.79999994190725e-08,0.242424242,0.169999997580949,0.027168,0.08,0.53173,0.08,0.0249377639674928,0.026134535,0.0273444670000001,5.47,0.8109042806687
"061021A",1.664641976,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121,-8.76,3.5801,1.02823,0.87,5.398832468,0.0264,0.03399,0.010415,0.016800037,1.01000000096291e-07,0.06,0.26999999726138,0.24,0.13,0.53173,0.285,0.0507507174713444,0.014818832,0.019191409,0.3463,0.129141845792285
"061121A",1.90982337,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455,-11.76,3.487381,1.18347,0.94,46.12748458,0.01265,0.01703,0.01585,0.002358211,1.98999996707598e-07,0.03,0.459999982241463,0.24,0.384008,0.53173,0.12,0.246558916936231,0.006308365,0.00946803099999999,1.314,0.364363354615731
"070110A",1.946550511,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,-12.44,3.5801,1.95,1.11,14.47803302,0.05475,0.053995,0.046555,0.12166788,1.07999998397043e-07,0.12,0.119999999368107,0.24,0.14528,0.53173,0.04,0.0711120769415451,0.028952965,0.0868588959999997,2.352,0.525304009958239
"070208A",1.806179974,-10.86327943,3.44468,1.2125,1.14,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,-12.4,2.56,1.239,0.93,22.627417,0.1619,0.14114,0.06357,0.015,1.00999999746019e-07,0.36,0.219999999043582,0.122846,0.10234,0.1,0.09,0.153546286600926,0.0985702079999999,0.106160873,1.165,0.335457900689384
"070223A",1.9408513687054,-11.86327943,4.22335,0.991734,1.03,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,-11.78,3.793643,2.09,0.87,8.08530616,0.16615,0.203105,0.079308,0.06,7.27000007785802e-08,0.072727273,0.207882914486346,0.015728,0.101225,0.53173,0.11,0.0402373538487879,0.018572476,0.130844061722849,1.6295,0.419873175149476
"070306A",2.321184027,-11.2737,4.86926,1.89982,0.831,1.94468,-5.269217724,1.66,22.44245468,0.609594409,-10.98,5.250332,0.98,0.97,64.76757163,0.0335,0.02824,0.06188,0.001,2.8599999924264e-07,0.1,0.210000001849024,0.015728,0.384008,0.53173,0.04,0.134263479640872,0.02308703,0.022408315,1.4959,0.397227181043161
"070508A",1.320146286,-9.161150909,3.02525,1.37377,0.764,1.82568,-4.707743929,1.1,21.89306622,1.382017043,-11.21,2.80122,1.779596,0.94,0.735923906,0.010795,0.01189,0.013355,5e-04,2.73000012763446e-07,0.060606061,0.610000004371105,0.06,0.065307,0.53173,0.27,0.0152922340458476,0.006049102,0.010992516,0.82,0.260071387985075
"070521A",1.57863921,-10.01233374,3.55243,1.44502,0.98,2.00022,-5.096367484,1.1,22.27524914,0.814913181,-8.76,2.813159,1.85,0.42,2.819384324,0.04901,0.04844,0.0562,0.147518075,1.7699999166053e-07,0.121212121,0.270000000441756,0.24,0.166694,0.53173,0.04,0.0323072045959819,0.00959676899999998,0.017957046,2.0865,0.489466281303128
"070529A",2.038222638,-10.24641694,3.09323,1.21432,0.76,1.97999,-5.590066877,1.34,22.56252244,0.155336037,-11.1733,2.813159,1.851865,0.57781,19.9827799,0.0552,0.068045,0.03501,0.015,2.449999996144e-07,0.16,0.360000001053219,0.24,0.387989,0.53173,0.11,0.0794726286723922,0.041401614,0.109332877,2.4996,0.544018407858776
"070802A",1.214843848,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,-12.9424,2.56,1.59481,1.11,3.019812592,0.17395,0.236245,0.2088785,0.045,4.99999999256874e-08,0.27,0.100000000407278,0.06,0.08,0.53173,0.06,0.079968777148268,0.077552586,0.108573621,2.45,0.537819095073274
"070809A",1.16168428403346,-11.9625735,4.18985,1.17521,0.396,1.37246,-7,1.69,20.80619355,0.079181246,-8.76,5.031584,2.09,1.01,0.271528985,0.1917,0.206985,0.395643,0.0595,6.06000009133502e-09,0.133333333,0.044919559042117,0.24,0.384008,0.53173,0.11,0.00812673734142053,0.026318246,0.016256930519715,0.2187,0.0858968111315881
"071003A",2.170643023,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549,-11.6955,4.020463,1.851865,0.94,4.494400066,0.1359,0.098505,0.183105,0.032,3.00000001418859e-07,0.07,0.400000002204188,0.2287,0.384008,0.56,0.1,0.0131768929142836,0.015697391,0.027574253,1.60435,0.415699348887829
"071020A",0.62324929,-9.169411331,2.311950854,1.119196934,0.844,1.59788,-5.638272164,1.11,20.99642367,0.924279286,-11.8207,2.56,1.41,0.41,0.581982802,0.035099822,0.039262062,0.011153209,0.001,1.00000001169519e-07,0.05,0.299999995879432,0.24,0.14528,0.53173,0.04,0.0601790285006581,0.018882369,0.015510517,2.145,0.497620649781288
"071117A",0.819543936,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443,-8.76,3.623299,2.09,1.8,1.824859447,0.101024385,0.117162967,0.089387802,0.01,9.99999977860971e-08,0.06,0.399999999643862,0.24,0.07,0.53173,0.12,0.120079755643196,0.018095603,0.015373256,1.331,0.367542273520577
