"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4015,0.4829,0.0814,1.52057717963911,2.04018491662944,0.519607736990335,0.170913201413553,0,0,0.410974570061419,0.381593204805472,1.57617030597077,1.40764917400213
"011211A",0.4736,0.4969,0.0233,1.97577437737281,2.13978564827282,0.164011270900008,0.052236454737039,0,0,0.488406368491096,0.45865492321155,2.07897645949878,1.87511303217395
"030329A",0.2836,0.0682,-0.2154,0.921321311403725,0.170038089423047,-0.751283221980678,-0.642101508294606,0,0,0.300120665868156,0.275198620850676,0.995816762513959,0.884510757243344
"050315A",0.3866,0.4697,0.0831,1.43556654531337,1.94917130750827,0.5136047621949,0.174152230793551,0,0,0.410009043642965,0.364919024777388,1.57044930862457,1.31696260659116
"050318A",0.4485,0.3874,-0.0611,1.80866537276792,1.44005715942821,-0.36860821333971,-0.151065401035969,0,0,0.461376745048978,0.431216956862012,1.89318859911009,1.69908745625254
"050319A",0.3938,0.6274,0.2336,1.47628142527396,3.24033335385019,1.76405192857623,0.41601727538107,0,0,0.40812228423889,0.378041602333733,1.55930640902378,1.38804002926879
"050401A",0.4432,0.5911,0.1479,1.77459755988041,2.90031784475066,1.12572028487024,0.288622704527868,0,0,0.475924228566211,0.426386863319697,1.99174262121602,1.66923532250765
"050416A",0.2255,0.2182,-0.0073,0.680737925708737,0.65272272994873,-0.0280151957600066,-0.0169509351159439,0,0,0.266631592609761,0.202444150109964,0.847700569249715,0.593837901374118
"050502A",0.4675,0.6803,0.2128,1.93426950395597,3.78960832497788,1.85533882102192,0.387367545556135,0,0,0.480227775166234,0.443616440803561,2.02153601504429,1.77725937079519
"050502B",0.489,0.6806,0.1916,2.08318795024935,3.79291801219085,1.7097300619415,0.356720072739149,0,0,0.50978656011721,0.459677168548136,2.23434661534304,1.88188846389155
"050505A",0.6058,0.7218,0.116,3.0345955018983,4.26987118996723,1.23527568806893,0.234403393088744,0,0,0.617651994165226,0.57409801597594,3.14621667731876,2.75057639499797
"050525A",0.2764,0.2068,-0.0696,0.889731054431677,0.609904076215706,-0.279826978215971,-0.173815932483221,0,0,0.298368389561456,0.245239769584686,0.987780333744474,0.758894413740449
"050730A",0.4925,0.6961,0.2036,2.10813590273948,3.96706679223423,1.85893088949475,0.37425123664556,0,0,0.50924607590017,0.469607841096346,2.23032393937337,1.94854554878908
"050801A",0.4263,0.4082,-0.0181,1.66870150164341,1.559764430599,-0.10893707104441,-0.042557459484238,0,0,0.456433319635384,0.393490726026222,1.86044314244026,1.47451861961748
"050802A",0.4294,0.433,0.00359999999999999,1.68781887863813,1.71019163189084,0.0223727532527085,0.0082550447685869,0,0,0.437884466918505,0.418953092526039,1.74084494234176,1.62393512091263
"050803A",0.4867,0.6532,0.1665,2.06690271516231,3.49987033872151,1.4329676235592,0.318446425273296,0,0,0.49945273776339,0.469990220853108,2.15829532721671,1.95114277409834
"050824A",0.1898,0.2619,0.0721,0.548103526708934,0.82767932897041,0.279575802261476,0.152967644722978,0,0,0.219740624849538,0.160777865939375,0.658596042699194,0.448031021461647
"050904A",0.7486,0.863,0.1144,4.60531469646538,6.29457510254569,1.68926040608031,0.231577628899973,0,0,0.765340184668486,0.734924554843712,4.82559360260884,4.43155966843354
"050908A",0.6925,0.6375,-0.055,3.92606343349577,3.34010263644744,-0.585960797048334,-0.135010815672315,0,0,0.710172360128986,0.655487654966485,4.13064965665787,3.52363603492588
"051016B",0.3342,0.287,-0.0472,1.15873831601281,0.936421963946607,-0.222316352066207,-0.114807803363842,0,0,0.351947424957716,0.321006933917499,1.24878235511884,1.0941458905813
"051028A",0.4478,0.6628,0.215,1.80414198545369,3.60044666393478,1.79630467848109,0.390463102759831,0,0,0.460245473857142,0.425652543726801,1.88566208901003,1.66472590382253
"051111A",0.501,0.4065,-0.0945,2.16956746304349,1.54976408779928,-0.619803375244209,-0.243082635844622,0,0,0.516456278795187,0.492933005143752,2.28440177976586,2.11123635654249
"060115A",0.5911,0.6561,0.0650000000000001,2.90031784475066,3.5300187543224,0.629700909571747,0.1390062478154,0,0,0.624460878434454,0.567559864525107,3.21173345441254,2.69453567496866
"060124A",0.4181,0.518,0.0999,1.61878593654756,2.29609712177458,0.677311185227021,0.205488843381643,0,0,0.437429900394422,0.374321587133776,1.73797766078147,1.36767226661348
"060206A",0.5582,0.7031,0.1449,2.61576336361097,4.04777513500947,1.4320117713985,0.283691672686963,0,0,0.601264859735046,0.538762147622083,2.99268326738234,2.45749967232337
"060210A",0.5555,0.6911,0.1356,2.5933539675539,3.91020924883086,1.31685528127696,0.268187202325544,0,0,0.569652087785036,0.536438373279424,2.71237712347339,2.43904907547527
"060223A",0.7886,0.7332,-0.0554,5.14610534719524,4.41003406863468,-0.736071278560562,-0.136056680830907,0,0,0.822090496542775,0.755666557541103,5.63881392932596,4.6972667977256
