"","Redshift_crosscheck","T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","Gamma","log10Fa","log10Ta","Alpha","Beta","log10TaErr","BetaErr","AlphaErr","T90Err","FluenceErr","PeakFluxErr","PhotonIndexErr","log10FaErr"
"GRB060526",3.221,298.2,-5.899629455,0.222716471,2.01,16.11154478,1.90677,-11.3053948,3.8752,1.05873,0.93,0.09216,0.0305,0.0623145,23.0482186783306,1e-07,0.109090909090909,0.145454545454545,0.06785
"GRB060604",2.1357,95,-6.395773947,-0.468521083,2.01,21.99003057,2.1711,-11.76955108,4.45991,1.21596,1.02,0.04994,0,0.0469499999999999,17,6.42424242424242e-08,0.0787878787878788,0.254545454545455,0.0419499999999999
"GRB060605",3.78,79.1,-6.156767222,-0.337242168,1.55,21.77333803,2.02128,-11.26121944,4.04162,1.9179,0.835,0.037375,0.10149311,0.085,35.0141649091828,5.45454545454545e-08,0.0727272727272727,0.121212121212121,0.0531499999999996
"GRB060614",0.125,108.7,-4.690369833,1.06069784,2.02,20.51216256,1.89544,-11.78251606,5.03344,1.9453,0.783,0.0289,0.00600000000000001,0.0598299999999999,3.31042292001389,2.2e-07,0.448484848484848,0.0242424242424242,0.0429000000000004
"GRB060707",3.425,66.2,-5.795880017,0.004321374,0.6,21.20847898,2.09345,-10.9132,3.5545,0.861995,1.12,0.127895,0.035,0.0364485,6.31420049148106,9.15151515151515e-08,0.139393939393939,0.3636363636,0.0769500000000001
"GRB060708",1.92,10.2,-6.306273051,0.28780173,1.68,20.79066861,2.20484,-10.86966623,3.50569,1.12969,1.485,0.062725,0.3341015195,0.028525,3.60124423553101,2.24242424242424e-08,0.0848484848484849,0.0727272727272727,0.0611499999999996
"GRB060714",2.711,115,-5.548213564,0.10720997,1.93,22.0125926,2.04425,-10.86012091,3.73449,1.20488,0.87,0.046765,0.00499999999999999,0.0353049999999999,9.12936538358046,1.01212121212121e-07,0.0787878787878788,0.0666666666666667,0.0352000000000006
"GRB060729",0.54,115.3,-5.583359493,0.068185862,1.75,20.86562801,1.92492,-11.15058059,5.1057,1.35481,1.317,0.012825,0.077392286,0.0134249999999999,33.90346061055,1.27878787878788e-07,0.0787878787878788,0.0848484848484849,0.0116000000000005
"GRB060814",1.9229,145.3,-4.835647144,0.861534411,1.53,22.00679538,2.11591,-10.91009489,4.22387,1.29504,0.97,0.034855,0,0.0245650000000001,4.89845852373387,1.44848484848485e-07,0.175757575757576,0.0181818181818182,0.0352999999999994
"GRB060906",3.686,43.5,-5.655607726,0.294466226,2.03,22.41960057,2.07859,-11.8827287,4.33479,1.71887,1.06,0.072145,0.00499999999999999,0.169635,8.16698720444148,8.24242424242424e-08,0.16969696969697,0.0666666666666667,0.0884499999999999
