"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
81,2780,0.4102,2780,1.2808,1179,-0.1114,15,8,2.8,"Response ~  (GammaSqr+log10Ta_optSqr+log10PeakFluxSqr+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Ta_opt+Gamma+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr"
82,2694,0.4244,2694,1.27,8978,-0.0698,17,9,2.8,"Response ~  (log10Ta_optSqr+Gamma+log10Ta+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta_opt+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr+GammaSqr"
83,653,0.6685,653,1.3349,5554,-0.3343,17,9,2.9,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+PhotonIndexSqr+log10NHSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
84,1140,0.4394,1140,1.5002,2883,-0.0289,17,9,2.7,"Response ~  (GammaSqr+log10Ta_optSqr+log10TaSqr+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr"
85,3344,0.623,5704,1.0942,4339,-0.2995,17,9,2.9,"Response ~  (GammaSqr+log10Ta_optSqr+Beta_optSqr+log10NHSqr+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
86,4889,0.4939,4889,1.278,9513,-0.1892,17,9,2.7,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10Ta_opt+log10Ta+log10NH+PhotonIndex)^2+log10PeakFlux+Beta_opt+Gamma+PhotonIndexSqr+log10NHSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
87,2611,0.68,2611,0.9765,666,-0.2379,17,9,2.8,"Response ~  (log10NHSqr+PhotonIndexSqr+log10PeakFluxSqr+Gamma+PhotonIndex)^2+log10PeakFlux+log10NH+Beta_opt+log10Ta+log10Ta_opt+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
88,3052,0.3884,3052,1.2155,2095,-0.2594,17,9,2.8,"Response ~  (log10Ta_optSqr+log10NHSqr+Gamma+log10Ta+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta_opt+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr+GammaSqr"
89,601,0.2429,601,1.4076,601,0.0722,17,9,2.8,"Response ~  (log10PeakFluxSqr+log10Ta_opt+Beta_opt+log10PeakFlux)^2+PhotonIndex+log10NH+log10Ta+Gamma+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
90,7062,0.5473,5787,1.3451,6338,-0.0112,17,9,2.8,"Response ~  (log10TaSqr+Beta_optSqr+log10NHSqr+log10Ta_opt+log10Ta+PhotonIndex+log10PeakFlux)^2+log10NH+Beta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10Ta_optSqr+GammaSqr"
