"","log10Ta","log10NH","log10PeakFlux","PhotonIndex","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060526A",3.8752,21.52730245,0.222716471,2.01,-11.3053948,1.05873,2.47444938,0.93,1.90677,-5.899629455,15.01717504,463.424750773776,0.0496026264546938,4.0401,127.811951583867,1.1209092129,6.12289973418238,0.8649,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,"060526A",3.221,0.625415352154408
"060604A",4.45991,21.99003057,-0.468521083,2.01,-11.76955108,1.21596,1.977723605,1.02,2.1711,-6.395773947,19.8907972081,483.561444469534,0.219512005215493,4.0401,138.522332624729,1.4785587216,3.9113906577742,1.0404,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",2.1357,0.496334505996816
"060605A",4.04162,21.77333803,-0.337242168,1.55,-11.26121944,1.9179,2.059904056,0.835,2.02128,-6.156767222,16.3346922244,474.078248968644,0.11373227987734,2.4025,126.815063275834,3.67834041,4.24320471992525,0.697225,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",3.78,0.679427896612119
"060707A",3.5545,21.20847898,0.004321374,0.6,-10.9132,0.861995,1.820857989,1.12,2.09345,-5.795880017,12.63447025,449.799580645102,1.8674273247876e-05,0.36,119.09793424,0.743035380025,3.31552381610512,1.2544,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,"060707A",3.425,0.645913275033844
"060708A",3.50569,20.79066861,0.28780173,1.68,-10.86966623,1.12969,1.008600172,1.485,2.20484,-6.306273051,12.2898623761,432.251901250839,0.0828298357909929,2.8224,118.149643951602,1.2761994961,1.01727430695843,2.205225,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,"060708A",1.92,0.465382851448418
"060714A",3.73449,22.0125926,0.10720997,1.93,-10.86012091,1.20488,2.060660074,0.87,2.04425,-5.548213564,13.9464155601,484.554232973575,0.0114939776674009,3.7249,117.942226179819,1.4517358144,4.24631994057768,0.7569,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,"060714A",2.711,0.569490954348783
"060729A",5.1057,20.86562801,0.068185862,1.75,-11.15058059,1.35481,2.062017599,1.317,1.92492,-5.583359493,26.06817249,435.374432251696,0.00464931177668304,3.0625,124.335447494085,1.8355101361,4.25191657858572,1.734489,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0.54,0.187520720836463
"060814A",4.22387,22.00679538,0.861534411,1.53,-10.91009489,1.29504,2.162265614,0.97,2.11591,-4.835647144,17.8410777769,484.299042897189,0.742241541337117,2.3409,119.030170508804,1.6771286016,4.6753925854868,0.9409,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",1.9229,0.465813957269479
"060906A",4.33479,22.41960057,0.294466226,2.03,-11.8827287,1.71887,1.638489257,1.06,2.07859,-5.655607726,18.7904043441,502.638489718344,0.0867103582546831,4.1209,141.199241357804,2.9545140769,2.68464704530441,1.1236,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",3.686,0.670802284260944
"060908A",2.81918,21.80952201,0.481442629,1,-9.627087997,1.38309,1.285557309,1.185,2.13395,-5.552841969,7.9477758724,475.655250304674,0.231787005018432,1,92.6808233019815,1.9129379481,1.65265759472332,1.404225,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",1.8836,0.459935016851525
"060926A",3.351,22.50004427,0.037426498,2.54,-10.84771166,1.45111,0.903089987,1.357,2.00443,-6.659555885,11.229201,506.25199215196,0.001400742752544,6.4516,117.6728482585,2.1057202321,0.81557152461966,1.841449,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",3.2,0.6232492903979
"060927A",3.15198,22.10710478,0.431363764,0.9,-10.77728353,1.39098,1.352953912,0.83,1.94856,-5.946921557,9.9349779204,488.724081753899,0.186074696892248,0.81,116.149840286009,1.9348253604,1.8304842879961,0.6889,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,"060927A",5.47,0.8109042806687
"061021A",3.23849,20.87141063,0.78604121,1.3,-10.04095861,1.01707,1.664641976,0.785,1.99282,-5.528708289,10.4878174801,435.615781686077,0.617860783818264,1.69,100.820849807733,1.0344313849,2.77103290826118,0.616225,3.9713315524,30.5666153448573,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,"061021A",0.3463,0.129141845792285
"061121A",3.78753,21.75351565,1.324282455,1.41,-10.03011836,1.35185,1.90982337,0.9485,1.90181,-4.863279433,14.3453835009,473.215443134795,1.75372402062083,1.9881,100.603274315609,1.8274984225,3.64742530459816,0.89965225,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.009468031,"061121A",1.314,0.364363354615731
"070110A",4.26825,21.3989672,-0.22184875,1.58,-11.04866248,1.42725,1.946550511,1.186,2.08596,-5.790484985,18.2179580625,457.915797226676,0.0492168678765625,2.4964,122.07294259696,2.0370425625,3.78905889187436,1.406596,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.086858896,"070110A",2.352,0.525304009958239
"070208A",3.44468,21.8647258,-0.045757491,1.94,-10.86327943,1.2125,1.806179974,1.14,2.20341,-6.351639989,11.8658203024,478.066234309186,0.00209374798261508,3.7636,118.010839974261,1.47015625,3.26228609847864,1.2996,4.8550156281,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.098570208,0.36,0.106160873,"070208A",1.165,0.335457900689384
"070223A",4.22335,21.70173804,-0.161150909,1.85,-11.86327943,0.991734,1.9408513687054,1.03,2.25837,-5.769551079,17.8366852225,470.965433956783,0.0259696154715263,3.4225,140.737398834261,0.983536326756,3.76690403540562,1.0609,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,"070223A",1.6295,0.419873175149476
"070306A",4.86926,22.44245468,0.609594409,1.66,-11.2737,1.89982,2.321184027,0.831,1.94468,-5.269217724,23.7096929476,503.663772063854,0.371605343484059,2.7556,127.09631169,3.6093160324,5.38789528719994,0.690561,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",1.4959,0.397227181043161
"070508A",3.02525,21.89306622,1.382017043,1.1,-9.161150909,1.37377,1.320146286,0.764,1.82568,-4.707743929,9.1521375625,479.306348513305,1.90997110714246,1.21,83.9266859774715,1.8872440129,1.74278621643959,0.583696,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0.82,0.260071387985075
"070521A",3.55243,22.27524914,0.814913181,1.1,-10.01233374,1.44502,1.57863921,0.98,2.00022,-5.096367484,12.6197589049,496.186724249071,0.664083492567539,1.21,100.246826921142,2.0880828004,2.49210175534942,0.9604,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.009596769,0.121212121,0.017957046,"070521A",2.0865,0.489466281303128
"070529A",3.09323,22.56252244,0.155336037,1.34,-10.24641694,1.21432,2.038222638,0.76,1.97999,-5.590066877,9.5680718329,509.067418855503,0.0241292843908654,1.7956,104.989060108319,1.4745730624,4.15435152205568,0.5776,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",2.4996,0.544018407858776
"070802A",3.92184,21.91375294,-0.397940009,1.79,-11.6716204,1.16348,1.214843848,0.78,1.99014,-6.552841969,15.3808289856,480.212567915359,0.15835625076292,3.2041,136.226722761696,1.3536857104,1.47584557502345,0.6084,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",2.45,0.537819095073274
"071003A",4.78411,20.86974084,0.799340549,1.36,-11.67760082,1.97901,2.170643023,0.837,1.91015,-5.080921908,22.8877084921,435.546082728764,0.638945313275621,1.8496,136.366360911265,3.9164805801,4.71169113329858,0.700569,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",1.60435,0.415699348887829
"071020A",2.311950854,20.99642367,0.924279286,1.11,-9.169411331,1.119196934,0.62324929,0.844,1.59788,-5.638272164,5.34511675131133,440.849806930136,0.85429219852867,1.2321,84.0781041570712,1.252601777075,0.388439677485504,0.712336,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",2.145,0.497620649781288
"071117A",3.901990464,22.04291793,1.053078443,1.57,-11.23542972,1.104952391,0.819543936,0.94,2.0457,-5.619788758,15.2255295811469,485.890230868716,1.1089742071113,2.4649,126.234880993059,1.22091978637662,0.671652263034372,0.8836,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",1.331,0.367542273520577
"080310A",4.32608056,21.0316040040263,0.113943352,2.32,-11.3990271,1.59590648,2.560456622,0.878,2.09352,-5.638272164,18.7149730116099,442.328366982177,0.0129830874649959,5.3824,129.937818826534,2.54691749290599,6.55593811314365,0.770884,4.3828259904,31.7901129953372,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0.037764738,0.16,0.066814536,"080310A",2.42,0.534026106056135
"080411A",4.20932562,21.57289018,1.635483747,1.75,-10.11350927,1.28909841,1.748188027,0.91,1.97674,-4.578396073,17.7184221751884,465.38959071834,2.67480708670116,3.0625,102.283069754376,1.66177471066453,3.05616137774615,0.8281,3.9075010276,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",1.03,0.307496037913213
"080516A",3.77452827,22.03528962,0.255272505,1.82,-11.12090412,0.94016916,0.763427994,1.48,2.3315,-6.585026652,14.2470636610292,485.55398863728,0.065164051808975,3.3124,123.674508446233,0.883918049415106,0.582822302022864,2.1904,5.43589225,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",3.2,0.6232492903979
"080607A",3.46298403,22.38386741,1.36361198,1.31,-10.0540393,1.7256074,1.899984563,1.06,2.03418,-4.619788758,11.992258392035,501.03752022846,1.85943763199952,1.7161,101.083706245944,2.97772089893476,3.6099413396383,1.1236,4.1378882724,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",3.036,0.605951157564873
"080810A",3.2687548,21.45079548,0.301029996,1.34,-9.931814138,1.44529526,2.03666881,1.079,2.11482,-5.337242168,10.684757942523,460.136626724788,0.09061905849176,1.7956,98.6409320717767,2.08887838857847,4.14801984162682,1.164241,4.4724636324,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.043429448,"080810A",3.35,0.638489256954637
