"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"GRB060605",1.89817648349768,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,35.01416491,0.05315,0.037375,0.085,0.10149311,5.45454545454545e-08,0.121212121,0.072727273,0.192243471667048,0.0339867861224412,0.0686631594013328,3.78,0.679427896612119
"GRB060614",2.03622954408629,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784,3.31042292,0.0429,0.0289,0.05983,0.006,2.2e-07,0.024242424,0.448484848,0.0132262962918312,0.00468356794668692,0.0169369125967137,0.125,0.0511525224473813
"GRB060707",1.8208579894397,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374,6.314200491,0.07695,0.127895,0.0364485,0.035,9.15151515151515e-08,0.363636364,0.139393939,0.0414232995600016,0.0248403283013014,0.0599386321664952,3.425,0.645913275033844
"GRB060708",1.00860017176192,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173,3.601244236,0.06115,0.062725,0.028525,0.33410152,2.24242424242424e-08,0.072727273,0.084848485,0.153333382321636,0.019714017700399,0.018994447849191,1.92,0.465382851448418
"GRB060714",2.06069784035361,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997,9.129365384,0.0352,0.046765,0.035305,0.005,1.01212121212121e-07,0.066666667,0.078787879,0.0344768087786936,0.0155321080197879,0.0267321414553261,2.711,0.569490954348783
"GRB060729",2.0618293072947,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862,33.90346061,0.0116,0.012825,0.013425,0.077392286,1.27878787878788e-07,0.084848485,0.078787879,0.127702392544209,0.0212785639737521,0.0292454197184288,0.54,0.187520720836463
"GRB060814",2.16226561429802,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.898458524,0.0353,0.034855,0.024565,0,1.44848484848485e-07,0.018181818,0.175757576,0.0146412491865461,0.00430869161989862,0.0104993872606212,1.9229,0.465813957269479
"GRB060906",1.63848925695464,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226,8.166987204,0.08845,0.072145,0.169635,0.005,8.24242424242424e-08,0.066666667,0.16969697,0.0815374132522222,0.0161974631827828,0.0374103846163063,3.686,0.670802284260944
"GRB060908",1.28555730900777,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1,21.80952201,0.481442629,1.330335293,0.045185,0.05993,0.04964,0.003474954,6.72727272727273e-08,0.181818182,0.151515152,0.0299356101984998,0.0104343479500535,0.0217168958293479,1.8836,0.459935016851525
"GRB060926",0.903089986991944,-10.84771166,3.351,1.45111,1.357,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.212679677,0.08245,0.09927,0.11561,0.009157091,1.51515151515152e-08,0.139393939,0.084848485,0.0658325115046647,0.0300466640198818,0.0338066319525806,3.2,0.6232492903979
