"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
22,771,0.4438,771,0.1541,1532,0.1101,17,2.7,"Response ~  (log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
23,3235,0.4576,3235,0.1518,984,0.093,17,2.8,"Response ~  (AlphaSqr+PhotonIndexSqr+Alpha+log10T90+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
24,886,0.4203,886,0.1872,886,0.1148,17,2.8,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
25,2545,0.7276,3479,0.15,211,0.0866,17,2.8,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
26,211,0.4288,2192,0.1661,6367,0.1085,17,2.8,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
27,817,0.3955,817,0.1697,3548,0.1088,17,2.8,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
28,211,0.4272,551,0.1681,3412,0.1033,17,2.8,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
29,882,0.5713,882,0.1458,2027,0.0898,17,2.8,"Response ~  (log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
30,1255,0.5501,1255,0.1656,886,0.1121,17,2.8,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
31,1303,0.3498,1303,0.1778,379,0.1203,17,2.8,"Response ~  (AlphaSqr+PhotonIndexSqr+Alpha+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
32,261,0.5513,261,0.1433,4938,0.0988,17,2.8,"Response ~  (Alpha+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
33,1027,0.5577,4938,0.1662,4938,0.1018,16,2.7,"Response ~  (log10T90Sqr+log10T90+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
34,886,0.5361,2261,0.1684,2261,0.1117,17,2.8,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
35,2545,0.5228,2545,0.1619,2545,0.1005,17,2.8,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
36,2192,0.5725,1431,0.1723,3479,0.1139,17,2.8,"Response ~  (log10FaSqr+log10Fa+log10Ta+PhotonIndex+log10PeakFlux)^2+log10NH+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
37,8755,0.59,497,0.1883,5410,0.1413,17,2.7,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
38,883,0.6172,2356,0.1579,145,0.1038,16,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
39,2261,0.6389,2261,0.1434,3548,0.0917,17,2.7,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
40,1104,0.6056,1104,0.1282,2261,0.0901,17,2.8,"Response ~  (AlphaSqr+log10FaSqr+Alpha+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
41,1027,0.4205,5401,0.1656,1012,0.1014,17,2.7,"Response ~  (log10T90Sqr+log10T90+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
42,3832,0.5139,3832,0.1744,2040,0.1223,17,167.4,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
43,2545,0.4719,2545,0.1696,379,0.1046,17,2.6,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
44,303,0.5396,303,0.1556,303,0.0971,17,2.7,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
45,2378,0.379,2378,0.1741,1532,0.1214,17,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
46,3832,0.4423,3832,0.1747,3832,0.1078,17,2.8,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
47,886,0.5751,2795,0.1642,2261,0.1045,17,2.7,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
48,3432,0.5867,3432,0.1494,2378,0.1011,17,2.7,"Response ~  (AlphaSqr+log10T90Sqr+PhotonIndexSqr+log10NHSqr+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10TaSqr+log10FaSqr"
49,464,0.5555,464,0.1609,5115,0.1062,17,2.8,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
50,379,0.704,2192,0.1442,2192,0.1038,17,2.8,"Response ~  (AlphaSqr+PhotonIndexSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
51,1339,0.3839,1339,0.162,2877,0.1109,17,2.8,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
52,371,0.4505,371,0.1762,2529,0.0994,17,2.8,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
53,1097,0.4606,1097,0.176,2879,0.1134,17,2.8,"Response ~  (log10FaSqr+PhotonIndexSqr+Alpha+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
54,817,0.5972,817,0.1615,3479,0.1017,16,2.8,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
55,817,0.7064,817,0.1403,2529,0.0818,16,2.8,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
56,4136,0.5566,281,0.1653,6274,0.1091,17,2.8,"Response ~  (AlphaSqr+log10T90Sqr+Alpha+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
57,268,0.5472,268,0.1412,1531,0.0971,15,2.8,"Response ~  (AlphaSqr+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
58,2549,0.5773,2257,0.1735,3235,0.1055,17,2.8,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
59,2369,0.5287,2369,0.1707,3376,0.0891,17,2.8,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
60,4444,0.5717,299,0.1487,1050,0.1022,17,2.8,"Response ~  (log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+log10T90+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
61,3307,0.5273,3307,0.1568,3307,0.1153,17,2.8,"Response ~  (AlphaSqr+log10T90Sqr+PhotonIndexSqr+Alpha+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr"
62,497,0.634,497,0.1534,886,0.106,17,2.8,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
63,1431,0.6233,1431,0.1665,7498,0.1168,14,2.8,"Response ~  (AlphaSqr+log10T90Sqr+PhotonIndexSqr+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr"
64,1339,0.7185,1339,0.135,3551,0.0839,17,2.8,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
65,772,0.6718,772,0.1438,5793,0.0953,17,2.8,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
66,2529,0.553,41,0.1432,2529,0.0811,17,2.8,"Response ~  (log10FaSqr+log10TaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
67,2545,0.5385,497,0.1632,2545,0.1198,17,2.8,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
68,6063,0.4582,1589,0.1788,4954,0.1077,17,2.8,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+AlphaSqr"
69,2384,0.5851,2384,0.1765,2192,0.0876,16,2.8,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
70,817,0.4935,817,0.1676,5109,0.1035,17,2.8,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
71,379,0.5776,379,0.161,1082,0.1283,17,2.8,"Response ~  (AlphaSqr+PhotonIndexSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
