"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
21,3099,0.61,3099,0.9658,6226,-0.0123,16,8,3.2,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
22,4126,0.4165,4126,1.0042,11108,0.0012,13,7,4,"Response ~  (AlphaSqr+log10PeakFluxSqr+Alpha+Beta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10NHSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr"
23,1975,0.5275,1975,1.1658,1975,-0.2682,16,8,4.5,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
24,9714,0.3319,9254,1.4487,6259,-0.1355,17,9,4.5,"Response ~  (BetaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+log10FaSqr+AlphaSqr"
25,1917,0.5235,4314,0.9969,2368,-0.2252,15,8,4.6,"Response ~  (log10FaSqr+BetaSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
26,4100,0.5222,4100,1.1902,7633,-0.1617,17,9,4.8,"Response ~  (AlphaSqr+log10NHSqr+log10Fa+Beta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr"
27,7833,0.5142,5612,1.1723,9771,-0.3671,17,9,5.8,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+Beta+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+Alpha+log10PeakFluxSqr+BetaSqr+log10FaSqr"
28,6849,0.7642,6849,0.9649,6849,0.0088,17,9,6.2,"Response ~  (BetaSqr+log10TaSqr+Alpha+Beta+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
29,1687,0.5972,1687,1.269,7256,-0.0069,17,9,6.1,"Response ~  (log10FaSqr+BetaSqr+log10TaSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
30,6018,0.531,6018,1.2822,6081,-0.3193,17,9,6.1,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+Beta+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
31,3700,0.6728,3700,1.3343,6194,-0.0916,17,9,6.1,"Response ~  (AlphaSqr+BetaSqr+log10Fa+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
32,1679,0.3795,1679,1.3482,5163,-0.4155,16,8,6.1,"Response ~  (AlphaSqr+BetaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+Alpha+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
33,7420,0.614,7420,1.0556,3516,0.0042,14,7,6.1,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
34,4135,0.4471,7813,0.9612,4135,0.0494,13,7,6.1,"Response ~  (AlphaSqr+BetaSqr+Alpha+Beta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
35,6152,0.5456,6152,1.2351,13884,-0.284,17,9,6.1,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
36,3156,0.4459,1142,1.0694,6557,-0.1153,17,9,5.5,"Response ~  (log10TaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10Fa+log10PeakFluxSqr+BetaSqr+log10FaSqr+AlphaSqr"
37,5744,0.7581,5744,0.9453,9354,0,17,9,4.9,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+log10NHSqr+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr"
38,4506,0.3102,4506,1.1742,12463,-0.0543,17,9,3.4,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+PhotonIndexSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr"
39,7030,0.5858,7030,1.0448,7030,-0.1523,17,9,3.3,"Response ~  (AlphaSqr+PhotonIndexSqr+Alpha+log10Fa+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10NHSqr+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr"
