"","log10NH","log10PeakFlux","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","log10Ta_opt","Beta","log10Fa_opt","Alpha_opt","Beta_opt","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","log10Ta_optSqr","BetaSqr","log10Fa_optSqr","Alpha_optSqr","Beta_optSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","log10Ta_opt","PhotonIndex_opt","log10Fa_opt","Alpha_opt","log10T90_opt","log10Ta_opt_opt","Beta_opt","log10Fa_opt_opt","Alpha_opt_opt","Beta_opt_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050416A",21.75162856,0.688419822,2.99481,3.08,-10.5559552,0.842217,0.397940009,3.266303,0.9,-12.32,0.6555,0.57,2.06183,-6.435333936,473.133345012208,0.473921851322512,8.9688869361,9.4864,111.428190184407,0.709329475089,0.15835625076292,10.668735287809,0.81,151.7824,0.42968025,0.3249,4.2511429489,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0,0,0,0,0.043784457,0.22,0.04271749,"050416A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6528,0.218220304175545
"050502A",21.0181637594417,0.330571846807332,3.51664581121582,1.5837013438142,-10.6723178688682,1.44058672494939,1.301029996,3.72,0.83772921986216,-12.6,1.43,0.76,1.96705146522392,-5.95905698874291,441.763207818708,0.10927774590161,12.3667977615418,2.5081099463989,113.898368694163,2.07529011210041,1.69267905049176,13.8384,0.701790245810863,158.76,2.0449,0.5776,3.86929146683957,35.5103601950857,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.04,0.03,0.02,0.16,0.0347486663233463,0.18713159391256,0.0657749268162652,"050502A",1,5.25454093986042,0.082642961701833,0.879161452803955,0.39592533595355,-2.66807946721705,0.360146681237347,0.325257499,0.93,0.20943230496554,-3.15,0.3575,0.19,0.49176286630598,-1.48976424718573,3.79,0.680335513414563
"050502B",21.0347201497492,0.300152911468348,3.48226128152163,1.49398169361224,-10.6167589054291,1.4075108304542,1.243038049,3.576116,0.869359678418334,-12.4453,1.358692,0.9,1.97812318786123,-5.90726604152399,442.459451778265,0.090091770262926,12.1261436327847,2.2319813008485,112.715569656008,1.98108673784587,1.54514359126173,12.788605645456,0.755786250459629,154.88549209,1.846043950864,0.81,3.91297134635427,34.8957920853425,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.122846,0.139983,0.198462,0.06,0.0295798799821603,0.14,0.0671099909495084,"050502B",1,5.2586800374373,0.075038227867087,0.870565320380407,0.37349542340306,-2.65418972635727,0.35187770761355,0.31075951225,0.894029,0.217339919604583,-3.111325,0.339673,0.225,0.494530796965307,-1.476816510381,3.793,0.680607428991788
"050505A",22.23063027,0.267171728,4.270583544,1.41,-11.04817696,1.462094791,1.770115295,0,0.973,0,0,0,2.01835,-5.603800653,494.20092220144,0.071380732242506,18.2378838062836,1.9881,122.062214139475,2.13772117786933,3.13330815759294,0,0.946729,0,0,0,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0,0,0,0,0.031220366,0.12,0.07277367,"050505A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0.721810615212547
"050525A",21.2788016,1.620136055,3.56232073439233,1,-10.3514773343196,1.37695483792374,0.944482672,3.22416,0.856553278006956,-11.6972,1.03423,0.52,2.08914,-4.815308569,452.787397532163,2.62484083671096,12.6901290146815,1,107.153083002932,1.89600462568159,0.89204751770826,10.3952077056,0.733683518064462,136.82448784,1.0696316929,0.2704,4.3645059396,23.1871966146848,0.0563106258915239,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0658,0.10234,0.034343,0.08,0.006273143,0.1,0.009789852,"050525A",1,5.3197004,0.40503401375,0.890580183598083,0.25,-2.5878693335799,0.344238709480935,0.236120668,0.80604,0.214138319501739,-2.9243,0.2585575,0.13,0.522285,-1.20382714225,0.61,0.20682587603185
"050603A",21.63005546,1.33243846,3.84020803675133,1.16,-10.3773120705851,1.55432927613548,1.322219295,4.45,0.929371411175941,-11.88,1.85,0.95,1.90951127022931,-5.196542884,467.859299202676,1.77539224968717,14.7471977655295,1.3456,107.688605810311,2.41593949865185,1.7482638640703,19.8025,0.86373121991116,141.1344,3.4225,0.9025,3.64623329113275,27.004057945251,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.13,0.08,0.09,0.08,-0.0006217656979968,0.06,0.0038290748542292,"050603A",1,5.407513865,0.333109615,0.960052009187833,0.29,-2.59432801764628,0.38858231903387,0.33055482375,1.1125,0.232342852793985,-2.97,0.4625,0.2375,0.477377817557327,-1.299135721,2.82,0.582063362911709
"050730A",21.73850309,-0.259637311,4.05018,1.53,-10.09854168,2.38763,2.194514342,5.23,0.5615,-12.92,2.29,0.61,1.6177,-5.623423043,472.562516593939,0.0674115332633107,16.4039580324,2.3409,101.980544062697,5.7007770169,4.81589319724369,27.3529,0.31528225,166.9264,5.2441,0.3721,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.01,0,0,0,0.027736454,0.11,0.110547686,"050730A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.967,0.696094159995223
"050801A",20.80209017,0.164352856,3.33500987628873,1.99,-10.0668779283512,1.54872275638726,1.28780173,2.64,0.879677553574912,-10.98,1.19,0.69,2.07525210781143,-6.508638306,432.726955440811,0.0270118612753567,11.1222908749434,3.9601,101.342031224325,2.39854217615175,1.65843329579099,6.9696,0.773832598263542,120.5604,1.4161,0.4761,4.30667131097578,42.3623725983306,0.0692396240032236,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.02,0.02,0.01,0.34,0.0581234535102333,0.25,0.0712796339614364,"050801A",1,5.2005225425,0.041088214,0.833752469072182,0.4975,-2.5167194820878,0.387180689096815,0.3219504325,0.66,0.219919388393728,-2.745,0.2975,0.1725,0.518813026952857,-1.6271595765,1.56,0.40823996531185
"050802A",21.25883595,0.439332694,3.63973,1.54,-10.28650946,1.44729,1.477121255,5.250332,0.8585,-12.92,2.121816,1,1.8557,-5.698970004,451.938105949012,0.193013216017298,13.2476344729,2.3716,105.812276870669,2.0946483441,2.18188720197277,27.565986110224,0.73702225,166.9264,4.502103137856,1,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0,0,0,0,0.034092117,0.13,0.069487117,"050802A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7102,0.433001340945038
"050803A",21.34755638,-0.017728767,4.21721,1.38,-10.86012091,1.52234,1.943988875,0,1.218,0,0,0,2.11696,-5.66756154,455.718163397279,0.000314309179340289,17.7848601841,1.9044,117.942226179819,2.3175190756,3.77909274612377,0,1.483524,0,0,0,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0,0,0,0,0.027269654,0.11,0.049762909,"050803A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.653212513775344
