"","log10NH","log10PeakFlux","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","log10Ta_opt","Beta","log10Fa_opt","Alpha_opt","Beta_opt","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","log10Ta_optSqr","BetaSqr","log10Fa_optSqr","Alpha_optSqr","Beta_optSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","log10Ta_opt","PhotonIndex_opt","log10Fa_opt","Alpha_opt","log10T90_opt","log10Ta_opt_opt","Beta_opt","log10Fa_opt_opt","Alpha_opt_opt","Beta_opt_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"060502A",21.45692297,0.227886705,3.3865,1.46,-10.55284197,0.897152,1.45331834,0,0.87,0,0,0,2.02719,-5.63638802,460.399543340514,0.051932350315757,11.46838225,2.1316,111.362473643793,0.804881711104,2.11213419738036,0,0.7569,0,0,0,4.1094992961,31.7688699119995,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0,0,0,0,0.019176639,0.08,0.053965586,"060502A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5026,0.398391440229475
"060510B",22.00215742,-0.244125144,4.43617,1.78,-12.2656,1.00735,2.43964843,0,1.38,0,0,0,2.1317,-5.390405591,484.094931134461,0.0595970859330207,19.6796042689,3.1684,150.44494336,1.0147540225,5.95188446200147,0,1.9044,0,0,0,4.54414489,29.0564724354841,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0,0,0,0,0.018780302,0.08,0.083811216,"060510B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0.770852011642144
"060512A",21.63005546,-0.055517328,3.7192971954124,2.48,-10.652246944233,1.10213667586381,0.92890769,3.64,0.89142293477346,-12.44,0.74,0.68,2.70163,-6.634512015,467.859299202676,0.00308217370825958,13.8331716278025,6.1504,113.470364960921,1.21470525228413,0.862869496541136,13.2496,0.794634848640128,154.7536,0.5476,0.4624,7.2988046569,44.0167496771794,0.0692396240032236,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.03,0.05,0.02,0.05,0.074878359,0.3,0.098703291,"060512A",1,5.407513865,-0.013879332,0.9298242988531,0.62,-2.66306173605825,0.275534168965953,0.2322269225,0.91,0.222855733693365,-3.11,0.185,0.17,0.6754075,-1.65862800375,0.44,0.15836249209525
"060526A",21.43355223,0.222716471,3.8752,2.01,-11.3053948,1.05873,2.47444938,0,0.93,0,0,0,1.90677,-5.899629455,459.397161196138,0.0496026264546938,15.01717504,4.0401,127.811951583867,1.1209092129,6.12289973418238,0,0.8649,0,0,0,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0,0,0,0,0.056871896,0.24,0.046810184,"060526A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.221,0.625415352154408
"060604A",21.99003057,-0.468521083,4.45991,2.01,-11.76955108,1.21596,1.977723605,0,1.02,0,0,0,2.1711,-6.395773947,483.561444469534,0.219512005215493,19.8907972081,4.0401,138.522332624729,1.4785587216,3.9113906577742,0,1.0404,0,0,0,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0,0,0,0,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
"060605A",21.77333803,-0.337242168,4.04162,1.55,-11.26121944,1.9179,2.059904056,0,0.835,0,0,0,2.02128,-6.156767222,474.078248968644,0.11373227987734,16.3346922244,2.4025,126.815063275834,3.67834041,4.24320471992525,0,0.697225,0,0,0,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0,0,0,0,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0.679427896612119
"060607A",21.79614607,0.146128036,3.61434866557124,1.47,-10.3710521493982,1.41139438058861,2.009450896,3.53,0.887600763046437,-11.78,1.25,0.72,1.61002,-5.59345982,475.071983504776,0.0213534029052173,13.0635162763166,2.1609,107.558722685537,1.99203409755711,4.0378929034352,12.4609,0.787835114560617,138.7684,1.5625,0.5184,2.5921644004,31.2867927579544,0.378773543191014,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.03,0.04,0.05,0.27,0.019074895,0.08,0.040327345,"060607A",1,5.4490365175,0.036532009,0.90358716639281,0.3675,-2.59276303734955,0.352848595147152,0.502362724,0.8825,0.221900190761609,-2.945,0.3125,0.18,0.402505,-1.398364955,3.07,0.60959440922522
"060707A",21.20847898,0.004321374,3.5545,0.6,-10.9132,0.861995,1.820857989,0,1.12,0,0,0,2.09345,-5.795880017,449.799580645102,1.8674273247876e-05,12.63447025,0.36,119.09793424,0.743035380025,3.31552381610512,0,1.2544,0,0,0,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0,0,0,0,0.040986542,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",20.79066861,0.28780173,3.50569,1.68,-10.86966623,1.12969,1.008600172,4.489641,1.485,-12.44,1.426558,1,2.20484,-6.306273051,432.251901250839,0.0828298357909929,12.2898623761,2.8224,118.149643951602,1.2761994961,1.01727430695843,20.156876308881,2.205225,154.7536,2.035067727364,1,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.01,0,0,0,0.032528129,0.12,0.031340839,"060708A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",22.0125926,0.10720997,3.73449,1.93,-10.86012091,1.20488,2.060660074,0,0.87,0,0,0,2.04425,-5.548213564,484.554232973575,0.0114939776674009,13.9464155601,3.7249,117.942226179819,1.4517358144,4.24631994057768,0,0.7569,0,0,0,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0,0,0,0,0.025627978,0.11,0.044108033,"060714A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",20.86562801,0.068185862,5.1057,1.75,-11.15058059,1.35481,2.062017599,0,1.317,0,0,0,1.92492,-5.583359493,435.374432251696,0.00464931177668304,26.06817249,3.0625,124.335447494085,1.8355101361,4.25191657858572,0,1.734489,0,0,0,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0,0,0,0,0.035109631,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",22.00679538,0.861534411,4.22387,1.53,-10.91009489,1.29504,2.162265614,0,0.97,0,0,0,2.11591,-4.835647144,484.299042897189,0.742241541337117,17.8410777769,2.3409,119.030170508804,1.6771286016,4.6753925854868,0,0.9409,0,0,0,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0,0,0,0,0.007109341,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060904B",21.59122827,0.387389826,3.72246216502311,1.64,-10.528740953358,1.24602260324099,2.234264124,3.923904,0.961613733782178,-12.1854,1.19811,1.11,2.18877,-5.790484985,466.181138207247,0.15007087728831,13.8567245700285,2.6896,110.854386062918,1.55257232778745,4.99193617579349,15.397022601216,0.924700972998501,148.48397316,1.4354675721,1.2321,4.7907141129,33.5297163615105,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.018294,0.024033,0.027284,0.1,0.038335871,0.14,0.037377804,"060904B",1,5.3978070675,0.0968474565,0.930615541255778,0.41,-2.6321852383395,0.311505650810248,0.558566031,0.980976,0.240403433445544,-3.04635,0.2995275,0.2775,0.5471925,-1.44762124625,0.7,0.230448921378274
"060906A",22.41960057,0.294466226,4.33479,2.03,-11.8827287,1.71887,1.638489257,0,1.06,0,0,0,2.07859,-5.655607726,502.638489718344,0.0867103582546831,18.7904043441,4.1209,141.199241357804,2.9545140769,2.68464704530441,0,1.1236,0,0,0,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0,0,0,0,0.026725814,0.11,0.061727135,"060906A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",21.80952201,0.481442629,2.81918,1,-9.627087997,1.38309,1.285557309,0,1.185,0,0,0,2.13395,-5.552841969,475.655250304674,0.231787005018432,7.9477758724,1,92.6808233019815,1.9129379481,1.65265759472332,0,1.404225,0,0,0,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0,0,0,0,0.017216674,0.181818182,0.035832878,"060908A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060912A",21.36738202,0.933487288,2.455171016,1.74,-10.1079054,1.045731532,0.698970004,0,0.63,0,0,0,1.8948,-5.869666232,456.565014388619,0.871398516857595,6.02786471780647,3.0276,102.169751575349,1.09355443701907,0.48855906649176,0,0.3969,0,0,0,3.59026704,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0,0,0,0,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"060926A",22.50004427,0.037426498,3.351,2.54,-10.84771166,1.45111,0.903089987,0,1.357,0,0,0,2.00443,-6.659555885,506.25199215196,0.001400742752544,11.229201,6.4516,117.6728482585,2.1057202321,0.81557152461966,0,1.841449,0,0,0,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0,0,0,0,0.049576996,0.23,0.055780943,"060926A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",22.10710478,0.431363764,3.15198,0.9,-10.77728353,1.39098,1.352953912,0,0.83,0,0,0,1.94856,-5.946921557,488.724081753899,0.186074696892248,9.9349779204,0.81,116.149840286009,1.9348253604,1.8304842879961,0,0.6889,0,0,0,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0,0,0.027284,0,0.026134535,0.242424242,0.027344467,"060927A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0.8109042806687
"061007A",21.74186197,1.164352856,3.2635190939762,1.03,-9.18819140742016,1.94555352128263,1.876852648,2.17,1.00876341721693,-8.76,1.75,1.07,1.99824,-4.35261703,472.708561922532,1.35571757327536,10.6505568767472,1.0609,84.4228613393897,3.78517850417524,3.52257586230461,4.7089,1.01760363191518,76.7376,3.0625,1.1449,3.9929630976,18.945275009846,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.07,0.03,0.01,0.19,0.005497151,0.03,0.011006093,"061007A",1,5.4354654925,0.291088214,0.81587977349405,0.2575,-2.29704785185504,0.486388380320658,0.469213162,0.5425,0.252190854304232,-2.19,0.4375,0.2675,0.49956,-1.0881542575,1.26,0.354108439147401
"061021A",20.87141063,0.78604121,3.23849,1.3,-10.04095861,1.01707,1.664641976,3.190433,0.785,-13.2172,0.633623,1.09,1.99282,-5.528708289,435.615781686077,0.617860783818264,10.4878174801,1.69,100.820849807733,1.0344313849,2.77103290826118,10.178862727489,0.616225,174.69437584,0.401478106129,1.1881,3.9713315524,30.5666153448573,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,0,0,0,0,0.014818832,0.06,0.019191409,"061021A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3463,0.129141845792285
"061121A",21.75351565,1.324282455,3.78753,1.41,-10.03011836,1.35185,1.90982337,0,0.9485,0,0,0,1.90181,-4.863279433,473.215443134795,1.75372402062083,14.3453835009,1.9881,100.603274315609,1.8274984225,3.64742530459816,0,0.89965225,0,0,0,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0,0,0,0,0.006308365,0.03,0.009468031,"061121A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.314,0.364363354615731
"061126A",21.38058204,0.989449818,3.6453219417273,1.32,-10.5896872768966,1.19154886858262,2.281033367,3.5801,0.904331530036894,-12.3053,0.922285,0.82,1.9269241917552,-5.169411331,457.129288369171,0.979010942340233,13.2883720588385,1.7424,112.141476622466,1.41978870622052,5.20311322136736,12.81711601,0.81781551621887,151.42040809,0.850609621225,0.6724,3.71303684077143,26.7228135090712,0.0692396240032236,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.08165,0.101225,0.025959,0.09,0.0190994093843814,0.06,0.0246693811930976,"061126A",1,5.34514551,0.2473624545,0.911330485431825,0.33,-2.64742181922415,0.297887217145655,0.57025834175,0.895025,0.226082882509224,-3.076325,0.23057125,0.205,0.4817310479388,-1.29235283275,1.1588,0.334212409393176
"061222A",22.56660835,0.930949031,3.92091,1.35,-9.954677021,1.35061,1.853698212,0,0.86,0,0,0,1.92748,-5.097453221,509.25181242229,0.866666098319839,15.3735352281,1.8225,99.0955945924254,1.8241473721,3.436197061172,0,0.7396,0,0,0,3.7151791504,25.9840293402833,0.0973208922530927,0.02311,0.024435,0.018075,0.005,0,0,0,0,0.008588051,0.04,0.013237581,"061222A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.088,0.489677291663699
"070110A",21.3989672,-0.22184875,4.26825,1.58,-11.04866248,1.42725,1.946550511,0,1.186,0,0,0,2.08596,-5.790484985,457.915797226676,0.0492168678765625,18.2179580625,2.4964,122.07294259696,2.0370425625,3.78905889187436,0,1.406596,0,0,0,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0,0,0,0,0.028952965,0.12,0.086858896,"070110A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352,0.525304009958239
"070125A",21.1168251059769,0.461366700396796,4.1376737169557,1.66719216524827,-10.7144329683997,1.42067734582212,1.77815125,5.250332,0.869833402905479,-12.7448,1.779596,0.59,1.95142632719767,-5.49527903539734,445.920302556416,0.212859232235027,17.120343787986,2.77952971586521,114.79907383433,2.01832412093218,3.16182186787656,27.565986110224,0.756610148810125,162.42992704,3.166961923216,0.3481,3.80806471048019,30.1980916768775,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.027168,0.017308,0.052941,0.1,0.0330719907495403,0.177142407809118,0.0593602352348791,"070125A",1,5.27920627649423,0.115341675099199,1.03441842923892,0.416798041312067,-2.67860824209993,0.35516933645553,0.4445378125,1.312583,0.21745835072637,-3.1862,0.444899,0.1475,0.487856581799417,-1.37381975884934,1.55,0.406540180433955
"070208A",21.8647258,-0.045757491,3.44468,1.94,-10.86327943,1.2125,1.806179974,0,1.14,0,0,0,2.20341,-6.351639989,478.066234309186,0.00209374798261508,11.8658203024,3.7636,118.010839974261,1.47015625,3.26228609847864,0,1.2996,0,0,0,4.8550156281,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0,0.020312,0,0,0.098570208,0.36,0.106160873,"070208A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.165,0.335457900689384
"070223A",21.70173804,-0.161150909,4.22335,1.85,-11.86327943,0.991734,1.9408513687054,0,1.03,0,0,0,2.25837,-5.769551079,470.965433956783,0.0259696154715263,17.8366852225,3.4225,140.737398834261,0.983536326756,3.76690403540562,0,1.0609,0,0,0,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0,0,0,0,0.018572476,0.072727273,0.130844061722848,"070223A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6295,0.419873175149476
"070306A",22.44245468,0.609594409,4.86926,1.66,-11.2737,1.89982,2.321184027,0,0.831,0,0,0,1.94468,-5.269217724,503.663772063854,0.371605343484059,23.7096929476,2.7556,127.09631169,3.6093160324,5.38789528719994,0,0.690561,0,0,0,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0,0,0,0,0.02308703,0.1,0.022408315,"070306A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4959,0.397227181043161
"070411A",22.32139542,-0.040958608,3.34899837185609,1.72,-10.6220812730793,1.40009705614063,2.089021501,3.319089,0.887189358072951,-12.4597,1.33119,1.09,2.2428,-5.568636236,498.244693495997,0.00167760756929766,11.2157900946947,2.9584,112.828610571902,1.96027176661366,4.36401083164029,11.016351789921,0.787104957077895,155.24412409,1.7720668161,1.1881,5.03015184,31.0097095288922,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.115184,0.105245,0.219221,0.11,0.02493172,0.1,0.062042069,"070411A",1,5.580348855,-0.010239652,0.837249592964022,0.43,-2.65552031826982,0.350024264035158,0.52225537525,0.82977225,0.221797339518238,-3.114925,0.3327975,0.2725,0.5607,-1.392159059,2.95,0.59659709562646
"070508A",21.89306622,1.382017043,3.02525,1.1,-9.161150909,1.37377,1.320146286,0,0.764,0,0,0,1.82568,-4.707743929,479.306348513305,1.90997110714246,9.1521375625,1.21,83.9266859774715,1.8872440129,1.74278621643959,0,0.583696,0,0,0,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0,0,0,0,0.006049102,0.060606061,0.010992516,"070508A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.260071387985075
"070521A",22.27524914,0.814913181,3.55243,1.1,-10.01233374,1.44502,1.57863921,0,0.98,0,0,0,2.00022,-5.096367484,496.186724249071,0.664083492567539,12.6197589049,1.21,100.246826921142,2.0880828004,2.49210175534942,0,0.9604,0,0,0,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0,0,0,0,0.009596769,0.121212121,0.017957046,"070521A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0865,0.489466281303128
"070529A",22.56252244,0.155336037,3.09323,1.34,-10.24641694,1.21432,2.038222638,0,0.76,0,0,0,1.97999,-5.590066877,509.067418855503,0.0241292843908654,9.5680718329,1.7956,104.989060108319,1.4745730624,4.15435152205568,0,0.5776,0,0,0,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0,0,0,0,0.041401614,0.16,0.109332877,"070529A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4996,0.544018407858776
"070612A",21.2559971173378,0.178976947,3.86050351688266,1.69,-10.5188423780971,1.84856953988428,2.566790912,5.2145,0.898420909051471,-12.376,2.69428,1.1,1.97567939099548,-4.974694135,451.817413452273,0.0320327475574408,14.9034874038634,2.8561,110.646044975251,3.41720934378798,6.58841558592579,27.19101025,0.807160129820871,153.165376,7.2591447184,1.21,3.90330905600427,24.7475817368034,0.0563106258915239,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.35375,0.14528,0.53173,0.3333,0.024623678,0.1,0.109292651,"070612A",1,5.31399927933445,0.04474423675,0.965125879220665,0.4225,-2.62971059452427,0.46214238497107,0.641697728,1.303625,0.224605227262868,-3.094,0.67357,0.275,0.49391984774887,-1.24367353375,0.671,0.222976449893391
"070721B",21.89473409,0.176091259,3.94739,1.34,-10.50863831,2.5054,2.531478917,0,0.52,0,0,0,1.52512,-5.443697499,479.379380871808,0.0310081314962051,15.5818878121,1.7956,110.4314791304,6.27702916,6.40838550721549,0,0.2704,0,0,0,2.3259910144,29.6338424606189,0.0272330828957319,0.3648,0.10084,0.09144,0,0,0,0,0,0.024127471,0.11,0.086858896,"070721B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.626,0.6652056284346
"070802A",21.91375294,-0.397940009,3.92184,1.79,-11.6716204,1.16348,1.214843848,0,0.78,0,0,0,1.99014,-6.552841969,480.212567915359,0.15835625076292,15.3808289856,3.2041,136.226722761696,1.3536857104,1.47584557502345,0,0.6084,0,0,0,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0,0,0,0,0.077552586,0.27,0.108573621,"070802A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0.537819095073274
"070810A",21.93100401,0.278753601,3.36583,2.04,-10.77728353,1.36994,1.041392685,5.07,1.02,-13.66,2.29,0.74,2.17076,-6.161150909,480.968936886636,0.0777035700704672,11.3288115889,4.1616,116.149840286009,1.8767356036,1.08449872437151,25.7049,1.0404,186.5956,5.2441,0.5476,4.7121989776,37.9597805234715,0.197037086589132,0.06175,0.07187,0.077915,0.01,0,0.04,0.053512,0,0.037764738,0.14,0.045715209,"070810A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0.501059262217751
"071003A",20.86974084,0.799340549,4.78411,1.36,-11.67760082,1.97901,2.170643023,5.23,0.837,-12.5021,1.961572,0.66,1.91015,-5.080921908,435.546082728764,0.638945313275621,22.8877084921,1.8496,136.366360911265,3.9164805801,4.71169113329858,27.3529,0.700569,156.30250441,3.847764711184,0.4356,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0,0,0,0,0.015697391,0.07,0.027574253,"071003A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60435,0.415699348887829
"071010A",22.13954852,-0.096910013,3.88681649665738,2.33,-10.8474741319093,1.66628733357104,0.77815125,5.172418,0.797189516298542,-13.1705,2.253787,0.61,2.33496,-6.698970004,490.159608669434,0.00939155061966017,15.107342478688,5.4289,117.667695042441,2.77651347801929,0.605519367876562,26.753907966724,0.635511124896303,173.46207025,5.079555841369,0.3721,5.4520382016,44.8761991144918,0.204728382319217,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.060832,0.033281,0.122333,0.12,0.086858896,0.37,0.162860431,"071010A",1,5.53488713,-0.02422750325,0.971704124164345,0.5825,-2.71186853297732,0.41657183339276,0.1945378125,1.2931045,0.199297379074635,-3.292625,0.56344675,0.1525,0.58374,-1.674742501,0.99,0.298853076409707
"071010B",21.30047157,0.886490725,3.6202806776732,1.53,-10.4212688075068,1.14122351433538,1.552668216,3.16101,0.909058639830606,-11.8207,0.633623,0.68,2.04061,-5.356547324,453.710089104378,0.785865805511026,13.1064321851339,2.3409,108.602843558314,1.302391109672,2.41077858897662,9.9919842201,0.826387610650671,139.72894849,0.401478106129,0.4624,4.1640891721,28.6925992342516,0.0563106258915239,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0527,0.19345,0.053512,0.14,0.009870329,0.22,0.016920564,"071010B",1,5.3251178925,0.22162268125,0.9050701694183,0.3825,-2.6053172018767,0.285305878583845,0.388167054,0.7902525,0.227264659957651,-2.955175,0.15840575,0.17,0.5101525,-1.339136831,0.947,0.289365951520032
"071020A",20.99642367,0.924279286,2.311950854,1.11,-9.169411331,1.119196934,0.62324929,0,0.844,0,0,0,1.59788,-5.638272164,440.849806930136,0.85429219852867,5.34511675131133,1.2321,84.0781041570712,1.252601777075,0.388439677485504,0,0.712336,0,0,0,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0,0,0,0,0.018882369,0.05,0.015510517,"071020A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.145,0.497620649781288
"071025A",21.07108335,0.204119983,3.34355020820151,1.79,-10.6637530205739,1.45566284235609,2.376832349,3.37,0.847288095266334,-12.58,1.41,0.93,1.97502660214106,-5.187086643,443.990553542647,0.0416649674599203,11.1793279947644,3.2041,113.715628483799,2.11895431061621,5.64933201525286,11.3569,0.717897116380052,158.2564,1.9881,0.8649,3.90073007916486,26.905867841989,0.378773543191014,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.03,0.02,0.01,0.05,0.021297834433594,0.05,0.0778422962236166,"071025A",1,5.2677708375,0.05102999575,0.835887552050377,0.4475,-2.66593825514347,0.363915710589023,0.59420808725,0.8425,0.211822023816583,-3.145,0.3525,0.2325,0.493756650535265,-1.29677166075,5,0.778151250383644
"071112C",20.5643192,0.903089987,3.2788060984298,1.09,-10.3676965494686,1.42661571620875,1.176091259,2.56,0.805746943860528,-11.73,0.92,0.44,1.67267,-5.522878745,422.891224159489,0.81557152461966,10.7505694311004,1.1881,107.489131741863,2.0352324017338,1.38319064949621,6.5536,0.649228137540581,137.5929,0.8464,0.1936,2.7978249289,30.5021896319728,0.0563106258915239,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.01,0.02,0,0.11,0.057905931,0.07,0.05428681,"071112C",1,5.1410798,0.22577249675,0.81970152460745,0.2725,-2.59192413736715,0.356653929052188,0.29402281475,0.64,0.201436735965132,-2.9325,0.23,0.11,0.4181675,-1.38071968625,0.82,0.260071387985075
"071117A",22.04291793,1.053078443,3.901990464,1.57,-11.23542972,1.104952391,0.819543936,0,0.94,0,0,0,2.0457,-5.619788758,485.890230868716,1.1089742071113,15.2255295811469,2.4649,126.234880993059,1.22091978637662,0.671652263034372,0,0.8836,0,0,0,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0,0,0,0,0.018095603,0.06,0.015373256,"071117A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.331,0.367542273520577
"080310A",21.91952315,0.113943352,4.32608056,2.32,-11.3990271,1.59590648,2.560456622,0,0.878,0,0,0,2.09352,-5.638272164,480.465495123386,0.0129830874649959,18.7149730116099,5.3824,129.937818826534,2.54691749290599,6.55593811314365,0,0.770884,0,0,0,4.3828259904,31.7901129953372,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0,0,0,0,0.037764738,0.16,0.066814536,"080310A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.534026106056135
"080319B",20.8771334,1.394451681,5.36799912,1.04,-12.15181088,1.42250979,1.68090255756894,0,0.73,0,0,0,1.81426,-4.091514981,435.854699001396,1.94449549064373,28.8154145523208,1.0816,147.666507663286,2.02353410264584,2.8254334080418,0,0.5329,0,0,0,3.2915393476,16.7404948397474,0.00162180613819455,0.097779455,0.087626454,0.075139905,0,0,0,0,0,0.00536166,0.02,0.008755937,"080319B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"080319C",21.75037415,0.716003344,3.13508168214864,1.37,-10.5294137216002,1.79484864619511,1.531478917,3.23,0.809869354772691,-12.32,2,0.98,1.61029,-5.443697499,473.078775664988,0.512660788619182,9.82873715374395,1.8769,110.868553320623,3.22148166274842,2.34542767321549,10.4329,0.655888371799935,151.7824,4,0.9604,2.5930338841,29.6338424606189,0.0563106258915239,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.25,0.13,0.56,0.42,0.012063736,0.07,0.025055451,"080319C",1,5.4375935375,0.179000836,0.78377042053716,0.3425,-2.63235343040005,0.448712161548778,0.38286972925,0.8075,0.202467338693173,-3.08,0.5,0.245,0.4025725,-1.36092437475,1.95,0.469822015978163
"080330A",21.69090721,-0.045757491,3.6385783234938,2.53,-10.4548116240283,1.38892899973857,1.783188691,3.52,0.831709176627083,-11.98,1.13,0.42,2.25433,-6.468521083,470.49545559283,0.00209374798261508,13.239252216199,6.4009,109.303086093917,1.92912376631478,3.17976190771029,12.3904,0.6917401544857,143.5204,1.2769,0.1764,5.0820037489,41.8417650012155,0.0563106258915239,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.01,0.01,0,0.15,0.102186937,0.45,0.096509885,"080330A",1,5.4227268025,-0.01143937275,0.90964458087345,0.6325,-2.61370290600708,0.347232249934643,0.44579717275,0.88,0.207927294156771,-2.995,0.2825,0.105,0.5635825,-1.61713027075,1.51,0.399673721481038
