"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
49,365,0.4807,365,0.1718,1380,0.1108,16,5.4,"Response ~  (log10TaSqr+log10PeakFluxSqr+log10Fa)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
50,2023,0.4966,1027,0.166,4366,0.1024,17,5.8,"Response ~  (log10T90Sqr+log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
51,377,0.601,495,0.1688,4366,0.1214,17,5.8,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
52,145,0.5786,145,0.1652,2559,0.1233,17,5.9,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
53,145,0.631,145,0.1541,663,0.1011,17,6,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
54,1759,0.5129,1759,0.1714,250,0.124,17,5.7,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
55,185,0.5321,663,0.1657,6125,0.1198,17,5.6,"Response ~  (log10Fa+PhotonIndex+log10Ta)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
56,2048,0.6043,2048,0.1564,2048,0.0898,17,5.3,"Response ~  (log10T90Sqr+log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
57,3798,0.4783,3798,0.1582,1886,0.1152,16,5.3,"Response ~  (log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
58,659,0.5459,659,0.1731,659,0.0891,16,5.3,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
59,663,0.5619,663,0.1596,353,0.0887,17,5.2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
60,145,0.6245,145,0.1429,145,0.0813,17,5.4,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
61,302,0.3127,670,0.1848,3530,0.1204,17,5.6,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10T90Sqr"
62,145,0.6163,145,0.1493,1400,0.0946,17,5.8,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
63,2054,0.5396,654,0.168,2054,0.1334,17,6,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr"
64,145,0.5023,145,0.1537,1390,0.1127,17,5.9,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
