"","Fbest","T_abest","F_min","F_max","T_amin","T_amax","logT90","logPeakFlux","errorlogPeakFlux","photon_index","errorphotonindex","logNH","T90_err","Gamma","Alpha","AlphaErr"
"GRB100305A",-11.775,4.35979,-11.845,-11.7051,4.31458,4.40501,1.84323277809801,"-0.045757490560675115",0.144764827301084,"1.27","0.23",21.1651493230937,8.07630802950526,2.09053,2.08702,2.087025
"GRB100424A",-8.68223,2.66885,-8.72205,-8.64241,2.6454,2.69231,2.01703333929878,"-0.3979400086720376",0.108573620475813,"1.83","0.13",21.3018652089066,15.111876277615,1.65736,2.13779,2.137795
"GRB100522A",-10.5759,3.86836,-10.6125,-10.5393,3.8129,3.92382,1.54777470538782,"0.8512583487190752",0.0183504710663346,"1.89","0.08",21.6868694388793,16,2.27533,1.01657,1.016576
"GRB100606A",-8.53703,2.19646,-8.65279,-8.42128,2.11336,2.27957,2.68124123737559,"0.2041199826559248",0.108573620475813,"1.35","0.1",21.2663281435841,144,1.77395,1.49601,1.49601
"GRB100725A",-9.86238,2.52661,-10.1712,-9.55351,2.46117,2.59204,2.14921911265538,"-0.1549019599857432",0.0620420688433217,"1.23","1.86536",21.0351334362852,26.6855793227588,1.86536,4.9463,4.946345
"GRB100725B",-11.0882,4.41393,-11.1369,-11.0396,4.35682,4.47104,2.30102999566398,"0.38021124171160603",0.0180956034126355,"1.89","0.06",21.6870507065163,25.9666370298428,2.61517,1.35267,1.35267
"GRB100727A",-11.2837,4.2408,-11.3637,-11.2038,4.12444,4.35716,1.92427928606188,"0.07918124604762482",0.036191206825271,"1.81","0.13",21.3704224093627,13.0586939494838,2.16468,0.84082,0.840828
"GRB100802A",-12.205,4.8136,-12.2881,-12.122,4.59728,5.02992,2.68752896121463,"-0.045757490560675115",0.0482549424336946,"1.85","0.1",21.0705952537691,26.4194649626413,2.0718,0.628651,0.628651
"GRB101011A",-9.66783,2.23005,-9.82756,-9.50811,2.14366,2.31644,1.85430604180108,"0.11394335230683679",0.0668145356774233,"1.24","0.14",21.1476763242411,18.5808904171171,1.80947,2.42724,2.427245
"GRB101024A",-10.4259,3.43724,-10.464,-10.3877,3.39373,3.48075,1.2718416065365,"0.7403626894942439",0.0157925266146637,"1.15","0.31",20.9146408720964,0.488491546585049,1.81907,1.40772,1.40772
"GRB110102A",-10.4417,4.06295,-10.4651,-10.4183,4.0381,4.08781,2.42160392686983,"0.9242792860618817",0.0155105172108304,"1.60","0.04",21.1999717221478,5.09061884640017,2.12056,1.30042,1.30042
"GRB110201A",-9.38832,2.8541,-9.53723,-9.23941,2.64739,3.06081,1.11394335230684,"0.04139268515822508",0.0394813165366593,"1.09","0.11",21.4481077867832,2.28123211973421,1.90764,1.16111,1.1611125
"GRB110208A",-11.4309,3.31036,-11.5302,-11.3317,3.13233,3.48839,1.57287160220048,"-0.2218487496163564",0.072382413650542,"2.08","0.31",20.7561026100651,7.9086787835079,2.09745,1.00193,1.001933
