"GRBID","InvZphot","pred_max","pred_min","Zphot"
"GRB050128",0.41735734631414,0.56034065176265,0.373949975594507,1.61431157828058
"GRB050607",0.494273482351008,0.60387020985611,0.439457733989635,2.1208542184832
"GRB050712",0.52068253831755,0.624689176153028,0.46446438522538,2.316519371497
"GRB050726",0.577673502793002,0.983263708292417,0.504233962098716,2.78158183192099
"GRB050814",0.500366189661009,0.593884873135101,0.446956681429836,2.16494516291132
"GRB050822",0.359756154345217,0.463237443524047,0.309432185786157,1.28958174804121
"GRB050922B",0.314794266783836,0.515323292378795,0.197963553367243,1.06440197927338
"GRB051016A",0.491158165249092,0.574832097753444,0.428373755334747,2.09854755051859
"GRB060105",0.465244042220588,0.692496385753072,0.419359535368129,1.91906685856169
"GRB060108",0.42880550872089,0.571794651380626,0.368055697997316,1.68414212978957
"GRB060109",0.532244759601872,0.788724397901885,0.449101238107534,2.40600090954849
"GRB060219",0.420901608549863,0.552876313173176,0.331159120406411,1.63573418024753
"GRB060312",0.47106897114939,0.661271587140603,0.42438487661319,1.95848227155552
"GRB060421",0.619378458452951,0.898064965129276,0.558577604101143,3.16273206604706
"GRB060510A",0.347818433990412,0.573054867996394,0.293322552808639,1.22750369946187
"GRB060719",0.51592760546131,0.655988378737565,0.472216141085305,2.28040605962348
"GRB060805A",0.420710349518588,0.669035975653072,0.292192593223839,1.634573684314
"GRB060807",0.554597484257345,0.951226071890269,0.468489102579579,2.58589430306029
"GRB060813",0.417121757998444,0.601011141942314,0.385779618386696,1.61289379779814
"GRB060923A",0.517426962838788,0.661854754888069,0.460402666658287,2.29175089894894
"GRB060923C",0.425133475371399,0.507156118206014,0.354619223925382,1.66154292845755
"GRB061019",0.546771622072634,0.659524103230999,0.47195246249312,2.52185622144995
"GRB061202",0.508564831754205,0.72718228944773,0.446776769749728,2.22526075234073
"GRB070103",0.532610279318739,0.726731166413797,0.458921678106653,2.4088687436828
"GRB070107",0.501043247800102,0.600820899066408,0.456852556905447,2.169883109802
"GRB070129",0.463693914059805,0.588420732693002,0.399180095328273,1.90866639963031
"GRB070224",0.288926523575298,0.408725344611375,0.202829078464466,0.94503098231643
"GRB070328",0.468011927065561,0.675788432537035,0.430160960546239,1.93773032998665
"GRB070420",0.439863039548233,0.63372035181252,0.374937792049299,1.75336025819611
"GRB070517",0.493310072973475,0.679193793865857,0.412557345109641,2.11393880066339
"GRB070621",0.529064312294799,0.693011191652918,0.49995674789147,2.381149020857
"GRB070628",0.415758622813679,0.573803665695218,0.351879624853808,1.60470547443075
"GRB080205",0.426273681290001,0.678741684665967,0.358713398814869,1.66853978037903
"GRB080229A",0.319608526013397,0.457073216980818,0.289562712319813,1.08741368334519
"GRB080328",0.413272761925005,0.533861016590556,0.382015637529053,1.58983897237123
"GRB080409",0.424333700704309,0.614888509094305,0.33854908168764,1.6566460764181
"GRB080605",0.433697154147102,0.713443424901346,0.390710084744898,1.71454567903942
"GRB080707",0.490805846603787,0.59161031070852,0.445178810030187,2.09603489278759
"GRB081126",0.504938875080917,0.697241778582142,0.457048099639858,2.19844491183394
"GRB081222",0.429650211463248,0.66628301717729,0.381123382152969,1.68936786645919
"GRB090113",0.469353785459973,0.604184102339613,0.429794411183476,1.94682119910184
"GRB090404",0.432493967920553,0.549262570782002,0.398636702901749,1.7070356046243
"GRB090407",0.460247909027173,0.725545097184643,0.378134080913011,1.88567826950008
"GRB090518",0.579313956725261,0.725982366614815,0.533466670035776,2.7958929549596
"GRB090727",0.388835447281415,0.565855735828221,0.309655491195542,1.44813547579386
"GRB090728",0.53327928262589,0.985349399950345,0.408356314789594,2.41412393797639
"GRB090807",0.53523650715954,1.19585589815055,0.404059958977541,2.42954501129805
"GRB090813",0.342435826476438,0.601758838054006,0.296651479880139,1.20006659278028
"GRB090904A",0.435209863210233,0.641808434487239,0.381634295832857,1.72401731125096
"GRB100302A",0.426930266057669,0.527328902585254,0.382371212116127,1.67257724292806
"GRB100305A",0.58957485606479,1.20152308806161,0.451485135149818,2.88664483347383
"GRB100424A",0.37583309095758,0.977832404482584,0.252836397651962,1.37592698947491
"GRB100522A",0.362453803308973,0.463955511593038,0.336857738538321,1.30384789854563
"GRB100606A",0.414456489305191,0.622417165609595,0.360198198859743,1.5969075517909
"GRB100725B",0.50046868591774,0.734276562413852,0.461118647935326,2.16569219822521
"GRB100727A",0.482001426438599,0.546580474886139,0.452872003725536,2.03390114901486
"GRB100802A",0.347160975769262,0.402997904118121,0.273504676763815,1.22413413634773
"GRB101011A",0.558037856591043,1.38992624884662,0.409837816758035,2.61441367395629
"GRB101024A",0.435013071627707,0.700771926985753,0.356010231432321,1.72278325863209
"GRB110102A",0.372389020359117,0.555972087427912,0.338544729864708,1.35715977022762
"GRB110201A",0.474496806508041,0.709852146064068,0.4251230282203,1.98192562089014
"GRB110208A",0.468170140363626,0.629789402495064,0.381234126153168,1.93880073887974
"GRB110312A",0.415791805658882,0.513880690307713,0.346944260912863,1.60490449800623
"GRB110315A",0.447032651341234,0.656268895440321,0.405675684217234,1.79919176193458
"GRB110318B",0.632090778465565,0.744244891481817,0.593579741380697,3.28638107175205
"GRB110319A",0.498065753533201,0.648177137263366,0.416800490012415,2.14822492905055
"GRB110402A",0.405009415974709,1.16753896565639,0.232861365174106,1.54102779718666
"GRB110420A",0.224512425426199,0.401758479164796,0.19776287686472,0.676920312760477
"GRB110530A",0.510405330013046,0.6849358557776,0.420246117793689,2.23895810083763
"GRB110610A",0.490140884261922,0.588970997576732,0.467140386561592,2.0912980807952
