GRBID	Fbest	T_abest	F_min	F_max	T_amin	T_amax	logT90	logPeakFlux	errorlogPeakFlux	photon_index	errorphotonindex	logNH	T90_err
GRB150323C	-11.6292	3.86864	-11.6967	-11.5616	3.78807	3.94921	2.20248831706009	0.04139268515822508	0.118443949609978	2.09	0.32	20.7880530626744	53.9513813778746
GRB150424A	-10.8513	3.43316	-10.9185	-10.7841	3.33698	3.52933	1.95904139232109	1.0791812460476249	0.0144764827301084	1.23	0.15	21.0188772588155	22.1240361727103
GRB150428B	-11.6808	4.54278	-11.7695	-11.592	4.3857	4.69985	2.11693964655076	0.146128035678238	0.0930631032649825	1.0	0.5	21.513766175091	15.6676539154299
GRB150430A	-10.4325	3.54254	-10.4908	-10.3742	3.49229	3.59279	2.02978947083186	0.6989700043360189	0.0868588963806503	1.43	0.12	21.578965896529	6.6842669033943
GRB150530A	-10.6954	3.26007	-10.804	-10.5869	3.10991	3.41023	0.8208579894397	0.6127838567197355	0.0635552900346222	1.49	0.11	22.3294405947503	0.839437926650678
GRB150607A	-9.50944	2.71762	-9.55638	-9.4625	2.65158	2.78365	1.41995574848976	0.6901960800285137	0.0443157634595155	0.99	0.41	21.3340013265539	0.713257322255766
GRB150615A	-11.3767	4.30707	-11.4465	-11.3069	4.17309	4.44104	1.44090908206522	-0.2218487496163564	0.144764827301084	1.84	0.21	21.7017681633491	5.14136982655636
GRB150626B	-11.1175	4.71169	-11.2553	-10.9797	4.65505	4.76834	1.68124123737559	-0.2218487496163564	0.144764827301084	1.36	0.21	21.9822712330396	22.6274169979695
GRB150711A	-10.8257	3.59028	-10.907	-10.7443	3.4714	3.70917	1.80753502806885	0.5797835966168101	0.0457152086213949	1.79	0.08	21.6244915588761	14.1552811438769
GRB150801B	-8.71783	3.25529	-9.51958	-7.91608	2.99433	3.51625	2.62940959910272	0.3979400086720376	0.0347435585522601	1.84	0.14	22.4878896065359	30.2632755209732
GRB150817A	-10.0959	3.39134	-10.1457	-10.046	3.34057	3.44212	1.58883172559421	0.9822712330395684	0.0135717025594766	1.78	0.04	21.6523807677089	199.680663010251
GRB150911A	-10.2632	3.58105	-10.3807	-10.1456	3.50802	3.65408	0.857332496431269	0.7160033436347992	0.0250554508790338	1.02	0.26	21.633665358434	0.588489602106457
GRB151001A	-10.6292	3.33312	-10.6956	-10.5627	3.24586	3.42037	0.951337518795918	0.11394335230683679	0.0668145356774233	1.17	0.11	20.9080934412007	1.06650831336257
GRB151114A	-10.6397	2.97269	-10.8319	-10.4475	2.80238	3.14299	0.686636269262293	0.4623979978989561	0.0599026871590692	2.14	0.25	21.3033842936436	0.846990032594533
GRB151118A	-9.9889	2.92497	-10.1989	-9.77893	2.65367	3.19626	1.36921585741014	0.07918124604762482	0.036191206825271	1.80	0.2	22.0168215691157	10.5252009684499
GRB151205A	-8.81097	2.28802	-8.90994	-8.71201	2.21763	2.3584	1.7979596437372	-0.2218487496163564	0.072382413650542	1.17	0.13	21.8667309200731	12.2822929448992
GRB151228B	-11.3242	3.50046	-11.4471	-11.2014	3.2802	3.72071	1.68124123737559	0.	0.0868588963806504	1.09	0.34	20.7593266620382	16
GRB160104A	-11.9491	4.59482	-12.099	-11.7992	4.32401	4.86563	1.20951501454263	0.	0.0868588963806504	1.76	0.19	21.4334629182211	2.46732650047342
