"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux"
"GRB081007",1,-10.58502665,3.58176278,1.00469263,0.92,2.102,-6.148741651,2.51,21.69605744,0.414973348
"GRB081008",2.26834391395106,-10.79317412,3.85550833,1.47398467,0.84,1.98207,-5.366531544,1.69,21.1376737,0.113943352
"GRB081029",2.43136376415899,-11.86327943,4.48156171,2.51960373,0.87,1.95818,-5.677780705,1.43,21.49704581,-0.301029996
"GRB081221",1.53147891704226,-9.354577731,2.93195749,1.23586126,0.991,2.4947,-4.742321425,1.21,21.57331844,1.260071388
"GRB081230",1.78318869107526,-11.32975415,3.66959365,0.99376498,1.02,2.08621,-6.086186148,1.97,20.67248024,-0.15490196
"GRB090102",1.43136376415899,-9.457174573,3.15380077,1.42487631,0.667,1.76997,-7.167491087,1.36,21.72376179,0.740362689
"GRB090205",0.944482672150169,-11.3419886,3.70655,1.29089,1.01,2.03416,-6.721246399,2.15,21.81792086,-0.301029996
"GRB090424",1.68124123737559,-9.050609993,2.99599056,1.1284106,0.924,1.96315,-4.677780705,1.19,21.63012977,1.851258349
"GRB090519",1.80617997398389,-11.76000021,3.44619,1.42452,0.63,1.46604,-5.920818754,1.02,22.13069392,-0.22184875
"GRB090529",2,-12.1873998,4.472757799,0.8815438,0.64,2.22623,-6.167491087,2,21.19187281,-0.397940009
"GRB090530",1.68124123737559,-11.16052195,3.6839464,0.88610581,1.09,2.03975,-5.958607315,1.61,20.90942658,0.397940009
"GRB090618",2.05384642685225,-9.640164518,3.67275453,1.30942861,0.8945,1.82831,-3.978810701,1.42,21.39200012,1.589949601
"GRB090812",1.82412583391655,-10.16730017,3.52924,1.37252,0.53,1.88559,-5.236572006,1.24,21.77771022,0.556302501
"GRB091018",0.643452676486187,-9.627087997,2.89655535,1.18074867,0.91,1.98015,-5.853871964,1.77,21.19187281,1.012837225
"GRB091020",1.53907609879278,-9.71219827,2.95265011,1.17417264,0.895,2.08587,-5.431798276,1.53,21.70587483,0.62324929
"GRB091029",1.59328606702046,-11.34678749,4.30368998,1.12123368,1.064,2.11535,-5.619788758,1.46,21.45058625,0.255272505
