"GRBID","InvZphot","pred_max","pred_min","Zphot","corrected_prediction","corrected_pred_max","corrected_pred_min","Linear_corrected_prediction","Linear_corrected_pred_max","Linear_corrected_pred_min"
"GRB050128",0.416652402363873,0.56034065176265,0.365365321356028,1.61007148707446,0.388342686480568,0.615090227466917,0.307409001565094,1.44535933855812,3.12183143896956,1.02959321130995
"GRB050607",0.493200545643511,0.60387020985611,0.439457733989635,2.1131535767815,0.509139643283608,0.683782137203541,0.424330687511664,2.22953238037834,3.82816537508607,1.65662764431964
"GRB050712",0.524019662180694,0.624689176153028,0.46446438522538,2.34210170662784,0.55777381427127,0.716635550293728,0.463792485534354,2.61221685093796,4.20757520237822,1.90932665226473
"GRB050726",0.573859201146969,0.983263708292417,0.500836189915989,2.74851455199577,0.636423202455635,1.28248483694826,0.521189087617959,3.32935503736346,18.1639415216624,2.32038992652445
"GRB050814",0.500975985938697,0.643327025057951,0.446956681429836,2.16939220849565,0.521409693022517,0.746047046544461,0.436164417125368,2.32207698925581,4.57246111393576,1.73001112687598
"GRB050822",0.360232058590586,0.493479807403955,0.309432185786157,1.29209206983148,0.299308445575506,0.509580332885835,0.219143600579339,0.992087661536126,2.23281113185478,0.656317538559239
"GRB050922B",0.318895600431302,0.515323292378795,0.197963553367243,1.08398985486966,0.234077361753961,0.544050489807793,0.0432402932187373,0.71426264538269,2.49985852996176,0.104689670756485
"GRB051016A",0.490635592168837,0.574832097753444,0.427873473029503,2.09482140658005,0.505092013115099,0.637958483970131,0.406050120396088,2.19957292508864,3.34468689503263,1.54712419025255
"GRB060105",0.465311452197841,0.692496385753072,0.419359535368129,1.91951998313706,0.465129201333036,0.823638858513355,0.392614683351616,1.91829506908616,5.66252510522356,1.46953214365944
"GRB060108",0.436995386300378,0.581838730653303,0.380127468044713,1.73523966850888,0.420444974616361,0.649015315598914,0.330704437867957,1.63296432430741,3.45671964951574,1.14143273814412
"GRB060109",0.52985417961587,0.772551743483956,0.416487185704415,2.38730403621303,0.56698098665178,0.949970382379877,0.388081965987285,2.68961445139027,7.9119015948527,1.44389175380697
"GRB060219",0.419376368842951,0.552876313173176,0.331159120406411,1.6264937327579,0.392641247451591,0.603311112422125,0.253429834971695,1.46968319993072,3.01153986523858,0.792378950529159
"GRB060312",0.470677206559148,0.568299762509242,0.42438487661319,1.95581471293559,0.473596641169307,0.627650118743893,0.400544933561377,1.97575136284217,3.24277614868508,1.51504021401715
"GRB060421",0.624133706103143,0.925798321877384,0.558577604101143,3.20856177297935,0.715758989625546,1.19180146432761,0.612308046435682,4.19707506425329,14.5525449182072,3.09551052573352
"GRB060510A",0.355167648811573,0.752796145746901,0.293322552808639,1.26551868714946,0.291316543184439,0.918795020258506,0.193721760734196,0.955764429764468,7.29459184230699,0.562146502222666
"GRB060719",0.518842541353395,0.663159888629692,0.469741155328443,2.30249783328703,0.549604047975897,0.777344338177052,0.472119503576721,2.54490048592422,4.98886244579334,1.96564732599514
"GRB060805A",0.422283513835668,0.669035975653072,0.288211601057559,1.64413432386216,0.397228873657264,0.786617109532734,0.18565641268725,1.49590972750967,5.11810758337836,0.533403367549066
"GRB060807",0.555835880100317,0.868105081764698,0.46856068684275,2.5961341155397,0.607981463170511,1.10075852670519,0.470256662826259,3.05491227648091,11.6112613732972,1.95295387137922
"GRB060813",0.417308458444729,0.534451277828752,0.385617192811159,1.61401730576492,0.389377977144249,0.574235447053415,0.339367509460046,1.45119564948759,2.7517634405184,1.18457776722465
"GRB060923A",0.513302947946943,0.656739809192899,0.440068605520271,2.26064072061314,0.540862281072668,0.767213118461306,0.42529467460184,2.4742597187976,4.85077124741214,1.66253100987187
"GRB060923C",0.423918430270214,0.507156118206014,0.354619223925382,1.65410701747706,0.399808856939146,0.531162263608128,0.290451100151484,1.51078113536043,2.39752189050919,0.951870948687227
"GRB061019",0.545088819880455,0.656646294476913,0.469361293451479,2.50823615424629,0.591022042425375,0.767065547369136,0.471520061751266,2.89961778512794,4.84878352234239,1.96155676806043
"GRB061202",0.510665902656762,0.861057687420298,0.446183813816286,2.24090202863841,0.536700886264671,1.08963737139403,0.434944791779428,2.44112846626399,11.2924194578019,1.7223552158597
"GRB070103",0.532337225108151,0.726731166413797,0.458921678106653,2.40672615737139,0.570899361758218,0.877663125379345,0.455045805030989,2.72305422623877,6.54506742958326,1.85131898020576
"GRB070107",0.504004520263297,0.620275561618239,0.456852556905447,2.191571073728,0.526188877915986,0.709670636692146,0.451780624013479,2.35883660796673,4.12472584012039,1.82996213061358
"GRB070129",0.464638595491277,0.588420732693002,0.388589586836108,1.9150002442929,0.464067398406994,0.659402057615145,0.344058102036822,1.91116886896005,3.56459297584644,1.20830015043642
"GRB070224",0.289639582274211,0.408725344611375,0.180456912360038,0.948227109646642,0.187909841417891,0.375833376497625,0.0156139019450999,0.541380432535133,1.3759285516005,0.036606438434633
"GRB070328",0.46569180510057,0.642582523844979,0.430448540195503,1.92207800390582,0.465729418022722,0.744872184855984,0.410113710496242,1.92233108713988,4.55740675804244,1.57106887270945
"GRB070420",0.441434759152536,0.685631009241835,0.348088874659931,1.76334277144524,0.427450536184271,0.812804936822596,0.280145868903149,1.67578081873782,5.49837750443064,0.906100823144438
"GRB070517",0.491358033355646,0.642600630101928,0.410946485048535,2.0999738715632,0.50623206293338,0.744900757472444,0.379338451786793,2.20798303518409,4.55777239675532,1.39518162792954
"GRB070621",0.528593443920941,0.693011191652918,0.49995674789147,2.37748511665526,0.564991480064742,0.824451249034944,0.519801282301002,2.67275095270162,5.67499967720949,2.30979642324264
"GRB070628",0.427786705375671,0.699562035288788,0.351879624853808,1.67785283056398,0.405913196519391,0.834788821467169,0.286127870135341,1.54632126237711,5.8357917160981,0.932537233805914
"GRB080205",0.432440115649694,0.786089329847829,0.358713398814869,1.70669995454646,0.413256520286297,0.971333398713798,0.296911921356027,1.58974212001844,8.36124041056689,0.981125195886034
"GRB080229A",0.320387192495824,0.467291101892038,0.290033396501035,1.09115966017762,0.236431171715459,0.468253191652717,0.188531300778077,0.723578911454844,1.93936278730217,0.543587669854336
"GRB080328",0.41688637084373,0.583209816740632,0.382533362720695,1.61147799581031,0.388711900927106,0.651178960852325,0.334501064968181,1.44743913907184,3.47897832574483,1.16023533205382
"GRB080409",0.429042464074378,0.614888509094305,0.33854908168764,1.68560702380767,0.407894849147184,0.70116958724602,0.265091578750427,1.55796648018432,4.02538787114316,0.841160202059978
"GRB080605",0.43513869010941,0.694321095791493,0.390710084744898,1.72357093009436,0.417515011328325,0.8265183459868,0.347404358174651,1.6152608427028,5.70684617965457,1.22538090978319
"GRB080707",0.490834136027203,0.576973334993757,0.445178810030187,2.09623657136814,0.505405325663974,0.64133746785323,0.433358843463311,2.20188202198321,3.37862213154206,1.71243190085476
"GRB081126",0.502718333943929,0.697241778582142,0.457048099639858,2.18213304792429,0.524159208918089,0.831127335542674,0.452089200632451,2.34317575740391,5.77840221855919,1.83197360092252
"GRB081222",0.427013697081374,0.66628301717729,0.381123382152969,1.67309071312763,0.404693349171905,0.782272797680979,0.33227604219904,1.53917918435104,5.05721232941048,1.14919609201442
"GRB090113",0.471742960106381,0.604184102339613,0.429794411183476,1.96307715478199,0.475278455772406,0.684277475890359,0.409081460847536,1.98729736482256,3.83367532647385,1.56496510327139
"GRB090404",0.432170437480171,0.549262570782002,0.388582539453051,1.70501973217085,0.412830954089668,0.59760843872135,0.344046980899321,1.58720566849071,2.9592090974273,1.20824360241152
"GRB090407",0.454958227029493,0.725545097184643,0.323171570447984,1.85074405316433,0.448791272810532,0.875791446364006,0.240825065137298,1.81054972149941,6.51262041963992,0.741105410675224
"GRB090518",0.581584008597386,0.725982366614815,0.533466670035776,2.81578598538979,0.648613350928485,0.876481480298269,0.572681684676689,3.45259660597506,6.52456642338513,2.73836485084312
"GRB090727",0.389780376139314,0.603831229503629,0.295892482899469,1.45346787676095,0.345937229574839,0.683720624177188,0.197777244262186,1.21787583762296,3.82748156710719,0.576802298211608
"GRB090728",0.55361457507391,1.2434281688527,0.408356314789594,2.5777877691486,0.60447612815094,1.69303790535099,0.375251028219394,3.02231545944207,48.3216850189111,1.37274478868792
"GRB090807",0.548200498101771,1.39861984934373,0.404059958977541,2.53346259369167,0.595932432718084,1.9379384597117,0.368471154989247,2.94395937412203,85.6839034446456,1.33599094500541
"GRB090813",0.341122007853334,0.601758838054006,0.296651479880139,1.19342105417765,0.269151790240591,0.680450282537358,0.198974981027044,0.858453889710396,3.79126599983823,0.581156948860363
"GRB090904A",0.438262280598431,0.650691559366713,0.378749532349849,1.74323037277141,0.422444199799875,0.757668665236376,0.328529983577123,1.64511281633947,4.72359196379383,1.13073766803453
"GRB100302A",0.430273708195056,0.565261760709509,0.382371212116127,1.69323164180685,0.409837816494101,0.622855993681586,0.334245182869199,1.56943606997644,3.19619820525522,1.15896291722007
"GRB100305A",0.582967190108721,1.20152308806161,0.451485135149818,2.82795822931492,0.650796083390919,1.62690950540198,0.44331055294213,3.4750313630043,41.3554700120366,1.77530394455959
"GRB100424A",0.398777636957662,1.21974875714184,0.252836397651962,1.50482642890553,0.360135375732993,1.65567056042259,0.129832499335437,1.29158185992733,44.2554158980321,0.3484427087898
