"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","Gamma","log10Fa","log10T90","Alpha","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","GammaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","Response"
"GRB110731A",1.041392685,21.95954126,1.15,5.08952072,1.85145,-12.08512818,1.58883172559421,1.42351927,1.08449872437151,482.221452349642,1.3225,25.9032211593093,3.4278671025,146.05032312703,2.52438625225467,2.02640711206133,0.583198773968623
"GRB110808A",-0.397940009,22.16619025,2.32,4.50711,2.33721,-12.08440021,1.68124123737559,0.807091,0.15835625076292,491.339990199195,5.3824,20.3140405521,5.4625505841,146.032728435448,2.8265720982522,0.651395882281,0.370698092575577
"GRB110818A",0.204119983,22.06812647,1.58,3.84627415,1.95985,-11.28316228,2.01283722470517,1.37167718,0.0416649674599203,487.002205895915,2.4964,14.7938248369582,3.8410120225,127.309751036815,4.05151369315882,1.88149828613275,0.639486489268586
"GRB111008A",0.806179974,22.17059025,1.86,3.98993393,1.94053,-10.66756154,1.80250006776439,1.21584288,0.649926150478641,491.535072033395,3.4596,15.9195727657652,3.7656566809,113.796869209687,3.24900649429064,1.47827390884669,0.777412321496744
"GRB111123A",-0.045757491,21.35034301,1.68,4.42202873,2.55463,-11.60730305,2.46239799789896,1.46723371,0.00209374798261508,455.837146644656,2.8224,19.5543380889454,6.5261344369,134.729484094539,6.06340390005679,2.15277475976036,0.618215503279417
"GRB111209A",-0.301029996,21.14009932,1.48,4.13326,1.81212,-9.057000407,3.14612803567824,2.77382,0.09061905849176,446.903799259465,2.1904,17.0838382276,3.2837788944,82.0292563723982,9.89812161688061,7.6940773924,0.224533062606086
"GRB111228A",1.093421685,21.41342718,2.27,4.10627835,2.03824,-10.65757732,2.00518051250378,1.15297662,1.19557098122824,458.534863593163,5.1529,16.8615218876787,4.1544222976,113.583954331778,4.02074888772492,1.32935508626662,0.234010817587179
"GRB120118B",0.342422681,21.451745,2.08,3.68307,2.20884,-10.95467702,1.36660971039243,1.0241,0.117253292463228,460.177363545025,4.3264,13.5650046249,4.8789741456,120.004948612516,1.86762210053888,1.04878081,0.595826777073223
"GRB120327A",0.591064607,22.16619025,1.52,3.48517215,1.75797,-10.15181088,1.79865064544527,1.44859414,0.349357369648064,491.339990199195,2.3104,12.1464249151356,3.0904585209,103.059264143286,3.23514414436068,2.09842498244234,0.581266805273671
"GRB120404A",0.079181246,21.70983536,1.85,3.79948,1.89579,-11.02687215,1.58771096501891,1.90651,0.00626966971811252,471.316951358306,3.4225,14.4360482704,3.5940197241,121.591909412446,2.52082610844128,3.6347803801,0.588383768378728
"GRB120422A",-0.22184875,20.920544366897,1.19,5.23266697,2.32199,-12.73992861,0.728353782021228,0.86153199,0.0492168678765625,437.669176607306,1.4161,27.380803618929,5.3916375601,162.305780987897,0.530499231784627,0.74223736979336,0.108226656374928
"GRB120729A",0.462397998,21.34792103,1.62,3.52138487,1.8831,-10.29756946,1.85430604180108,2.26312734,0.213811908554408,455.733732303116,2.6244,12.4001514026649,3.54606561,106.039936783525,3.43845089665999,5.12174535705548,0.255272505103306
"GRB120802A",0.477121255,22.12127744,1.21,3.53838419,2.03526,-11.17198494,1.69897000433602,0.54215516,0.227644691972775,489.350915577453,1.4641,12.520162676042,4.1422832676,124.813247499587,2.88649907563353,0.293932217514626,0.680879174426811
"GRB120811C",0.612783857,21.91722026,1.4,3.15909591,1.92121,-10.14327111,1.42813479402879,1.01613299,0.375504055399796,480.364543925354,1.96,9.97988696857873,3.6910478641,102.885948810961,2.03956898991565,1.03252625336634,0.564784384503987
"GRB120907A",0.462397998,21.0438101,1.73,3.2113827,1.82021,-10.37675071,1.22788670461367,1.05329104,0.213811908554408,442.841943524862,2.9929,10.3129788458593,3.3131644441,107.676955297485,1.50770575936703,1.10942201494428,0.294466226161593
"GRB120922A",0.301029996,21.0163605,1.58,3.59799,2.06954,-10.59516628,2.2380461031288,1.06622,0.09061905849176,441.68740866596,2.4964,12.9455320401,4.2829958116,112.257548500849,5.00885035972999,1.1368250884,0.612783856719735
"GRB121024A",0.113943352,21.94617755,1.41,4.17178823,2.00683,-11.31158018,1.83884909073726,1.30353551,0.0129830874649959,481.634709056124,1.9881,17.4038170359665,4.0273666489,127.951846168569,3.38136597850523,1.69920482583096,0.5182506513085
"GRB121027A",0.113943352,22.07736427,1.82,5.40919042,2.37144,-11.92081875,1.79657433321043,1.50995764,0.0129830874649959,487.410013110273,3.3124,29.2593409998198,5.6237276736,142.105919670352,3.2276793347505,2.27997207459437,0.442949869577862
"GRB121128A",1.11058971,22.04029767,1.32,3.23392922,1.98504,-9.617982957,1.36735592102602,1.54546584,1.23340950395788,485.774721382207,1.7424,10.4582981999698,3.9403838016,92.5055961611425,1.86966221476491,2.38846466260691,0.505149978319906
"GRB121211A",0,21.66138196,2.36,4.20933518,2.0682,-11.2823295,2.26007138798507,1.15615612,0,469.215468417013,5.5696,17.7185026575856,4.27745124,127.29095894657,5.10792267878878,1.33669697381345,0.305995882770805
"GRB121229A",-1,22.04094236,2.43,4.70907,2.18362,-12.35951856,2,0.900754,1,485.803140116842,5.9049,22.1753402649,4.7681963044,152.757699034984,4,0.811357768516,0.569022586029564
"GRB130408A",0.69019608,20.06405721,1.28,3.58393,2.03183,-10.32975415,1.44715803134222,1.39277,0.476370628847366,402.566391726153,1.6384,12.8445542449,4.1283331489,106.703820799442,2.09426636767829,1.9398082729,0.677333151419902
"GRB130418A",-0.22184875,21.12149747,2.07,2.59006,1.68684,-9.247183569,2.47712125471966,1.28449,0.0492168678765625,446.117655375216,4.2849,6.7084108036,2.8454291856,85.5104039587836,6.13612971058392,1.6499145601,0.345961541813141
"GRB130420A",0.531478917,20.79265849,1.52,3.56731,2.29559,-10.8728952,2.09166695759568,0.914676,0.282469839215493,432.334647081769,2.3104,12.7257006361,5.2697334481,118.219850030183,4.37507066149759,0.836632184976,0.361160995195026
"GRB130505A",1.477121255,20.71960885,1.18,3.24559,1.92439,-8.91721463,1.94448267215017,1.3304,2.18188720197277,429.302190896998,1.3924,10.5338544481,3.7032768721,79.516716757486,3.78101286229226,1.76996416,0.514547752660286
"GRB130511A",0.113943352,21.01365445,1.35,2.65954,2.06879,-10.51570016,0.734799829588847,1.16497,0.0129830874649959,441.573673344005,1.8225,7.0731530116,4.2798920641,110.579949855024,0.539930789563798,1.3571551009,0.362350507594848
"GRB130514A",0.447158031,21.19799139,1.8,3.68772,2.0604,-10.7212464,2.3096301674259,1.17745,0.199950304687797,449.354838970514,3.24,13.5992787984,4.24524816,114.945124369513,5.33439151028379,1.3863885025,0.662757831681574
"GRB130604A",-0.096910013,21.35024026,1.51,2.071571247,2.08823,-8.316052869,1.57634135020579,1.742079764,0.00939155061966017,455.832759159725,2.2801,4.29140743139714,4.3607045329,69.1567353200031,2.48485205236862,3.0348419041383,0.313867220369153
"GRB130606A",0.414973348,20.24962877,1.52,3.30222,1.86465,-10.18045606,2.44182077228928,1.37571,0.172202879550329,410.047465322812,2.3104,10.9046569284,3.4769196225,103.641685589591,5.96248868398343,1.8925780041,0.839666556882433
"GRB130831A",1.133538908,21.79728278,1.93,3.31959,1.79449,-9.89279003,1.51188336097887,1.28481,1.28491045594983,475.121536591284,3.7249,11.0196777681,3.2201943601,97.8672945776674,2.28579129720478,1.6507367361,0.16999753706657
"GRB130925A",0.86332286,21.99154725,1.85,5.84588,2.69002,-10.62525165,2.25285303097989,1.38344,0.74532636059858,483.628150448983,3.4225,34.1743129744,7.2362076004,112.895972625828,5.07534677919529,1.9139062336,0.129367595722986
"GRB131030A",1.44870632,20.84178667,1.3,2.84594,2.09466,-9.294136288,1.61384182187607,1.11188,2.09875000160794,434.38007159779,1.69,8.0993744836,4.3876005156,86.3809693399184,2.60448542603627,1.2362771344,0.36078268987328
"GRB131105A",0.544068044,21.32749584,1.45,3.9488,2.24976,-10.91009489,2.05037975626146,1.19347,0.296010036501986,454.862078805217,2.1025,15.59302144,5.0614200576,119.030170508804,4.2040571448868,1.4243706409,0.429106008332697
"GRB131117A",-0.15490196,22.01669496,2.32,2.87134,2.15896,-10.838632,1.04139268515823,0.951056,0.0239946172118416,484.734856961689,5.3824,8.2445933956,4.6611082816,117.475943631424,1.08449872470106,0.904507515136,0.702602841340427
"GRB140206A",1.28780173,22.00531353,1.04,3.59073,1.88134,-9.730487056,1.97127584873811,1.22509,1.65843329579099,484.233823553601,1.0816,12.8933419329,3.5394401956,94.6823783469835,3.88592847181814,1.5008455081,0.571708831808688
"GRB140213A",1.371067862,20.99187128,1.8,3.829176603,1.96657,-10.12551818,1.77815125038364,1.108879519,1.87982708220925,440.658659836089,3.24,14.6625934569626,3.8673975649,102.526118413511,3.16182186924092,1.22961378765767,0.343920385393226
"GRB140419A",0.69019608,22.04094236,1.21,3.68383,1.87322,-10.00568285,1.97634997900327,1.36898,0.476370628847366,485.803140116842,1.4641,13.5706034689,3.5089531684,100.113689294784,3.90595923950624,1.8741062404,0.695131297704026
"GRB140423A",0.322219295,21.81946365,1.33,3.90552,2.06486,-10.85078089,2.12710479836481,1.18974,0.103825274070297,476.088993973671,1.7689,15.2530864704,4.2636468196,117.739445922789,4.52457482322659,1.4154812676,0.629409599102719
"GRB140430A",0.397940009,21.67796993,2,4.14388,2.15785,-11.36251027,2.23954972084047,0.875171,0.15835625076292,469.934380285984,4,17.1717414544,4.6563166225,129.106639635855,5.01558295211664,0.765924279241,0.414973347970818
"GRB140506A",1.037426498,21.81764402,1.68,3.30686,1.74751,-9.903089987,2.04571405894087,0.948932,1.07625373875254,476.009590583442,2.8224,10.9353230596,3.0537912001,98.0711912906197,4.18494601094832,0.900471940624,0.276231957921834
"GRB140509A",0.204119983,20.90144742,1.59,3.58709,1.93407,-11.09770006,1.3654879848909,1.40649,0.0416649674599203,436.870504251025,2.5281,12.8672146681,3.7406267649,123.158946621724,1.86455743688141,1.9782141201,0.531478917042255
"GRB140512A",0.832508913,21.32824297,1.45,3.53686,1.84304,-9.504455662,2.18977095634687,1.25134,0.693071090224441,454.893948187355,2.1025,12.5093786596,3.3967964416,90.3346774309239,4.7950968412603,1.5658517956,0.236789099409293
"GRB140518A",0,22.46148952,0.92,3.77824,1.93772,-11.31158018,1.78175537465247,1.64981,0,504.51851145707,0.8464,14.2750974976,3.7547587984,127.951846168569,3.17465221510296,2.7218730361,0.756407872548958
"GRB140614A",-0.602059991,22.12570242,1.5,3.70006,1.77015,-10.9589,2.85733249643127,1.35595,0.36247623276292,489.546707578394,2.25,13.6904440036,3.1334310225,120.09748921,8.16434899516215,1.8386004025,0.718750734739665
"GRB140629A",0.62324929,21.74269921,1.86,2.85608,1.95996,-9.847711656,1.6232492903979,1.16056,0.388439677485504,472.744968936535,3.4596,8.1571929664,3.8414432016,96.9774248597183,2.63493825877729,1.3468995136,0.515211304327802
"GRB141004A",0.785329835,21.49730845,1.86,3.30337,1.79496,-10.61083392,0.593286067020457,1.54959,0.616742949741127,462.134270594441,3.4596,10.9122533569,3.2218814016,112.589796477823,0.351988357320603,2.4012291681,0.196728722623287
"GRB141121A",-0.045757491,21.59590717,1.73,5.76634,1.93447,-12.65757732,2.74028371968188,2.33322,0.00209374798261508,466.383206495257,2.9929,33.2506769956,3.7421741809,160.214263611778,7.50915486435356,5.4439155684,0.392696953259666
"GRB141220A",0.949390007,21.48574413,0.62,2.77561,1.80565,-9.872830386,0.857935264719429,1.42066,0.90134138539146,461.63720081983,0.3844,7.7040108721,3.2603719225,97.4727798307249,0.736052918449197,2.0182748356,0.365394376854778
"GRB150120B",0.079181246,21.52664292,2.2,3.39431,2.01678,-10.79048499,1.38560627359831,1.17705,0.00626966971811252,463.396355405186,4.84,11.5213403761,4.0674015684,116.434566319415,1.919904745435,1.3854467025,0.653212513775344
"GRB150314A",1.58546073,22.01715025,1.08,2.49217,1.84772,-8.609064893,1.16996817399689,1.19079,2.51368572637213,484.754905131075,1.1664,6.2109113089,3.4140691984,74.1159983318851,1.36882552816562,1.4179808241,0.440594261839831
"GRB150403A",1.245512668,21.79039707,1.23,3.19694,1.70996,-8.821023053,1.61172330800734,1.24471,1.55130180614848,474.821404468265,1.5129,10.2204253636,2.9239632016,77.8104477015574,2.59765202157413,1.5493029841,0.48572142648158
"GRB150821A",-0.15490196,22.340573,2.1,2.95174,2.21622,-8.853871964,2.23578087032756,1.82628,0.0239946172118416,499.101201968329,4.41,8.7127690276,4.9116310884,78.3910487549052,4.99871610012266,3.3352986384,0.244277120801843
"GRB150910A",0.041392685,20.842422,1.42,3.85419,1.78547,-9.970616222,2.04999285692014,2.03808,0.00171335437150922,434.406554826084,2.0164,14.8547805561,3.1879031209,99.4131878464096,4.20247071342361,4.1537700864,0.372727940885595
"GRB151021A",0.986771734,22.33647975,1.57,3.15765,1.96079,-9.642065153,2.04218159451577,1.33346,0.973718455021367,498.91832762216,2.4649,9.9707535225,3.8446974241,92.9694204146969,4.17050566497896,1.7781155716,0.52244423350632
"GRB151027A",0.832508913,21.65076489,1.72,3.99907,2.00612,-9.935542011,2.11290649025331,1.74508,0.693071090224441,468.755620322057,2.9584,15.9925608649,4.0245174544,98.7149950523459,4.46437383655458,3.0453042064,0.257678574869184
"GRB151029A",0.255272505,21.55195354,0.49,2.7098,2.307153,-10.76639985,0.951823035315912,1.23481,0.065164051808975,464.486701390319,0.2401,7.34301604,5.322954965409,115.91536573008,0.905967090557996,1.5247557361,0.384353414137506
"GRB151031A",0.230448921,21.98623592,2.41,3.69323,2.12551,-11.5214335,0.698970004336019,0.897942,0.0531067051900642,483.394569929898,5.8081,13.6399478329,4.5177927601,132.743429894922,0.488559066961494,0.806299835364,0.335858911319818
"GRB151112A",0.278753601,21.0151543,1.77,4.43227,2.17922,-11.6171,1.28600712207947,1.1526,0.0777035700704672,441.636710252808,3.1329,19.6450173529,4.7489998084,134.95701241,1.65381431803913,1.32848676,0.707570176097936
"GRB151215A",0.204119983,21.44930866,1.99,3.06337,2.20942,-10.72815839,1.25042000230889,1.07478,0.0416649674599203,460.072841991951,3.9601,9.3842357569,4.8815367364,115.093382440927,1.56355018217417,1.1551520484,0.555094448578319
"GRB160117B",-0.301029996,20.95374423,1.73,4.10299,1.83834,-11.74958,1.77815125038364,0.973333,0.09061905849176,439.059397256258,2.9929,16.8345269401,3.3794939556,138.0526301764,3.16182186924092,0.947377128889,0.271841606536499
"GRB160121A",0.079181246,20.89722339,1.77,3.8244,2.2054,-11.17263073,1.07918124604762,0.798663,0.00626966971811252,436.693945411563,3.1329,14.62603536,4.86378916,124.82767742894,1.1646321618209,0.637862587569,0.471291711058939
"GRB160203A",0.113943352,22.0158332,1.93,3.66139836,1.75592,-11.36754271,1.30535136944662,1.146279559,0.0129830874649959,484.696911490222,3.7249,13.4058379506107,3.0832550464,129.221027263674,1.70394219771618,1.31395682738123,0.655138434811382
"GRB160227A",-0.22184875,21.4198963,0.75,4.47751,1.72551,-10.99567863,2.50037371435337,1.10229,0.0492168678765625,458.811957502754,0.5625,20.0480958001,2.9773847601,120.904948534239,6.25186871142929,1.2150432441,0.528916700277655
"GRB160327A",0.255272505,20.72655851,1.84,3.76407,1.93554,-11.22402567,1.44715803134222,1.49693,0.065164051808975,429.590227668453,3.3856,14.1682229649,3.7463150916,125.978752240819,2.09426636767829,2.2407994249,0.777426822389311
"GRB160804A",0.462397998,21.30214687,1.4,4.38419,1.87827,-11.5214335,2.15896526038341,0.948229,0.213811908554408,453.781461271051,1.96,19.2211219561,3.5278981929,132.743429894922,4.66113099554241,0.899138236441,0.239549720840473
"GRB161108A",-0.22184875,21.16074757,1.85,4.69106,2.00325,-11.81247928,2.02160271602824,0.883711,0.0492168678765625,447.777237721261,3.4225,22.0060439236,4.0130105625,139.534666740429,4.08687754145277,0.780945131521,0.334252642334231
"GRB161117A",0.832508913,21.87736847,1.19,4.08464,1.92624,-10.74958,2.09933527768596,1.141,0.693071090224441,478.61925117215,1.4161,16.6842839296,3.7104005376,115.5534701764,4.40720860813678,1.301881,0.406369835469268
"GRB161129A",0.531478917,21.51361441,1.57,3.70506,1.74506,-10.43651891,1.55059520748933,2.32574,0.282469839215493,462.83560498216,2.4649,13.7274696036,3.0452344036,108.920926958788,2.40434549748887,5.4090665476,0.216165902285993
"GRB161219B",0.72427587,21.16590877,1.29,4.0135,1.86204,-10.13667714,0.841359470454855,0.871656,0.524575535864257,447.995694059963,1.6641,16.10818225,3.4671929616,102.752223440599,0.707885758524074,0.759784182336,0.0597526942092988
"GRB170202A",0.672097858,21.7153121,1.68,3.77629,1.99768,-10.65364703,1.66464197555613,1.1958,0.451715530728188,471.554779600406,2.8224,14.2603661641,3.9907253824,113.500195039828,2.7710329067834,1.42993764,0.666985718329661
"GRB170405A",0.204119983,21.67796993,1.59,3.6300738,1.8473,-10.31069114,2.21669359916975,1.81152426,0.0416649674599203,469.934380285984,2.5281,13.1774357934464,3.41251729,106.310351784474,4.91373051260016,3.28162014456855,0.65417654187796
"GRB170519A",-0.15490196,21.33992622,1.94,4.1513,1.97351,-11.06348626,2.33525725643453,1.37345,0.0239946172118416,455.392451075043,3.7636,17.23329169,3.8947417201,122.400728225209,5.45342645373014,1.8863649025,0.259593878885949
"GRB170531B",-0.096910013,21.49730845,1.95,3.80257,2.06685,-11.39577395,2.21518796949713,1.02082,0.00939155061966017,462.134270594441,3.8025,14.4595386049,4.2718689225,129.863663919499,4.90705774020483,1.0420734724,0.527114111639805
"GRB170705A",1.1430148,21.08891889,1.65,3.63746,1.89159,-10.18641901,2.33705972632052,0.774169,1.30648283301904,444.742499948999,2.7225,13.2311152516,3.5781127281,103.763132247289,5.46184816438937,0.599337640561,0.478566495593843
"GRB170714A",-0.397940009,21.06857915,1.76,4.28080232,1.84715,-10.075204,3,2.03808,0.15835625076292,443.885027399815,3.0976,18.3252685029174,3.4119631225,101.509735641616,9,4.1537700864,0.253580289562183
"GRB170903A",0.591064607,21.73970839,1.94,4.41384,2.20256,-11.26042766,1.46538285144842,0.971187,0.349357369648064,472.614920882236,3.7636,19.4819835456,4.8512705536,126.797231086093,2.1473469013191,0.943204188969,0.27554168840131
"GRB171205A",0,22.27837171,1.41,5.48376,1.66173,-12.42945706,2.27737997466725,1.13263,0,496.325846048928,1.9881,30.0716237376,2.7613465929,154.491402806384,5.18645954901543,1.2828507169,0.0156949885265181
"GRB171222A",-0.15490196,20.02880298,2.07,4.78231,1.99001,-12.10957898,2.24254142829838,0.718496,0.0239946172118416,401.152948811657,4.2849,22.8704889361,3.9601398001,146.641903072858,5.02899205763456,0.516236502016,0.532627001228891
"GRB180205A",0.531478917,21.4933967,2.04,3.21372,1.88733,-10.30627305,1.19033169817029,1.09633,0.282469839215493,461.966101703571,4.1616,10.3279962384,3.5620145289,106.219264181156,1.41688955166897,1.2019394689,0.381836799998343
"GRB180329B",0.146128036,21.41988474,0.97,4.02296,1.86768,-11.14935376,2.32221929473392,1.50063,0.0213534029052173,458.811462274885,0.9409,16.1842071616,3.4882285824,124.308089265626,5.3927024528345,2.2518903969,0.476831628512261
"GRB180404A",0.113943352,20.48730103,1.95,4.20449,1.62007,-11.62342304,1.54654266347813,1.17089,0.0129830874649959,419.729503493839,3.8025,17.6777361601,2.6246268049,135.103963166803,2.39179420995803,1.3709833921,0.301029995663981
"GRB180620B",0.556302501,21.21643247,1.3,4.6659,1.99236,-10.98296666,2.29841638006129,1.09835,0.309472472618855,450.13700675407,1.69,21.77062281,3.9694983696,120.625556654672,5.28271785613406,1.2063727225,0.325823419002744
"GRB180624A",0.146128036,21.1034582,1.91,4.171185481,2.06008,-11.54363397,2.68699356626468,1.243849338,0.0213534029052173,445.355947999147,3.6481,17.3987883169052,4.2439296064,133.255485233338,7.21993442514778,1.54716117564304,0.586024382386976
"GRB180720B",1.831869774,21.24271531,1.36,3.62033,1.8461,-8.847711656,1.68928221447305,1.34127,3.35574686889481,451.252953741708,1.8496,13.1067893089,3.40808521,78.2820015477183,2.85367440013496,1.7990052129,0.218535505216528
"GRB180728A",2.120573931,21.58733599,1.97,3.8695,1.70111,-9.42365865,0.938519725176492,1.1986,4.49683379683679,466.013075145149,3.8809,14.97303025,2.8937752321,88.8053423517198,0.880819274545358,1.43664196,0.0480531731156091
"GRB181010A",0.146128036,22.27837171,1.52,3.15711,1.76613,-9.928117993,1.2148438480477,1.07011,0.0213534029052173,496.325846048928,2.3104,9.9673435521,3.1192151769,98.5675268829304,1.47584557513934,1.1451354121,0.378397900948138
"GRB181020A",0.886490725,20.65703194,1.25,4.29043,1.93674,-10.42365865,2.37657695705651,2.64643,0.785865805511026,426.71296857018,1.5625,18.4077895849,3.7509618276,108.65265965172,5.64811803281199,7.0035917449,0.595275711802099
"GRB181110A",0.568201724,20.88432911,2.02,3.7664,1.76057,-10.39577395,2.14113609012074,1.92336,0.322853199156572,436.155202374793,4.0804,14.18576896,3.0996067249,108.072116019499,4.58446375641752,3.6993136896,0.398807730203264
"GRB190106A",0.740362689,21.7431239,1.43,4.19124,1.94587,-10.43297363,1.88536122003151,1.26841,0.548136911263311,472.763436930751,2.0449,17.5664927376,3.7864100569,108.846938764275,3.55458692999871,1.6088639281,0.456214155357989
"GRB190114A",-0.301029996,21.6447605,2.06,3.74534,1.83214,-10.75202673,1.8234742291703,1.18375,0.09061905849176,468.49565710236,4.2436,14.0275717156,3.3567369796,115.606078802635,3.32505826444822,1.4012640625,0.641126932803509
"GRB190719C",0.740362689494244,20.9538258694985,1.64,4.88123,1.5415,-11.257,2.26881190373978,1.55953,0.54813691199515,439.062818569264,2.6896,23.8264063129,2.37622225,126.720049,5.14750745455133,2.4321338209,0.54020429984206
"GRB190829A",1.25527250510331,22.049100010378,2.56,3.40640655,2.0913,-8.58538291,1.76492298464989,1.18850034,1.57570906206834,486.162811267651,6.5536,11.6036055838829,4.37353569,73.7087997113201,3.11495314174547,1.41253305818012,0.0328201494385639
"GRB191011A",0.255272505103306,21.6503347264086,1.94,3.15321333,1.81479,-10.8132081,0.867467487859051,1.30602449,0.0651640518617174,468.736993765534,3.7636,9.94275430448969,3.2934627441,116.925469413906,0.752499842492494,1.70569996847976,0.434888120867316
"GRB191221B",0.681241237375587,21.9226772003698,1.24,1.95518066,1.843,-8.11145684,1.68124123737559,1.15734724,0.464089623501021,480.603775631614,1.5376,3.82273141323804,3.396649,65.7957320671828,2.8265720982522,1.33945263393562,0.332034277027518
"GRB200205B",0.301029995663981,21.91683806,1.36,4.53640048,1.90881,-11.7337376,2.66086547800387,1.56884903,0.0906190582894564,480.347790548265,1.8496,20.5789293149442,3.6435556161,137.680598065654,7.08020509203276,2.46128727893194,0.391816923613249
"GRB201014A",-0.522878745280338,22.1524656960528,2.55,3.37597,1.97336,-11.0529,1.55870857053317,0.742849,0.273402182265941,490.731736414796,6.5025,11.3971734409,3.8941496896,122.16659841,2.42957240785355,0.551824636801,0.745074791582057
"GRB201020A",0.322219294733919,20.9325848608536,2.25,3.96908872,2.0761,-11.0900559,1.15136985024746,1.55158826,0.103825273898824,438.173108956837,5.0625,15.7536652672312,4.31019121,122.989339865125,1.32565253205886,2.40742612856983,0.591398551281249
"GRB201024A",0.568201724066995,21.2301072271578,2.1,3.01817341,2.07522,-10.4667906,0.698970004336019,0.99913283,0.322853199232706,450.717452876618,4.41,9.10937073283103,4.3065380484,109.553705464248,0.488559066961494,0.998266411983809,0.300812794118117
"GRB201104B",0.612783856719735,21.7305852647171,1.47,2.72159651,1.55046,-9.38944702,0.937517892017347,1.19537497,0.375504055056313,472.21833594714,2.1609,7.40708756324418,2.4039262116,88.1617153413869,0.878939797852649,1.4289213189025,0.470410490975931
"GRB201221A",0,22.8633210753449,1.4,3.69587,1.45068,-10.8802,1.64836001098093,1.06263,0,522.73145059431,1.96,13.6594550569,2.1044724624,118.37875204,2.71709072580106,1.1291825169,0.826074802700826
"GRB210210A",0.845098040014257,21.1231954587923,1.53,3.72413045,1.85188,-10.1403778,0.819543935541869,1.5451851,0.714190697235939,446.189386390344,2.3409,13.8691476086172,3.4294595344,102.827261926733,0.671652262283455,2.38759699326201,0.234264124378789
"GRB210222B",0.146128035678238,21.1461280356782,2.37,3.24642494,1.98,-10.4520599,1.1078880251828,1.37828029,0.0213534028111804,447.158730901296,5.6169,10.539274891054,3.9204,109.245556153188,1.22741587634344,1.89965655780248,0.504878459410216
"GRB210411C",0.681241237375587,21.0599645857867,1.6,2.93128506,1.88408,-9.72925773,1.10720996964787,1.16829405,0.464089623501021,443.52210835459,2.56,8.5924321029792,3.5497574464,94.6584559767648,1.22591391688763,1.3649109872654,0.582744965691277
"GRB210517A",0.176091259055681,21.1576833762698,1.85,3.057651,1.71079,-10.8415194,0.48572142648158,1.21043545,0.031008131515815,447.647565850483,3.4225,9.349229637801,2.9268024241,117.538542900576,0.235925304143301,1.4651539786167,0.542327382773974
"GRB210610A",0.380211241711606,21.3533795197779,1.41,3.15453451,1.83562,-10.4044334,1.13417710757677,1.0816785,0.144560588323881,455.96681691567,1.9881,9.95108797478094,3.3695007844,108.252234375036,1.2863577113512,1.17002837736225,0.657055852857104
"GRB210619B",2.06069784035361,21.8343030530778,1.41,2.91049117,1.92306,-8.55006175,1.78461729263288,1.12578835,4.24647558923803,476.736789813643,1.9881,8.47095885064797,3.6981597636,73.103555928813,3.18485888116429,1.26739940899572,0.4679039465228
"GRB210722A",0.342422680822206,20.5405897231745,1.62,3.6504,1.83712,-10.3507,1.70070371714502,1.43908,0.117253292341466,421.915826175782,2.6244,13.32542016,3.3750098944,107.13699049,2.89239313351089,2.0709512464,0.331427296520743
"GRB210731A",0.204119982655925,20.920544366897,1.45,4.80200435,2.06317,-11.9404653,1.35237549500052,1.74153741,0.0416649673194551,437.669176607306,2.1025,23.0592457774189,4.2566704489,142.574711580504,1.8289194794779,3.03295255042951,0.352664799651101
