"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","Gamma","log10Fa","log10T90","Alpha","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","GammaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","Response"
"GRB070508",1.382017043,21.89306622,1.1,3.02525,1.82568,-9.161150909,1.32014628611105,1.37377,1.90997110714246,479.306348513305,1.21,9.1521375625,3.3331074624,83.9266859774715,1.74278621673281,1.8872440129,0.260071387985075
"GRB070521",0.814913181,22.27524914,1.1,3.55243,2.00022,-10.01233374,1.57863920996807,1.44502,0.664083492567539,496.186724249071,1.21,12.6197589049,4.0008800484,100.246826921142,2.49210175524862,2.0880828004,0.489466281303128
"GRB070529",0.155336037,22.56252244,1.34,3.09323,1.97999,-10.24641694,2.03822263836872,1.21432,0.0241292843908654,509.067418855503,1.7956,9.5680718329,3.9203604001,104.989060108319,4.15435152355874,1.4745730624,0.544018407858776
"GRB070802",-0.397940009,21.91375294,1.79,3.92184,1.99014,-11.6716204,1.2148438480477,1.16348,0.15835625076292,480.212567915359,3.2041,15.3808289856,3.9606572196,136.226722761696,1.47584557513934,1.3536857104,0.537819095073274
"GRB071003",0.799340549,20.86974084,1.36,4.78411,1.91015,-11.67760082,2.17609125905568,1.97901,0.638945313275621,435.546082728764,1.8496,22.8877084921,3.6486730225,136.366360911265,4.73537316773854,3.9164805801,0.415699348887829
"GRB071020",0.924279286,20.99642367,1.11,2.311950854,1.59788,-9.169411331,0.6232492903979,1.119196934,0.85429219852867,440.849806930136,1.2321,5.34511675131133,2.5532204944,84.0781041570712,0.388439677981486,1.252601777075,0.497620649781288
"GRB071117",1.053078443,22.04291793,1.57,3.901990464,2.0457,-11.23542972,0.819543935541869,1.104952391,1.1089742071113,485.890230868716,2.4649,15.2255295811469,4.18488849,126.234880993059,0.671652262283455,1.22091978637662,0.367542273520577
"GRB080310",0.113943352,21.14009932,2.32,4.32608056,2.09352,-11.3990271,2.56229286445647,1.59590648,0.0129830874649959,446.903799259465,5.3824,18.7149730116099,4.3828259904,129.937818826534,6.56534472324457,2.54691749290599,0.534026106056135
"GRB080411",1.635483747,21.57289018,1.75,4.20932562,1.97674,-10.11350927,1.7481880270062,1.28909841,2.67480708670116,465.38959071834,3.0625,17.7184221751884,3.9075010276,102.283069754376,3.05616137776783,1.66177471066453,0.307496037913213
"GRB080430",0.414973348,21.51787914,1.73,4.21762911,2.03541,-11.17198494,1.20951501454263,0.99269763,0.172202879550329,463.019122683647,2.9929,17.7883953095194,4.1428938681,124.813247499587,1.46292657040406,0.985448584607617,0.247236549506764
"GRB080516",0.255272505,22.03528962,1.82,3.77452827,2.3315,-11.12090412,0.763427993562937,0.94016916,0.065164051808975,485.55398863728,3.3124,14.2470636610292,5.43589225,123.674508446233,0.582822301355532,0.883918049415106,0.6232492903979
"GRB080607",1.36361198,22.38386741,1.31,3.46298403,2.03418,-10.0540393,1.89762709129044,1.7256074,1.85943763199952,501.03752022846,1.7161,11.992258392035,4.1378882724,101.083706245944,3.60098857759942,2.97772089893476,0.605951157564873
"GRB080710",0,20.89722339,1.47,4.09266933,2.00149,-11.23284413,2.07918124604762,1.52133785,0,436.693945411563,2.1609,16.7499422447226,4.0059622201,126.176787248875,4.32299465391615,2.31446885384262,0.265996370495079
"GRB080721",1.320146286,21.79728278,1.11,2.87876286,1.9433,-8.714442691,1.20951501454263,1.33437559,1.74278621643959,475.121536591284,1.2321,8.28727560411538,3.77641489,75.9415114147233,1.46292657040406,1.78055821518785,0.555215405126073
"GRB080810",0.301029996,21.45079548,1.34,3.2687548,2.11482,-9.931814138,2.02530586526477,1.44529526,0.09061905849176,460.136626724788,1.7956,10.684757942523,4.4724636324,98.6409320717767,4.10186384787588,2.08887838857847,0.638489256954637
"GRB080928",0.322219295,21.51035195,1.77,4.08450503,2.13864,-11.1260984,2.44715803134222,1.76031774,0.103825274070297,462.695241012869,3.1329,16.6831813400953,4.5737810496,123.790065606483,5.98858243036273,3.09871854575871,0.430075055551939
"GRB081007",0.414973348,21.69605744,2.51,3.58176278,2.102,-10.58502665,1,1.00469263,0.172202879550329,470.718908439779,6.3001,12.8290246121933,4.418404,112.04278918121,1,1.00940728077632,0.184549481320698
"GRB081008",0.113943352,21.1376737,1.69,3.85550833,1.98207,-10.79317412,2.26834391395106,1.47398467,0.0129830874649959,446.801249447672,2.8561,14.8649444826994,3.9286014849,116.492607584638,5.14538411195884,2.17263080739501,0.472537053262077
"GRB081029",-0.301029996,21.49704581,1.43,4.48156171,1.95818,-11.86327943,2.43136376415899,2.51960373,0.09061905849176,462.122978557239,2.0449,20.0843953605381,3.8344689124,140.737398834261,5.91152975366536,6.34840295622991,0.685553652846326
"GRB081221",1.260071388,21.57331844,1.21,2.93195749,2.4947,-9.354577731,1.53147891704226,1.23586126,1.58777990285625,465.408068513644,1.4641,8.5963747231671,6.22352809,87.5081245253211,2.34542767334492,1.52735305396879,0.513217600067939
"GRB081230",-0.15490196,20.67248024,1.97,3.66959365,2.08621,-11.32975415,1.78318869107526,0.99376498,0.0239946172118416,427.35143927319,3.8809,13.4659175561203,4.3522721641,128.363329099442,3.17976190797869,0.9875688354744,0.491361693834273
"GRB090102",0.740362689,21.72376179,1.36,3.15380077,1.76997,-9.457174573,1.43136376415899,1.42487631,0.548136911263311,471.921826308664,1.8496,9.94645929685259,3.1327938009,89.4381509041977,2.04880222534738,2.03027249879922,0.406028944963615
"GRB090205",-0.301029996,21.81792086,2.15,3.70655,2.03416,-11.3419886,0.944482672150169,1.29089,0.09061905849176,476.021670653223,4.6225,13.7385129025,4.1378069056,128.64070540253,0.892047517991923,1.6663969921,0.752025387323213
"GRB090423",0.230448921,22.7516324,0.8,3.91521772,1.8158,-11.2798407,1.01283722470517,1.43267533,0.0531067051900642,517.63677686473,0.64,15.328929795002,3.29712964,127.234806217376,1.02583924374848,2.05255860119061,0.966610986681934
"GRB090424",1.851258349,21.63012977,1.19,2.99599056,1.96315,-9.050609993,1.68124123737559,1.1284106,3.42715747474221,467.86251386704,1.4161,8.97595943560911,3.8539579225,81.9135412453915,2.8265720982522,1.27331048219236,0.188647295999717
"GRB090519",-0.22184875,22.13069392,1.02,3.44619,1.46604,-11.76000021,1.80617997398389,1.42452,0.0492168678765625,489.767613380725,1.0404,11.8762255161,2.1492732816,138.2976049392,3.26228609842043,2.0292572304,0.685741738602264
"GRB090529",-0.397940009,21.94617755,2,4.472757799,2.22623,-12.1873998,2,0.8815438,0.15835625076292,481.634709056124,4,20.0055623285153,4.9561000129,148.53271388504,4,0.77711947131844,0.559308010907013
"GRB090530",0.397940009,20.90942658,1.61,3.6839464,2.03975,-11.16052195,1.68124123737559,0.88610581,0.15835625076292,437.204119904411,2.5921,13.571461078073,4.1605800625,124.557250196432,2.8265720982522,0.785183506515756,0.355259905527378
"GRB090618",1.589949601,21.39200012,1.42,3.67275453,1.82831,-9.640164518,2.05384642685225,1.30942861,2.52793973372006,457.61766913408,2.0164,13.4891258376355,3.3427174561,92.9327719341062,4.21828514509377,1.71460328468653,0.187520720836463
"GRB090809",0.041392685,21.91952315,1.34,4.56066,1.94644,-11.8559,0.732393759822969,1.6367,0.00171335437150922,480.465495123386,1.7956,20.7996196356,3.7886286736,140.56236481,0.536400619427624,2.67878689,0.572523097849638
"GRB090812",0.556302501,21.77771022,1.24,3.52924,1.88559,-10.16730017,1.82412583391655,1.37252,0.309472472618855,474.268662426292,1.5376,12.4555349776,3.5554496481,103.373992746882,3.32743505796175,1.8838111504,0.538070787043172
