"GRB","is_optical","reasons","Alpha","Beta","log10T90","PhotonIndex","log10Fa","log10Ta"
"081228A",1,"err>val:T90",1.297,0.939,0.477,1.736,-10.867,3.387
"090426A",0,"err>val:T90",1.004,0.64,0.079,1.93,-10.666,2.647
"110106B",0,"err>val:T90",1.225,1.03,-0.028,1.76,-10.815,3.872
"131117A",0,"PhotonIndex<0; err>val:PhotonIndex",0.951,0.86,1.041,-0.4,-10.839,2.871
