GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
050826,0.297,1.550228353055094,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,5.86506950125527,0.234050000000001,0.13858,0.23538,0.03,4.36363636363636e-08,0.187878787878788,0.0787878787878788
050904,6.29,2.241048150671644,-11.4544,4.6841,3.44235688,0.848,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,10.7562158769084,0.29485,0.098475,0.624745,0.0,1.09090909090909e-07,0.0424242424242424,0.103030303030303
050904A,6.295,2.2590440935752323,-11.479845999999998,4.3523586256,2.2219084712000003,0.9273,,,,,,,0.060159176,0.0239852326,0.187665,0.09,,,
050908A,3.34,1.2397998184470986,-10.742417,3.560698,1.159904,1.22506,,,,,,,0.037576,0.045149,0.08,0.09,,,
050922C,2.198,0.6532125137753437,-9.477555766,2.52429,1.22035,1.064,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457545832013,0.0319400000000005,0.034305,0.013275,0.013,3.27272727272727e-08,0.0363636363636364,0.193939393939394
051016B,0.9364,0.6020599913279624,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015426604,0.04535,0.058175,0.04854,0.005,1.33333333333333e-08,0.139393939393939,0.096969696969697
051028A,3.6,1.2041199826559248,-10.95913658,3.831887205,1.306123106,0.96452,,,,,,,0.10742038999999999,0.0857362145,0.1334,0.18,,,
051109A,2.346,1.5705429398818975,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.08958896788783,0.0481500000000006,0.04637,0.019155,0.0547943805,1.64848484848485e-07,0.121212121212121,0.418181818181818
051109B,0.08,1.1553360374650619,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,3.7781688614362,0.0922000000000001,0.126645,0.12217,0.0099999999999999,2.48484848484848e-08,0.145454545454545,0.0787878787878788
051111A,1.55,1.7765559107032618,-9.943926999999999,3.390521,1.2863,0.8379719999999999,,,,,,,0.014091,0.013892,0.04,0.07,,,
051221A,0.5465,0.146128035678238,-11.69464863,4.20075,1.09586,0.89,2.0589,-5.93930216,1.39,21.27394758,1.079181246,0.204978044855436,0.0630000000000006,0.085085,0.05576,0.005,2.12121212121212e-08,0.0363636363636364,0.236363636363636
060115,3.53,2.144885418287142,-11.29499204,3.69688,0.889919,1.0,2.10553,-5.76700389,1.0,21.43355223,-0.060480747,15.0870791029542,0.0811999999999999,0.123015,0.053884,0.085,9.09090909090909e-08,0.303030303,0.0727272727272727
060124,2.296,2.8750612633917,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,1.30678232181628,0.0444500000000003,0.036665,0.01627,0.076380116,3.21212121212121e-08,0.115151515151515,0.109090909090909
060124A,2.3,1.1344958558346736,-10.296202000000001,3.6891990000000003,1.202036,0.826806,,,,,,,0.014091,0.013892,0.0,0.08,,,
060206,4.048,0.8808135922807914,-10.63078414,3.93814,1.17565,1.265,2.20424,-6.080398976,1.2,22.33966406,0.445604203,1.93356045365311,0.0705499999999999,0.07444,0.02867,0.0130418865,2.54545454545455e-08,0.1818181818,0.103030303030303
