"","log10NH","log10PeakFlux","PhotonIndex","log10Fa","log10Ta","Beta","Alpha","log10T90","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10FaSqr","log10TaSqr","BetaSqr","AlphaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050315A",21.91683806,0.285557309,2.11,-11.3757179,4.86356,0.856,1.10818,1.980457892,1.99544,-5.492144128,480.347790548265,0.0815429767233215,4.4521,129.40695774038,23.6542158736,0.732736,1.2280629124,3.92221346198508,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.0495050700000001,"050315A",1.949,0.469674772551798
"050318A",20.92661714,0.499687083,1.9,-11.15490196,4.132084541,0.95,1.874408221,1.505149978,1.98053,-5.966576245,437.923304924142,0.249687180917049,3.61,124.431837737212,17.0741226539712,0.9025,3.51340617895238,2.2654764562734,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",1.44,0.387389826338729
"050319A",20.93735437,0.181843588,2.02,-10.70553377,3.73997,0.971,0.863159,2.183383742,2.01045,-5.882728704,438.372808014958,0.0330670904967137,4.0804,114.60845330061,13.9873756009,0.942841,0.745043459281,4.76716456482992,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.0600012109999999,"050319A",3.24,0.627365856592733
"050401A",22.12570242,1.029383778,1.4,-9.653647026,3.12435,0.9995,0.984108,1.506369717,1.78711,-5.085128182,489.546707578394,1.05963096240955,1.96,93.1929009025986,9.7615629225,0.99900025,0.968468555664,2.26914972429466,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",2.9,0.591064607026499
"050505A",22.23063027,0.267171728,1.41,-11.04817696,4.270583544,0.973,1.462094791,1.770115295,2.01835,-5.603800653,494.20092220144,0.071380732242506,1.9881,122.062214139475,18.2378838062836,0.946729,2.13772117786933,3.13330815759294,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",4.27,0.721810615212547
"050730A",21.73850309,-0.259637311,1.53,-10.09854168,4.05018,0.5615,2.38763,2.194514342,1.6177,-5.623423043,472.562516593939,0.0674115332633107,2.3409,101.980544062697,16.4039580324,0.31528225,5.7007770169,4.81589319724369,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",3.967,0.696094159995223
"050802A",21.25883595,0.439332694,1.54,-10.28650946,3.63973,0.8585,1.44729,1.477121255,1.8557,-5.698970004,451.938105949012,0.193013216017298,2.3716,105.812276870669,13.2476344729,0.73702225,2.0946483441,2.18188720197277,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.0340921169999999,0.13,0.069487117,"050802A",1.7102,0.433001340945038
"050803A",21.34755638,-0.017728767,1.38,-10.86012091,4.21721,1.218,1.52234,1.943988875,2.11696,-5.66756154,455.718163397279,0.000314309179340289,1.9044,117.942226179819,17.7848601841,1.483524,2.3175190756,3.77909274612377,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.0272696540000001,0.11,0.0497629089999998,"050803A",3.5,0.653212513775344
"050824A",20.9708274,-0.301029996,2.76,-12.23882419,5.08558,0.86,0.954481,1.353723938,1.94709,-6.575118363,439.775601840591,0.09061905849176,7.6176,149.788817553729,25.8631239364,0.7396,0.911033979361,1.83256850031423,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0.8278,0.261928672990642
"060115A",21.43355223,-0.060480747,1,-11.29499204,3.69688,1,0.889919,2.144885418,2.10553,-5.76700389,459.397161196138,0.00365792075767801,1,127.576845183663,13.6669217344,1,0.791955826561,4.60053345634903,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.0380960069999999,0.303030303,0.0599026869999998,"060115A",3.53,0.656098202012832
"060124A",21.9172644,-0.050609993,1.84,-10.6893,4.47599,0.99,1.3641,1.134495856,2.00895,-6.336299075,480.366478779507,0.00256137139146005,3.3856,114.26113449,20.0344864801,0.9801,1.86076881,1.28708084728117,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.0878348390000001,"060124A",2.296,0.517987203025078
"060206A",22.33966406,0.445604203,1.2,-10.63078414,3.93814,1.265,1.17565,0.880241776,2.20424,-6.080398976,499.060590313656,0.198563105731265,1.44,113.013571431276,15.5089466596,1.600225,1.3821529225,0.774825584215634,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.0264623880000001,"060206A",4.048,0.703119346236078
"060210A",22.3877421,0.434568904,1.53,-10.66756154,4.15028,0.979,1.20511,2.40654018,2.08163,-5.11577123,501.210996336112,0.188850132323761,2.3409,113.796869209687,17.2248240784,0.958441,1.4522901121,5.79143563795443,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.0447067850000001,"060210A",3.91,0.691081492122968
"060306A",21.61973178,0.775974331,1.8,-10.70553377,3.61496,0.76,1.03794,2.13255996245349,2.28823,-5.671620397,467.412802239142,0.602136162370898,3.24,114.60845330061,13.0679358016,0.5776,1.0773194436,4.54781199345963,5.2359965329,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",1.559,0.408070285887185
"060418A",21.65363309,0.814247596,1.7,-9.792961075,3.11887,0.98,1.47655,2.158362492,1.94118,-5.079354999,468.879825996343,0.662999147591779,2.89,95.9020866164651,9.7273500769,0.9604,2.1801999025,4.65852864687245,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",1.489,0.396024896608593
"060604A",21.99003057,-0.468521083,2.01,-11.76955108,4.45991,1.02,1.21596,1.977723605,2.1711,-6.395773947,483.561444469534,0.219512005215493,4.0401,138.522332624729,19.8907972081,1.0404,1.4785587216,3.9113906577742,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",2.1357,0.496334505996816
"060605A",21.77333803,-0.337242168,1.55,-11.26121944,4.04162,0.835,1.9179,2.059904056,2.02128,-6.156767222,474.078248968644,0.11373227987734,2.4025,126.815063275834,16.3346922244,0.697225,3.67834041,4.24320471992525,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",3.78,0.679427896612119
