"","log10NH","PhotonIndex","log10PeakFlux","log10Ta","log10Fa","Beta","log10T90","Alpha","Gamma","log10Fluence","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","log10TaSqr","log10FaSqr","BetaSqr","log10T90Sqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","log10Ta_opt","log10Fa_opt","Beta_opt","log10T90_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050505A",22.23063027,1.41,0.267171728,4.270583544,-11.04817696,0.973,1.770115295,1.462094791,2.01835,-5.603800653,494.20092220144,1.9881,0.071380732242506,18.2378838062836,122.062214139475,0.946729,3.13330815759294,2.13772117786933,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",0,0,0,0,0,0,0,0,0,0,0,4.27,0.721810615212547
"050525A",21.2788016,1,1.620136055,3.52311970886638,-10.365041044102,0.890967133832897,0.944482672,1.23753194978319,2.08914,-4.815308569,452.787397532163,1,2.62484083671096,12.4123724830027,107.434075845919,0.793822433570407,0.89204751770826,1.53148532673418,4.3645059396,23.1871966146848,0.207740121229715,0.892985542944693,0.488621967364605,0.27533487659653,0.185359147749356,0.006273143,0.1,0.009789852,"050525A",1,5.3197004,0.25,0.40503401375,0.880779927216595,-2.5912602610255,0.222741783458224,0.236120668,0.309382987445798,0.522285,-1.20382714225,0.61,0.20682587603185
"050730A",21.73850309,1.53,-0.259637311,4.05018,-10.09854168,0.5615,2.194514342,2.38763,1.6177,-5.623423043,472.562516593939,2.3409,0.0674115332633107,16.4039580324,101.980544062697,0.31528225,4.81589319724369,5.7007770169,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",0,0,0,0,0,0,0,0,0,0,0,3.967,0.696094159995223
"050801A",20.80209017,1.99,0.164352856,3.2750876496336,-10.0881189043488,0.90963767149082,1.28780173,1.31174410250412,2.07525210781143,-6.508638306,432.726955440811,3.9601,0.0270118612753567,10.7261991127825,101.77014302828,0.827440693395241,1.65843329579099,1.72067259045434,4.30667131097578,42.3623725983306,0.0933217274509788,0.901479710684825,0.52979895070717,0.26605485471443,0.193128427848574,0.0581234535102333,0.25,0.0712796339614364,"050801A",1,5.2005225425,0.4975,0.041088214,0.8187719124084,-2.5220297260872,0.227409417872705,0.3219504325,0.32793602562603,0.518813026952857,-1.6271595765,1.56,0.40823996531185
"050802A",21.25883595,1.54,0.439332694,3.63973,-10.28650946,0.8585,1.477121255,1.44729,1.8557,-5.698970004,451.938105949012,2.3716,0.193013216017298,13.2476344729,105.812276870669,0.73702225,2.18188720197277,2.0946483441,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,"050802A",0,0,0,0,0,0,0,0,0,0,0,1.7102,0.433001340945038
"050803A",21.34755638,1.38,-0.017728767,4.21721,-10.86012091,1.218,1.943988875,1.52234,2.11696,-5.66756154,455.718163397279,1.9044,0.000314309179340289,17.7848601841,117.942226179819,1.483524,3.77909274612377,2.3175190756,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,"050803A",0,0,0,0,0,0,0,0,0,0,0,3.5,0.653212513775344
"050820A",21.61964524,1.25,0.389166084,3.750945731,-10.01818139,0.9,1.414973348,1.136499703,1.96878,-5.463441557,467.409060303455,1.5625,0.151450240935895,14.0695938769071,100.363958362942,0.81,2.00214957555033,1.29163157491909,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",0,0,0,0,0,0,0,0,0,0,0,2.6147,0.558072259099146
"050824A",20.9708274,2.76,-0.301029996,5.08558,-12.23882419,0.86,1.353723938,0.954481,1.94709,-6.575118363,439.775601840591,7.6176,0.09061905849176,25.8631239364,149.788817553729,0.7396,1.83256850031423,0.911033979361,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0,0,0,0,0.8278,0.261928672990642
"050904A",22.39388568,1.25,-0.207608311,4.3249404214519,-11.4997477508003,0.991200955835338,2.259044094,1.81956893679898,1.90813,-5.316052869,501.486115848909,1.5625,0.0431012107962727,18.7051096491085,132.244198332037,0.982479334848888,5.10328021863628,3.31083111576377,3.6409600969,28.2604181060031,0.249936990327389,0.923771726391381,0.544005995733535,0.277912179796891,0.171430708929668,0.016184888,0.07,0.119080745,"050904A",1,5.59847142,0.3125,-0.05190207775,1.08123510536297,-2.87493693770007,0.247800238958834,0.5647610235,0.454892234199745,0.4770325,-1.32901321725,6.295,0.86302529622947
"050908A",22.46148952,1.88,-0.15490196,3.60656050757384,-10.8138150011819,1.12756931093764,1.239799818,1.11207649813636,2.74883,-6.316052869,504.51851145707,3.5344,0.0239946172118416,13.0072786947913,116.938594879787,1.27141255096838,1.53710358871283,1.23671413770723,7.5560663689,39.8925238440031,0.0442926372724909,0.879495308597669,0.471688924860416,0.257710537421672,0.205028057998301,0.045857181,0.17,0.086858896,"050908A",1,5.61537238,0.47,-0.03872549,0.90164012689346,-2.70345375029548,0.28189232773441,0.3099499545,0.27801912453409,0.6872075,-1.57901321725,3.34,0.637489729512511
"050922C",21.44930866,1.37,0.860936621,2.52429,-9.477555766,1.064,0.653212514,1.22035,2.2119,-5.790484985,460.072841991951,1.8769,0.741211865378898,6.3720400041,89.8240632976399,1.132096,0.4266865884462,1.4892541225,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",0,0,0,0,0,0,0,0,0,0,0,2.198,0.504878459410216
"051016B",21.71466751,2.4,0.113943352,4.25742,-11.59006688,0.73,0.602059991,1.14771,1.89482,-6.769551079,471.52678506985,5.76,0.0129830874649959,18.1256250564,134.329650282873,0.5329,0.36247623276292,1.3172382441,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0,0,0,0,0.9364,0.286995073968852
"051028A",20.9024195385481,1.6783282458665,0.179466033655192,3.87107851976171,-10.9952399525978,0.991434630767032,1.204119983,1.24451195805427,2.02921982175251,-6.17568341398607,436.911142565477,2.81678570087332,0.0322080572359265,14.9852489061605,120.895301615203,0.982942627084161,1.44990493345992,1.54881001374007,4.11773308499329,38.1390656297826,0.035217186540104,0.870075871523408,0.51056643115906,0.267267276224572,0.187380640211112,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",1,5.22560488463702,0.419582061466625,0.044866508413798,0.967769629940427,-2.74880998814945,0.247858657691758,0.30102999575,0.311127989513568,0.507304955438127,-1.54392085349652,3.6,0.662757831681574
"051109A",21.97057233,1.51,0.595496222,3.91123,-10.51999306,1.06,1.57054294,1.22299,2.06584,-5.657577319,482.706048507762,2.2801,0.354615750416273,15.2977201129,110.670253982448,1.1236,2.46660512638384,1.4957045401,4.2676949056,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,0,0,0,0,2.346,0.524525936626376
"051111A",21.79196559,1.32,0.424881637,3.31732276166453,-9.96844140348108,0.915431303963472,1.776555911,1.21342752258022,2.23019,-5.389339837,474.889764275744,1.7424,0.1805244054598,11.0046303050576,99.3698240146358,0.838014472276263,3.15615090490904,1.47240635255517,4.9737474361,29.0449838786752,0.132471980179598,0.917895604076175,0.515149522172182,0.270217451308826,0.175405308072509,0.014263593,0.06,0.034286406,"051111A",1,5.4479913975,0.33,0.10622040925,0.829330690416132,-2.49211035087027,0.228857825990868,0.44413897775,0.303356880645055,0.5575475,-1.34733495925,1.55,0.406540180433955
"060115A",21.43355223,1,-0.060480747,3.69688,-11.29499204,1,2.144885418,0.889919,2.10553,-5.76700389,459.397161196138,1,0.00365792075767801,13.6669217344,127.576845183663,1,4.60053345634903,0.791955826561,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,"060115A",0,0,0,0,0,0,0,0,0,0,0,3.53,0.656098202012832
"060124A",21.9172644,1.84,-0.050609993,4.47599,-10.6893,0.99,1.134495856,1.3641,2.00895,-6.336299075,480.366478779507,3.3856,0.00256137139146005,20.0344864801,114.26113449,0.9801,1.28708084728117,1.86076881,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,"060124A",0,0,0,0,0,0,0,0,0,0,0,2.296,0.517987203025078
"060206A",22.33966406,1.2,0.445604203,3.93814,-10.63078414,1.265,0.880241776,1.17565,2.20424,-6.080398976,499.060590313656,1.44,0.198563105731265,15.5089466596,113.013571431276,1.600225,0.774825584215634,1.3821529225,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,"060206A",0,0,0,0,0,0,0,0,0,0,0,4.048,0.703119346236078
"060210A",22.3877421,1.53,0.434568904,4.15028,-10.66756154,0.979,2.40654018,1.20511,2.08163,-5.11577123,501.210996336112,2.3409,0.188850132323761,17.2248240784,113.796869209687,0.958441,5.79143563795443,1.4522901121,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,"060210A",0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060223A",22.49782636,1.74,0.130333768,2.78682,-10.9636,0.81,1.053078443,1.1892,2.01015,-6.171984936,506.152190924711,3.0276,0.0169868910810778,7.7663657124,120.20052496,0.6561,1.1089742071113,1.41419664,4.0407030225,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,"060223A",0,0,0,0,0,0,0,0,0,0,0,4.41,0.73319726510657
"060306A",21.61973178,1.8,0.775974331,3.61496,-10.70553377,0.76,2.13255996245349,1.03794,2.28823,-5.671620397,467.412802239142,3.24,0.602136162370898,13.0679358016,114.60845330061,0.5776,4.54781199345963,1.0773194436,5.2359965329,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",21.65363309,1.7,0.814247596,3.11887,-9.792961075,0.98,2.158362492,1.47655,1.94118,-5.079354999,468.879825996343,2.89,0.662999147591779,9.7273500769,95.9020866164651,0.9604,4.65852864687245,2.1801999025,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,1.489,0.396024896608593
"060502A",21.45692297,1.46,0.227886705,3.3865,-10.55284197,0.87,1.45331834,0.897152,2.02719,-5.63638802,460.399543340514,2.1316,0.051932350315757,11.46838225,111.362473643793,0.7569,2.11213419738036,0.804881711104,4.1094992961,31.7688699119995,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,"060502A",0,0,0,0,0,0,0,0,0,0,0,1.5026,0.398391440229475
"060510B",22.00215742,1.78,-0.244125144,4.43617,-12.2656,1.38,2.43964843,1.00735,2.1317,-5.390405591,484.094931134461,3.1684,0.0595970859330207,19.6796042689,150.44494336,1.9044,5.95188446200147,1.0147540225,4.54414489,29.0564724354841,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.083811216,"060510B",0,0,0,0,0,0,0,0,0,0,0,4.9,0.770852011642144
"060512A",20.99187128,2.48,-0.055517328,3.6921980708428,-10.718659393973,0.90522229240089,0.92890769,1.09916142702962,2.70163,-6.634512015,440.658659836089,6.1504,0.00308217370825958,13.6323265943353,114.889659204006,0.819427398659522,0.862869496541136,1.20815584266979,7.2988046569,44.0167496771794,0.0402373538487879,0.907732713953452,0.539186180923982,0.275581151967952,0.174144348938998,0.074878359,0.3,0.098703291,"060512A",1,5.24796782,0.62,-0.013879332,0.9230495177107,-2.67966484849325,0.226305573100223,0.2322269225,0.274790356757405,0.6754075,-1.65862800375,0.44,0.15836249209525
"060526A",21.81764402,2.01,0.222716471,3.8752,-11.3053948,0.93,2.47444938,1.05873,1.90677,-5.899629455,476.009590583442,4.0401,0.0496026264546938,15.01717504,127.811951583867,0.8649,6.12289973418238,1.1209092129,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,"060526A",0,0,0,0,0,0,0,0,0,0,0,3.221,0.625415352154408
"060604A",21.99003057,2.01,-0.468521083,4.45991,-11.76955108,1.02,1.977723605,1.21596,2.1711,-6.395773947,483.561444469534,4.0401,0.219512005215493,19.8907972081,138.522332624729,1.0404,3.9113906577742,1.4785587216,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
"060605A",21.77333803,1.55,-0.337242168,4.04162,-11.26121944,0.835,2.059904056,1.9179,2.02128,-6.156767222,474.078248968644,2.4025,0.11373227987734,16.3346922244,126.815063275834,0.697225,4.24320471992525,3.67834041,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,0,0,0,0,3.78,0.679427896612119
"060607A",21.79614607,1.47,0.146128036,3.65888548653492,-10.4192136506336,0.917414348937395,2.009450896,1.34228271777493,1.61002,-5.59345982,475.071983504776,2.1609,0.0213534029052173,13.3874430035759,108.56001309755,0.841649087636224,4.0378929034352,1.80172289443725,2.5921644004,31.2867927579544,0.0734942688403521,0.824348879996783,0.503454969471403,0.241737386058814,0.178557239723894,0.019074895,0.08,0.040327345,"060607A",1,5.4490365175,0.3675,0.036532009,0.91472137163373,-2.6048034126584,0.229353587234349,0.502362724,0.335570679443732,0.402505,-1.398364955,3.07,0.60959440922522
"060707A",21.20847898,0.6,0.004321374,3.5545,-10.9132,1.12,1.820857989,0.861995,2.09345,-5.795880017,449.799580645102,0.36,1.8674273247876e-05,12.63447025,119.09793424,1.2544,3.31552381610512,0.743035380025,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",20.79066861,1.68,0.28780173,3.50569,-10.86966623,1.485,1.008600172,1.12969,2.20484,-6.306273051,432.251901250839,2.8224,0.0828298357909929,12.2898623761,118.149643951602,2.205225,1.01727430695843,1.2761994961,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,"060708A",0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",22.0125926,1.93,0.10720997,3.73449,-10.86012091,0.87,2.060660074,1.20488,2.04425,-5.548213564,484.554232973575,3.7249,0.0114939776674009,13.9464155601,117.942226179819,0.7569,4.24631994057768,1.4517358144,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,"060714A",0,0,0,0,0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",20.86562801,1.75,0.068185862,5.1057,-11.15058059,1.317,2.062017599,1.35481,1.92492,-5.583359493,435.374432251696,3.0625,0.00464931177668304,26.06817249,124.335447494085,1.734489,4.25191657858572,1.8355101361,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",22.00679538,1.53,0.861534411,4.22387,-10.91009489,0.97,2.162265614,1.29504,2.11591,-4.835647144,484.299042897189,2.3409,0.742241541337117,17.8410777769,119.030170508804,0.9409,4.6753925854868,1.6771286016,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060904B",21.59122827,1.64,0.387389826,3.7518420743006,-10.5849135242418,0.974845285889291,2.234264124,1.30299518838922,2.18877,-5.790484985,466.181138207247,2.6896,0.15007087728831,14.0763189504922,112.040394315677,0.950323331420573,4.99193617579349,1.69779646096546,4.7907141129,33.5297163615105,0.0416381769095578,0.905427609653774,0.53027759129575,0.250366793428078,0.189465306923104,0.038335871,0.14,0.037377804,"060904B",1,5.3978070675,0.41,0.0968474565,0.93796051857515,-2.64622838106045,0.243711321472323,0.558566031,0.325748797097305,0.5471925,-1.44762124625,0.7,0.230448921378274
"060906A",22.41960057,2.03,0.294466226,4.33479,-11.8827287,1.06,1.638489257,1.71887,2.07859,-5.655607726,502.638489718344,4.1209,0.0867103582546831,18.7904043441,141.199241357804,1.1236,2.68464704530441,2.9545140769,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",21.80952201,1,0.481442629,2.81918,-9.627087997,1.185,1.285557309,1.38309,2.13395,-5.552841969,475.655250304674,1,0.231787005018432,7.9477758724,92.6808233019815,1.404225,1.65265759472332,1.9129379481,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060912A",21.36738202,1.74,0.933487288,2.455171016,-10.1079054,0.63,0.698970004,1.045731532,1.8948,-5.869666232,456.565014388619,3.0276,0.871398516857595,6.02786471780647,102.169751575349,0.3969,0.48855906649176,1.09355443701907,3.59026704,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"060926A",22.50004427,2.54,0.037426498,3.351,-10.84771166,1.357,0.903089987,1.45111,2.00443,-6.659555885,506.25199215196,6.4516,0.001400742752544,11.229201,117.6728482585,1.841449,0.81557152461966,2.1057202321,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",22.10710478,0.9,0.431363764,3.15198,-10.77728353,0.83,1.352953912,1.39098,1.94856,-5.946921557,488.724081753899,0.81,0.186074696892248,9.9349779204,116.149840286009,0.6889,1.8304842879961,1.9348253604,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,"060927A",0,0,0,0,0,0,0,0,0,0,0,5.47,0.8109042806687
"061007A",21.74186197,1.03,1.164352856,3.14188154016111,-9.09464464150133,1.00076199950335,1.876852648,1.56287403912179,1.99824,-4.35261703,472.708561922532,1.0609,1.35571757327536,9.87141961240515,82.7125611551888,1.00152457964994,3.52257586230461,2.44257526216086,3.9929630976,18.945275009846,0.0515724807527089,0.969215146110917,0.529041883111729,0.266135644308382,0.181207609070461,0.005497151,0.03,0.011006093,"061007A",1,5.4354654925,0.2575,0.291088214,0.785470385040278,-2.27366116037533,0.250190499875838,0.469213162,0.390718509780447,0.49956,-1.0881542575,1.26,0.354108439147401
