"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10Fa","Gamma","Alpha","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","GammaSqr","AlphaSqr","Response"
"GRB070721B",21.89473409,0.176091259,1.34,3.94739,-10.50863831,1.52512,2.5054,479.379380871808,0.0310081314962051,1.7956,15.5818878121,110.4314791304,2.3259910144,6.27702916,0.665205628434601
"GRB070810A",21.93100401,0.278753601,2.04,3.36583,-10.77728353,2.17076,1.36994,480.968936886636,0.0777035700704672,4.1616,11.3288115889,116.149840286009,4.7121989776,1.8767356036,0.501059262217751
"GRB080319B",20.8771334,1.394451681,1.04,5.36799912,-12.15181088,1.81426,1.42250979,435.854699001396,1.94449549064373,1.0816,28.8154145523208,147.666507663286,3.2915393476,2.02353410264584,0.287129620719111
"GRB080319C",21.75037415,0.716003344,1.37,3.19029,-8.91721463,1.61029,1.45203,473.078775664988,0.512660788619182,1.8769,10.1779502841,79.516716757486,2.5930338841,2.1083911209,0.469822015978163
"GRB080905B",22.33533151,-0.301029996,1.78,3.67820615,-10.11125904,1.86248,1.36946226,498.867033661599,0.09061905849176,3.1684,13.5292004818978,102.237559373982,3.4688317504,1.87542688156431,0.528145078253106
"GRB081028A",20.90308999,-0.301029996,1.25,4.75426,-11.3994,2.51,2.20023,436.939171130038,0.09061905849176,1.5625,22.6029881476,129.94632036,6.3001,4.8410120529,0.60616631460762
"GRB081203A",21.66176916,0.462397998,1.54,4.02089,-10.9243983,2.03508,1.86904,469.232243141127,0.213811908554408,2.3716,16.1675563921,119.342478217043,4.1415506064,3.4933105216,0.491361693834273
"GRB090418A",22.02365981,0.278753601,1.48,3.52813657,-10.04720756,2.03408,1.52909667,485.041591426609,0.0777035700704672,2.1904,12.4477476565714,100.946379753721,4.1374814464,2.33813662620509,0.416307587059883
"GRB090516A",21.19589965,0.204119983,1.84,4.33113504,-11.27490548,2.09,1.76098314,449.26616197287,0.0416649674599203,3.3856,18.7587307347158,127.123493582934,4.3681,3.10106161936426,0.708335902682263
"GRB091109A",21.89596701,0.113943352,1.31,3.37933883,-11.14630179,1.96352,1.06152816,479.433371303008,0.0129830874649959,1.7161,11.4199309279458,124.240043593757,3.8554107904,1.12684203447299,0.610234175334389
"GRB091208B",21.91211094,1.181843588,1.74,3.31388094,-10.18045606,2.03333,1.1606541,480.140605846868,1.39675426649671,3.0276,10.9818068844953,103.641685589591,4.1344308889,1.34711793984681,0.314499227973151
"GRB100219A",21.75351565,-0.397940009,1.34,4.7218991,-12.13548892,1.58721,0.998947,473.215443134795,0.15835625076292,1.7956,22.2963311105808,147.270091327443,2.5192355841,0.997895108809,0.753330221324521
"GRB100418A",21.06857915,0,2.16,5.54363,-12.48811664,2.26662,1.81145,443.885027399815,0,4.6656,30.7318335769,155.953057214245,5.1375662244,3.2813511025,0.21045229296202
"GRB100425A",20.53466438,0.146128036,2.42,3.60199415,-11.50168945,2.17077,0.86819371,421.672441199241,0.0213534029052173,5.8564,12.9743618566342,132.288860204241,4.7122423929,0.753760318083564,0.440121603187804
"GRB100513A",22.05240534,-0.22184875,1.62,3.74522911,-11.57186521,2.25722,0.96306136,486.308581279661,0.0492168678765625,2.6244,14.0267410863914,133.908064438408,5.0950421284,0.92748718312505,0.761326322421457
"GRB100621A",22.28454803,1.10720997,1.9,3.64164386,-9.804100348,2.3024,0.94079321,496.601080901377,1.2259139176674,3.61,13.2615700030757,96.1203836336537,5.30104576,0.885091863982104,0.188084373714938
"GRB100704A",21.52730245,0.633468456,1.73,3.62503495,-10.35163999,2.11575,1.01294211,463.424750773776,0.401282284747024,2.9929,13.1408783887215,107.156450482567,4.4763980625,1.02605171821125,0.662757831681574
"GRB100728A",21.52592288,0.707570176,1.18,4.03148606,-10.17587417,1.90402,1.5588143,463.365355835707,0.500655553964671,1.3924,16.2528798519743,103.548415123673,3.6252921604,2.42990202188449,0.409425868671443
"GRB100814A",20.89608288,0.397940009,1.47,5.22729477,-11.49349497,1.89414,1.76532941,436.646279727829,0.15835625076292,2.1609,27.3246106124694,132.100426625415,3.5877663396,3.11638792581095,0.387389826338729
"GRB100901A",21.53188109,-0.096910013,1.52,4.91124,-11.34103516,1.98285,1.50754,463.6219032739,0.00939155061966017,2.3104,24.1202783376,128.619078500356,3.9316941225,2.2726768516,0.381656482585787
"GRB100906A",21.96198081,1.004321374,1.78,3.94074768,-10.4698003,2.02817,1.71220056,482.328601098808,1.00866142227325,3.1684,15.5294922774254,109.61671832188,4.1134735489,2.93163075766431,0.43568513794163
"GRB101219B",20.49692965,-0.22184875,1.56,4.42003952,-11.99567863,1.85684,0.66918137,420.124125077049,0.0492168678765625,2.4336,19.5367493583618,143.896305794239,3.4478547856,0.447803705955077,0.190331698170291
"GRB110106B",21.29748256,0.322219295,1.76,3.87203946,-10.81530857,2.05121,1.22519883,453.582763393504,0.103825274070297,3.0976,14.9926895797971,116.970899464315,4.2074624641,1.50111217303337,0.208978517276253
"GRB110213A",21.56708403,0.204119983,1.83,3.84089,-9.896196279,1.96436,1.8412,465.139113557081,0.0416649674599203,3.3489,14.7524359921,97.9347007924934,3.8587102096,3.39001744,0.390935107103379
"GRB110422A",22.02088312,1.487138375,0.86,3.50066971,-9.681936665,1.89199,1.42239886,484.919293384701,2.21158054639764,0.7396,12.2546884185115,93.7398975850713,3.5796261601,2.0232185169293,0.442479769064449
"GRB110503A",21.13638759,0.130333768,0.88,2.54166555,-9.08249449,1.90907,1.14649063,446.746880354706,0.0169868910810778,0.7744,6.4600637680568,82.4917061608804,3.6445482649,1.3144407646778,0.417139409727326
"GRB110715A",22.0746007,1.731588765,1.25,2.61109719,-9.075720714,1.85342,0.95853538,487.287996064441,2.99839965107422,1.5625,6.8178285356259,82.3687064785287,3.4351656964,0.918790074711744,0.260071387985075
"GRB110731A",21.95954126,1.041392685,1.15,5.08952072,-12.08512818,1.85145,1.42351927,482.221452349642,1.08449872437151,1.3225,25.9032211593093,146.05032312703,3.4278671025,2.02640711206133,0.583198773968623
"GRB110808A",22.23063027,-0.397940009,2.32,4.50711,-12.08440021,2.33721,0.807091,494.20092220144,0.15835625076292,5.3824,20.3140405521,146.032728435448,5.4625505841,0.651395882281,0.370698092575577
"GRB110818A",22.06812647,0.204119983,1.58,3.84627415,-11.28316228,1.95985,1.37167718,487.002205895915,0.0416649674599203,2.4964,14.7938248369582,127.309751036815,3.8410120225,1.88149828613275,0.639486489268586
"GRB111123A",21.35034301,-0.045757491,1.68,4.42202873,-11.60730305,2.55463,1.46723371,455.837146644656,0.00209374798261508,2.8224,19.5543380889454,134.729484094539,6.5261344369,2.15277475976036,0.618215503279417
"GRB111209A",21.14009932,-0.301029996,1.48,4.13326,-9.057000407,1.81212,2.77382,446.903799259465,0.09061905849176,2.1904,17.0838382276,82.0292563723982,3.2837788944,7.6940773924,0.224533062606086
"GRB111228A",21.41342718,1.093421685,2.27,4.10627835,-10.65757732,2.03824,1.15297662,458.534863593163,1.19557098122824,5.1529,16.8615218876787,113.583954331778,4.1544222976,1.32935508626662,0.234010817587179
"GRB120118B",21.451745,0.342422681,2.08,3.68307,-10.95467702,2.20884,1.0241,460.177363545025,0.117253292463228,4.3264,13.5650046249,120.004948612516,4.8789741456,1.04878081,0.595826777073223
"GRB120327A",22.16619025,0.591064607,1.52,3.48517215,-10.15181088,1.75797,1.44859414,491.339990199195,0.349357369648064,2.3104,12.1464249151356,103.059264143286,3.0904585209,2.09842498244234,0.581266805273671
"GRB120404A",21.70983536,0.079181246,1.85,3.79948,-11.02687215,1.89579,1.90651,471.316951358306,0.00626966971811252,3.4225,14.4360482704,121.591909412446,3.5940197241,3.6347803801,0.588383768378728
"GRB120422A",21.29748256,-0.22184875,1.19,5.23266697,-12.73992861,2.32199,0.86153199,453.582763393504,0.0492168678765625,1.4161,27.380803618929,162.305780987897,5.3916375601,0.74223736979336,0.108226656374928
"GRB120729A",21.34792103,0.462397998,1.62,3.52138487,-10.29756946,1.8831,2.26312734,455.733732303116,0.213811908554408,2.6244,12.4001514026649,106.039936783525,3.54606561,5.12174535705548,0.255272505103306
"GRB120802A",22.12127744,0.477121255,1.21,3.53838419,-11.17198494,2.03526,0.54215516,489.350915577453,0.227644691972775,1.4641,12.520162676042,124.813247499587,4.1422832676,0.293932217514626,0.680879174426811
"GRB120811C",21.91722026,0.612783857,1.4,3.15909591,-10.14327111,1.92121,1.01613299,480.364543925354,0.375504055399796,1.96,9.97988696857873,102.885948810961,3.6910478641,1.03252625336634,0.564784384503987
"GRB120907A",21.0438101,0.462397998,1.73,3.2113827,-10.37675071,1.82021,1.05329104,442.841943524862,0.213811908554408,2.9929,10.3129788458593,107.676955297485,3.3131644441,1.10942201494428,0.294466226161593
"GRB120922A",21.0163605,0.301029996,1.58,3.59799,-10.59516628,2.06954,1.06622,441.68740866596,0.09061905849176,2.4964,12.9455320401,112.257548500849,4.2829958116,1.1368250884,0.612783856719735
"GRB121024A",21.94617755,0.113943352,1.41,4.17178823,-11.31158018,2.00683,1.30353551,481.634709056124,0.0129830874649959,1.9881,17.4038170359665,127.951846168569,4.0273666489,1.69920482583096,0.5182506513085
"GRB121027A",22.07736427,0.113943352,1.82,5.40919042,-11.92081875,2.37144,1.50995764,487.410013110273,0.0129830874649959,3.3124,29.2593409998198,142.105919670352,5.6237276736,2.27997207459437,0.442949869577862
"GRB121128A",22.04029767,1.11058971,1.32,3.23392922,-9.617982957,1.98504,1.54546584,485.774721382207,1.23340950395788,1.7424,10.4582981999698,92.5055961611425,3.9403838016,2.38846466260691,0.505149978319906
"GRB121211A",21.66138196,0,2.36,4.20933518,-11.2823295,2.0682,1.15615612,469.215468417013,0,5.5696,17.7185026575856,127.29095894657,4.27745124,1.33669697381345,0.305995882770805
"GRB121229A",21.69605744,-1,2.43,4.70907,-12.35951856,2.18362,0.900754,470.718908439779,1,5.9049,22.1753402649,152.757699034984,4.7681963044,0.811357768516,0.569022586029564
"GRB130408A",20.06405721,0.69019608,1.28,3.58393,-10.32975415,2.03183,1.39277,402.566391726153,0.476370628847366,1.6384,12.8445542449,106.703820799442,4.1283331489,1.9398082729,0.677333151419902
"GRB130418A",21.12149747,-0.22184875,2.07,2.59006,-9.247183569,1.68684,1.28449,446.117655375216,0.0492168678765625,4.2849,6.7084108036,85.5104039587836,2.8454291856,1.6499145601,0.345961541813141
"GRB130420A",20.79265849,0.531478917,1.52,3.56731,-10.8728952,2.29559,0.914676,432.334647081769,0.282469839215493,2.3104,12.7257006361,118.219850030183,5.2697334481,0.836632184976,0.361160995195026
"GRB130505A",20.71960885,1.477121255,1.18,3.24559,-8.91721463,1.92439,1.3304,429.302190896998,2.18188720197277,1.3924,10.5338544481,79.516716757486,3.7032768721,1.76996416,0.514547752660286
"GRB130511A",21.01365445,0.113943352,1.35,2.65954,-10.51570016,2.06879,1.16497,441.573673344005,0.0129830874649959,1.8225,7.0731530116,110.579949855024,4.2798920641,1.3571551009,0.362350507594848
"GRB130514A",21.19799139,0.447158031,1.8,3.68772,-10.7212464,2.0604,1.17745,449.354838970514,0.199950304687797,3.24,13.5992787984,114.945124369513,4.24524816,1.3863885025,0.662757831681574
"GRB130604A",21.35024026,-0.096910013,1.51,2.071571247,-8.316052869,2.08823,1.742079764,455.832759159725,0.00939155061966017,2.2801,4.29140743139714,69.1567353200031,4.3607045329,3.0348419041383,0.313867220369153
"GRB130606A",20.24962877,0.414973348,1.52,3.30222,-10.18045606,1.86465,1.37571,410.047465322812,0.172202879550329,2.3104,10.9046569284,103.641685589591,3.4769196225,1.8925780041,0.839666556882433
"GRB130831A",22.17059025,1.133538908,1.93,3.31959,-9.89279003,1.79449,1.28481,491.535072033395,1.28491045594983,3.7249,11.0196777681,97.8672945776674,3.2201943601,1.6507367361,0.16999753706657
"GRB130925A",21.99154725,0.86332286,1.85,5.84588,-10.62525165,2.69002,1.38344,483.628150448983,0.74532636059858,3.4225,34.1743129744,112.895972625828,7.2362076004,1.9139062336,0.129367595722986
"GRB131030A",20.84178667,1.44870632,1.3,2.84594,-9.294136288,2.09466,1.11188,434.38007159779,2.09875000160794,1.69,8.0993744836,86.3809693399184,4.3876005156,1.2362771344,0.36078268987328
"GRB131105A",21.32749584,0.544068044,1.45,3.9488,-10.91009489,2.24976,1.19347,454.862078805217,0.296010036501986,2.1025,15.59302144,119.030170508804,5.0614200576,1.4243706409,0.429106008332697
"GRB131117A",22.01669496,-0.15490196,0.49,2.87134,-10.838632,2.15896,0.951056,484.734856961689,0.0239946172118416,0.2401,8.2445933956,117.475943631424,4.6611082816,0.904507515136,0.702602841340427
"GRB140206A",22.00531353,1.28780173,1.04,3.59073,-9.730487056,1.88134,1.22509,484.233823553601,1.65843329579099,1.0816,12.8933419329,94.6823783469835,3.5394401956,1.5008455081,0.571708831808688
"GRB140213A",20.99187128,1.371067862,1.8,3.829176603,-10.12551818,1.96657,1.108879519,440.658659836089,1.87982708220925,3.24,14.6625934569626,102.526118413511,3.8673975649,1.22961378765767,0.343920385393226
"GRB140419A",22.04094236,0.69019608,1.21,3.68383,-10.00568285,1.87322,1.36898,485.803140116842,0.476370628847366,1.4641,13.5706034689,100.113689294784,3.5089531684,1.8741062404,0.695131297704026
