"","log10PeakFlux","PhotonIndex","log10Ta","log10NH","log10Fa","log10T90","Alpha","Beta","log10Fluence","Gamma","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10NHSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","GammaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"090423A",0.230448921,0.8,3.91521772,22.7516324,-11.2798407,0.989894564,1.43267533,0.77,-6.229147988,1.8158,0.0531067051900642,0.64,15.328929795002,517.63677686473,127.234806217376,0.97989124783675,2.05255860119061,0.5929,38.8022846564045,3.29712964,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,"090423A",8.26,0.966610986681934
"090424A",1.851258349,1.19,2.99599056,21.63012977,-9.050609993,1.681241237,1.1284106,0.924,-4.677780705,1.96315,3.42715747474221,1.4161,8.97595943560911,467.86251386704,81.9135412453915,2.82657209698929,1.27331048219236,0.853776,21.8816323240703,3.8539579225,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,"090424A",0.544,0.188647295999717
"090519A",-0.22184875,1.02,3.44619,22.13069392,-11.76000021,1.806179974,1.42452,0.63,-5.920818754,1.46604,0.0492168678765625,1.0404,11.8762255161,489.767613380725,138.2976049392,3.26228609847864,2.0292572304,0.3969,35.0560947177181,2.1492732816,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,"090519A",3.85,0.685741738602264
"090529A",-0.397940009,2,4.472757799,21.67796993,-12.1873998,1.837651558,0.8815438,0.64,-6.167491087,2.22623,0.15835625076292,4,20.0055623285153,469.934380285984,148.53271388504,3.37696324861983,0.77711947131844,0.4096,38.0379463082244,4.9561000129,0.0664439832683159,0.11547934,0.21900534,0.113675222,0.125,0.10857362,0.3,0.108573621,"090529A",2.625,0.559308010907013
"090530A",0.397940009,1.61,3.6839464,20.90942658,-11.16052195,1.681241237,0.88610581,1.09,-5.958607315,2.03975,0.15835625076292,2.5921,13.571461078073,437.204119904411,124.557250196432,2.82657209698929,0.785183506515756,1.1881,35.5050011343715,4.1605800625,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,"090530A",1.266,0.355259905527378
"090618A",1.589949601,1.42,3.67275453,21.39200012,-9.640164518,2.05388479,1.30942861,0.8945,-3.978810701,1.82831,2.52793973372006,2.0164,13.4891258376355,457.61766913408,92.9327719341062,4.21844273059334,1.71460328468653,0.80013025,15.8309345943921,3.3427174561,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,0.004136138,0.08,0.008931506,"090618A",0.54,0.187520720836463
"090809A",0.041392685,1.34,4.56066,21.91952315,-11.8559,0.73239376,1.6367,0.96,-6.468521083,1.94644,0.00171335437150922,1.7956,20.7996196356,480.465495123386,140.56236481,0.536400619686938,2.67878689,0.9216,41.8417650012155,3.7886286736,0.0978170519448906,0.338,0.237865,0.319405,0.01,0.063866836,0.24,0.078962633,"090809A",2.737,0.572523097849638
"090812A",0.556302501,1.24,3.52924,21.77771022,-10.16730017,1.824125834,1.37252,0.53,-5.236572006,1.88559,0.309472472618855,1.5376,12.4555349776,474.268662426292,103.373992746882,3.3274350582662,1.8838111504,0.2809,27.4216863740229,3.5554496481,0.0954430381608785,0.10615,0.13258,0.08412,0.015,0.014975672,0.05,0.024127471,"090812A",2.452,0.538070787043172
"090927A",0.301029996,1.8,4.20121889,21.01785522,-11.6716204,0.342422681,1.13087741,0.92,-6.698970004,2.06549,0.09061905849176,3.24,17.6502401616928,441.750238048881,136.226722761696,0.117253292463228,1.27888371644831,0.8464,44.8761991144918,4.2662489401,0.0791400972158072,0.076268475,0.093241949,0.074843971,0.01,0.065144172,0.2,0.043429448,"090927A",1.37,0.374748346010104
"091018A",1.012837225,1.77,2.89655535,21.19187281,-9.627087997,0.639486489,1.18074867,0.91,-5.853871964,1.98015,1.0258392443457,3.1329,8.39003289561362,449.095473195217,92.6808233019815,0.408942969613547,1.39416742170677,0.8281,34.2678169709052,3.9209940225,0.0598714492362227,0.024288603,0.034497878,0.016335114,0.002061639,0.031021034,0.24,0.016865805,"091018A",0.971,0.294686624279443
"091020A",0.62324929,1.53,2.95265011,21.70587483,-9.71219827,1.590061231,1.17417264,0.895,-5.431798276,2.08587,0.388439677485504,2.3409,8.71814267208301,471.145002135627,94.326795235791,2.52829471832924,1.37868138852457,0.801025,29.5044325111566,4.3508536569,0.0544128110188212,0.034480687,0.045271255,0.018244861,0.002182887,0.011737689,0.07,0.031021034,"091020A",1.71,0.432969290874406
"091029A",0.255272505,1.46,4.30368998,21.45058625,-11.34678749,1.593286067,1.12123368,1.064,-5.619788758,2.11535,0.065164051808975,2.1316,18.5217474439524,460.127650468689,128.74958634322,2.53856049129633,1.25716496516634,1.132096,31.5820256845432,4.4747056225,0.0535069670717355,0.02563352,0.034224003,0.026782025,0.002,0.018095603,0.27,0.024127471,"091029A",2.752,0.574262829707027
"091127A",1.667452953,2.05,3.98466812,20.87872913,-9.844663963,0.84260924,1.39581701,0.758,-5.045757491,1.80187,2.78039935046842,4.2025,15.8775800265443,435.921330083911,96.9174085443909,0.709990331333378,1.94830512540534,0.574564,25.4596686579826,3.2467354969,0.0093822306004846,0.018562516,0.021935207,0.013587309,0.00244132,0.014476483,0.07,0.025217099,"091127A",0.49,0.173186268412274
"050416A",0.688419822,3.08,2.99481,21.75162856,-10.5559552,0.397940009,0.842217,0.9,-6.435333936,2.06183,0.473921851322512,9.4864,8.9688869361,473.133345012208,111.428190184407,0.15835625076292,0.709329475089,0.81,41.4135228678333,4.2511429489,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0.6528,0.218220304175545
"050820A",0.389166084,1.25,3.750945731,21.61964524,-10.01818139,1.414973348,1.136499703,0.9,-5.463441557,1.96878,0.151450240935895,1.5625,14.0695938769071,467.409060303455,100.363958362942,2.00214957555033,1.29163157491909,0.81,29.8491936467546,3.8760946884,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",2.6147,0.558072259099146
"050922C",0.860936621,1.37,2.52429,21.44930866,-9.477555766,0.653212514,1.22035,1.064,-5.790484985,2.2119,0.741211865378898,1.8769,6.3720400041,460.072841991951,89.8240632976399,0.4266865884462,1.4892541225,1.132096,33.5297163615105,4.89250161,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",2.198,0.504878459410216
"051016B",0.113943352,2.4,4.25742,21.71466751,-11.59006688,0.602059991,1.14771,0.73,-6.769551079,1.89482,0.0129830874649959,5.76,18.1256250564,471.52678506985,134.329650282873,0.36247623276292,1.3172382441,0.5329,45.8268218111901,3.5903428324,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0.9364,0.286995073968852
"051109A",0.595496222,1.51,3.91123,21.97057233,-10.51999306,1.57054294,1.22299,1.06,-5.657577319,2.06584,0.354615750416273,2.2801,15.2977201129,482.706048507762,110.670253982448,2.46660512638384,1.4957045401,1.1236,32.0081811204632,4.2676949056,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,"051109A",2.346,0.524525936626376
"051109B",-0.259637311,1.97,3.65548,21.36742302,-11.57511836,1.155336037,1.251,1.06,-6.591760035,2.12549,0.0674115332633107,3.8809,13.3625340304,456.566766515626,133.983365048009,1.33480135839087,1.565001,1.1236,43.4513003590232,4.5177077401,0.114743908376789,0.0922,0.126645,0.12217,0.01,0.069554976,0.24,0.102651423,"051109B",0.08,0.0334237554869497
"060223A",0.130333768,1.74,2.78682,22.49782636,-10.9636,1.053078443,1.1892,0.81,-6.171984936,2.01015,0.0169868910810778,3.0276,7.7663657124,506.152190924711,120.20052496,1.1089742071113,1.41419664,0.6561,38.0933980502109,4.0407030225,0.042104904450281,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,"060223A",4.41,0.73319726510657
"060502A",0.227886705,1.46,3.3865,21.45692297,-10.55284197,1.45331834,0.897152,0.87,-5.63638802,2.02719,0.051932350315757,2.1316,11.46838225,460.399543340514,111.362473643793,2.11213419738036,0.804881711104,0.7569,31.7688699119995,4.1094992961,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,"060502A",1.5026,0.398391440229475
"060510B",-0.244125144,1.78,4.43617,22.00215742,-12.2656,2.43964843,1.00735,1.38,-5.390405591,2.1317,0.0595970859330207,3.1684,19.6796042689,484.094931134461,150.44494336,5.95188446200147,1.0147540225,1.9044,29.0564724354841,4.54414489,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.083811216,"060510B",4.9,0.770852011642144
"060912A",0.933487288,1.74,2.455171016,21.36738202,-10.1079054,0.698970004,1.045731532,0.63,-5.869666232,1.8948,0.871398516857595,3.0276,6.02786471780647,456.565014388619,102.169751575349,0.48855906649176,1.09355443701907,0.3969,34.4529816750811,3.59026704,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,"060912A",0.937,0.287129620719111
"061222A",0.930949031,1.35,3.92091,22.56660835,-9.954677021,1.853698212,1.35061,0.86,-5.097453221,1.92748,0.866666098319839,1.8225,15.3735352281,509.25181242229,99.0955945924254,3.436197061172,1.8241473721,0.7396,25.9840293402833,3.7151791504,0.0973208922530927,0.02311,0.024435,0.018075,0.005,0.008588051,0.04,0.013237581,"061222A",2.088,0.489677291663699
"070714B",0.431363764,1.36,3.22974,21.64321572,-10.74232143,1.806179974,1.64623,0.93,-6.142667504,2.07429,0.186074696892248,1.8496,10.4312204676,468.428786702455,115.397469705437,3.26228609847864,2.7100732129,0.8649,37.7323640646976,4.3026790041,0.0570608478017886,0.09935,0.0946,0.108425,0.005,0.05428681,0.19,0.032169962,"070714B",0.923,0.28397928423848
"070721B",0.176091259,1.34,3.94739,21.89473409,-10.50863831,2.531478917,2.5054,0.52,-5.443697499,1.52512,0.0310081314962051,1.7956,15.5818878121,479.379380871808,110.4314791304,6.40838550721549,6.27702916,0.2704,29.6338424606189,2.3259910144,0.0272330828957319,0.3648,0.10084,0.09144,0,0.024127471,0.11,0.086858896,"070721B",3.626,0.6652056284346
"070810A",0.278753601,2.04,3.36583,21.93100401,-10.77728353,1.041392685,1.36994,1.02,-6.161150909,2.17076,0.0777035700704672,4.1616,11.3288115889,480.968936886636,116.149840286009,1.08449872437151,1.8767356036,1.0404,37.9597805234715,4.7121989776,0.197037086589132,0.06175,0.07187,0.077915,0.01,0.037764738,0.14,0.045715209,"070810A",2.17,0.501059262217751
"080319B",1.394451681,1.04,5.36799912,20.8771334,-12.15181088,1.68090255756894,1.42250979,0.73,-4.091514981,1.81426,1.94449549064373,1.0816,28.8154145523208,435.854699001396,147.666507663286,2.82543340804182,2.02353410264584,0.5329,16.7404948397474,3.2915393476,0.00162180613819454,0.097779455,0.087626454,0.075139905,0,0.00536166,0.02,0.008755937,"080319B",0.937,0.287129620719111
"080905B",-0.301029996,1.78,3.67820615,22.33533151,-10.11125904,2.10720997,1.36946226,0.375,-5.744727495,1.86248,0.09061905849176,3.1684,13.5292004818978,498.867033661599,102.237559373982,4.4403338576674,1.87542688156431,0.140625,33.001893991809,3.4688317504,0.0951998384562338,0.03236457,0.038825489,0.033301752,0.00558525,0.048254942,0.15,0.086858896,"080905B",2.374,0.528145078253106
"080916A",0.431363764,1.17,3.60698,21.7431239,-10.75269955,1.77815125,0.998947,0.83,-5.397940009,1.88453,0.186074696892248,1.3689,13.0103047204,472.763436930751,115.62054761257,3.16182186787656,0.997895108809,0.6889,29.1377563407629,3.5514533209,0.0457883734954798,0.0592,0.073495,0.0260505,0.01,0.010857362,0.21,0.032169962,"080916A",0.6887,0.227552503379865
"081028A",-0.301029996,1.25,4.75426,20.90308999,-11.3994,2.414973348,2.20023,0.945,-5.431798276,2.51,0.09061905849176,1.5625,22.6029881476,436.939171130038,129.94632036,5.83209627155033,4.8410120529,0.893025,29.5044325111566,6.3001,0.0544346314312377,0.0572,0.03025,0.054715,5e-04,0.023475377,0.38,0.086858896,"081028A",3.038,0.60616631460762
"081203A",0.462397998,1.54,4.02089,21.66176916,-10.9243983,2.46834733,1.86904,0.82,-5.113509275,2.03508,0.213811908554408,2.3716,16.1675563921,469.232243141127,119.342478217043,6.09273854151813,3.4933105216,0.6724,26.147977105511,4.1415506064,0.122562443871835,0.05695,0.03932,0.064395,0.0325,0.016920564,0.06,0.029951344,"081203A",2.1,0.491361693834273
"090418A",0.278753601,1.48,3.52813657,22.02365981,-10.04720756,1.748188027,1.52909667,0.98,-5.337242168,2.03408,0.0777035700704672,2.1904,12.4477476565714,485.041591426609,100.946379753721,3.05616137774615,2.33813662620509,0.9604,28.4861539598773,4.1374814464,0.0320230997079162,0.028659405,0.030759021,0.042154514,0.003531332,0.018882369,0.07,0.068572813,"090418A",1.608,0.416307587059883
"090516A",0.204119983,1.84,4.33113504,21.19589965,-11.27490548,2.322219295,1.76098314,0.502,-5.045757491,2.09,0.0416649674599203,3.3856,18.7587307347158,449.26616197287,127.123493582934,5.3927024540703,3.10106161936426,0.252004,25.4596686579826,4.3681,0.132356413451328,0.03779605,0.029715315,0.053351589,0.479087085,0.028952965,0.11,0.05428681,"090516A",4.109,0.708335902682263
"091109A",0.113943352,1.31,3.37933883,21.89596701,-11.14630179,1.681241237,1.06152816,0.89,-5.795880017,1.96352,0.0129830874649959,1.7161,11.4199309279458,479.433371303008,124.240043593757,2.82657209698929,1.12684203447299,0.7921,33.5922251714599,3.8554107904,0.15117163716416,0.05941034,0.074268877,0.033719571,0.03,0.05428681,0.25,0.133629071,"091109A",3.076,0.610234175334389
"091208B",1.181843588,1.74,3.31388094,21.91211094,-10.18045606,1.173186268,1.1606541,0.86,-5.48148606,2.03333,1.39675426649671,3.0276,10.9818068844953,480.140605846868,103.641685589591,1.37636601942377,1.34711793984681,0.7396,30.0466894259743,4.1344308889,0.0844607534610546,0.036806415,0.052928177,0.030502454,0.034663611,0.026320878,0.11,0.028572005,"091208B",1.063,0.314499227973151
"100316B",0.113943352,2.23,3.5543767,21.41315218,-11.1481304,0.579783597,1.36246063,1.08,-6.698970004,2.23535,0.0129830874649959,4.9729,12.6335937255029,458.523086283839,124.280811415404,0.336149019350258,1.8562989683,1.1664,44.8761991144918,4.9967896225,0.0508837165764397,0.10431242,0.207348761,0.13322096,0.02,0.043429448,0.18,0.033407268,"100316B",1.18,0.338456493604605
"100418A",0,2.16,5.54363,21.90370028,-12.48811664,0.84509804,1.81145,0.84,-6.468521083,2.26662,0,4.6656,30.7318335769,479.772085956072,155.953057214245,0.714190697211842,3.2813511025,0.7056,41.8417650012155,5.1375662244,0.059763875267383,0.10745,0.075475,0.16786,0.01,0.063866836,0.25,0.086858896,"100418A",0.6235,0.21045229296202
"100425A",0.146128036,2.42,3.60199415,20.53466438,-11.50168945,1.568201724,0.86819371,1.46,-6.327902142,2.17077,0.0213534029052173,5.8564,12.9743618566342,421.672441199241,132.288860204241,2.45925664715657,0.753760318083564,2.1316,40.0423455187282,4.7122423929,0.0442926372724909,0.070859065,0.115125536,0.055076895,0.035,0.083162773,0.32,0.062042069,"100425A",1.755,0.440121603187804
"100513A",-0.22184875,1.62,3.74522911,22.05240534,-11.57186521,1.924279286,0.96306136,1.36,-5.853871964,2.25722,0.0492168678765625,2.6244,14.0267410863914,486.30858127966,133.908064438408,3.70285077052867,0.92748718312505,1.8496,34.2678169709052,5.0950421284,0.0768849139302361,0.09817689,0.128616618,0.061569437,0.025,0.031021034,0.14,0.072382414,"100513A",4.772,0.761326322421457
"100621A",1.10720997,1.9,3.64164386,22.28454803,-9.804100348,1.803457116,0.94079321,0.27,-4.677780705,2.3024,1.2259139176674,3.61,13.2615700030757,496.601080901377,96.1203836336537,3.25245756925104,0.885091863982104,0.0729,21.8816323240703,5.30104576,0.0114965181711467,0.041282476,0.060455075,0.024177265,0.150679792,0,0.03,0.010178777,"100621A",0.542,0.188084373714938
"100704A",0.633468456,1.73,3.62503495,21.52730245,-10.35163999,2.2955671,1.01294211,1.29,-5.22184875,2.11575,0.401282284747024,2.9929,13.1408783887215,463.424750773776,107.156450482567,5.26962831060241,1.02605171821125,1.6641,27.2677043678766,4.4763980625,0.0511462884983093,0.04763446,0.053639373,0.01813996,0.01,0.014476483,0.06,0.020199743,"100704A",3.6,0.662757831681574
"100728A",0.707570176,1.18,4.03148606,21.52592288,-10.17587417,2.297760511,1.5588143,0.96,-4.420216403,1.90402,0.500655553964671,1.3924,16.2528798519743,463.365355835707,103.548415123673,5.27970336591098,2.42990202188449,0.9216,19.5383130493503,3.6252921604,0.0276692267863542,0.0760751,0.053762484,0.034265796,0.005,0,0.02,0.017031156,"100728A",1.567,0.409425868671443
"100814A",0.397940009,1.47,5.22729477,20.89608288,-11.49349497,2.241795431,1.76532941,1.1425,-5.045757491,1.89414,0.15835625076292,2.1609,27.3246106124694,436.646279727829,132.100426625415,5.02564675445248,3.11638792581095,1.30530625,25.4596686579826,3.5877663396,0.0235643330529017,0.04362636,0.035347138,0.084015169,0.01745135,0.009650988,0.04,0.034743559,"100814A",1.44,0.387389826338729
"100816A",1.037426498,0.73,3.97801299,21.34783526,-11.5559552,0.462397998,1.04455013,1.09,-5.698970004,1.91138,1.07625373875254,0.5329,15.8245873486087,455.730070288099,133.540100584407,0.213811908554408,1.09108497408302,1.1881,32.4782591064918,3.6533735044,0.0930248425840856,0.08674922,0.112014005,0.047175154,0.015,0.021714724,0.24,0.015937412,"100816A",0.804,0.256236533205923
"100901A",-0.096910013,1.52,4.91124,21.53188109,-11.34103516,2.64246452,1.50754,1.075,-5.677780705,1.98285,0.00939155061966017,2.3104,24.1202783376,463.6219032739,128.619078500356,6.98261873945883,2.2726768516,1.155625,32.2371937340703,3.9316941225,0.0223211438768381,0.0283,0.02425,0.036255,5e-04,0.062042069,0.21,0.10857362,"100901A",1.408,0.381656482585787
"100906A",1.004321374,1.78,3.94074768,21.96198081,-10.4698003,2.058426024,1.71220056,0.87,-4.920818754,2.02817,1.00866142227325,3.1684,15.5294922774254,482.328601098808,109.61671832188,4.23711769628045,2.93163075766431,0.7569,24.2144572097181,4.1134735489,0.00604043448603348,0.048743085,0.039933316,0.059340084,0,0,0.03,0.017199781,"100906A",1.727,0.43568513794163
"101219B",-0.22184875,1.56,4.42003952,20.49692965,-11.99567863,1.531478917,0.66918137,0.94,-5.677780705,1.85684,0.0492168678765625,2.4336,19.5367493583618,420.124125077049,143.896305794239,2.34542767321549,0.447803705955077,0.8836,32.2371937340703,3.4478547856,0.0692396240032236,0.089446275,0.166829365,0.039390628,0.105,0.082722758,0.16,0.217147241,"101219B",0.55,0.190331698170291
"110213A",0.204119983,1.83,3.84089,21.56708403,-9.896196279,1.681241237,1.8412,1.1905,-5.229147988,1.96436,0.0416649674599203,3.3489,14.7524359921,465.139113557081,97.9347007924934,2.82657209698929,3.39001744,1.41729025,27.3439886804045,3.8587102096,0.14476482742628,0.03588,0.023515,0.02785,0.226362665,0.029443694,0.12,0.162860431,"110213A",1.46,0.390935107103379
"110422A",1.487138375,0.86,3.50066971,22.02088312,-9.681936665,1.413299764,1.42239886,0.778,-4.387216143,1.89199,2.21158054639764,0.7396,12.2546884185115,484.919293384701,93.7398975850713,1.99741622292246,2.0232185169293,0.605284,19.2476654853998,3.5796261601,0.00950159657676303,0.024137407,0.029472713,0.022779716,0.005,0.010592548,0.1,0.0141464,"110422A",1.77,0.442479769064449
"110503A",0.130333768,0.88,2.54166555,21.13638759,-9.08249449,1,1.14649063,0.687,-5,1.90907,0.0169868910810778,0.7744,6.4600637680568,446.746880354706,82.4917061608804,1,1.3144407646778,0.471969,25,3.6445482649,0.147896600362852,0.028998071,0.028887961,0.006289914,0.001,0.017371779,0.25,0.019301977,"110503A",1.613,0.417139409727326
"110715A",1.731588765,1.25,2.61109719,22.0746007,-9.075720714,1.113943352,0.95853538,0.755,-4.928117993,1.85342,2.99839965107422,1.5625,6.8178285356259,487.287996064441,82.3687064785287,1.240869791465,0.918790074711744,0.570025,24.2863469529303,3.4351656964,0.133629071449258,0.02377653,0.035600881,0.009554076,0.0015,0.007360923,0.12,0.008863153,"110715A",0.82,0.260071387985075
"110731A",1.041392685,1.15,5.08952072,21.95954126,-12.08512818,1.588831726,1.42351927,0.39,-5.22184875,1.85145,1.08449872437151,1.3225,25.9032211593093,482.221452349642,146.05032312703,2.52438625354414,2.02640711206133,0.1521,27.2677043678766,3.4278671025,0.130539784388153,0.097418495,0.090702815,0.110855301,0.13,0.007238241,0.05,0.011844395,"110731A",2.83,0.583198773968623
"110808A",-0.397940009,2.32,4.50711,21.33906917421,-12.08440021,1.681241237,0.807091,1.4,-6.48148606,2.33721,0.15835625076292,5.3824,20.3140405521,455.355873221719,146.032728435448,2.82657209698929,0.651395882281,1.96,42.0096615459743,5.4625505841,0.204728382319217,0.0837,0.155655,0.0776,0.025,0.105283511,0.43,0.217147241,"110808A",1.348,0.370698092575577
"110818A",0.204119983,1.58,3.84627415,22.06812647,-11.28316228,2.012837225,1.37167718,0.83,-5.397940009,1.95985,0.0416649674599203,2.4964,14.7938248369582,487.002205895915,127.309751036815,4.0515136943457,1.88149828613275,0.6889,29.1377563407629,3.8410120225,0.0761271870594219,0.05514905,0.059648416,0.067338189,0.01,0.021714724,0.11,0.081430215,"110818A",3.36,0.639486489268586
"111008A",0.806179974,1.86,3.98993393,22.17059025,-10.66756154,1.802500068,1.21584288,0.829,-5.27572413,1.94053,0.649926150478641,3.4596,15.9195727657652,491.535072033395,113.796869209687,3.24900649514,1.47827390884669,0.687241,27.8332650958643,3.7656566809,0.0161841207996628,0.028511085,0.035676696,0.027351291,0.001,0.024582707,0.09,0.047500959,"111008A",4.9898,0.777412321496744
"111123A",-0.045757491,1.68,4.42202873,21.35034301,-11.60730305,2.462397998,1.46723371,1.25,-5.13667714,2.55463,0.00209374798261508,2.8224,19.5543380889454,455.837146644656,134.729484094539,6.06340390055441,2.15277475976036,1.5625,26.3854520405986,6.5261344369,0.131921983937837,0.07308827,0.070655771,0.105884147,0.005,0.017847718,0.07,0.048254942,"111123A",3.1516,0.618215503279417
"111209A",-0.301029996,1.48,4.13326,21.14009932,-9.057000407,2.505149978,2.77382,0.2529,-4.443697499,1.81212,0.09061905849176,2.1904,17.0838382276,446.903799259465,82.0292563723982,6.2757764122734,7.6940773924,0.06395841,19.7464474626189,3.2837788944,0.0401068361866461,0.02099,0.010455,0.04435,5e-05,0.012063736,0.03,0.086858896,"111209A",0.677,0.224533062606086
"111228A",1.093421685,2.27,4.10627835,21.41342718,-10.65757732,2.005180513,1.15297662,0.99,-5.070581074,2.03824,1.19557098122824,5.1529,16.8615218876787,458.534863593163,113.583954331778,4.02074888971494,1.32935508626662,0.9801,25.710792428007,4.1544222976,0.023242060897345,0.030118345,0.037264425,0.023299272,0,0.010218694,0.06,0.017511874,"111228A",0.714,0.234010817587179
"120118B",0.342422681,2.08,3.68307,21.451745,-10.95467702,1.36660971,1.0241,1.01,-5.744727495,2.20884,0.117253292463228,4.3264,13.5650046249,460.177363545025,120.004948612516,1.86762209946628,1.04878081,1.0201,33.001893991809,4.8789741456,0.366834332492466,0.1172,0.131765,0.077156,0.005,0.024127471,0.11,0.059221975,"120118B",2.943,0.595826777073223
"120327A",0.591064607,1.52,3.48517215,22.16619025,-10.15181088,1.798650645,1.44859414,0.63,-5.443697499,1.75797,0.349357369648064,2.3104,12.1464249151356,491.339990199195,103.059264143286,3.23514414275892,2.09842498244234,0.3969,29.6338424606189,3.0904585209,0.051933835584684,0.04362492,0.051679097,0.058002882,0.02,0.012063736,0.06,0.022271512,"120327A",2.813,0.581266805273671
"120404A",0.079181246,1.85,3.79948,21.70983536,-11.02687215,1.587710965,1.90651,0.69,-5.795880017,1.89579,0.00626966971811252,3.4225,14.4360482704,471.316951358306,121.591909412446,2.52082610838123,3.6347803801,0.4761,33.5922251714599,3.5940197241,0.179553274179706,0.11705,0.068285,0.121385,0.005,0.027143405,0.13,0.072382414,"120404A",2.876,0.588383768378728
"120422A",-0.22184875,1.19,5.23266697,21.69605744,-12.73992861,0.728353782,0.86153199,1.1,-6.638272164,2.32199,0.0492168678765625,1.4161,27.380803618929,470.718908439779,162.305780987897,0.530499231753704,0.74223736979336,1.21,44.0666573233372,5.3916375601,0.181516258620399,0.11830242,0.217818621,0.214451933,0.035,0.075529475,0.24,0.144764827,"120422A",0.283,0.108226656374928
"120729A",0.462397998,1.62,3.52138487,21.34792103,-10.29756946,1.854306042,2.26312734,0.645,-5.619788758,1.8831,0.213811908554408,2.6244,12.4001514026649,455.733732303116,106.039936783525,3.43845089739771,5.12174535705548,0.416025,31.5820256845432,3.54606561,0.223182009707008,0.06906832,0.047294772,0.130088482,0.013331067,0.018095603,0.08,0.029951344,"120729A",0.8,0.255272505103306
"120802A",0.477121255,1.21,3.53838419,22.12127744,-11.17198494,1.698970004,0.54215516,0.91,-5.721246399,2.03526,0.227644691972775,1.4641,12.520162676042,489.350915577453,124.813247499587,2.88649907449176,0.293932217514626,0.8281,32.7326603580705,4.1422832676,0.2694762542188,0.07803221,0.220557212,0.11816229,0.055,0.068572813,0.47,0.028952965,"120802A",3.796,0.680879174426811
"120811C",0.612783857,1.4,3.15909591,21.91722026,-10.14327111,1.428134794,1.01613299,0.65,-5.522878745,1.92121,0.375504055399796,1.96,9.97988696857873,480.364543925354,102.885948810961,2.03956898983342,1.03252625336634,0.4225,30.5021896319728,3.6910478641,0.0598545187495629,0.05294686,0.084200302,0.03800099,0.090734018,0.043429448,0.3,0.021185097,"120811C",2.671,0.564784384503987
"120907A",0.462397998,1.73,3.2113827,21.0438101,-10.37675071,1.227886705,1.05329104,0.78,-6.173925197,1.82021,0.213811908554408,2.9929,10.3129788458593,442.841943524862,107.676955297485,1.50770576031576,1.10942201494428,0.6084,38.1173523381515,3.3131644441,0.035217186540104,0.04130341,0.062296694,0.028647271,0.005,0.071302079,0.25,0.059902687,"120907A",0.97,0.294466226161593
"120922A",0.301029996,1.58,3.59799,21.0163605,-10.59516628,2.238046103,1.06622,1.17,-5.207608311,2.06954,0.09061905849176,2.4964,12.9455320401,441.68740866596,112.257548500849,5.00885035915349,1.1368250884,1.3689,27.1191843207963,4.2829958116,0.075913913084108,0.16365,0.133375,0.03563,0.005,0.049033248,0.36,0.043429448,"120922A",3.1,0.612783856719735
"121024A",0.113943352,1.41,4.17178823,21.94617755,-11.31158018,1.838849091,1.30353551,0.87,-5.958607315,2.00683,0.0129830874649959,1.9881,17.4038170359665,481.634709056124,127.951846168569,3.38136597947153,1.69920482583096,0.7569,35.5050011343715,4.0273666489,0.201804932759115,0.063305895,0.065435085,0.06666149,0,0.039481317,0.22,0.066814536,"121024A",2.298,0.5182506513085
"121027A",0.113943352,1.82,5.40919042,22.07736427,-11.92081875,1.796574333,1.50995764,1.16,-5.698970004,2.37144,0.0129830874649959,3.3124,29.2593409998198,487.410013110273,142.105919670352,3.22767933399439,2.27997207459437,1.3456,32.4782591064918,5.6237276736,0.03343969322178,0.041584155,0.037953731,0.058939694,0,0.021714724,0.09,0.066814536,"121027A",1.773,0.442949869577862
