"","log10PeakFlux","PhotonIndex","log10Ta","log10NH","log10Fa","log10T90","Alpha","Beta","log10Fluence","Gamma","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10NHSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","GammaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060418A",0.814247596,1.7,3.11887,21.65363309,-9.792961075,2.158362492,1.47655,0.98,-5.079354999,1.94118,0.662999147591779,2.89,9.7273500769,468.879825996343,95.9020866164651,4.65852864687245,2.1801999025,0.9604,25.7998472058663,3.7681797924,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",1.489,0.396024896608593
"060526A",0.222716471,2.01,3.8752,22.33533151,-11.3053948,2.47444938,1.05873,0.93,-5.899629455,1.90677,0.0496026264546938,4.0401,15.01717504,498.867033661599,127.811951583867,6.12289973418238,1.1209092129,0.8649,34.8056277063036,3.6357718329,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,"060526A",3.221,0.625415352154408
"060604A",-0.468521083,2.01,4.45991,21.99003057,-11.76955108,1.977723605,1.21596,1.02,-6.395773947,2.1711,0.219512005215493,4.0401,19.8907972081,483.561444469534,138.522332624729,3.9113906577742,1.4785587216,1.0404,40.905924381124,4.71367521,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",2.1357,0.496334505996816
"060605A",-0.337242168,1.55,4.04162,21.77333803,-11.26121944,2.059904056,1.9179,0.835,-6.156767222,2.02128,0.11373227987734,2.4025,16.3346922244,474.078248968644,126.815063275834,4.24320471992525,3.67834041,0.697225,37.9057826258936,4.0855728384,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",3.78,0.679427896612119
"060614A",1.06069784,2.02,5.03344,20.51216256,-11.78251606,2.036229544,1.9453,0.783,-4.690369833,1.89544,1.12507990778067,4.0804,25.3355182336,420.748812887866,138.827684704158,4.14623075585845,3.78419209,0.613089,21.9995691703164,3.5926927936,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,"060614A",0.125,0.0511525224473813
"060707A",0.004321374,0.6,3.5545,21.20847898,-10.9132,1.820857989,0.861995,1.12,-5.795880017,2.09345,1.8674273247876e-05,0.36,12.63447025,449.799580645102,119.09793424,3.31552381610512,0.743035380025,1.2544,33.5922251714599,4.3825329025,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,"060707A",3.425,0.645913275033844
"060708A",0.28780173,1.68,3.50569,20.79066861,-10.86966623,1.008600172,1.12969,1.485,-6.306273051,2.20484,0.0828298357909929,2.8224,12.2898623761,432.251901250839,118.149643951602,1.01727430695843,1.2761994961,2.205225,39.7690797937688,4.8613194256,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,"060708A",1.92,0.465382851448418
"060714A",0.10720997,1.93,3.73449,22.0125926,-10.86012091,2.060660074,1.20488,0.87,-5.548213564,2.04425,0.0114939776674009,3.7249,13.9464155601,484.554232973575,117.942226179819,4.24631994057768,1.4517358144,0.7569,30.7826737517536,4.1789580625,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,"060714A",2.711,0.569490954348783
"060729A",0.068185862,1.75,5.1057,20.86562801,-11.15058059,2.062017599,1.35481,1.317,-5.583359493,1.92492,0.00464931177668304,3.0625,26.06817249,435.374432251696,124.335447494085,4.25191657858572,1.8355101361,1.734489,31.1739032280732,3.7053170064,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0.54,0.187520720836463
"060814A",0.861534411,1.53,4.22387,22.00679538,-10.91009489,2.162265614,1.29504,0.97,-4.835647144,2.11591,0.742241541337117,2.3409,17.8410777769,484.299042897189,119.030170508804,4.6753925854868,1.6771286016,0.9409,23.3834833012754,4.4770751281,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",1.9229,0.465813957269479
