"","log10Ta","PhotonIndex","log10PeakFlux","log10Fa","log10NH","Alpha","log10T90","Gamma","Beta","log10Fluence","log10TaSqr","PhotonIndexSqr","log10PeakFluxSqr","log10FaSqr","log10NHSqr","AlphaSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10Ta_opt","PhotonIndex_opt","log10PeakFlux_opt","log10Fa_opt","log10NH_opt","Alpha_opt","log10T90_opt","Gamma_opt","Beta_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050416A",2.99481,3.08,0.688419822,-10.5559552,21.75162856,0.842217,0.397940009,2.06183,0.9,-6.435333936,8.9688869361,9.4864,0.473921851322512,111.428190184407,473.133345012208,0.709329475089,0.15835625076292,4.2511429489,0.81,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0,0,0,0,0,0,0,0,0,0,0,0.6528,0.218220304175545
"050502A",3.71368113429314,1.5837013438142,0.330571846807332,-10.7556755275606,21.0181637594417,1.42039705936706,1.301029996,1.96705146522392,0.902063169278433,-5.95905698874291,13.7914275672048,2.5081099463989,0.10927774590161,115.684556054166,441.763207818708,2.01752780625859,1.69267905049176,3.86929146683957,0.813717961368651,35.5103601950857,0.0525216608675702,0.797162205572665,0.606709245811458,0.276988111557627,0.199821821617147,0.0347486663233463,0.18713159391256,0.0657749268162652,"050502A",1,0.928420283573285,0.39592533595355,0.082642961701833,-2.68891888189015,5.25454093986042,0.355099264841765,0.325257499,0.49176286630598,0.225515792319608,-1.48976424718573,3.79,0.680335513414563
"050502B",3.65423031617335,1.49398169361224,0.300152911468348,-10.6836331853878,21.0347201497492,1.39529260031318,1.243038049,1.97812318786123,0.915598763862235,-5.90726604152399,13.3533992036404,2.2319813008485,0.090091770262926,114.140018039919,442.459451778265,1.94684144048872,1.54514359126173,3.91297134635427,0.838321096386053,34.8957920853425,0.378773543191014,0.789361302878022,0.600063768878366,0.293462267576727,0.198696011221391,0.0295798799821603,0.14,0.0671099909495084,"050502B",1,0.913557579043337,0.37349542340306,0.075038227867087,-2.67090829634695,5.2586800374373,0.348823150078295,0.31075951225,0.494530796965307,0.228899690965559,-1.476816510381,3.793,0.680607428991788
"050505A",4.270583544,1.41,0.267171728,-11.04817696,22.23063027,1.462094791,1.770115295,2.01835,0.973,-5.603800653,18.2378838062836,1.9881,0.071380732242506,122.062214139475,494.20092220144,2.13772117786933,3.13330815759294,4.0737367225,0.946729,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",0,0,0,0,0,0,0,0,0,0,0,4.27,0.721810615212547
"050525A",3.52179746684993,1,1.620136055,-10.3684473287087,21.2788016,1.23490054236514,0.944482672,2.08914,0.879580804303388,-4.815308569,12.4030573975106,1,2.62484083671096,107.504700008207,452.787397532163,1.52497934953372,0.89204751770826,4.3645059396,0.773662391298995,23.1871966146848,0.378773543191014,0.785578697925663,0.61027288120393,0.274398773482224,0.199966340717818,0.006273143,0.1,0.009789852,"050525A",1,0.880449366712483,0.25,0.40503401375,-2.59211183217717,5.3197004,0.308725135591285,0.236120668,0.522285,0.219895201075847,-1.20382714225,0.61,0.20682587603185
"050603A",3.96936607366225,1.16,1.33243846,-10.4644618420931,21.63005546,1.62418006053207,1.322219295,1.90951127022931,0.920322429798127,-5.196542884,15.7558670267409,1.3456,1.77539224968717,109.504961644622,467.859299202676,2.63796086902996,1.7482638640703,3.64623329113275,0.846993374789528,27.004057945251,0.246558916936231,0.800964884076363,0.607110746045726,0.279426094363987,0.197619874637535,-0.0006217656979968,0.06,0.0038290748542292,"050603A",1,0.992341518415563,0.29,0.333109615,-2.61611546052327,5.407513865,0.406045015133017,0.33055482375,0.477377817557327,0.230080607449532,-1.299135721,2.82,0.582063362911709
"050730A",4.05018,1.53,-0.259637311,-10.09854168,21.73850309,2.38763,2.194514342,1.6177,0.5615,-5.623423043,16.4039580324,2.3409,0.0674115332633107,101.980544062697,472.562516593939,5.7007770169,4.81589319724369,2.61695329,0.31528225,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",0,0,0,0,0,0,0,0,0,0,0,3.967,0.696094159995223
"050801A",3.32793797621411,1.99,0.164352856,-10.0654096989412,20.80209017,1.31244219353007,1.28780173,2.07525210781143,0.89632406415555,-6.508638306,11.0751711735281,3.9601,0.0270118612753567,101.31247240754,432.726955440811,1.72250451135802,1.65843329579099,4.30667131097578,0.803396827984323,42.3623725983306,0.378773543191014,0.801471442388233,0.615556386813809,0.275325826475564,0.204433354540816,0.0581234535102333,0.25,0.0712796339614364,"050801A",1,0.831984494053527,0.4975,0.041088214,-2.5163524247353,5.2005225425,0.328110548382518,0.3219504325,0.518813026952857,0.224081016038887,-1.6271595765,1.56,0.40823996531185
"050802A",3.63973,1.54,0.439332694,-10.28650946,21.25883595,1.44729,1.477121255,1.8557,0.8585,-5.698970004,13.2476344729,2.3716,0.193013216017298,105.812276870669,451.938105949012,2.0946483441,2.18188720197277,3.44362249,0.73702225,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,"050802A",0,0,0,0,0,0,0,0,0,0,0,1.7102,0.433001340945038
"050803A",4.21721,1.38,-0.017728767,-10.86012091,21.34755638,1.52234,1.943988875,2.11696,1.218,-5.66756154,17.7848601841,1.9044,0.000314309179340289,117.942226179819,455.718163397279,2.3175190756,3.77909274612377,4.4815196416,1.483524,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,"050803A",0,0,0,0,0,0,0,0,0,0,0,3.5,0.653212513775344
"050820A",3.750945731,1.25,0.389166084,-10.01818139,21.61964524,1.136499703,1.414973348,1.96878,0.9,-5.463441557,14.0695938769071,1.5625,0.151450240935895,100.363958362942,467.409060303455,1.29163157491909,2.00214957555033,3.8760946884,0.81,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",0,0,0,0,0,0,0,0,0,0,0,2.6147,0.558072259099146
"050824A",5.08558,2.76,-0.301029996,-12.23882419,20.9708274,0.954481,1.353723938,1.94709,0.86,-6.575118363,25.8631239364,7.6176,0.09061905849176,149.788817553729,439.775601840591,0.911033979361,1.83256850031423,3.7911594681,0.7396,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0,0,0,0,0.8278,0.261928672990642
"050904A",4.35698284448173,1.25,-0.207608311,-11.4378944868069,22.39388568,1.85403917047081,2.259044094,1.90813,0.923476512834974,-5.316052869,18.9832995071081,1.5625,0.0431012107962727,130.825430291328,501.486115848909,3.43746124564009,5.10328021863628,3.6409600969,0.852808869757844,28.2604181060031,0.0563106258915239,0.822149219309295,0.620364800697704,0.302952587615337,0.201864729516789,0.016184888,0.07,0.119080745,"050904A",1,1.08924571112043,0.3125,-0.05190207775,-2.85947362170173,5.59847142,0.463509792617702,0.5647610235,0.4770325,0.230869128208744,-1.32901321725,6.295,0.86302529622947
"050908A",3.53466862290029,1.88,-0.15490196,-10.7673117906094,21.89306622,1.13329770882728,1.239799818,2.74883,1.0022034395342,-6.316052869,12.4938822737158,3.5344,0.0239946172118416,115.935003196196,479.306348513305,1.28436369683316,1.53710358871283,7.5560663689,1.00441173421418,39.8925238440031,0.0563106258915239,0.795529154351559,0.610443563406405,0.280073065340727,0.225930470347336,0.045857181,0.17,0.086858896,"050908A",1,0.883667155725072,0.47,-0.03872549,-2.69182794765235,5.473266555,0.28332442720682,0.3099499545,0.6872075,0.25055085988355,-1.57901321725,3.34,0.637489729512511
"050922C",2.52429,1.37,0.860936621,-9.477555766,21.44930866,1.22035,0.653212514,2.2119,1.064,-5.790484985,6.3720400041,1.8769,0.741211865378898,89.8240632976399,460.072841991951,1.4892541225,0.4266865884462,4.89250161,1.132096,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",0,0,0,0,0,0,0,0,0,0,0,2.198,0.504878459410216
"051016B",4.25742,2.4,0.113943352,-11.59006688,21.71466751,1.14771,0.602059991,1.89482,0.73,-6.769551079,18.1256250564,5.76,0.0129830874649959,134.329650282873,471.52678506985,1.3172382441,0.36247623276292,3.5903428324,0.5329,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0,0,0,0,0.9364,0.286995073968852
"051028A",3.8190899067996,1.6783282458665,0.179466033655192,-10.9600751246855,20.9024195385481,1.2310212399095,1.204119983,2.02921982175251,0.93000176834023,-6.17568341398607,14.5854477162186,2.81678570087332,0.0322080572359265,120.12324673875,436.911142565477,1.51541329310832,1.44990493345992,4.11773308499329,0.864903289115955,38.1390656297826,0.378773543191014,0.801688900423771,0.614375831245878,0.2816978859685,0.203168147855912,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",1,0.9547724766999,0.419582061466625,0.044866508413798,-2.74001878117138,5.22560488463702,0.307755309977375,0.30102999575,0.507304955438127,0.232500442085057,-1.54392085349652,3.6,0.662757831681574
"051109A",3.91123,1.51,0.595496222,-10.51999306,21.97057233,1.22299,1.57054294,2.06584,1.06,-5.657577319,15.2977201129,2.2801,0.354615750416273,110.670253982448,482.706048507762,1.4957045401,2.46660512638384,4.2676949056,1.1236,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,0,0,0,0,2.346,0.524525936626376
"051111A",3.36520319783637,1.32,0.424881637,-10.0374386946919,21.79196559,1.21832755364389,1.776555911,2.23019,0.903418581185592,-5.389339837,11.3245925627281,1.7424,0.1805244054598,100.750175549698,474.889764275744,1.48432202796791,3.15615090490904,4.9737474361,0.816165132831388,29.0449838786752,0.378773543191014,0.801170734300789,0.611034859760649,0.276989134184434,0.198093567912198,0.014263593,0.06,0.034286406,"051111A",1,0.841300799459093,0.33,0.10622040925,-2.50935967367298,5.4479913975,0.304581888410973,0.44413897775,0.5575475,0.225854645296398,-1.34733495925,1.55,0.406540180433955
"060115A",3.69688,1,-0.060480747,-11.29499204,21.43355223,0.889919,2.144885418,2.10553,1,-5.76700389,13.6669217344,1,0.00365792075767801,127.576845183663,459.397161196138,0.791955826561,4.60053345634903,4.4332565809,1,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,"060115A",0,0,0,0,0,0,0,0,0,0,0,3.53,0.656098202012832
"060124A",4.47599,1.84,-0.050609993,-10.6893,21.9172644,1.3641,1.134495856,2.00895,0.99,-6.336299075,20.0344864801,3.3856,0.00256137139146005,114.26113449,480.366478779507,1.86076881,1.28708084728117,4.0358801025,0.9801,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,"060124A",0,0,0,0,0,0,0,0,0,0,0,2.296,0.517987203025078
"060206A",3.93814,1.2,0.445604203,-10.63078414,22.33966406,1.17565,0.880241776,2.20424,1.265,-6.080398976,15.5089466596,1.44,0.198563105731265,113.013571431276,499.060590313656,1.3821529225,0.774825584215634,4.8586739776,1.600225,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,"060206A",0,0,0,0,0,0,0,0,0,0,0,4.048,0.703119346236078
"060210A",4.15028,1.53,0.434568904,-10.66756154,22.3877421,1.20511,2.40654018,2.08163,0.979,-5.11577123,17.2248240784,2.3409,0.188850132323761,113.796869209687,501.210996336112,1.4522901121,5.79143563795443,4.3331834569,0.958441,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,"060210A",0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060223A",2.78682,1.74,0.130333768,-10.9636,22.49782636,1.1892,1.053078443,2.01015,0.81,-6.171984936,7.7663657124,3.0276,0.0169868910810778,120.20052496,506.152190924711,1.41419664,1.1089742071113,4.0407030225,0.6561,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,"060223A",0,0,0,0,0,0,0,0,0,0,0,4.41,0.73319726510657
"060306A",3.61496,1.8,0.775974331,-10.70553377,21.61973178,1.03794,2.13255996245349,2.28823,0.76,-5.671620397,13.0679358016,3.24,0.602136162370898,114.60845330061,467.412802239142,1.0773194436,4.54781199345963,5.2359965329,0.5776,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",3.11887,1.7,0.814247596,-9.792961075,21.65363309,1.47655,2.158362492,1.94118,0.98,-5.079354999,9.7273500769,2.89,0.662999147591779,95.9020866164651,468.879825996343,2.1801999025,4.65852864687245,3.7681797924,0.9604,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,1.489,0.396024896608593
"060502A",3.3865,1.46,0.227886705,-10.55284197,21.45692297,0.897152,1.45331834,2.02719,0.87,-5.63638802,11.46838225,2.1316,0.051932350315757,111.362473643793,460.399543340514,0.804881711104,2.11213419738036,4.1094992961,0.7569,31.7688699119995,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,"060502A",0,0,0,0,0,0,0,0,0,0,0,1.5026,0.398391440229475
"060512A",3.66968890789553,2.48,-0.055517328,-10.6816826796143,22.27524914,1.09523674262367,0.92890769,2.70163,0.895416872468867,-6.634512015,13.4666166807315,6.1504,0.00308217370825958,114.098344867972,496.186724249071,1.19954352239291,0.862869496541136,7.2988046569,0.801771375501927,44.0167496771794,0.0189868108841264,0.793957184160756,0.612985509256598,0.277885965782858,0.197355981980653,0.074878359,0.3,0.098703291,"060512A",1,0.917422226973883,0.62,-0.013879332,-2.67042066990357,5.568812285,0.273809185655917,0.2322269225,0.6754075,0.223854218117217,-1.65862800375,0.44,0.15836249209525
"060526A",3.8752,2.01,0.222716471,-11.3053948,21.9172644,1.05873,2.47444938,1.90677,0.93,-5.899629455,15.01717504,4.0401,0.0496026264546938,127.811951583867,480.366478779507,1.1209092129,6.12289973418238,3.6357718329,0.8649,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,"060526A",0,0,0,0,0,0,0,0,0,0,0,3.221,0.625415352154408
"060604A",4.45991,2.01,-0.468521083,-11.76955108,21.99003057,1.21596,1.977723605,2.1711,1.02,-6.395773947,19.8907972081,4.0401,0.219512005215493,138.522332624729,483.561444469534,1.4785587216,3.9113906577742,4.71367521,1.0404,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
"060605A",4.04162,1.55,-0.337242168,-11.26121944,21.77333803,1.9179,2.059904056,2.02128,0.835,-6.156767222,16.3346922244,2.4025,0.11373227987734,126.815063275834,474.078248968644,3.67834041,4.24320471992525,4.0855728384,0.697225,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,0,0,0,0,3.78,0.679427896612119
"060607A",3.62913988999298,1.47,0.146128036,-10.4034487155603,21.79614607,1.34132523976043,2.009450896,1.61002,0.901433865164867,-5.59345982,13.1706563411383,2.1609,0.0213534029052173,108.231745177293,475.071983504776,1.79915339881838,4.0378929034352,2.5921644004,0.812583013266072,31.2867927579544,0.378773543191014,0.797068515289679,0.605424807757188,0.273951130205867,0.204597024930413,0.019074895,0.08,0.040327345,"060607A",1,0.907284972498245,0.3675,0.036532009,-2.60086217889007,5.4490365175,0.335331309940108,0.502362724,0.402505,0.225358466291217,-1.398364955,3.07,0.60959440922522
"060707A",3.5545,0.6,0.004321374,-10.9132,21.20847898,0.861995,1.820857989,2.09345,1.12,-5.795880017,12.63447025,0.36,1.8674273247876e-05,119.09793424,449.799580645102,0.743035380025,3.31552381610512,4.3825329025,1.2544,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",3.50569,1.68,0.28780173,-10.86966623,20.79066861,1.12969,1.008600172,2.20484,1.485,-6.306273051,12.2898623761,2.8224,0.0828298357909929,118.149643951602,432.251901250839,1.2761994961,1.01727430695843,4.8613194256,2.205225,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,"060708A",0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",3.73449,1.93,0.10720997,-10.86012091,22.0125926,1.20488,2.060660074,2.04425,0.87,-5.548213564,13.9464155601,3.7249,0.0114939776674009,117.942226179819,484.554232973575,1.4517358144,4.24631994057768,4.1789580625,0.7569,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,"060714A",0,0,0,0,0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",5.1057,1.75,0.068185862,-11.15058059,20.86562801,1.35481,2.062017599,1.92492,1.317,-5.583359493,26.06817249,3.0625,0.00464931177668304,124.335447494085,435.374432251696,1.8355101361,4.25191657858572,3.7053170064,1.734489,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",4.22387,1.53,0.861534411,-10.91009489,22.00679538,1.29504,2.162265614,2.11591,0.97,-4.835647144,17.8410777769,2.3409,0.742241541337117,119.030170508804,484.299042897189,1.6771286016,4.6753925854868,4.4770751281,0.9409,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060904B",3.76519449736978,1.64,0.387389826,-10.5862757855051,21.59122827,1.31042148150069,2.234264124,2.18877,0.934699632764984,-5.790484985,14.1766896030237,2.6896,0.15007087728831,112.069235006772,466.181138207247,1.71720445917846,4.99193617579349,4.7907141129,0.873663403490996,33.5297163615105,0.378773543191014,0.779476967538329,0.605382772766065,0.278036890765548,0.200871902864199,0.038335871,0.14,0.037377804,"060904B",1,0.941298624342445,0.41,0.0968474565,-2.64656894637627,5.3978070675,0.327605370375173,0.558566031,0.5471925,0.233674908191246,-1.44762124625,0.7,0.230448921378274
"060906A",4.33479,2.03,0.294466226,-11.8827287,22.41960057,1.71887,1.638489257,2.07859,1.06,-5.655607726,18.7904043441,4.1209,0.0867103582546831,141.199241357804,502.638489718344,2.9545140769,2.68464704530441,4.3205363881,1.1236,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",2.81918,1,0.481442629,-9.627087997,21.80952201,1.38309,1.285557309,2.13395,1.185,-5.552841969,7.9477758724,1,0.231787005018432,92.6808233019815,475.655250304674,1.9129379481,1.65265759472332,4.5537426025,1.404225,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060912A",2.455171016,1.74,0.933487288,-10.1079054,21.36738202,1.045731532,0.698970004,1.8948,0.63,-5.869666232,6.02786471780647,3.0276,0.871398516857595,102.169751575349,456.565014388619,1.09355443701907,0.48855906649176,3.59026704,0.3969,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"060926A",3.351,2.54,0.037426498,-10.84771166,22.50004427,1.45111,0.903089987,2.00443,1.357,-6.659555885,11.229201,6.4516,0.001400742752544,117.6728482585,506.25199215196,2.1057202321,0.81557152461966,4.0177396249,1.841449,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",3.15198,0.9,0.431363764,-10.77728353,22.10710478,1.39098,1.352953912,1.94856,0.83,-5.946921557,9.9349779204,0.81,0.186074696892248,116.149840286009,488.724081753899,1.9348253604,1.8304842879961,3.7968860736,0.6889,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,"060927A",0,0,0,0,0,0,0,0,0,0,0,5.47,0.8109042806687
