"formula_idx","wins","formula"
2063,2,"Response ~  (BetaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
2076,2,"Response ~  (log10FaSqr+log10TaSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Beta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+AlphaSqr"
2471,2,"Response ~  (log10NHSqr+Alpha+log10Fa+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
2480,2,"Response ~  (log10TaSqr+log10NHSqr+log10Fa+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10FaSqr+AlphaSqr"
2502,2,"Response ~  (BetaSqr+log10NHSqr+Alpha+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
3098,2,"Response ~  (BetaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
3099,2,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
3129,2,"Response ~  (AlphaSqr+BetaSqr+log10NHSqr+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
3250,2,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+Beta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr"
3531,2,"Response ~  (log10FaSqr+Alpha+Beta+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
3700,2,"Response ~  (AlphaSqr+BetaSqr+log10Fa+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
3758,2,"Response ~  (log10NHSqr+Alpha+log10Fa+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
