,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
100219A,4.67,1.274157849,-12.92,3.37,1.67,1.27,1.58721,-6.431798276,1.34,18.42501386,-0.397940009,,0.1,0.07,0.18,0.08,0.070426132,0.25,0.10857362,1
100316B,1.18,0.579783597,-11.7542,4.081453,1.967914,1.14,2.23535,-6.698970004,2.23,21.41315218,0.113943352,0.445223532,0.27115,0.206598,0.187277,0.14,0.043429448,0.18,0.033407268,0
100316D,0.06,2.717570654,-12.9424,6.41,2.12,0.94,2.49431,-6.522878745,2.29,21.60728985,-1.0,,0.105554,0.06,0.18,0.05,0.115811862,0.41,0.0,1
100418A,0.62,0.84509804,-13.02,4.86,1.06,0.98,2.26662,-6.468521083,2.16,15.61943666,0.0,0.963279858,0.11,0.15,0.12,0.09,0.063866836,0.25,0.086858896,0
100425A,1.755,1.568201724,-12.483905044723,4.03141242532146,0.926473150573003,0.922245568908942,2.17077,-6.327902142,2.42,20.53466438,0.146128036,3.773539953,0.773136719774724,0.572826619749379,0.350353635330317,0.232640460317888,0.083162773,0.32,0.062042069,0
100508A,0.5201,1.716003344,-12.8769,4.020463,0.875389,0.4,1.9368495003839,-6.15490196,1.23,20.84356974,-0.397940009,,0.15766,0.387989,0.292399,0.07,0.0580980942149184,0.25,0.101108910335356,1
100513A,4.772,1.924279286,-13.0903,4.323621,1.387361,1.2,2.25722,-5.853871964,1.62,22.05240534,-0.22184875,14.87086076,0.168576,0.213691,0.282343,0.1,0.031021034,0.14,0.072382414,0
100621A,0.54,1.803457116,-11.87,4.18,1.55,0.78,2.3024,-4.677780705,1.9,22.28454803,1.10720997,1.683600844,0.03,0.02,0.05,0.09,0.0,0.03,0.010178777,0
100704A,3.6,2.2955671,-12.0796808194067,4.07423840339703,0.974795839765546,0.906768283421422,2.11575,-5.22184875,1.73,21.52730245,0.633468456,23.25931459,0.751897874139499,0.548904264189705,0.355984759192435,0.209493405559746,0.014476483,0.06,0.020199743,0
100728A,1.567,2.297760511,-12.0669663483164,4.22222085127483,1.32633594553472,0.825271338668464,1.90402,-4.420216403,1.18,21.52592288,0.707570176,12.6465837,0.766666258328552,0.570275526032545,0.332633410468927,0.209509035690094,0.0,0.02,0.017031156,0
100814A,1.439,2.241795431,-12.9168,5.59489,2.25952,0.41063,1.89414,-5.045757491,1.47,20.89608288,0.397940009,9.468174905,0.0267,0.013105,0.052845,0.04311,0.009650988,0.04,0.034743559,0
100816A,0.804,0.462397998,-12.553434853953,4.26699562819281,1.01294009770317,0.846676992015037,1.91138,-5.698970004,0.73,21.34783526,1.037426498,0.621173086,0.79624513734513,0.561969658311924,0.344091122909998,0.214663136021431,0.021714724,0.24,0.015937412,0
100901A,1.41,2.64246452,-12.17,4.9,1.6,0.74,1.98285,-5.677780705,1.52,21.53188109,-0.096910013,22.56299024,0.02,0.02,0.03,0.02,0.062042069,0.21,0.10857362,0
100906A,1.73,2.058426024,-10.419,2.603734,1.09688,0.84,2.02817,-4.920818754,1.78,21.96198081,1.004321374,1.591145486,0.019906,0.023956,0.015473,0.22,0.0,0.03,0.017199781,0
101219B,0.55,1.531478917,-12.03,3.87,0.97,0.58,1.85684,-5.677780705,1.56,20.49692965,-0.22184875,5.420624286,0.02,0.02,0.01,0.07,0.082722758,0.16,0.217147241,0
101225A,0.33,3.036628895,-14.1,5.38,0.7,0.7,1.81612,-5.721246399,1.82,21.11770968,-0.338610804708651,,0.06,0.17,0.08,0.0303,0.091430417,0.32,0.109322034911467,1
110205A,2.21,2.409933123,-13.04,4.79,1.95,0.74,1.93577,-4.769551079,1.8,21.37042981,0.556302501,,0.06,0.03,0.11,0.04,0.0,0.04,0.024127471,1
110213A,1.4607,1.681241237,-11.5304,4.36285,1.91037,0.9,1.96436,-5.229147988,1.83,21.56708403,0.204119983,16.0,0.0418,0.03889,0.065815,0.06,0.029443694,0.12,0.162860431,0
110422A,1.77,1.413299764,-12.228,3.341312,0.628948,0.886,1.89199,-4.387216143,0.86,22.02088312,1.487138375,0.566646277,0.131094,0.242676,0.035661,0.042,0.010592548,0.1,0.0141464,0
110503A,1.613,1.0,-12.984,4.715862,1.398045,0.8,1.90907,-5.0,0.88,21.13638759,0.130333768,3.405445073,0.066674,0.06045,0.139784,0.04,0.017371779,0.25,0.019301977,0
110715A,0.82,1.113943352,-12.24,5.19,1.51,0.9,1.85342,-4.928117993,1.25,22.0746007,1.731588765,4.0,0.06,0.06,0.09,0.22,0.007360923,0.12,0.008863153,0
110731A,2.83,1.588831726,-12.6474,4.116949,1.162251,0.65,1.85145,-5.22184875,1.15,21.95954126,1.041392685,11.66246372,0.14345,0.236205,0.109516,0.07,0.007238241,0.05,0.011844395,0
110801A,1.858,2.58546073,-11.822,4.036448,1.59481,1.0,2.04784,-5.327902142,1.84,21.39050236,0.041392685,,0.034931,0.030996,0.044803,0.06,0.027720924,0.1,0.078962633,1
110808A,1.348,1.681241237,-12.7157203273429,4.42979953303351,0.875176576066457,0.916532523303273,2.33721,-6.48148606,2.32,14.56450155,-0.397940009,22.627417,0.796589659380108,0.573132341824737,0.348859901612075,0.233356417251163,0.105283511,0.43,0.217147241,0
110818A,3.36,2.012837225,-12.4769267911339,4.14526150042254,1.20258109608999,0.803467864119818,1.95985,-5.397940009,1.58,22.06812647,0.204119983,18.0548006,0.803716830686407,0.553446227115113,0.347557988877952,0.21093926976127,0.021714724,0.11,0.081430215,0
111008A,4.9898,1.802500068,-12.2893829329144,4.25001433881921,1.11111522271693,0.802750012279915,1.94053,-5.27572413,1.86,22.17059025,0.806179974,2.36485691,0.828746098785439,0.561382593612748,0.333558452121531,0.21310383718799,0.024582707,0.09,0.047500959,0
111107A,2.893,1.424881637,-12.5259,3.190433,0.733879,1.0,2.11569,-6.055517328,1.49,21.56675205,0.079181246,,0.238146,0.380189,0.082265,0.09,0.039481317,0.14,0.072382414,1
111123A,3.1516,2.462397998,-12.5350320182654,4.45620201115403,1.26583428785175,0.884793122552956,2.55463,-5.13667714,1.68,21.35034301,-0.045757491,88.09086218,0.819502818248859,0.577067692969638,0.342109257544733,0.224851948793699,0.017847718,0.07,0.048254942,0
111228A,0.714,2.005180513,-12.0111,4.28017,0.93593,0.69,2.03824,-5.070581074,2.27,21.41342718,1.093421685,5.415902489,0.00575,0.008735,0.005345,0.07,0.010218694,0.06,0.017511874,0
120118B,2.943,1.36660971,-12.3451613990603,4.01809408639318,0.972075565905193,0.829338027603966,2.20884,-5.744727495,2.08,21.451745,0.342422681,19.64696058,0.805328100532861,0.565415117714416,0.344682365646637,0.20973637713806,0.024127471,0.11,0.059221975,0
120119A,3.1,2.404491618,-12.0,3.44,1.51,0.89,1.61077,-4.769551079,1.38,22.02202812,1.012837225,,0.06,0.05,0.08,0.01,0.0,0.04,0.012649354,1
120327A,2.813,1.798650645,-12.0760456501803,3.95928201562051,1.23817462251451,0.765933497654203,1.75797,-5.443697499,1.52,22.16619025,0.591064607,7.52171255,0.76579067092082,0.57423215014246,0.347921909475763,0.220986578929724,0.012063736,0.06,0.022271512,0
120404A,2.87,1.587710965,-12.1911,3.966545,1.744036,1.05,1.89579,-5.795880017,1.85,21.70983536,0.079181246,16.0,0.046053,0.034115,0.085691,0.09,0.027143405,0.13,0.072382414,0
120422A,0.283,0.728353782,-12.9223377218328,4.87095195499308,0.909077078568769,0.851324197717516,2.32199,-6.638272164,1.19,16.83373789,-0.22184875,2.236067977,0.798230031557572,0.594290391761409,0.35384336461823,0.216248515422325,0.075529475,0.24,0.144764827,0
120711A,1.405,2.06069784,-12.9249,4.394018,1.107014,0.53,1.96823823014476,-5.59956740196432,1.73945067928945,20.8890204759374,0.15298088503652,,0.108379,0.116386,0.197821,0.02,0.0445850499081247,0.1906576904457,0.0796645497755468,1
120729A,0.8,1.854306042,-12.03,3.81,2.13,0.89,1.8831,-5.619788758,1.62,21.34792064,0.462397998,36.74353317,0.03,0.02,0.05,0.12,0.018095603,0.08,0.029951344,0
120811C,2.671,1.428134794,-12.0942730174068,3.80009423162351,0.963838024496977,0.776494216989617,1.92121,-5.522878745,1.4,21.91722026,0.612783857,3.693579286,0.78471892331854,0.591423594158411,0.331331739363722,0.222687189164038,0.043429448,0.3,0.021185097,0
120815A,2.36,0.986771734,-12.3315,3.266303,0.6555,0.78,1.84293,-6.30980392,2.29,21.77242733,0.342422681,,0.015728,0.033134,0.020651,0.01,0.062042069,0.23,0.059221975,1
120907A,0.97,1.227886705,-12.0278,2.844131,0.787589,0.7,1.82021,-6.173925197,1.73,21.0438101,0.462397998,1.370430613,0.078492,0.160635,0.055886,0.06,0.071302079,0.25,0.059902687,0
120922A,3.1,2.238046103,-12.2289225536875,4.02246729564419,1.02314364425751,0.872119827784916,2.06954,-5.207608311,1.58,21.0163605,0.301029996,30.24009631,0.778540124542298,0.585561650769876,0.335325282257168,0.220325302492593,0.049033248,0.36,0.043429448,0
121024A,2.298,1.838849091,-12.4551055018458,4.22473655642821,1.1436565290387,0.819876690762911,2.00683,-5.958607315,1.41,21.94617755,0.113943352,32.06243908,0.760164989829569,0.589421041130673,0.345823346953004,0.227006995063008,0.039481317,0.22,0.066814536,0
121027A,1.773,1.796574333,-12.6448712624614,4.89282134746587,1.28194386279084,0.872664342958499,2.37144,-5.698970004,1.82,22.07736427,0.113943352,4.820058467,0.75881494586086,0.626392159836131,0.33789872941282,0.216807386756788,0.021714724,0.09,0.066814536,0
121128A,2.2,1.367355921,-11.4998,3.026683,0.954088,0.8,1.98504,-5.161150909,1.32,22.04029767,1.11058971,1.63061216,0.117789,0.179004,0.16947,0.05,0.025176492,0.18,0.013466496,0
121211A,1.023,2.260071388,-12.4891142167761,4.37203677558136,1.0824289148025,0.824050629662775,2.0682,-5.886056648,2.36,21.66138196,0.0,39.28730733,0.786379317063291,0.568704327766421,0.341536626193357,0.204981367279872,0.089197405,0.26,0.130288345,0
121217A,3.1,2.890979597,-12.2295,3.47558,0.775179,0.87,1.96847804960143,-5.207608311,1.53,21.6003032,0.255272505,,0.1152,0.0991,0.028589,0.04,0.0302144713479088,0.08,0.0649371985063369,1
130215A,0.6,1.81756537,-13.66,5.96,2.09,0.94,1.95045663425091,-5.26760624,1.59,21.1575730258515,0.397940009,,0.24,0.13,0.54,0.05,0.040212452,0.14,0.121602455,1
130408A,3.757,1.447158031,-12.1252651581582,4.04322015915914,1.22965016794641,0.81938408490769,2.03183,-5.638272164,1.28,20.06405721,0.69019608,13.06603535,0.761567505993797,0.572150733736473,0.330645689736559,0.214505286299578,0.075529475,0.26,0.088631527,0
130418A,1.218,2.07200023240372,-11.7501506617769,3.52844112058553,1.1508168391544,0.688245056037687,1.68684,-5.744727495,2.07,21.12149747,-0.22184875,46.08809848,0.757387656625762,0.584210347475989,0.325900826943233,0.23190417322543,0.048254942,0.17,0.144764827,0
130420A,1.297,2.091666958,-12.8688,4.259019,1.028031,1.1,2.29559,-5.148741651,1.52,20.79265849,0.531478917,11.73673073,0.066378,0.095952,0.061396,0.06,0.018350471,0.25,0.025546734,0
130427A,0.34,2.211734423,-11.2664,4.420737,1.271343,0.72,1.78644,-3.508638306,1.21,20.99021494,2.519827994,,0.006123,0.006768,0.007333,0.01,0.00420285,0.02,0.006035512,1
130511A,1.3033,0.73479983,-12.1882986178892,3.53399717713957,1.05604117740388,0.771169428043196,2.06879,-6.657577319,1.35,21.01365445,0.113943352,2.212184473,0.772627725233943,0.590338994046999,0.343663156599615,0.223690786657802,0.078962633,0.31,0.066814536,0
130514A,3.6,2.309630167,-12.2605578838291,4.05560463238847,1.07356269261655,0.787871133023514,2.0604,-5.040958608,1.8,21.19799139,0.447158031,12.81269759,0.793426408408215,0.556994491967008,0.341350623064672,0.214704827081136,0.009544934,0.05,0.046531552,0
130604A,1.06,1.57634135,-11.4394741645096,3.28368595930512,1.43545757556668,0.835253890692776,2.08823,-5.853871964,1.51,21.35024026,-0.096910013,4.559271868,0.826590215343174,0.618558754430295,0.333832730029867,0.217563423473793,0.031021034,0.12,0.10857362,0
130606A,5.91,2.441820772,-12.04,4.25,1.71,0.83,1.86465,-5.537602002,1.52,20.24962877,0.414973348,19.31096766,0.09,0.05,0.03,0.12,0.029951344,0.12,0.033407268,0
130702A,0.15,1.770852012,-12.13,5.07,1.33,0.44,1.95922507826468,-5.28621275756824,1.7069931932884,21.1002489320261,0.697313985603386,,0.02,0.01,0.02,0.09,0.0328032555071814,0.171786515728631,0.043879736569635,1
130831A,0.48,1.511883361,-11.42,3.87,1.62,1.0,1.79449,-5.187086643,1.93,19.84752454,1.133538908,1.864331486,0.03,0.01,0.01,0.05,0.001336291,0.05,0.019160051,0
131030A,1.295,1.613841822,-11.8126836411323,3.64166744246732,1.04884546627963,0.782546926843243,2.09466,-4.537602002,1.3,20.84178667,1.44870632,4.042662472,0.826402283269124,0.584978459724672,0.343775811135728,0.215616714659301,0.0,0.03,0.010818724,0
131105A,1.686,2.050379756,-12.3348224587301,4.19357031097264,1.0772984791008,0.812504879331605,2.24976,-5.148741651,1.45,21.32749584,0.544068044,4.086802216,0.789147385833573,0.574646173437902,0.337954737633377,0.214943098267613,0.030584118,0.11,0.074450483,0
140206A,2.73,1.971275849,-10.879,2.792837,0.782606,0.8,1.88134,-4.795880017,1.04,22.00531353,1.28780173,13.75282388,0.019998,0.061447,0.017861,0.03,0.008143022,0.15,0.011193157,0
140213A,1.2076,1.77815125,-12.0521839101332,4.152130671624,1.03855647965402,0.814195378335542,1.96657,-4.920818754,1.8,20.99187128,1.371067862,2.62312486,0.769117534250085,0.57700428138036,0.329300219789774,0.206359928066066,0.0,0.04,0.014784493,0
140419A,3.956,1.976349979,-11.9883787658214,4.07838830002134,1.19538595574116,0.781697832271464,1.87322,-4.795880017,1.21,22.04094236,0.69019608,3.817215769,0.780578483259995,0.573197305822029,0.337336481321536,0.214675708201611,0.0,0.04,0.017726305,0
140423A,3.26,2.127104798,-12.7746,4.184892,1.024631,0.54,2.06486,-5.026872146,1.33,21.81946365,0.322219295,23.01198296,0.051905,0.057199,0.027846,0.08,0.013860462,0.06,0.041361379,0
140430A,1.6,2.239549721,-12.35,3.84,0.78,1.05,2.15785,-5.958607315,2.0,21.67796993,0.397940009,3.69174647,0.02,0.04,0.03,0.08,0.078962633,0.22,0.034743559,0
140506A,0.889,2.045714059,-11.9590062431829,3.84366474184686,0.927575733098556,0.797539739604994,1.74751,-5.552841969,1.68,21.81764402,1.037426498,9.556709938,0.78703983230527,0.56601007319434,0.359226215610209,0.213044840342426,0.046531552,0.16,0.035859177,0
140509A,2.4,1.17092730333444,-12.3839097249102,4.04856493944204,1.21617893324723,0.822866247750191,1.93407,-5.920818754,1.59,20.90144742,0.204119983,5.171156949,0.766773164026873,0.580181115755287,0.33023554847529,0.217988092256581,0.04379136,0.121212121,0.117055576617339,0
140512A,0.725,2.189770956,-11.8893466659215,3.99956006698017,1.1281276198867,0.812365033013517,1.84304,-4.853871964,1.45,21.32824297,0.832508913,4.787065924,0.763035798492453,0.567155262395388,0.345971513706869,0.209340846617785,0.00930631,0.04,0.019160051,0
140518A,4.707,1.781755375,-12.4237204744573,4.12608402351233,1.34934950112782,0.831324604927787,1.93772,-6.0,0.92,22.46148952,0.0,2.429189161,0.801507678285262,0.541889987503772,0.352380738749424,0.226836132452276,0.043429448,0.61,0.043429448,0
140614A,4.233,2.857332496,-12.3084784895473,4.09789410391992,1.16371469217553,0.814385287040149,1.77015,-5.886056648,1.5,12.04338193,-1.4317581319867,160.0586725,0.77809724116385,0.52362627815911,0.366789371307956,0.210334940055299,0.133629071,0.46,0.163321606984505,0
140629A,2.275,1.62324929,-11.9349178621896,3.63475616693168,1.09048319068102,0.80521608250061,1.95996,-5.619788758,1.86,21.74269921,0.62324929,11.54148842,0.786765994680516,0.576051183551405,0.336647656566607,0.215223130077145,0.036191207,0.11,0.041361379,0
140801A,1.32,0.84509804,-12.7942,4.204885,0.861959,0.67,2.01128440967262,-6.05905855564194,1.83370502309806,20.8744034307407,0.574153872694756,,0.036239,0.047598,0.016398,0.16,0.0466131295127891,0.249571169609986,0.0548014009952138,1
140907A,1.21,1.898725182,-12.4311,4.201713,0.985034,1.0,2.00735,-5.366531544,1.72,21.4811071,0.397940009,,0.052537,0.073581,0.036083,0.07,0.020199743,0.07,0.034743559,1
141004A,0.573,0.593286067,-12.2643671430171,3.87813832403496,1.29302395682178,0.847313790644915,1.79496,-6.173925197,1.86,21.49730845,0.785329835,1.073372291,0.724147057013061,0.583655494304749,0.344654518738594,0.212478469317154,0.019446022,0.08,0.021358745,0
141121A,1.47,2.74028372,-13.6665,5.982598,1.859053,0.9,1.93447,-5.27572413,1.73,21.59590717,-0.045757491,37.82221354,0.125949,0.078746,0.276557,0.07,0.032776942,0.13,0.144764827,0
141220A,1.3195,0.857935265,-12.0140017593905,3.61629390644728,1.23095442759923,0.862528486828006,1.80565,-5.585026652,0.62,21.48574413,0.949390007,0.473776348,0.817392087662881,0.531091376816271,0.351716419788614,0.200869648360228,0.016703634,0.38,0.034157993,0
141221A,1.45,1.567026366,-11.3914,2.813159,1.248584,0.26,2.22288,-5.677780705,1.74,21.46788768,0.491361694,,0.019721,0.020312,0.033612,0.09,0.02068069,0.08,0.028018999,1
150120B,3.5,2.01762288488796,-12.2486619885673,3.89600332831107,1.09544219718069,0.820897988729595,2.01678,-6.26760624,2.2,21.52664292,0.079181246,3.388285726,0.781402982065516,0.566387762579821,0.33637874650947,0.219536339937368,0.039006078,0.151515152,0.0542106768002651,0
150314A,1.758,1.169968174,-11.5778096373002,3.48213354160723,1.09036475850215,0.78860645098231,1.84772,-4.657577319,1.08,22.01715025,1.58546073,2.631341157,0.787264853252473,0.584395510373515,0.324539739575702,0.216032887910584,0.005922197,0.03,0.010152339,0
150323A,0.593,2.174931594,-13.0735,3.67566,0.561833,1.1,2.0639,-5.214670165,1.85,21.69269626,0.73239376,,0.057188,0.12415,0.05679,0.21,0.014239163,0.07,0.024127471,1
150403A,2.06,1.611723308,-11.6474673598694,3.83902063097602,1.13649223325668,0.786009850172013,1.70996,-4.769551079,1.23,21.79039707,1.245512668,12.01358912,0.790337045032056,0.577404654165296,0.334075548188076,0.2199386518923,0.00766402,0.04,0.014805494,0
150821A,0.755,2.23578087,-11.6461126833642,3.6616721870682,1.46395969864154,0.806843124378704,2.21622,-6.102372909,2.1,22.340573,-1.49776679460977,99.0437544,0.820273096075203,0.589624874472427,0.363134705336204,0.224727589622497,0.104450572,0.37,0.188398851647283,0
150910A,1.3585,2.049992857,-10.88,2.99,1.239,0.53,1.78547,-5.318758763,1.42,20.842422,0.041392685,,0.03,0.025,0.008,0.14,0.036191207,0.12,0.157925266,1
151021A,2.33,2.042181595,-11.9173071727523,3.8373128639829,1.15914591078037,0.883715552934654,1.96079,-4.552841969,1.57,22.33647975,0.986771734,3.648780623,0.798269562233346,0.574973244631615,0.342697784201069,0.228345567843657,0.015510517,0.04,0.035818102,0
151027A,0.81,2.11290649,-11.4508,4.619188,1.852192,0.97,2.00612,-5.107905397,1.72,21.65076489,0.832508913,5.47526252,0.01712,0.010892,0.014865,0.04,0.011135756,0.05,0.038320101,0
151215A,2.59,1.250420002,-12.3231582496048,3.78070512328286,1.01642538905554,0.84423177767866,2.20942,-6.508638306,1.99,11.58323846,0.204119983,1.003450114,0.760560618548242,0.573201230087181,0.350185205156815,0.228127646445033,0.098066496,0.33,0.05428681,0
160117B,0.87,0.697062187810827,-12.5778137715868,4.32413875830994,0.951169807063527,0.771873017785486,1.83834,-6.4710833,1.73,20.95374423,-0.705929807788426,2.461495511,0.792358894512181,0.542198979758626,0.354210455172224,0.227022969213078,0.005627928835757,0.0041822719666068,0.122191721784807,0
160121A,1.96,1.079181246,-12.4058519044894,4.12345571095853,0.8699838983575,0.850678622646462,2.2054,-6.214670165,1.77,16.38465801,0.079181246,2.383886728,0.764220671247794,0.569149069616994,0.348462456776913,0.217911684977291,0.035597908,0.13,0.072382414,0
160131A,0.972,2.511883361,-11.1733,4.001806,1.287451,0.97,2.02332,-4.690369833,1.24,21.680967,0.806179974,,0.041241,0.050707,0.038892,0.04,0.010644473,0.05,0.020357554,1
160203A,3.52,1.305351369,-12.4997079020454,4.07293700219275,1.04252287075492,0.767239758178432,1.75592,-5.920818754,1.93,22.0158332,0.113943352,3.236126049,0.723222430458077,0.561863162731167,0.334889025119163,0.216243126399521,0.036191207,0.2,0.133629071,0
160227A,2.38,2.500373714,-12.4053269887756,4.40727458337743,1.02916268974915,0.778817817687057,1.72551,-5.508638306,0.75,21.4198963,-0.22184875,75.36821526,0.743950594134467,0.557759818046507,0.336576797907176,0.220897024629698,0.028018999,0.51,0.072382414,0
160314A,0.726,0.941014244,-12.5865,2.806841,0.607458,0.9,1.95129,-6.552841969,1.53,11.89812103,-0.045757491,,0.156279,0.384008,0.053103,0.09,0.062042069,0.22,0.096509885,1
160425A,0.555,2.483701382,-12.4781,3.623299,0.859364,1.5,2.51113,-5.677780705,2.2,22.05510681,0.447158031,,0.257417,0.431716,0.204329,0.09,0.041361379,0.18,0.031021034,1
160804A,0.736,2.15896526,-12.9742,4.72111,1.018609,0.9,1.87827,-4.943095149,1.4,21.30214687,0.462397998,19.22975247,0.063504,0.077461,0.087949,0.07,0.011428802,0.23,0.044927015,0
161014A,2.823,1.26245109,-12.6812,3.993669,1.360776,0.8,1.83236,-5.721246399,1.47,22.18657496,0.462397998,,0.140665,0.162303,0.140234,0.06,0.045715209,0.15,0.089854031,1
161023A,2.71,1.643452676,-11.91,4.55,1.36,0.66,1.95429741445854,-5.42056598348586,1.48429488273099,21.1872488303853,0.588209791507229,,0.05,0.04,0.02,0.08,0.0255406174190192,0.159030747217934,0.0451456901736497,1
161108A,1.159,2.021602716,-12.6231103383585,4.5328392202905,0.930201811291831,0.796118624655276,2.00325,-5.958607315,1.85,21.16074757,-0.22184875,11.8942948,0.76908022832237,0.597790760430662,0.338094865020409,0.205125569411764,0.039481317,0.17,0.072382414,0
161117A,1.549,2.099335278,-12.2043928933637,4.2436987244325,1.05359967187098,0.904500941820585,1.92624,-4.698970004,1.19,21.87736847,0.832508913,1.095627703,0.78356503939914,0.569482053017299,0.350380226698163,0.281647411615092,0.0,0.12,0.019160051,0
161129A,0.645,1.550595207,-12.1163501867246,4.11232298137525,1.78304699118127,0.787624757884028,1.74506,-5.443697499,1.57,21.51361441,0.531478917,2.093571159,0.799497041468196,0.566200209987908,0.382014787181288,0.215486158588655,0.012063736,0.06,0.025546734,0
161219B,0.1475,0.84135947,-12.9799,6.538578,0.890149,0.49723,1.86204,-5.823908741,1.29,21.16590877,0.72427587,0.791979781,0.075567,0.110939,0.142427,0.01068,0.028952965,0.35,0.032776942,0
170113A,1.968,1.315130317,-12.5021,3.874501,1.095671,0.8,1.81917,-6.173925197,0.75,21.4429483,0.041392685,,0.110016,0.186127,0.149224,0.04,0.04537405,0.59,0.039481317,1
170202A,3.645,1.664641976,-12.19461276733,4.12001014994068,1.07309587115922,0.842851366730873,1.99768,-5.48148606,1.68,21.7153121,0.672097858,11.44830537,0.754248948249468,0.562383712261626,0.341103122487694,0.213525402704319,0.013160439,0.07,0.027720924,0
170405A,3.51,2.216693599,-12.7562,4.195041,1.640802,0.8,1.8473,-5.431798276,1.59,13.21022485,0.0992505177283655,35.39093667,0.259204,0.180551,0.148582,0.05,0.035213066,0.12,0.0828682782981754,0
170519A,0.818,2.335257256,-12.3126587005496,4.33012854433067,1.1978245637544,0.833880387823999,1.97351,-5.958607315,1.94,21.33992622,-0.15490196,49.40433008,0.772442085856664,0.562778593573771,0.335318080293496,0.21108896020315,0.078962633,0.26,0.062042069,0
170531B,2.366,2.215187969,-12.5047687044127,4.14911090349307,0.9868299900639,0.839258320161536,2.06685,-5.698970004,1.95,9.634585075,-0.096910013,8.820503864,0.779108024473006,0.600012324130695,0.354803726053323,0.22202187091379,0.043429448,0.14,0.10857362,0
170607A,0.557,1.361727836,-11.9084,4.186609,0.979571,0.9,1.94001,-5.124938737,1.61,20.90203663,1.08334542328181,,0.023499,0.035487,0.024256,0.04,0.017371779,0.07,0.0231184496675564,1
170705A,2.01,2.337059726,-12.1213831401993,4.08454689355939,0.860918972187898,0.782106496900322,1.89159,-5.022276395,1.65,21.08891889,1.1430148,18.07805176,0.797454571207084,0.557172037627152,0.337608574636183,0.215661081471739,0.013714563,0.05,0.012497683,0
170903A,0.886,1.465382851,-12.4159337405126,4.42689010120646,0.966410122600389,0.866985163467863,2.20256,-5.619788758,1.94,21.73970839,0.591064607,3.59505881,0.771935475154807,0.5758530553087,0.3366371804276,0.211096803540329,0.036191207,0.12,0.05567878,0
171222A,2.409,2.242541428,-12.6350442928638,4.55969121041415,0.806948483087147,0.902897912311942,1.99001,-5.721246399,2.07,20.02880298,-0.15490196,22.66456934,0.815228610613029,0.60559905658028,0.362635521376317,0.226996095530768,0.045715209,0.17,0.124084138,0
180115A,2.487,1.611723308,-11.6085,3.061361,0.97054,0.9,1.9512,-6.119186408,1.66,20.61397389,-0.22184875,,0.057564,0.086722,0.036237,0.06,0.062858412,0.22,0.144764827,1
180205A,1.409,1.190331698,-12.8827,5.013912,1.074976,0.9,1.88733,-6.0,2.04,21.4933967,0.531478917,3.123262328,0.024501,0.030888,0.047995,0.09,0.043429448,0.13,0.038320101,0
180325A,2.248,1.973589623,-12.717,3.915432,1.426558,1.13703,1.85846,-5.187086643,1.18,22.14319598,0.973127854,,0.072161,0.045784,0.049597,0.1041,0.013362907,0.05,0.013860462,1
180329B,1.998,2.322219295,-12.4090880775184,4.19953291579803,1.28259166697183,0.789905854475704,1.86768,-5.48148606,0.97,21.41988474,0.146128036,44.04594331,0.787944939978435,0.568280490802633,0.323802460518209,0.222325104328171,0.039481317,0.56,0.124084138,0
180620B,1.1175,2.29841638,-12.3663979347344,4.5265778303877,1.03929275747681,0.823280683140546,1.99236,-5.0,1.3,21.21643247,0.556302501,27.4443118,0.775973884884286,0.571564785596965,0.340113125870886,0.21163772929304,0.013028834,0.2,0.024127471,0
180624A,2.855,2.686993566,-12.5167907696918,4.28760741168365,1.12611388386787,0.825904512481968,2.06008,-5.236572006,1.91,21.1034582,0.146128036,38.50431688,0.768701977577394,0.578961734172999,0.336123212265161,0.208657343578497,0.022463508,0.1,0.062042069,0
180720B,0.654,3.06444019010425,-11.6602089172931,4.05048354644719,1.19075146820813,0.777219739426887,1.8461,-4.065501549,1.36,21.24271531,1.831869774,3.688453378,0.807760496846343,0.578048808151736,0.353055745848598,0.217838324350868,0.005049936,0.03,0.016629833,0
180728A,0.117,0.938519725,-11.82635090009,4.11772503726465,1.10244387309954,0.794292886723743,1.70111,-4.528708289,1.97,21.58733599,2.120573931,0.297321378,0.78749668686156,0.554226007653964,0.333708286078718,0.211207294876606,0.008803267,0.03,0.009541318,0
181020A,2.938,2.376576957,-12.1411942030648,4.34233387971622,1.96822187778181,0.874139422817538,1.93674,-5.091514981,1.25,20.65703194,0.886490725,11.5888181,0.796126987144183,0.58503229755512,0.38956543404862,0.221656694228777,0.016084981,0.06,0.016920564,0
181201A,0.45,1.283301229,-11.6955,4.749372,1.151212,0.57781,1.97913612783146,-5.37153011911936,1.62357778401957,21.1468434832998,0.899550776141651,,0.026476,0.024124,0.006098,0.02953,0.0288230416508681,0.178235765696061,0.0293124960699646,1
190114A,3.3765,1.823474229,-12.2688686827537,4.13138928366559,1.0819470553547,0.810087425344707,1.83214,-6.096910013,2.06,21.6447605,-0.301029996,10.18381229,0.799271143666173,0.57915894912384,0.336476636529598,0.218885184042766,0.065144172,0.22,0.173717793,0
