,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
060115A,3.53,2.144885418,-12.4071165100771,4.09040904690609,0.913003641592976,0.829408661045971,2.10553,-5.76700389,1.0,21.43355223,-0.060480747,15.0870791,0.79064590532704,0.559642089840169,0.341762637984366,0.223690650358895,0.038096007,0.303030303,0.059902687,0
060124A,2.3,1.134495856,-11.66,3.63,0.88,0.73,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,1.306782322,0.03,0.04,0.0,0.08,0.049929734,0.19,0.087834839,0
060206A,4.05,0.880241776,-12.0107,4.293881,1.255402,0.77,2.20424,-6.080398976,1.2,22.33966406,0.445604203,1.933560454,0.004353,0.004134,0.00376,0.01,0.021949902,0.181818182,0.026462388,0
060210A,3.91,2.40654018,-12.4544,3.243171,1.327381,0.99,2.08163,-5.11577123,1.53,22.3877421,0.434568904,121.976523,0.039346,0.035759,0.053451,0.03,0.023188831,0.09,0.044706785,0
060223A,4.41,1.053078443,-12.3159860506414,3.64584293364106,1.09587599814179,0.803074127362611,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,0.763109096326692,0.62050827678341,0.363138682235164,0.21302661789445,0.030974941,0.12,0.057905931,0
060306A,1.559,2.13255996245349,-12.2640691791781,4.00802095039777,0.992795253030281,0.79850902499872,2.28823,-5.671620397,1.8,21.61973178,0.775974331,3.518840719,0.793811152658409,0.562741080700009,0.336670645798764,0.209993656682321,0.01457843,0.060606061,0.0488439909307915,0
060418A,1.49,2.158362492,-10.4315,2.578446,1.179912,0.69,1.94118,-5.079354999,1.7,21.65363309,0.814247596,45.254834,0.021082,0.02144,0.0063,0.11,0.013190457,0.06,0.023313354,0
060502A,1.5026,1.45331834,-12.1634213335335,3.87549052757824,0.920023885955899,0.814001697747025,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,0.796941708103942,0.564237683520208,0.349691143145868,0.218661928813941,0.019176639,0.08,0.053965586,0
060510B,4.9,2.43964843,-12.7973534852049,4.4225967933918,0.9844125877873,0.915624541326277,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,0.817175067943771,0.603011594276066,0.371322959838777,0.218817845961286,0.018780302,0.08,0.083811216,0
060512A,0.44,0.92890769,-12.44,3.64,0.74,0.68,2.70163,-6.634512015,2.48,16.36612399,-0.055517328,,0.03,0.05,0.02,0.05,0.074878359,0.3,0.098703291,1
060526A,3.21,2.47444938,-12.2,4.19,1.12,0.65,1.90677,-5.899629455,2.01,16.11154478,0.222716471,23.04821868,0.01,0.01,0.01,0.06,0.056871896,0.24,0.046810184,0
060604A,2.1357,1.977723605,-12.5511733804882,4.4444236507435,1.10679650958553,0.834567907985586,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,17.0,0.779531610620223,0.559693268942951,0.322112381299818,0.205583059901393,0.11451546,0.42,0.166053773,0
060607A,3.07,2.009450896,-11.78,3.53,1.25,0.72,1.61002,-5.59345982,1.47,21.79614607,0.146128036,,0.03,0.04,0.05,0.27,0.019074895,0.08,0.040327345,1
060707A,3.425,1.820857989,-12.2427093769065,4.00763425249379,0.897396058771442,0.859784900345022,2.09345,-5.795880017,0.6,21.20847898,0.004321374,6.314200491,0.792437797166717,0.574287314536431,0.339668489996603,0.21005655165751,0.040986542,0.363636364,0.098898743,0
060708A,1.92,1.008600172,-11.6007,3.15661,0.820982,0.88,2.20484,-6.306273051,1.68,20.79066861,0.28780173,3.601244236,0.0317,0.0831,0.033617,0.05,0.032528129,0.12,0.031340839,0
060714A,2.71,2.060660074,-12.8093,4.218794,1.123968,0.44,2.04425,-5.548213564,1.93,22.0125926,0.10720997,9.129365384,0.046522,0.074159,0.054273,0.04,0.025627978,0.11,0.044108033,0
060729A,0.54,2.062017599,-12.15,5.07,1.26,0.67,1.92492,-5.583359493,1.75,20.86562801,0.068185862,33.90346061,0.03,0.03,0.06,0.07,0.035109631,0.14,0.048254942,0
060814A,1.9229,2.162265614,-12.2990768874886,4.35563093521314,1.14594668463868,0.829162436773669,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.898458524,0.787834757907091,0.547443200271037,0.33721202853194,0.208184677271482,0.007109341,0.03,0.017323989,0
060904B,0.7,2.234264124,-12.1854,3.923904,1.19811,1.11,2.18877,-5.790484985,1.64,21.59122827,0.387389826,,0.018294,0.024033,0.027284,0.1,0.038335871,0.14,0.037377804,1
060906A,3.686,1.638489257,-12.6379327208836,4.41111725158168,1.41854320172698,0.848551200930299,2.07859,-5.655607726,2.03,22.41960057,0.294466226,8.166987204,0.750435688364384,0.511104984137258,0.36560841886182,0.216172255531351,0.026725814,0.11,0.061727135,0
060908A,1.8836,1.285557309,-11.955163489057,3.65709631842742,1.21132904812743,0.878416141361235,2.13395,-5.552841969,1.0,21.80952201,0.481442629,1.330335293,0.801133971589238,0.5981368297487,0.35343034085007,0.219235057003253,0.017216674,0.181818182,0.035832878,0
060912A,0.937,0.698970004,-12.0785200085551,3.43061101909972,0.994305183675636,0.778483674887983,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.58,0.744041943951866,0.669361720083198,0.325802781659734,0.204565724672839,0.019945376,0.09,0.022271512,0
060926A,3.2,0.903089987,-12.3492979552947,3.90192647533699,1.24714526648582,0.893471604138572,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.212679677,0.810770654242685,0.608724321037597,0.333335050555193,0.220720243960942,0.049576996,0.23,0.055780943,0
060927A,5.46,1.352953912,-12.19,3.24,1.26,0.86,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.294276634,0.26,0.23,0.06,0.03,0.026134535,0.242424242,0.027344467,0
061007A,1.26,1.876852648,-8.76,2.17,1.75,1.07,1.99824,-4.35261703,1.03,21.74186197,1.164352856,,0.07,0.03,0.01,0.19,0.005497151,0.03,0.011006093,1
061121A,1.31,1.90982337,-12.27,3.85,1.0,0.81,1.90181,-4.863279433,1.41,21.75351565,1.324282455,46.12748458,0.04,0.05,0.01,0.0363,0.006308365,0.03,0.009468031,0
061126A,1.1588,2.281033367,-12.3053,3.5801,0.922285,0.82,1.9269241917552,-5.169411331,1.32,21.38058204,0.989449818,,0.08165,0.101225,0.025959,0.09,0.0190994093843814,0.06,0.0246693811930976,1
061222A,2.088,1.853698212,-12.0043114366646,4.17417392702906,1.17737607936096,0.809904759490834,1.92748,-5.097453221,1.35,22.56660835,0.930949031,16.0,0.810799043564919,0.570843899093681,0.348193819111093,0.200811875735859,0.008588051,0.04,0.013237581,0
070110A,2.35,1.946550511,-12.9,4.44,0.99,1.0,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,14.47803302,0.06,0.1,0.05,0.14,0.028952965,0.12,0.086858896,0
