"","PhotonIndex","log10PeakFlux","log10Ta","log10NH","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","PhotonIndexSqr","log10PeakFluxSqr","log10TaSqr","log10NHSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","PhotonIndex_opt","log10PeakFlux_opt","log10Ta_opt","log10NH_opt","log10Fa_opt","Alpha_opt","log10T90_opt","Beta_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050416A",3.08,0.688419822,2.99481,21.75162856,-10.5559552,0.842217,0.397940009,0.9,2.06183,-6.435333936,9.4864,0.473921851322512,8.9688869361,473.133345012208,111.428190184407,0.709329475089,0.15835625076292,0.81,4.2511429489,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0,0,0,0,0,0,0,0,0,0,0,0.6528,0.218220304175545
"050502A",1.5837013438142,0.330571846807332,3.51664581121582,21.0181637594417,-10.6723178688682,1.44058672494939,1.301029996,0.83772921986216,1.96705146522392,-5.95905698874291,2.5081099463989,0.10927774590161,12.3667977615418,441.763207818708,113.898368694163,2.07529011210041,1.69267905049176,0.701790245810863,3.86929146683957,35.5103601950857,0.15117163716416,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0347486663233463,0.18713159391256,0.0657749268162652,"050502A",1,0.39592533595355,0.082642961701833,0.879161452803955,5.25454093986042,-2.66807946721705,0.360146681237347,0.325257499,0.20943230496554,0.49176286630598,-1.48976424718573,3.79,0.680335513414563
"050502B",1.49398169361224,0.300152911468348,3.48226128152163,21.0347201497492,-10.6167589054291,1.4075108304542,1.243038049,0.869359678418334,1.97812318786123,-5.90726604152399,2.2319813008485,0.090091770262926,12.1261436327847,442.459451778265,112.715569656008,1.98108673784587,1.54514359126173,0.755786250459629,3.91297134635427,34.8957920853425,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0295798799821603,0.14,0.0671099909495084,"050502B",1,0.37349542340306,0.075038227867087,0.870565320380407,5.2586800374373,-2.65418972635727,0.35187770761355,0.31075951225,0.217339919604583,0.494530796965307,-1.476816510381,3.793,0.680607428991788
"050505A",1.41,0.267171728,4.270583544,22.23063027,-11.04817696,1.462094791,1.770115295,0.973,2.01835,-5.603800653,1.9881,0.071380732242506,18.2378838062836,494.20092220144,122.062214139475,2.13772117786933,3.13330815759294,0.946729,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",0,0,0,0,0,0,0,0,0,0,0,4.27,0.721810615212547
"050525A",1,1.620136055,3.56232073439233,21.2788016,-10.3514773343196,1.37695483792374,0.944482672,0.856553278006956,2.08914,-4.815308569,1,2.62484083671096,12.6901290146815,452.787397532163,107.153083002932,1.89600462568159,0.89204751770826,0.733683518064462,4.3645059396,23.1871966146848,0.131947893505177,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.006273143,0.1,0.009789852,"050525A",1,0.25,0.40503401375,0.890580183598083,5.3197004,-2.5878693335799,0.344238709480935,0.236120668,0.214138319501739,0.522285,-1.20382714225,0.61,0.20682587603185
"050603A",1.16,1.33243846,3.84020803675133,21.63005546,-10.3773120705851,1.55432927613548,1.322219295,0.929371411175941,1.90951127022931,-5.196542884,1.3456,1.77539224968717,14.7471977655295,467.859299202676,107.688605810311,2.41593949865185,1.7482638640703,0.86373121991116,3.64623329113275,27.004057945251,0.131947893505177,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,-0.0006217656979968,0.06,0.0038290748542292,"050603A",1,0.29,0.333109615,0.960052009187833,5.407513865,-2.59432801764628,0.38858231903387,0.33055482375,0.232342852793985,0.477377817557327,-1.299135721,2.82,0.582063362911709
"050730A",1.53,-0.259637311,4.05018,21.73850309,-10.09854168,2.38763,2.194514342,0.5615,1.6177,-5.623423043,2.3409,0.0674115332633107,16.4039580324,472.562516593939,101.980544062697,5.7007770169,4.81589319724369,0.31528225,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",0,0,0,0,0,0,0,0,0,0,0,3.967,0.696094159995223
"050801A",1.99,0.164352856,3.33500987628873,20.80209017,-10.0668779283512,1.54872275638726,1.28780173,0.879677553574912,2.07525210781143,-6.508638306,3.9601,0.0270118612753567,11.1222908749434,432.726955440811,101.342031224325,2.39854217615175,1.65843329579099,0.773832598263542,4.30667131097578,42.3623725983306,0.366834332492466,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0581234535102333,0.25,0.0712796339614364,"050801A",1,0.4975,0.041088214,0.833752469072182,5.2005225425,-2.5167194820878,0.387180689096815,0.3219504325,0.219919388393728,0.518813026952857,-1.6271595765,1.56,0.40823996531185
"050802A",1.54,0.439332694,3.63973,21.25883595,-10.28650946,1.44729,1.477121255,0.8585,1.8557,-5.698970004,2.3716,0.193013216017298,13.2476344729,451.938105949012,105.812276870669,2.0946483441,2.18188720197277,0.73702225,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,"050802A",0,0,0,0,0,0,0,0,0,0,0,1.7102,0.433001340945038
"050803A",1.38,-0.017728767,4.21721,21.34755638,-10.86012091,1.52234,1.943988875,1.218,2.11696,-5.66756154,1.9044,0.000314309179340289,17.7848601841,455.718163397279,117.942226179819,2.3175190756,3.77909274612377,1.483524,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,"050803A",0,0,0,0,0,0,0,0,0,0,0,3.5,0.653212513775344
"050820A",1.25,0.389166084,3.750945731,21.61964524,-10.01818139,1.136499703,1.414973348,0.9,1.96878,-5.463441557,1.5625,0.151450240935895,14.0695938769071,467.409060303455,100.363958362942,1.29163157491909,2.00214957555033,0.81,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",0,0,0,0,0,0,0,0,0,0,0,2.6147,0.558072259099146
"050824A",2.76,-0.301029996,5.08558,20.9708274,-12.23882419,0.954481,1.353723938,0.86,1.94709,-6.575118363,7.6176,0.09061905849176,25.8631239364,439.775601840591,149.788817553729,0.911033979361,1.83256850031423,0.7396,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0,0,0,0,0.8278,0.261928672990642
"050904A",1.25,-0.207608311,3.84578074898733,22.39388568,-11.2265101298187,1.55096693041187,2.259044094,0.818155616987025,1.90813,-5.316052869,1.5625,0.0431012107962727,14.7900295692815,501.486115848909,126.034529694922,2.40549841923122,5.10328021863628,0.66937861360742,3.6409600969,28.2604181060031,0.051933835584684,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.016184888,0.07,0.119080745,"050904A",1,0.3125,-0.05190207775,0.961445187246832,5.59847142,-2.80662753245467,0.387741732602968,0.5647610235,0.204538904246756,0.4770325,-1.32901321725,6.295,0.86302529622947
"050908A",1.88,-0.15490196,3.39276808697263,21.34792103,-10.7070692945506,1.01507278622451,1.239799818,1.04568170776823,2.74883,-6.316052869,3.5344,0.0239946172118416,11.5108752919799,455.733732303116,114.641332878308,1.03037276133359,1.53710358871283,1.09345023396108,7.5560663689,39.8925238440031,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.045857181,0.17,0.086858896,"050908A",1,0.47,-0.03872549,0.848192021743158,5.3369802575,-2.67676732363765,0.253768196556127,0.3099499545,0.261420426942058,0.6872075,-1.57901321725,3.34,0.637489729512511
"050922C",1.37,0.860936621,2.52429,21.44930866,-9.477555766,1.22035,0.653212514,1.064,2.2119,-5.790484985,1.8769,0.741211865378898,6.3720400041,460.072841991951,89.8240632976399,1.4892541225,0.4266865884462,1.132096,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",0,0,0,0,0,0,0,0,0,0,0,2.198,0.504878459410216
"051016B",2.4,0.113943352,4.25742,21.71466751,-11.59006688,1.14771,0.602059991,0.73,1.89482,-6.769551079,5.76,0.0129830874649959,18.1256250564,471.52678506985,134.329650282873,1.3172382441,0.36247623276292,0.5329,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0,0,0,0,0.9364,0.286995073968852
"051028A",1.6783282458665,0.179466033655192,3.68911258975276,20.9024195385481,-10.8755198140656,1.10415742037089,1.204119983,0.925518855523758,2.02921982175251,-6.17568341398607,2.81678570087332,0.0322080572359265,13.6095516998723,436.911142565477,118.276931226133,1.2191636089601,1.44990493345992,0.856585151930007,4.11773308499329,38.1390656297826,0.0559162050267847,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",1,0.419582061466625,0.044866508413798,0.92227814743819,5.22560488463702,-2.7188799535164,0.276039355092722,0.30102999575,0.23137971388094,0.507304955438127,-1.54392085349652,3.6,0.662757831681574
"051109A",1.51,0.595496222,3.91123,21.97057233,-10.51999306,1.22299,1.57054294,1.06,2.06584,-5.657577319,2.2801,0.354615750416273,15.2977201129,482.706048507762,110.670253982448,1.4957045401,2.46660512638384,1.1236,4.2676949056,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,0,0,0,0,2.346,0.524525936626376
"051111A",1.32,0.424881637,3.46050233929367,21.79196559,-10.0519857946106,1.41903368950997,1.776555911,0.922727407311059,2.23019,-5.389339837,1.7424,0.1805244054598,11.975076440257,474.889764275744,101.042418415053,2.01365661196428,3.15615090490904,0.851425868202989,4.9737474361,29.0449838786752,0.0664439832683159,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.014263593,0.06,0.034286406,"051111A",1,0.33,0.10622040925,0.865125584823418,5.4479913975,-2.51299644865265,0.354758422377492,0.44413897775,0.230681851827765,0.5575475,-1.34733495925,1.55,0.406540180433955
"060115A",1,-0.060480747,3.69688,21.43355223,-11.29499204,0.889919,2.144885418,1,2.10553,-5.76700389,1,0.00365792075767801,13.6669217344,459.397161196138,127.576845183663,0.791955826561,4.60053345634903,1,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,"060115A",0,0,0,0,0,0,0,0,0,0,0,3.53,0.656098202012832
"060124A",1.84,-0.050609993,4.47599,21.9172644,-10.6893,1.3641,1.134495856,0.99,2.00895,-6.336299075,3.3856,0.00256137139146005,20.0344864801,480.366478779507,114.26113449,1.86076881,1.28708084728117,0.9801,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,"060124A",0,0,0,0,0,0,0,0,0,0,0,2.296,0.517987203025078
"060206A",1.2,0.445604203,3.93814,22.33966406,-10.63078414,1.17565,0.880241776,1.265,2.20424,-6.080398976,1.44,0.198563105731265,15.5089466596,499.060590313656,113.013571431276,1.3821529225,0.774825584215634,1.600225,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,"060206A",0,0,0,0,0,0,0,0,0,0,0,4.048,0.703119346236078
"060210A",1.53,0.434568904,4.15028,22.3877421,-10.66756154,1.20511,2.40654018,0.979,2.08163,-5.11577123,2.3409,0.188850132323761,17.2248240784,501.210996336112,113.796869209687,1.4522901121,5.79143563795443,0.958441,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,"060210A",0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060223A",1.74,0.130333768,2.78682,22.49782636,-10.9636,1.1892,1.053078443,0.81,2.01015,-6.171984936,3.0276,0.0169868910810778,7.7663657124,506.152190924711,120.20052496,1.41419664,1.1089742071113,0.6561,4.0407030225,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,"060223A",0,0,0,0,0,0,0,0,0,0,0,4.41,0.73319726510657
"060306A",1.8,0.775974331,3.61496,21.61973178,-10.70553377,1.03794,2.13255996245349,0.76,2.28823,-5.671620397,3.24,0.602136162370898,13.0679358016,467.412802239142,114.60845330061,1.0773194436,4.54781199345963,0.5776,5.2359965329,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",1.7,0.814247596,3.11887,21.65363309,-9.792961075,1.47655,2.158362492,0.98,1.94118,-5.079354999,2.89,0.662999147591779,9.7273500769,468.879825996343,95.9020866164651,2.1801999025,4.65852864687245,0.9604,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,1.489,0.396024896608593
"060502A",1.46,0.227886705,3.3865,21.45692297,-10.55284197,0.897152,1.45331834,0.87,2.02719,-5.63638802,2.1316,0.051932350315757,11.46838225,460.399543340514,111.362473643793,0.804881711104,2.11213419738036,0.7569,4.1094992961,31.7688699119995,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,"060502A",0,0,0,0,0,0,0,0,0,0,0,1.5026,0.398391440229475
"060510B",1.78,-0.244125144,4.43617,22.00215742,-12.2656,1.00735,2.43964843,1.38,2.1317,-5.390405591,3.1684,0.0595970859330207,19.6796042689,484.094931134461,150.44494336,1.0147540225,5.95188446200147,1.9044,4.54414489,29.0564724354841,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.083811216,"060510B",0,0,0,0,0,0,0,0,0,0,0,4.9,0.770852011642144
"060512A",2.48,-0.055517328,3.7192971954124,22.05510681,-10.652246944233,1.10213667586381,0.92890769,0.89142293477346,2.70163,-6.634512015,6.1504,0.00308217370825958,13.8331716278025,486.427736400508,113.470364960921,1.21470525228413,0.862869496541136,0.794634848640128,7.2988046569,44.0167496771794,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.074878359,0.3,0.098703291,"060512A",1,0.62,-0.013879332,0.9298242988531,5.5137767025,-2.66306173605825,0.275534168965953,0.2322269225,0.222855733693365,0.6754075,-1.65862800375,0.44,0.15836249209525
"060526A",2.01,0.222716471,3.8752,21.25883595,-11.3053948,1.05873,2.47444938,0.93,1.90677,-5.899629455,4.0401,0.0496026264546938,15.01717504,451.938105949012,127.811951583867,1.1209092129,6.12289973418238,0.8649,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,"060526A",0,0,0,0,0,0,0,0,0,0,0,3.221,0.625415352154408
"060604A",2.01,-0.468521083,4.45991,21.99003057,-11.76955108,1.21596,1.977723605,1.02,2.1711,-6.395773947,4.0401,0.219512005215493,19.8907972081,483.561444469534,138.522332624729,1.4785587216,3.9113906577742,1.0404,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
"060605A",1.55,-0.337242168,4.04162,21.77333803,-11.26121944,1.9179,2.059904056,0.835,2.02128,-6.156767222,2.4025,0.11373227987734,16.3346922244,474.078248968644,126.815063275834,3.67834041,4.24320471992525,0.697225,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,0,0,0,0,3.78,0.679427896612119
"060607A",1.47,0.146128036,3.61434866557124,21.79614607,-10.3710521493982,1.41139438058861,2.009450896,0.887600763046437,1.61002,-5.59345982,2.1609,0.0213534029052173,13.0635162763166,475.071983504776,107.558722685537,1.99203409755711,4.0378929034352,0.787835114560617,2.5921644004,31.2867927579544,0.169579312058566,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.019074895,0.08,0.040327345,"060607A",1,0.3675,0.036532009,0.90358716639281,5.4490365175,-2.59276303734955,0.352848595147152,0.502362724,0.221900190761609,0.402505,-1.398364955,3.07,0.60959440922522
"060707A",0.6,0.004321374,3.5545,21.20847898,-10.9132,0.861995,1.820857989,1.12,2.09345,-5.795880017,0.36,1.8674273247876e-05,12.63447025,449.799580645102,119.09793424,0.743035380025,3.31552381610512,1.2544,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",1.68,0.28780173,3.50569,20.79066861,-10.86966623,1.12969,1.008600172,1.485,2.20484,-6.306273051,2.8224,0.0828298357909929,12.2898623761,432.251901250839,118.149643951602,1.2761994961,1.01727430695843,2.205225,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,"060708A",0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",1.93,0.10720997,3.73449,22.0125926,-10.86012091,1.20488,2.060660074,0.87,2.04425,-5.548213564,3.7249,0.0114939776674009,13.9464155601,484.554232973575,117.942226179819,1.4517358144,4.24631994057768,0.7569,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,"060714A",0,0,0,0,0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",1.75,0.068185862,5.1057,20.86562801,-11.15058059,1.35481,2.062017599,1.317,1.92492,-5.583359493,3.0625,0.00464931177668304,26.06817249,435.374432251696,124.335447494085,1.8355101361,4.25191657858572,1.734489,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",1.53,0.861534411,4.22387,22.00679538,-10.91009489,1.29504,2.162265614,0.97,2.11591,-4.835647144,2.3409,0.742241541337117,17.8410777769,484.299042897189,119.030170508804,1.6771286016,4.6753925854868,0.9409,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060904B",1.64,0.387389826,3.72246216502311,21.59122827,-10.528740953358,1.24602260324099,2.234264124,0.961613733782178,2.18877,-5.790484985,2.6896,0.15007087728831,13.8567245700285,466.181138207247,110.854386062918,1.55257232778745,4.99193617579349,0.924700972998501,4.7907141129,33.5297163615105,0.169579312058566,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.038335871,0.14,0.037377804,"060904B",1,0.41,0.0968474565,0.930615541255778,5.3978070675,-2.6321852383395,0.311505650810248,0.558566031,0.240403433445544,0.5471925,-1.44762124625,0.7,0.230448921378274
"060906A",2.03,0.294466226,4.33479,22.41960057,-11.8827287,1.71887,1.638489257,1.06,2.07859,-5.655607726,4.1209,0.0867103582546831,18.7904043441,502.638489718344,141.199241357804,2.9545140769,2.68464704530441,1.1236,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",1,0.481442629,2.81918,21.80952201,-9.627087997,1.38309,1.285557309,1.185,2.13395,-5.552841969,1,0.231787005018432,7.9477758724,475.655250304674,92.6808233019815,1.9129379481,1.65265759472332,1.404225,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060912A",1.74,0.933487288,2.455171016,21.36738202,-10.1079054,1.045731532,0.698970004,0.63,1.8948,-5.869666232,3.0276,0.871398516857595,6.02786471780647,456.565014388619,102.169751575349,1.09355443701907,0.48855906649176,0.3969,3.59026704,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"060926A",2.54,0.037426498,3.351,22.50004427,-10.84771166,1.45111,0.903089987,1.357,2.00443,-6.659555885,6.4516,0.001400742752544,11.229201,506.25199215196,117.6728482585,2.1057202321,0.81557152461966,1.841449,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",0.9,0.431363764,3.15198,22.10710478,-10.77728353,1.39098,1.352953912,0.83,1.94856,-5.946921557,0.81,0.186074696892248,9.9349779204,488.724081753899,116.149840286009,1.9348253604,1.8304842879961,0.6889,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,"060927A",0,0,0,0,0,0,0,0,0,0,0,5.47,0.8109042806687
