"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10Fa","log10T90","Beta","Alpha","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","log10T90Sqr","BetaSqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","PhotonIndex_opt","log10Ta_opt","log10Fa_opt","log10T90_opt","Beta_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050416A",21.75162856,0.688419822,3.08,2.99481,-10.5559552,0.397940009,0.9,0.842217,2.06183,-6.435333936,473.133345012208,0.473921851322512,9.4864,8.9688869361,111.428190184407,0.15835625076292,0.81,0.709329475089,4.2511429489,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0,0,0,0,0,0,0,0,0,0,0,0.6528,0.218220304175545
"050502A",21.0181637594417,0.330571846807332,1.5837013438142,3.71611876638541,-10.8012391472323,1.301029996,0.910598612765318,1.41543711565793,1.96705146522392,-5.95905698874291,441.763207818708,0.10927774590161,2.5081099463989,13.8095386858818,116.666767115704,1.69267905049176,0.829189833570121,2.00346222838204,3.86929146683957,35.5103601950857,0.0131768929142836,0.914226608823992,0.527817164487351,0.265576074414152,0.177838093573449,0.0347486663233463,0.18713159391256,0.0657749268162652,"050502A",1,5.25454093986042,0.082642961701833,0.39592533595355,0.929029691596353,-2.70030978680807,0.325257499,0.22764965319133,0.353859278914482,0.49176286630598,-1.48976424718573,3.79,0.680335513414563
"050502B",21.0347201497492,0.300152911468348,1.49398169361224,3.59575021654063,-10.7654532007988,1.243038049,0.943714597586291,1.38910843724399,1.97812318786123,-5.90726604152399,442.459451778265,0.090091770262926,2.2319813008485,12.929419619752,115.894982618589,1.54514359126173,0.890597241697455,1.92962225042244,3.91297134635427,34.8957920853425,0.0244827442519859,0.872573324994928,0.521487435474851,0.293343012866626,0.164022539174842,0.0295798799821603,0.14,0.0671099909495084,"050502B",1,5.2586800374373,0.075038227867087,0.37349542340306,0.898937554135158,-2.6913633001997,0.31075951225,0.235928649396573,0.347277109310997,0.494530796965307,-1.476816510381,3.793,0.680607428991788
"050505A",22.23063027,0.267171728,1.41,4.270583544,-11.04817696,1.770115295,0.973,1.462094791,2.01835,-5.603800653,494.20092220144,0.071380732242506,1.9881,18.2378838062836,122.062214139475,3.13330815759294,0.946729,2.13772117786933,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",0,0,0,0,0,0,0,0,0,0,0,4.27,0.721810615212547
"050525A",21.2788016,1.620136055,1,3.52311970886638,-10.365041044102,0.944482672,0.890967133832897,1.23753194978319,2.08914,-4.815308569,452.787397532163,2.62484083671096,1,12.4123724830027,107.434075845919,0.89204751770826,0.793822433570407,1.53148532673418,4.3645059396,23.1871966146848,0.143091047665439,0.892985542944693,0.488621967364605,0.27533487659653,0.185359147749356,0.006273143,0.1,0.009789852,"050525A",1,5.3197004,0.40503401375,0.25,0.880779927216595,-2.5912602610255,0.236120668,0.222741783458224,0.309382987445798,0.522285,-1.20382714225,0.61,0.20682587603185
"050603A",21.63005546,1.33243846,1.16,3.99647726613891,-10.3296348799451,1.322219295,0.954247297721741,1.59836714025114,1.90951127022931,-5.196542884,467.859299202676,1.77539224968717,1.3456,15.9718305387651,106.701356752978,1.7482638640703,0.910587905209245,2.55477751503461,3.64623329113275,27.004057945251,0.0202577864729536,0.794827940138192,0.503712778593187,0.281347882359374,0.179985544523427,-0.0006217656979968,0.06,0.0038290748542292,"050603A",1,5.407513865,0.333109615,0.29,0.999119316534728,-2.58240871998628,0.33055482375,0.238561824430435,0.399591785062785,0.477377817557327,-1.299135721,2.82,0.582063362911709
"050730A",21.73850309,-0.259637311,1.53,4.05018,-10.09854168,2.194514342,0.5615,2.38763,1.6177,-5.623423043,472.562516593939,0.0674115332633107,2.3409,16.4039580324,101.980544062697,4.81589319724369,0.31528225,5.7007770169,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",0,0,0,0,0,0,0,0,0,0,0,3.967,0.696094159995223
"050801A",20.80209017,0.164352856,1.99,3.2750876496336,-10.0881189043488,1.28780173,0.90963767149082,1.31174410250412,2.07525210781143,-6.508638306,432.726955440811,0.0270118612753567,3.9601,10.7261991127825,101.77014302828,1.65843329579099,0.827440693395241,1.72067259045434,4.30667131097578,42.3623725983306,0.0051064352834946,0.901479710684825,0.52979895070717,0.26605485471443,0.193128427848574,0.0581234535102333,0.25,0.0712796339614364,"050801A",1,5.2005225425,0.041088214,0.4975,0.8187719124084,-2.5220297260872,0.3219504325,0.227409417872705,0.32793602562603,0.518813026952857,-1.6271595765,1.56,0.40823996531185
"050802A",21.25883595,0.439332694,1.54,3.63973,-10.28650946,1.477121255,0.8585,1.44729,1.8557,-5.698970004,451.938105949012,0.193013216017298,2.3716,13.2476344729,105.812276870669,2.18188720197277,0.73702225,2.0946483441,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,"050802A",0,0,0,0,0,0,0,0,0,0,0,1.7102,0.433001340945038
"050803A",21.34755638,-0.017728767,1.38,4.21721,-10.86012091,1.943988875,1.218,1.52234,2.11696,-5.66756154,455.718163397279,0.000314309179340289,1.9044,17.7848601841,117.942226179819,3.77909274612377,1.483524,2.3175190756,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,"050803A",0,0,0,0,0,0,0,0,0,0,0,3.5,0.653212513775344
"050820A",21.61964524,0.389166084,1.25,3.750945731,-10.01818139,1.414973348,0.9,1.136499703,1.96878,-5.463441557,467.409060303455,0.151450240935895,1.5625,14.0695938769071,100.363958362942,2.00214957555033,0.81,1.29163157491909,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",0,0,0,0,0,0,0,0,0,0,0,2.6147,0.558072259099146
"050824A",20.9708274,-0.301029996,2.76,5.08558,-12.23882419,1.353723938,0.86,0.954481,1.94709,-6.575118363,439.775601840591,0.09061905849176,7.6176,25.8631239364,149.788817553729,1.83256850031423,0.7396,0.911033979361,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0,0,0,0,0.8278,0.261928672990642
"050904A",22.39388568,-0.207608311,1.25,4.3249404214519,-11.4997477508003,2.259044094,0.991200955835338,1.81956893679898,1.90813,-5.316052869,501.486115848909,0.0431012107962727,1.5625,18.7051096491085,132.244198332037,5.10328021863628,0.982479334848888,3.31083111576377,3.6409600969,28.2604181060031,0.063286086716648,0.923771726391381,0.544005995733535,0.277912179796891,0.171430708929668,0.016184888,0.07,0.119080745,"050904A",1,5.59847142,-0.05190207775,0.3125,1.08123510536297,-2.87493693770007,0.5647610235,0.247800238958834,0.454892234199745,0.4770325,-1.32901321725,6.295,0.86302529622947
"050908A",21.94617755,-0.15490196,1.88,3.60656050757384,-10.8138150011819,1.239799818,1.12756931093764,1.11207649813636,2.74883,-6.316052869,481.634709056124,0.0239946172118416,3.5344,13.0072786947913,116.938594879787,1.53710358871283,1.27141255096838,1.23671413770723,7.5560663689,39.8925238440031,0.130539784388153,0.879495308597669,0.471688924860416,0.257710537421672,0.205028057998301,0.045857181,0.17,0.086858896,"050908A",1,5.4865443875,-0.03872549,0.47,0.90164012689346,-2.70345375029548,0.3099499545,0.28189232773441,0.27801912453409,0.6872075,-1.57901321725,3.34,0.637489729512511
"050922C",21.44930866,0.860936621,1.37,2.52429,-9.477555766,0.653212514,1.064,1.22035,2.2119,-5.790484985,460.072841991951,0.741211865378898,1.8769,6.3720400041,89.8240632976399,0.4266865884462,1.132096,1.4892541225,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",0,0,0,0,0,0,0,0,0,0,0,2.198,0.504878459410216
"051016B",21.71466751,0.113943352,2.4,4.25742,-11.59006688,0.602059991,0.73,1.14771,1.89482,-6.769551079,471.52678506985,0.0129830874649959,5.76,18.1256250564,134.329650282873,0.36247623276292,0.5329,1.3172382441,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0,0,0,0,0.9364,0.286995073968852
"051028A",20.9024195385481,0.179466033655192,1.6783282458665,3.87107851976171,-10.9952399525978,1.204119983,0.991434630767032,1.24451195805427,2.02921982175251,-6.17568341398607,436.911142565477,0.0322080572359265,2.81678570087332,14.9852489061605,120.895301615203,1.44990493345992,0.982942627084161,1.54881001374007,4.11773308499329,38.1390656297826,0.0244827442519859,0.870075871523408,0.51056643115906,0.267267276224572,0.187380640211112,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",1,5.22560488463702,0.044866508413798,0.419582061466625,0.967769629940427,-2.74880998814945,0.30102999575,0.247858657691758,0.311127989513568,0.507304955438127,-1.54392085349652,3.6,0.662757831681574
"051109A",21.97057233,0.595496222,1.51,3.91123,-10.51999306,1.57054294,1.06,1.22299,2.06584,-5.657577319,482.706048507762,0.354615750416273,2.2801,15.2977201129,110.670253982448,2.46660512638384,1.1236,1.4957045401,4.2676949056,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,0,0,0,0,2.346,0.524525936626376
"051111A",21.79196559,0.424881637,1.32,3.31732276166453,-9.96844140348108,1.776555911,0.915431303963472,1.21342752258022,2.23019,-5.389339837,474.889764275744,0.1805244054598,1.7424,11.0046303050576,99.3698240146358,3.15615090490904,0.838014472276263,1.47240635255517,4.9737474361,29.0449838786752,0.038778433249538,0.917895604076175,0.515149522172182,0.270217451308826,0.175405308072509,0.014263593,0.06,0.034286406,"051111A",1,5.4479913975,0.10622040925,0.33,0.829330690416132,-2.49211035087027,0.44413897775,0.228857825990868,0.303356880645055,0.5575475,-1.34733495925,1.55,0.406540180433955
"060115A",21.43355223,-0.060480747,1,3.69688,-11.29499204,2.144885418,1,0.889919,2.10553,-5.76700389,459.397161196138,0.00365792075767801,1,13.6669217344,127.576845183663,4.60053345634903,1,0.791955826561,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,"060115A",0,0,0,0,0,0,0,0,0,0,0,3.53,0.656098202012832
"060124A",21.9172644,-0.050609993,1.84,4.47599,-10.6893,1.134495856,0.99,1.3641,2.00895,-6.336299075,480.366478779507,0.00256137139146005,3.3856,20.0344864801,114.26113449,1.28708084728117,0.9801,1.86076881,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,"060124A",0,0,0,0,0,0,0,0,0,0,0,2.296,0.517987203025078
"060206A",22.33966406,0.445604203,1.2,3.93814,-10.63078414,0.880241776,1.265,1.17565,2.20424,-6.080398976,499.060590313656,0.198563105731265,1.44,15.5089466596,113.013571431276,0.774825584215634,1.600225,1.3821529225,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,"060206A",0,0,0,0,0,0,0,0,0,0,0,4.048,0.703119346236078
"060210A",22.3877421,0.434568904,1.53,4.15028,-10.66756154,2.40654018,0.979,1.20511,2.08163,-5.11577123,501.210996336112,0.188850132323761,2.3409,17.2248240784,113.796869209687,5.79143563795443,0.958441,1.4522901121,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,"060210A",0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060223A",22.49782636,0.130333768,1.74,2.78682,-10.9636,1.053078443,0.81,1.1892,2.01015,-6.171984936,506.152190924711,0.0169868910810778,3.0276,7.7663657124,120.20052496,1.1089742071113,0.6561,1.41419664,4.0407030225,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,"060223A",0,0,0,0,0,0,0,0,0,0,0,4.41,0.73319726510657
"060306A",21.61973178,0.775974331,1.8,3.61496,-10.70553377,2.13255996245349,0.76,1.03794,2.28823,-5.671620397,467.412802239142,0.602136162370898,3.24,13.0679358016,114.60845330061,4.54781199345963,0.5776,1.0773194436,5.2359965329,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",21.65363309,0.814247596,1.7,3.11887,-9.792961075,2.158362492,0.98,1.47655,1.94118,-5.079354999,468.879825996343,0.662999147591779,2.89,9.7273500769,95.9020866164651,4.65852864687245,0.9604,2.1801999025,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,1.489,0.396024896608593
"060502A",21.45692297,0.227886705,1.46,3.3865,-10.55284197,1.45331834,0.87,0.897152,2.02719,-5.63638802,460.399543340514,0.051932350315757,2.1316,11.46838225,111.362473643793,2.11213419738036,0.7569,0.804881711104,4.1094992961,31.7688699119995,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,"060502A",0,0,0,0,0,0,0,0,0,0,0,1.5026,0.398391440229475
"060510B",22.00215742,-0.244125144,1.78,4.43617,-12.2656,2.43964843,1.38,1.00735,2.1317,-5.390405591,484.094931134461,0.0595970859330207,3.1684,19.6796042689,150.44494336,5.95188446200147,1.9044,1.0147540225,4.54414489,29.0564724354841,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.083811216,"060510B",0,0,0,0,0,0,0,0,0,0,0,4.9,0.770852011642144
"060512A",21.46788768,-0.055517328,2.48,3.6921980708428,-10.718659393973,0.92890769,0.90522229240089,1.09916142702962,2.70163,-6.634512015,460.870201441096,0.00308217370825958,6.1504,13.6323265943353,114.889659204006,0.862869496541136,0.819427398659522,1.20815584266979,7.2988046569,44.0167496771794,0.0202577864729536,0.907732713953452,0.539186180923982,0.275581151967952,0.174144348938998,0.074878359,0.3,0.098703291,"060512A",1,5.36697192,-0.013879332,0.62,0.9230495177107,-2.67966484849325,0.2322269225,0.226305573100223,0.274790356757405,0.6754075,-1.65862800375,0.44,0.15836249209525
"060526A",21.52664292,0.222716471,2.01,3.8752,-11.3053948,2.47444938,0.93,1.05873,1.90677,-5.899629455,463.396355405186,0.0496026264546938,4.0401,15.01717504,127.811951583867,6.12289973418238,0.8649,1.1209092129,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,"060526A",0,0,0,0,0,0,0,0,0,0,0,3.221,0.625415352154408
"060604A",21.99003057,-0.468521083,2.01,4.45991,-11.76955108,1.977723605,1.02,1.21596,2.1711,-6.395773947,483.561444469534,0.219512005215493,4.0401,19.8907972081,138.522332624729,3.9113906577742,1.0404,1.4785587216,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
"060605A",21.77333803,-0.337242168,1.55,4.04162,-11.26121944,2.059904056,0.835,1.9179,2.02128,-6.156767222,474.078248968644,0.11373227987734,2.4025,16.3346922244,126.815063275834,4.24320471992525,0.697225,3.67834041,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,0,0,0,0,3.78,0.679427896612119
"060607A",21.79614607,0.146128036,1.47,3.65888548653492,-10.4192136506336,2.009450896,0.917414348937395,1.34228271777493,1.61002,-5.59345982,475.071983504776,0.0213534029052173,2.1609,13.3874430035759,108.56001309755,4.0378929034352,0.841649087636224,1.80172289443725,2.5921644004,31.2867927579544,0.0051064352834946,0.824348879996783,0.503454969471403,0.241737386058814,0.178557239723894,0.019074895,0.08,0.040327345,"060607A",1,5.4490365175,0.036532009,0.3675,0.91472137163373,-2.6048034126584,0.502362724,0.229353587234349,0.335570679443732,0.402505,-1.398364955,3.07,0.60959440922522
"060614A",20.51216256,1.06069784,2.02,5.03344,-11.78251606,2.036229544,0.783,1.9453,1.89544,-4.690369833,420.748812887866,1.12507990778067,4.0804,25.3355182336,138.827684704158,4.14623075585845,0.613089,3.78419209,3.5926927936,21.9995691703164,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,"060614A",0,0,0,0,0,0,0,0,0,0,0,0.125,0.0511525224473813
"060707A",21.20847898,0.004321374,0.6,3.5545,-10.9132,1.820857989,1.12,0.861995,2.09345,-5.795880017,449.799580645102,1.8674273247876e-05,0.36,12.63447025,119.09793424,3.31552381610512,1.2544,0.743035380025,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",20.79066861,0.28780173,1.68,3.50569,-10.86966623,1.008600172,1.485,1.12969,2.20484,-6.306273051,432.251901250839,0.0828298357909929,2.8224,12.2898623761,118.149643951602,1.01727430695843,2.205225,1.2761994961,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,"060708A",0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",22.0125926,0.10720997,1.93,3.73449,-10.86012091,2.060660074,0.87,1.20488,2.04425,-5.548213564,484.554232973575,0.0114939776674009,3.7249,13.9464155601,117.942226179819,4.24631994057768,0.7569,1.4517358144,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,"060714A",0,0,0,0,0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",20.86562801,0.068185862,1.75,5.1057,-11.15058059,2.062017599,1.317,1.35481,1.92492,-5.583359493,435.374432251696,0.00464931177668304,3.0625,26.06817249,124.335447494085,4.25191657858572,1.734489,1.8355101361,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",22.00679538,0.861534411,1.53,4.22387,-10.91009489,2.162265614,0.97,1.29504,2.11591,-4.835647144,484.299042897189,0.742241541337117,2.3409,17.8410777769,119.030170508804,4.6753925854868,0.9409,1.6771286016,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060904B",21.59122827,0.387389826,1.64,3.7518420743006,-10.5849135242418,2.234264124,0.974845285889291,1.30299518838922,2.18877,-5.790484985,466.181138207247,0.15007087728831,2.6896,14.0763189504922,112.040394315677,4.99193617579349,0.950323331420573,1.69779646096546,4.7907141129,33.5297163615105,0.0226602223323686,0.905427609653774,0.53027759129575,0.250366793428078,0.189465306923104,0.038335871,0.14,0.037377804,"060904B",1,5.3978070675,0.0968474565,0.41,0.93796051857515,-2.64622838106045,0.558566031,0.243711321472323,0.325748797097305,0.5471925,-1.44762124625,0.7,0.230448921378274
"060906A",22.41960057,0.294466226,2.03,4.33479,-11.8827287,1.638489257,1.06,1.71887,2.07859,-5.655607726,502.638489718344,0.0867103582546831,4.1209,18.7904043441,141.199241357804,2.68464704530441,1.1236,2.9545140769,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",21.80952201,0.481442629,1,2.81918,-9.627087997,1.285557309,1.185,1.38309,2.13395,-5.552841969,475.655250304674,0.231787005018432,1,7.9477758724,92.6808233019815,1.65265759472332,1.404225,1.9129379481,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060912A",21.36738202,0.933487288,1.74,2.455171016,-10.1079054,0.698970004,0.63,1.045731532,1.8948,-5.869666232,456.565014388619,0.871398516857595,3.0276,6.02786471780647,102.169751575349,0.48855906649176,0.3969,1.09355443701907,3.59026704,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"060926A",22.50004427,0.037426498,2.54,3.351,-10.84771166,0.903089987,1.357,1.45111,2.00443,-6.659555885,506.25199215196,0.001400742752544,6.4516,11.229201,117.6728482585,0.81557152461966,1.841449,2.1057202321,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
