"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
48,2385,0.5788,2385,0.1598,2363,0.126,17,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
49,2261,0.656,2261,0.1365,2261,0.0996,17,2.7,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
50,817,0.5389,1532,0.1628,1532,0.0959,17,2.7,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
51,4372,0.6065,883,0.1599,886,0.1179,17,2.7,"Response ~  (log10FaSqr+log10NHSqr+PhotonIndexSqr+log10Fa+log10NH+log10Ta)^2+log10PeakFlux+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+AlphaSqr+log10T90Sqr"
52,2363,0.6112,2363,0.1602,5141,0.1222,16,2.7,"Response ~  (log10FaSqr+log10T90+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
53,1598,0.5658,663,0.1588,2536,0.0991,16,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux+log10Ta)^2+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
54,883,0.5955,883,0.1666,1354,0.1166,15,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
55,1598,0.5615,1598,0.1716,9007,0.1135,15,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux+log10Ta)^2+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
56,5388,0.4976,2695,0.1702,11945,0.1195,15,2.6,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
57,772,0.6007,3304,0.1456,7815,0.1006,17,2.6,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
58,772,0.6407,772,0.1567,772,0.1081,17,2.7,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
59,817,0.4138,2192,0.1715,11644,0.1041,17,2.7,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
60,8490,0.4804,1316,0.161,8490,0.1015,17,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10T90+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
61,883,0.3101,883,0.1887,2522,0.1302,17,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
62,883,0.4357,883,0.1784,5422,0.1053,17,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
63,5381,0.6293,5381,0.1672,413,0.1236,17,2.7,"Response ~  (log10FaSqr+log10NHSqr+PhotonIndexSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+AlphaSqr+log10T90Sqr"
64,3361,0.3067,4402,0.1807,3361,0.1056,17,2.7,"Response ~  (log10T90Sqr+AlphaSqr+log10TaSqr+log10T90+Alpha)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr"
65,8490,0.6065,595,0.1573,2545,0.1019,15,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10T90+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
66,883,0.5881,883,0.1657,1159,0.1009,17,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
67,2381,0.4814,2381,0.1643,6510,0.0943,17,2.7,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
68,497,0.7363,497,0.1502,497,0.0792,17,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10Ta)^2+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
69,250,0.6891,250,0.1516,2385,0.0928,16,2.8,"Response ~  (log10Fa+log10NH+PhotonIndex)^2+log10Ta+log10PeakFlux+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
70,868,0.682,868,0.1486,28,0.1162,17,2.7,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
71,211,0.4516,211,0.1848,648,0.1157,15,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
72,1155,0.7245,2381,0.1289,1039,0.0928,17,2.9,"Response ~  (log10T90Sqr+log10T90+log10Fa+log10NH)^2+log10Ta+log10PeakFlux+PhotonIndex+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr"
73,772,0.5232,772,0.1802,6499,0.1306,17,2.8,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
74,497,0.6708,497,0.1655,1532,0.1209,17,2.9,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10Ta)^2+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
75,1883,0.2629,1883,0.175,497,0.1185,17,2.9,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10NH+log10Ta)^2+log10PeakFlux+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
76,983,0.4004,983,0.1827,983,0.1345,17,2.9,"Response ~  (AlphaSqr+log10Fa+log10NH+PhotonIndex)^2+log10Ta+log10PeakFlux+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
77,817,0.5065,817,0.172,717,0.1086,17,2.9,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
