"","log10PeakFlux","PhotonIndex","log10NH","log10Ta","log10Fa","Alpha","Beta","log10T90","Gamma","log10Fluence","log10PeakFluxSqr","PhotonIndexSqr","log10NHSqr","log10TaSqr","log10FaSqr","AlphaSqr","BetaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","Response"
"GRB070110",-0.22184875,1.58,21.3989672,4.26825,-11.04866248,1.42725,1.186,1.94645226501307,2.08596,-5.790484985,0.0492168678765625,2.4964,457.915797226676,18.2179580625,122.07294259696,2.0370425625,1.406596,3.78867641997451,4.3512291216,33.5297163615105,0.525304009958239
"GRB070208",-0.045757491,1.94,21.8647258,3.44468,-10.86327943,1.2125,1.14,1.67851837904011,2.20341,-6.351639989,0.00209374798261508,3.7636,478.066234309186,11.8658203024,118.010839974261,1.47015625,1.2996,2.81742394877544,4.8550156281,40.3433305498639,0.335457900689384
"GRB070223",-0.161150909,1.85,21.70173804,4.22335,-11.86327943,0.991734,1.03,1.94694327069783,2.25837,-5.769551079,0.0259696154715263,3.4225,470.965433956783,17.8366852225,140.737398834261,0.983536326756,1.0609,3.79058809931556,5.1002350569,33.2877196531901,0.419873175149476
"GRB070306",0.609594409,1.66,22.44245468,4.86926,-11.2737,1.89982,0.831,2.32118402730231,1.94468,-5.269217724,0.371605343484059,2.7556,503.663772063854,23.7096929476,127.09631169,3.6093160324,0.690561,5.38789528860337,3.7817803024,27.7646554229157,0.397227181043161
"GRB070508",1.382017043,1.1,21.89306622,3.02525,-9.161150909,1.37377,0.764,1.32014628611105,1.82568,-4.707743929,1.90997110714246,1.21,479.306348513305,9.1521375625,83.9266859774715,1.8872440129,0.583696,1.7427862167328,3.3331074624,22.1628529010364,0.260071387985075
"GRB070521",0.814913181,1.1,22.27524914,3.55243,-10.01233374,1.44502,0.98,1.57863920996807,2.00022,-5.096367484,0.664083492567539,1.21,496.186724249071,12.6197589049,100.246826921142,2.0880828004,0.9604,2.49210175524861,4.0008800484,25.9729615319725,0.489466281303128
"GRB070529",0.155336037,1.34,22.56252244,3.09323,-10.24641694,1.21432,0.76,2.03822263836872,1.97999,-5.590066877,0.0241292843908654,1.7956,509.067418855503,9.5680718329,104.989060108319,1.4745730624,0.5776,4.15435152355875,3.9203604001,31.2488476893325,0.544018407858776
"GRB070802",-0.397940009,1.79,21.91375294,3.92184,-11.6716204,1.16348,0.78,1.2148438480477,1.99014,-6.552841969,0.15835625076292,3.2041,480.212567915359,15.3808289856,136.226722761696,1.3536857104,0.6084,1.47584557513934,3.9606572196,42.9397378706878,0.537819095073274
"GRB071003",0.799340549,1.36,20.86974084,4.78411,-11.67760082,1.97901,0.837,2.17609125905568,1.91015,-5.080921908,0.638945313275621,1.8496,435.546082728764,22.8877084921,136.366360911265,3.9164805801,0.700569,4.73537316773854,3.6486730225,25.8157674351944,0.415699348887829
"GRB071117",1.053078443,1.57,22.04291793,3.901990464,-11.23542972,1.104952391,0.94,0.819543935541869,2.0457,-5.619788758,1.1089742071113,2.4649,485.890230868716,15.2255295811469,126.234880993059,1.22091978637662,0.8836,0.671652262283455,4.18488849,31.5820256845432,0.367542273520577
