"","log10Ta","PhotonIndex","log10Fa","log10PeakFlux","Alpha","log10NH","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10PeakFluxSqr","AlphaSqr","log10NHSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050525A",3.5661995948462,1.59780415853307,-10.3844677348636,0.56579031255799,1.24726817349991,21.2159787615572,0.944482672,0.887527848075075,1.96646442981349,-5.57391586263388,12.7177795502812,2.55297812902557,107.837170136423,0.320118677784468,1.5556778966258,450.117754810846,0.89204751770826,0.787705681108773,3.86698235372169,31.0685380437216,0.255205105543512,0.787492769458897,0.60042962486481,0.272766923922609,0.196065926987861,0.474435972807059,0.381328290979584,0.51549433147304,"050525A",0.61,0.20682587603185
"050603A",3.95572119646738,1.52334985566506,-10.4820759778086,0.590851235432155,1.63424587879425,21.1012161774801,1.322219295,0.90833347764695,1.96680892309155,-5.35646856085177,15.6477301841813,2.32059478275476,109.873916804552,0.349105182411704,2.67075959235599,445.261324168748,1.7482638640703,0.825069706614202,3.86833733995254,28.6917554433934,0.106943091744305,0.781305482286903,0.578619876650054,0.289815312423011,0.201801983276413,0.542935945838984,0.294699868877467,0.464511996711811,"050603A",2.82,0.582063362911709
"050801A",3.35698976137229,1.51403801218862,-10.121843348776,0.745164560133873,1.31019462141209,21.3473520051778,1.28780173,0.91781272340908,1.94502848095143,-5.45941516072713,11.2693802579584,2.29231110235207,102.451712777161,0.555270221679508,1.71660994597717,455.709437632969,1.65843329579099,0.842380195251592,3.78313579171223,29.8052138971772,0.115763140600286,0.769065603510117,0.613550566909707,0.275011453778411,0.20181650093352,0.512047574795226,0.347292857939853,0.423249171999089,"050801A",1.56,0.40823996531185
"050904A",4.34819637148309,1.74662821901123,-11.4141427314807,0.24644138044969,1.86582572424239,20.2571345873532,2.259044094,0.926554085547202,2.02133275481043,-5.79470185728787,18.9068116849787,3.05071013544634,130.282654294614,0.0607333539979488,3.48130563324464,410.351501690141,5.10328021863628,0.858502473444212,4.08578610566952,33.5785696148555,0.0123688105183115,0.878640498443869,0.616789116525615,0.291521574494943,0.210993899275735,0.444571784080248,0.345093713004454,0.333494319874359,"050904A",6.295,0.86302529622947
"050908A",3.52620642563177,1.80207705024189,-10.7987875402066,0.303694652849644,1.12886369581263,20.9258949198963,1.239799818,0.988397344695032,2.04754436739843,-5.85168167008854,12.4341317561668,3.24748169500851,116.613812338521,0.0922304421694658,1.27433324372375,437.893078198542,1.53710358871283,0.97692931100019,4.19243793646504,34.2421783680502,0.129292166397143,0.793120118461833,0.648863903961896,0.279105249806342,0.220475336596593,0.41601151255,0.399858344281426,0.380240575959778,"050908A",3.34,0.637489729512511
"051028A",3.78929851504016,1.73357202605197,-10.9208140571457,0.290114432677252,1.22617340379997,20.8694584783216,1.204119983,0.934325012549839,2.02325848377648,-5.69996633513857,14.3587832360856,3.00527196950993,119.264179670751,0.0841663840476438,1.5035012161864,435.534297178389,1.44990493345992,0.872963229076257,4.0935748921735,32.489616221713,0.140362807889193,0.767005469333688,0.668055659117682,0.292946021139731,0.203493319236534,0.438758741045917,0.346311350047795,0.499191255472037,"051028A",3.6,0.662757831681574
"051111A",3.36870224701627,1.52586652627018,-9.99915091150366,0.825929716984722,1.23032638259351,21.4017521104829,1.776555911,0.896712722568867,1.93441196620274,-5.3809967461254,11.3481548290525,2.32826865599183,99.9830189510245,0.682159897398463,1.51370300770563,458.034993398559,3.15615090490904,0.80409370681687,3.74194965498835,28.9551259818121,0.0375678308208745,0.841670064359969,0.592177227843515,0.274979853078917,0.201523011414935,0.518568819640393,0.333438329016482,0.425553877511182,"051111A",1.55,0.406540180433955
"060512A",3.64897866076983,1.75022607192048,-10.6758325451871,0.365849999687287,1.10954659990307,21.1394280440868,0.92890769,0.892770570057967,2.01100592369279,-5.69482330346564,13.3150452667536,3.06329130283019,113.973400532876,0.133846222271188,1.23109365735646,446.875418031123,0.862869496541136,0.797039290761627,4.04414482512749,32.4310124576953,0.264523548794802,0.793423562686926,0.610439681840417,0.288936716080171,0.208274777232724,0.412461830601374,0.400775863097783,0.471394666049578,"060512A",0.44,0.15836249209525
"060607A",3.62054379973058,1.55084046691831,-10.4188106089101,0.550051986714772,1.33679614564696,21.1327623594834,2.009450896,0.904692753092901,1.96558442175304,-5.56383787295847,13.1083374057675,2.4051061538314,108.551614504338,0.302557188088868,1.78702393501657,446.593644942398,4.0378929034352,0.818468977498813,3.86352211903823,30.956291876567,0.0219746078959429,0.804928981322599,0.600366002881621,0.277395610771954,0.204116646546746,0.478793679411055,0.359107005041359,0.520391155946472,"060607A",3.07,0.60959440922522
"060904B",3.7590325669501,1.63807583156271,-10.5883534453498,0.436722011737607,1.30953280753281,21.0791952492124,2.234264124,0.925945240139644,1.99131444327695,-5.58603215620631,14.1303258393915,2.68329242994986,112.113228683651,0.190726115536143,1.71487617400476,444.332472354419,4.99193617579349,0.857374587737263,3.96533321200339,31.2037552501709,0.0130950724779308,0.775256271187084,0.60612567257617,0.282871268195849,0.196814314741617,0.45815113745198,0.3496056401133,0.538396562818532,"060904B",0.7,0.230448921378274
"061007A",3.13344227804525,1.45231440321009,-9.06316736281652,0.701128601837641,1.57334794819469,21.8311955075823,1.876852648,0.943646757745928,2.02078722367267,-5.20077346880484,9.81846050984141,2.10921712577148,82.1410026464225,0.491581316314805,2.47542376608844,476.601097290282,3.52257586230461,0.890469203404402,4.0835810033587,27.0480446738243,0.0298208063463662,0.890368040482369,0.64774535592478,0.279463885936541,0.19926753083088,0.554716932109609,0.349637436533115,0.982462429835424,"061007A",1.26,0.354108439147401
"061126A",3.64132019364013,1.72810144322246,-10.6429787860363,0.377209853416398,1.18575908719508,21.1081078968025,2.281033367,0.915190937975956,2.00490979996577,-5.68940506803091,13.2592127526114,2.98633459806755,113.272997440019,0.14228727351442,1.40602461286571,445.552218983056,5.20311322136736,0.83757445295331,4.01966330599878,32.3693300281358,0.0117581409910335,0.782289455778941,0.628222359538955,0.274005538608674,0.201378810356391,0.432411992465984,0.385796311272451,0.496891813722725,"061126A",1.1588,0.334212409393176
