"","log10Ta","PhotonIndex","log10Fa","log10PeakFlux","Alpha","log10NH","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10PeakFluxSqr","AlphaSqr","log10NHSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050315A",4.86356,2.11,-11.3757179,0.285557309,1.10818,21.91683806,1.980457892,0.856,1.99544,-5.492144128,23.6542158736,4.4521,129.40695774038,0.0815429767233215,1.2280629124,480.347790548265,3.92221346198508,0.732736,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.0495050700000001,"050315A",1.949,0.469674772551798
"050318A",4.132084541,1.9,-11.15490196,0.499687083,1.874408221,20.92661714,1.505149978,0.95,1.98053,-5.966576245,17.0741226539712,3.61,124.431837737212,0.249687180917049,3.51340617895238,437.923304924142,2.2654764562734,0.9025,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",1.44,0.387389826338729
"050319A",3.73997,2.02,-10.70553377,0.181843588,0.863159,20.93735437,2.183383742,0.971,2.01045,-5.882728704,13.9873756009,4.0804,114.60845330061,0.0330670904967137,0.745043459281,438.372808014958,4.76716456482992,0.942841,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.0600012109999999,"050319A",3.24,0.627365856592733
"050401A",3.12435,1.4,-9.653647026,1.029383778,0.984108,22.12570242,1.506369717,0.9995,1.78711,-5.085128182,9.7615629225,1.96,93.1929009025986,1.05963096240955,0.968468555664,489.546707578394,2.26914972429466,0.99900025,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",2.9,0.591064607026499
"050505A",4.270583544,1.41,-11.04817696,0.267171728,1.462094791,22.23063027,1.770115295,0.973,2.01835,-5.603800653,18.2378838062836,1.9881,122.062214139475,0.071380732242506,2.13772117786933,494.20092220144,3.13330815759294,0.946729,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",4.27,0.721810615212547
"050730A",4.05018,1.53,-10.09854168,-0.259637311,2.38763,21.73850309,2.194514342,0.5615,1.6177,-5.623423043,16.4039580324,2.3409,101.980544062697,0.0674115332633107,5.7007770169,472.562516593939,4.81589319724369,0.31528225,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",3.967,0.696094159995223
"050802A",3.63973,1.54,-10.28650946,0.439332694,1.44729,21.25883595,1.477121255,0.8585,1.8557,-5.698970004,13.2476344729,2.3716,105.812276870669,0.193013216017298,2.0946483441,451.938105949012,2.18188720197277,0.73702225,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.0340921169999999,0.13,0.069487117,"050802A",1.7102,0.433001340945038
"050803A",4.21721,1.38,-10.86012091,-0.017728767,1.52234,21.34755638,1.943988875,1.218,2.11696,-5.66756154,17.7848601841,1.9044,117.942226179819,0.000314309179340289,2.3175190756,455.718163397279,3.77909274612377,1.483524,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.0272696540000001,0.11,0.0497629089999998,"050803A",3.5,0.653212513775344
"050824A",5.08558,2.76,-12.23882419,-0.301029996,0.954481,20.9708274,1.353723938,0.86,1.94709,-6.575118363,25.8631239364,7.6176,149.788817553729,0.09061905849176,0.911033979361,439.775601840591,1.83256850031423,0.7396,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0.8278,0.261928672990642
"060115A",3.69688,1,-11.29499204,-0.060480747,0.889919,21.43355223,2.144885418,1,2.10553,-5.76700389,13.6669217344,1,127.576845183663,0.00365792075767801,0.791955826561,459.397161196138,4.60053345634903,1,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.0380960069999999,0.303030303,0.0599026869999998,"060115A",3.53,0.656098202012832
"060124A",4.47599,1.84,-10.6893,-0.050609993,1.3641,21.9172644,1.134495856,0.99,2.00895,-6.336299075,20.0344864801,3.3856,114.26113449,0.00256137139146005,1.86076881,480.366478779507,1.28708084728117,0.9801,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.0878348390000001,"060124A",2.296,0.517987203025078
"060206A",3.93814,1.2,-10.63078414,0.445604203,1.17565,22.33966406,0.880241776,1.265,2.20424,-6.080398976,15.5089466596,1.44,113.013571431276,0.198563105731265,1.3821529225,499.060590313656,0.774825584215634,1.600225,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.0264623879999999,"060206A",4.048,0.703119346236078
"060210A",4.15028,1.53,-10.66756154,0.434568904,1.20511,22.3877421,2.40654018,0.979,2.08163,-5.11577123,17.2248240784,2.3409,113.796869209687,0.188850132323761,1.4522901121,501.210996336112,5.79143563795443,0.958441,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.0447067849999999,"060210A",3.91,0.691081492122968
"060306A",3.61496,1.8,-10.70553377,0.775974331,1.03794,21.61973178,2.13255996245349,0.76,2.28823,-5.671620397,13.0679358016,3.24,114.60845330061,0.602136162370898,1.0773194436,467.412802239142,4.54781199345963,0.5776,5.2359965329,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",1.559,0.408070285887185
"060418A",3.11887,1.7,-9.792961075,0.814247596,1.47655,21.65363309,2.158362492,0.98,1.94118,-5.079354999,9.7273500769,2.89,95.9020866164651,0.662999147591779,2.1801999025,468.879825996343,4.65852864687245,0.9604,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",1.489,0.396024896608593
"060526A",3.8752,2.01,-11.3053948,0.222716471,1.05873,20.977989765228,2.47444938,0.93,1.90677,-5.899629455,15.01717504,4.0401,127.811951583867,0.0496026264546938,1.1209092129,440.076054590011,6.12289973418238,0.8649,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.0568718959999999,0.24,0.046810184,"060526A",3.221,0.625415352154408
"060604A",4.45991,2.01,-11.76955108,-0.468521083,1.21596,21.99003057,1.977723605,1.02,2.1711,-6.395773947,19.8907972081,4.0401,138.522332624729,0.219512005215493,1.4785587216,483.561444469534,3.9113906577742,1.0404,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",2.1357,0.496334505996816
"060605A",4.04162,1.55,-11.26121944,-0.337242168,1.9179,21.77333803,2.059904056,0.835,2.02128,-6.156767222,16.3346922244,2.4025,126.815063275834,0.11373227987734,3.67834041,474.078248968644,4.24320471992525,0.697225,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",3.78,0.679427896612119
"060614A",5.03344,2.02,-11.78251606,1.06069784,1.9453,20.51216256,2.036229544,0.783,1.89544,-4.690369833,25.3355182336,4.0804,138.827684704158,1.12507990778067,3.78419209,420.748812887866,4.14623075585845,0.613089,3.5926927936,21.9995691703164,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,"060614A",0.125,0.0511525224473813
"060707A",3.5545,0.6,-10.9132,0.004321374,0.861995,21.20847898,1.820857989,1.12,2.09345,-5.795880017,12.63447025,0.36,119.09793424,1.8674273247876e-05,0.743035380025,449.799580645102,3.31552381610512,1.2544,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.0409865420000001,0.363636364,0.098898743,"060707A",3.425,0.645913275033844
"060708A",3.50569,1.68,-10.86966623,0.28780173,1.12969,20.79066861,1.008600172,1.485,2.20484,-6.306273051,12.2898623761,2.8224,118.149643951602,0.0828298357909929,1.2761994961,432.251901250839,1.01727430695843,2.205225,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.0313408390000001,"060708A",1.92,0.465382851448418
"060714A",3.73449,1.93,-10.86012091,0.10720997,1.20488,22.0125926,2.060660074,0.87,2.04425,-5.548213564,13.9464155601,3.7249,117.942226179819,0.0114939776674009,1.4517358144,484.554232973575,4.24631994057768,0.7569,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.0441080329999999,"060714A",2.711,0.569490954348783
"060729A",5.1057,1.75,-11.15058059,0.068185862,1.35481,20.86562801,2.062017599,1.317,1.92492,-5.583359493,26.06817249,3.0625,124.335447494085,0.00464931177668304,1.8355101361,435.374432251696,4.25191657858572,1.734489,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.0351096309999999,0.14,0.048254942,"060729A",0.54,0.187520720836463
"060814A",4.22387,1.53,-10.91009489,0.861534411,1.29504,22.00679538,2.162265614,0.97,2.11591,-4.835647144,17.8410777769,2.3409,119.030170508804,0.742241541337117,1.6771286016,484.299042897189,4.6753925854868,0.9409,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.00710934099999999,0.03,0.017323989,"060814A",1.9229,0.465813957269479
"060906A",4.33479,2.03,-11.8827287,0.294466226,1.71887,22.41960057,1.638489257,1.06,2.07859,-5.655607726,18.7904043441,4.1209,141.199241357804,0.0867103582546831,2.9545140769,502.638489718344,2.68464704530441,1.1236,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.0267258140000001,0.11,0.0617271349999999,"060906A",3.686,0.670802284260944
"060908A",2.81918,1,-9.627087997,0.481442629,1.38309,21.80952201,1.285557309,1.185,2.13395,-5.552841969,7.9477758724,1,92.6808233019815,0.231787005018432,1.9129379481,475.655250304674,1.65265759472332,1.404225,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.0358328779999999,"060908A",1.8836,0.459935016851525
"060926A",3.351,2.54,-10.84771166,0.037426498,1.45111,22.50004427,0.903089987,1.357,2.00443,-6.659555885,11.229201,6.4516,117.6728482585,0.001400742752544,2.1057202321,506.25199215196,0.81557152461966,1.841449,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.0557809430000001,"060926A",3.2,0.6232492903979
"060927A",3.15198,0.9,-10.77728353,0.431363764,1.39098,22.10710478,1.352953912,0.83,1.94856,-5.946921557,9.9349779204,0.81,116.149840286009,0.186074696892248,1.9348253604,488.724081753899,1.8304842879961,0.6889,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.0273444670000001,"060927A",5.47,0.8109042806687
"061021A",3.23849,1.3,-10.04095861,0.78604121,1.01707,20.87141063,1.664641976,0.785,1.99282,-5.528708289,10.4878174801,1.69,100.820849807733,0.617860783818264,1.0344313849,435.615781686077,2.77103290826118,0.616225,3.9713315524,30.5666153448573,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,"061021A",0.3463,0.129141845792285
"061121A",3.78753,1.41,-10.03011836,1.324282455,1.35185,21.75351565,1.90982337,0.9485,1.90181,-4.863279433,14.3453835009,1.9881,100.603274315609,1.75372402062083,1.8274984225,473.215443134795,3.64742530459816,0.89965225,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.00946803099999999,"061121A",1.314,0.364363354615731
"070110A",4.26825,1.58,-11.04866248,-0.22184875,1.42725,21.3989672,1.946550511,1.186,2.08596,-5.790484985,18.2179580625,2.4964,122.07294259696,0.0492168678765625,2.0370425625,457.915797226676,3.78905889187436,1.406596,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.0868588959999997,"070110A",2.352,0.525304009958239
"070208A",3.44468,1.94,-10.86327943,-0.045757491,1.2125,21.8647258,1.806179974,1.14,2.20341,-6.351639989,11.8658203024,3.7636,118.010839974261,0.00209374798261508,1.47015625,478.066234309186,3.26228609847864,1.2996,4.8550156281,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.0985702079999999,0.36,0.106160873,"070208A",1.165,0.335457900689384
"070223A",4.22335,1.85,-11.86327943,-0.161150909,0.991734,21.70173804,1.9408513687054,1.03,2.25837,-5.769551079,17.8366852225,3.4225,140.737398834261,0.0259696154715263,0.983536326756,470.965433956783,3.76690403540562,1.0609,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,"070223A",1.6295,0.419873175149476
"070306A",4.86926,1.66,-11.2737,0.609594409,1.89982,22.44245468,2.321184027,0.831,1.94468,-5.269217724,23.7096929476,2.7556,127.09631169,0.371605343484059,3.6093160324,503.663772063854,5.38789528719994,0.690561,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",1.4959,0.397227181043161
"070508A",3.02525,1.1,-9.161150909,1.382017043,1.37377,21.89306622,1.320146286,0.764,1.82568,-4.707743929,9.1521375625,1.21,83.9266859774715,1.90997110714246,1.8872440129,479.306348513305,1.74278621643959,0.583696,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0.82,0.260071387985075
"070521A",3.55243,1.1,-10.01233374,0.814913181,1.44502,22.27524914,1.57863921,0.98,2.00022,-5.096367484,12.6197589049,1.21,100.246826921142,0.664083492567539,2.0880828004,496.186724249071,2.49210175534942,0.9604,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.00959676899999998,0.121212121,0.017957046,"070521A",2.0865,0.489466281303128
"070529A",3.09323,1.34,-10.24641694,0.155336037,1.21432,22.56252244,2.038222638,0.76,1.97999,-5.590066877,9.5680718329,1.7956,104.989060108319,0.0241292843908654,1.4745730624,509.067418855503,4.15435152205568,0.5776,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",2.4996,0.544018407858776
"070802A",3.92184,1.79,-11.6716204,-0.397940009,1.16348,21.91375294,1.214843848,0.78,1.99014,-6.552841969,15.3808289856,3.2041,136.226722761696,0.15835625076292,1.3536857104,480.212567915359,1.47584557502345,0.6084,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",2.45,0.537819095073274
"071003A",4.78411,1.36,-11.67760082,0.799340549,1.97901,20.86974084,2.170643023,0.837,1.91015,-5.080921908,22.8877084921,1.8496,136.366360911265,0.638945313275621,3.9164805801,435.546082728764,4.71169113329858,0.700569,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",1.60435,0.415699348887829
"071020A",2.311950854,1.11,-9.169411331,0.924279286,1.119196934,20.99642367,0.62324929,0.844,1.59788,-5.638272164,5.34511675131133,1.2321,84.0781041570712,0.85429219852867,1.252601777075,440.849806930136,0.388439677485504,0.712336,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",2.145,0.497620649781288
"071117A",3.901990464,1.57,-11.23542972,1.053078443,1.104952391,22.04291793,0.819543936,0.94,2.0457,-5.619788758,15.2255295811469,2.4649,126.234880993059,1.1089742071113,1.22091978637662,485.890230868716,0.671652263034372,0.8836,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",1.331,0.367542273520577
"080310A",4.32608056,2.32,-11.3990271,0.113943352,1.59590648,20.9708274,2.560456622,0.878,2.09352,-5.638272164,18.7149730116099,5.3824,129.937818826534,0.0129830874649959,2.54691749290599,439.775601840591,6.55593811314365,0.770884,4.3828259904,31.7901129953372,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0.0377647380000001,0.16,0.0668145360000001,"080310A",2.42,0.534026106056135
"080411A",4.20932562,1.75,-10.11350927,1.635483747,1.28909841,21.57289018,1.748188027,0.91,1.97674,-4.578396073,17.7184221751884,3.0625,102.283069754376,2.67480708670116,1.66177471066453,465.38959071834,3.05616137774615,0.8281,3.9075010276,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",1.03,0.307496037913213
"080516A",3.77452827,1.82,-11.12090412,0.255272505,0.94016916,22.03528962,0.763427994,1.48,2.3315,-6.585026652,14.2470636610292,3.3124,123.674508446233,0.065164051808975,0.883918049415106,485.55398863728,0.582822302022864,2.1904,5.43589225,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",3.2,0.6232492903979
"080607A",3.46298403,1.31,-10.0540393,1.36361198,1.7256074,22.38386741,1.899984563,1.06,2.03418,-4.619788758,11.992258392035,1.7161,101.083706245944,1.85943763199952,2.97772089893476,501.03752022846,3.6099413396383,1.1236,4.1378882724,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",3.036,0.605951157564873
"080710A",4.09266933,1.47,-11.23284413,0,1.52133785,20.89722339,2.077948999,1.3,2.00149,-5.853871964,16.7499422447226,2.1609,126.176787248875,0,2.31446885384262,436.693945411563,4.3178720424451,1.69,4.0059622201,34.2678169709052,0.063286086716648,0.06269498,0.054210787,0.06401643,0.150517844,0.0620420689999999,0.23,0.0868588959999999,"080710A",0.845,0.265996370495079
"080810A",3.2687548,1.34,-9.931814138,0.301029996,1.44529526,21.45079548,2.03666881,1.079,2.11482,-5.337242168,10.684757942523,1.7956,98.6409320717767,0.09061905849176,2.08887838857847,460.136626724788,4.14801984162682,1.164241,4.4724636324,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.0434294480000001,"080810A",3.35,0.638489256954637
"080928A",4.08450503,1.77,-11.1260984,0.322219295,1.76031774,21.51035195,2.368584372,0.99,2.13864,-5.602059991,16.6831813400953,3.1329,123.790065606483,0.103825274070297,3.09871854575871,462.695241012869,5.61019192728263,0.9801,4.5737810496,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.0206806899999999,"080928A",1.692,0.430075055551939
"081007A",3.58176278,2.51,-10.58502665,0.414973348,1.00469263,21.69605744,0.958563883,0.92,2.102,-6.148741651,12.8290246121933,6.3001,112.04278918121,0.172202879550329,1.00940728077632,470.718908439779,0.918844717792038,0.8464,4.418404,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0.5295,0.184549481320698
"081008A",3.85550833,1.69,-10.79317412,0.113943352,1.47398467,21.1376737,2.268297087,0.84,1.98207,-5.366531544,14.8649444826994,2.8561,116.492607584638,0.0129830874649959,2.17263080739501,446.801249447672,5.14517167489269,0.7056,3.9286014849,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.0334072679999999,"081008A",1.9685,0.472537053262077
"081029A",4.48156171,1.43,-11.86327943,-0.301029996,2.51960373,21.49704581,2.431283332,0.87,1.95818,-5.677780705,20.0843953605381,2.0449,140.737398834261,0.09061905849176,6.34840295622991,462.122978557239,5.91113864046102,0.7569,3.8344689124,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.0413613789999999,0.18,0.173717793,"081029A",3.8479,0.685553652846326
"081221A",2.93195749,1.21,-9.354577731,1.260071388,1.23586126,21.57331844,1.531478917,0.991,2.4947,-4.742321425,8.5963747231671,1.4641,87.5081245253211,1.58777990285625,1.52735305396879,465.408068513644,2.34542767321549,0.982081,6.22352809,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.00719825100000001,0.13,0.011931167,"081221A",2.26,0.513217600067939
"081230A",3.66959365,1.97,-11.32975415,-0.15490196,0.99376498,20.67248024,0.907209226455443,1.02,2.08621,-6.086186148,13.4659175561203,3.8809,128.363329099442,0.0239946172118416,0.9875688354744,427.35143927319,0.823028580565883,1.0404,4.3522721641,37.0416618281071,0.740704337003766,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771008,"081230A",2.1,0.491361693834273
"090102A",3.15380077,1.36,-9.457174573,0.740362689,1.42487631,21.72376179,1.432006687,0.667,1.76997,-7.167491087,9.94645929685259,1.8496,89.4381509041977,0.548136911263311,2.03027249879922,471.921826308664,2.05064315161272,0.444889,3.1327938009,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",1.547,0.406028944963615
