"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","Response"
"050908A",-0.15490196,21.13638759,1.88,3.55588449842624,-10.7718220987934,1.12420017561685,1.239799818,0.0239946172118416,446.746880354706,3.5344,12.6443145661481,116.032151328055,1.26382603485696,1.53710358871283,0.637489729512511
"050922C",0.860936621,21.44930866,1.37,2.52429,-9.477555766,1.22035,0.653212514,0.741211865378898,460.072841991951,1.8769,6.3720400041,89.8240632976399,1.4892541225,0.4266865884462,0.504878459410216
"051016B",0.113943352,21.71466751,2.4,4.25742,-11.59006688,1.14771,0.602059991,0.0129830874649959,471.52678506985,5.76,18.1256250564,134.329650282873,1.3172382441,0.36247623276292,0.286995073968852
"051028A",0.179466033655192,20.9024195385481,1.6783282458665,3.79469236898461,-10.9670540439546,1.22899571871285,1.204119983,0.0322080572359265,436.911142565477,2.81678570087334,14.39969017523,120.276274403021,1.51043047661452,1.44990493345992,0.662757831681574
"051109A",0.595496222,21.97057233,1.51,3.91123,-10.51999306,1.22299,1.57054294,0.354615750416273,482.706048507762,2.2801,15.2977201129,110.670253982448,1.4957045401,2.46660512638384,0.524525936626376
"051109B",-0.259637311,21.36742302,1.97,3.65548,-11.57511836,1.251,1.155336037,0.0674115332633107,456.566766515626,3.8809,13.3625340304,133.983365048009,1.565001,1.33480135839087,0.0334237554869497
"051111A",0.424881637,21.79196559,1.32,3.35202423564014,-10.0303124173803,1.21769894155036,1.776555911,0.1805244054598,474.889764275744,1.7424,11.2360664763188,100.607167190253,1.48279071225287,3.15615090490904,0.406540180433955
"060115A",-0.060480747,21.43355223,1,3.69688,-11.29499204,0.889919,2.144885418,0.00365792075767801,459.397161196138,1,13.6669217344,127.576845183663,0.791955826561,4.60053345634903,0.656098202012832
"060124A",-0.050609993,21.9172644,1.84,4.47599,-10.6893,1.3641,1.134495856,0.00256137139146005,480.366478779507,3.3856,20.0344864801,114.26113449,1.86076881,1.28708084728117,0.517987203025078
"060206A",0.445604203,22.33966406,1.2,3.93814,-10.63078414,1.17565,0.880241776,0.198563105731265,499.060590313656,1.44,15.5089466596,113.013571431276,1.3821529225,0.774825584215634,0.703119346236078
"060210A",0.434568904,22.3877421,1.53,4.15028,-10.66756154,1.20511,2.40654018,0.188850132323761,501.210996336112,2.3409,17.2248240784,113.796869209687,1.4522901121,5.79143563795443,0.691081492122968
"060223A",0.130333768,22.49782636,1.74,2.78682,-10.9636,1.1892,1.053078443,0.0169868910810778,506.152190924711,3.0276,7.7663657124,120.20052496,1.41419664,1.1089742071113,0.733197265106569
"060306A",0.775974331,21.61973178,1.8,3.61496,-10.70553377,1.03794,2.13255996245349,0.602136162370898,467.412802239142,3.24,13.0679358016,114.60845330061,1.0773194436,4.54781199345965,0.408070285887186
"060418A",0.814247596,21.65363309,1.7,3.11887,-9.792961075,1.47655,2.158362492,0.662999147591779,468.879825996343,2.89,9.7273500769,95.9020866164651,2.1801999025,4.65852864687245,0.396024896608593
"060502A",0.227886705,21.45692297,1.46,3.3865,-10.55284197,0.897152,1.45331834,0.051932350315757,460.399543340514,2.1316,11.46838225,111.362473643793,0.804881711104,2.11213419738036,0.398391440229475
"060510B",-0.244125144,22.00215742,1.78,4.43617,-12.2656,1.00735,2.43964843,0.0595970859330207,484.094931134461,3.1684,19.6796042689,150.44494336,1.0147540225,5.95188446200147,0.770852011642144
"060512A",-0.055517328,22.02088312,2.48,3.69044920854232,-10.6811729318243,1.10130963994291,0.92890769,0.00308217370825958,484.919293384701,6.1504,13.6194153608306,114.087455199535,1.21288292303118,0.862869496541136,0.15836249209525
"060526A",0.222716471,21.99532933,2.01,3.8752,-11.3053948,1.05873,2.47444938,0.0496026264546938,483.794512335158,4.0401,15.01717504,127.811951583867,1.1209092129,6.12289973418238,0.625415352154408
"060604A",-0.468521083,21.99003057,2.01,4.45991,-11.76955108,1.21596,1.977723605,0.219512005215493,483.561444469534,4.0401,19.8907972081,138.522332624729,1.4785587216,3.9113906577742,0.496334505996816
"060605A",-0.337242168,21.77333803,1.55,4.04162,-11.26121944,1.9179,2.059904056,0.11373227987734,474.078248968644,2.4025,16.3346922244,126.815063275834,3.67834041,4.24320471992525,0.679427896612119
"060607A",0.146128036,21.79614607,1.47,3.63746374092671,-10.4018852481167,1.33973889780199,2.009450896,0.0213534029052173,475.071983504776,2.1609,13.2311424665566,108.199216714988,1.7949003142837,4.0378929034352,0.60959440922522
"060614A",1.06069784,20.51216256,2.02,5.03344,-11.78251606,1.9453,2.036229544,1.12507990778067,420.748812887866,4.0804,25.3355182336,138.827684704158,3.78419209,4.14623075585845,0.0511525224473813
"060707A",0.004321374,21.20847898,0.6,3.5545,-10.9132,0.861995,1.820857989,1.8674273247876e-05,449.799580645102,0.36,12.63447025,119.09793424,0.743035380025,3.31552381610512,0.645913275033844
"060708A",0.28780173,20.79066861,1.68,3.50569,-10.86966623,1.12969,1.008600172,0.0828298357909929,432.251901250839,2.8224,12.2898623761,118.149643951602,1.2761994961,1.01727430695843,0.465382851448418
