GRB,InvZphot,InvZspec,Dlogz,Zphot,Zspec,Dz,normDz,SD,z_SD,pred_max,pred_min,linpred_max,linpred_min,InvZphot_corrected,Zphot_corrected,pred_max_corrected,pred_min_corrected,linpred_max_corrected,linpred_min_corrected
000926A,0.44,0.4829,0.0429,1.75422870333817,2.04018491662944,0.285956213291276,0.0940588224509404,0,0,0.459921959351739,0.413784281692398,1.88351330297315,1.59289112787784,0.5358317713117686,2.4342489276621144,0.5471125935844159,0.5209871039898252,2.5246223725704984,2.3188460237154467
011211A,0.4936,0.4969,0.0033,2.11601830310546,2.13978564827282,0.0237673451673577,0.0075697349532226,0,0,0.516084051923403,0.470167188593599,2.28158797740398,1.95234556048023,0.5661828057225036,2.6828396121690763,0.5789144145586969,0.5529139612199674,2.7924024158375547,2.572020652646205
030329A,0.2624,0.0682,-0.1942,0.829784734295414,0.170038089423047,-0.659746644872367,-0.563867664511411,0,0,0.295361274860721,0.233004400497292,0.974064210389945,0.710032641941538,0.2019937144339066,0.5921856831001577,0.2341713537201098,0.1732969786008212,0.7146336939693378,0.4903798786655964
050315A,0.4221,0.4697,0.0476,1.64301726447765,1.94917130750827,0.306154043030621,0.103810193138386,0,0,0.462932670380328,0.405549602014706,1.90357247240296,1.5441903557925,0.3578969377079058,1.279800988917955,0.3977588345593641,0.3417400160274122,1.4989572954793284,1.196544550195509
050318A,0.4512,0.3874,-0.0638,1.82618117981016,1.44005715942821,-0.38612402038195,-0.158243842317379,0,0,0.470019003203386,0.428060238999008,1.95133836405705,1.67953996576352,0.3863051017484404,1.4339132880265364,0.4046766938474486,0.3637154754125317,1.5390818079301871,1.3105505553280818
050319A,0.4323,0.6274,0.1951,1.70582683764883,3.24033335385019,1.53450651620136,0.36188346248958,0,0,0.465709542777193,0.408654832581434,1.92219735134247,1.56244665242506,0.5314716413684354,2.3999430407596485,0.5503898164146576,0.51808255013768,2.5513200754687104,2.296723699232401
050401A,0.418,0.5911,0.1731,1.61818300821899,2.90031784475066,1.28213483653167,0.328725731482952,0,0,0.445427800453837,0.402636049863284,1.78886698093807,1.52717926645979,0.5233742571879594,2.3371386982415547,0.5389052668033546,0.5146744105595212,2.4586392586796935,2.2709538038087453
050416A,0.2374,0.2182,-0.0192,0.727428179673534,0.65272272994873,-0.0747054497248039,-0.0452014414584359,0,0,0.279706440597884,0.203809284847894,0.904173165566027,0.598855756323508,0.1775880752238254,0.5051787391500933,0.2188887042436131,0.144795960231389,0.6553456970612934,0.3957124748531861
050502A,0.5262,0.6803,0.1541,2.35892262734495,3.78960832497788,1.43068569763293,0.298706199037588,0,0,0.556509090439508,0.500151467224954,2.6017128924495,2.16338074799853,0.6854159528787241,3.84636313991458,0.7032881054599116,0.6700560939875169,4.04996194548836,3.677955584114126
050502B,0.5262,0.6806,0.1544,2.35892262734495,3.79291801219085,1.4339953848459,0.299190468353207,0,0,0.547560308917901,0.511232752544895,2.52825778868255,2.24513488091706,0.6854159528787241,3.84636313991458,0.6980113391020073,0.6765903191708467,3.9889751312848896,3.748870417798994
