GRB,InvZphot,InvZspec,Dlogz,Zphot,Zspec,Dz,normDz,SD,z_SD,pred_max,pred_min,linpred_max,linpred_min,InvZphot_corrected,Zphot_corrected,pred_max_corrected,pred_min_corrected,linpred_max_corrected,linpred_min_corrected
000926A,0.4303,0.4829,0.0526,1.69339469261079,2.04018491662944,0.346790224018651,0.114068793026947,0,0,0.447217580077996,0.40582009202296,1.80038395120999,1.54577543792274,0.5363653910041513,2.4384711990600665,0.5469904551043044,0.5209908167315455,2.5236312674365076,2.318874396331906
011211A,0.4264,0.4969,0.0705,1.66931606362429,2.13978564827282,0.47046958464853,0.149841306812563,0,0,0.452755662604219,0.408778005048891,1.83632284255503,1.5631735040246,0.5339160010914359,2.4191330508094433,0.550468640610847,0.5228485301490852,2.551964696496894,2.3331014316977807
050315A,0.4988,0.4697,-0.0291,2.15355202455072,1.94917130750827,-0.204380717042442,-0.0693010665477826,0,0,0.528851401601777,0.485270237855829,2.37949183574275,2.05682261615457,0.4193874220669013,1.6265605804708754,0.4521993102809307,0.4046148317924199,1.8326917015752588,1.5387201601573826
050318A,0.4206,0.3874,-0.0332,1.63390435274731,1.44005715942821,-0.193847193319103,-0.0794437099844532,0,0,0.444054795862825,0.400607989595154,1.78006401224887,1.51540540395331,0.3340040615055966,1.1577645883912655,0.3596133874908572,0.3121756084014748,1.288829211050821,1.0519917407023804
050319A,0.4212,0.6274,0.2062,1.63754574088934,3.24033335385019,1.60278761296084,0.377986228725514,0,0,0.450173280450249,0.390491673510377,1.81950767064027,1.45748951466636,0.5306501478744821,2.3935179276675695,0.5488467788675879,0.5113638234795967,2.5387247118797087,2.2461144168561904
050401A,0.47,0.5911,0.1211,1.95120922666639,2.90031784475066,0.949108618084271,0.243341352131507,0,0,0.502933915602477,0.441303231365807,2.18371303533571,1.76250600896653,0.5612989242182025,2.641656045050774,0.5819830269522861,0.5432759561104796,2.819293440290333,2.493622340710164
050416A,0.2186,0.2182,-0.0003999999999999,0.654245645057731,0.65272272994873,-0.0015229151090006,-0.0009214583192958,0,0,0.287885714963283,0.173810266534144,0.94037519868649,0.492142383801833,0.1134485777027379,0.2985198045081929,0.1890987974272619,0.0645445116930203,0.5456060086599608,0.1602311244173158
050502A,0.4747,0.6803,0.2056,1.98332110176817,3.78960832497788,1.80628722320971,0.377126291055971,0,0,0.5097268823483,0.456040880552008,2.23390220414996,1.85785954374693,0.6671499713337774,3.6467571015323177,0.69002753657742,0.654962896894334,3.8980987493216546,3.5181734258877206
050502B,0.4857,0.6806,0.1949,2.059849034655,3.79291801219085,1.73306897753586,0.361589531289242,0,0,0.518735435376634,0.471054091746773,2.30168346962937,1.95838091246254,0.6743345450328488,3.7242682020768614,0.6959114105005163,0.6647686716478353,3.9649103446557454,3.621347982431262
050505A,0.619,0.7218,0.1028,3.15910610494022,4.26987118996723,1.11076508502701,0.210776515210027,0,0,0.63123486436617,0.601850997949989,3.27794172636836,2.99807556293416,0.7613985154043247,4.772959562118207,0.7693896321985876,0.7501977636685218,4.880166617417946,4.625974555645196
050525A,0.3174,0.2068,-0.1106,1.07682546377739,0.609904076215706,-0.466921387561683,-0.29003056421799,0,0,0.342285310716719,0.292648884856249,1.19930423605742,0.961773595533154,0.2213242301766114,0.6646549639905623,0.2484954764375541,0.1942995065370556,0.7721295867366555,0.5642260224712576
050603A,0.3493,0.5821,0.2328,1.23511565288234,2.82032226884411,1.58520661596177,0.414940548049994,0,0,0.370402091615821,0.332692389850995,1.34640022498997,1.15125746244073,0.4854934466631397,2.058394096170591,0.4987465877762134,0.4750630587725545,2.153164205050094,1.9858161225408972
050730A,0.5439,0.6961,0.1522,2.49864598452017,3.96706679223423,1.46842080771406,0.295631379471253,0,0,0.572656488106844,0.512092990974213,2.73814796750103,2.25156912410301,0.7123474713315727,4.1564103485610975,0.7311295720706723,0.6915729440140455,4.384303996515216,3.915559349023405
050801A,0.4383,0.4082,-0.0301,1.74346863852402,1.559764430599,-0.18370420792502,-0.0717660600831272,0,0,0.470704727674504,0.422808537606952,1.95600202799163,1.64733278227356,0.3533299628091144,1.2559525605109476,0.3887113508771843,0.3364154727946961,1.4474360393021897,1.1697788560603335
050802A,0.4351,0.433,-0.0020999999999999,1.72332830540534,1.71019163189084,-0.0131366735145,-0.0048471382465803,0,0,0.449948781115377,0.423674433012001,1.81805056250489,1.65261629406471,0.3498360145508513,1.2378759784169286,0.3660487873369143,0.3373609083391676,1.322997740284856,1.174507492133368
050803A,0.5095,0.6532,0.1437,2.23221320339609,3.49987033872151,1.26765713532542,0.281709702703474,0,0,0.529043533583824,0.494266501158447,2.38098725449677,2.12080405181047,0.5861068476931401,2.855732069949638,0.598381138467251,0.5765394686167655,2.966259619945708,2.771720207900328
050824A,0.3254,0.2619,-0.0635,1.11543653189515,0.82767932897041,-0.287757202924735,-0.157444032092237,0,0,0.411777754795292,0.275098382449659,1.58093908674873,0.884075848316914,0.2300591008222691,0.6984747731183769,0.3243714151721717,0.175136835501072,1.110432251775808,0.4967071573950956
050904A,0.695,0.863,0.168,3.9545019080479,6.29457510254569,2.34007319449779,0.320796367382816,0,0,0.724759414308685,0.670147888466537,4.30590432136597,3.67894444282153,0.8110373882342734,5.4719833038981225,0.8304745432653597,0.7948054039715724,5.768221189501734,5.2345541877759665
050908A,0.5272,0.6375,0.1103,2.36666574368623,3.34010263644744,0.97343689276121,0.224288910724473,0,0,0.573459946819398,0.460206959369781,2.74507006213903,1.88540619151943,0.5972233096046945,2.9556996565478,0.6262768088616645,0.5551484178247486,3.229380989511455,2.5904461526493363
051016B,0.3883,0.287,-0.1013,1.44511899782504,0.936421963946607,-0.508697033878433,-0.262699475294972,0,0,0.406450192891683,0.372187786517395,1.54947168460427,1.35606781428954,0.2987370212737533,0.9894682896630342,0.3185544696615768,0.2811447587005311,1.082353559772526,0.9104899554817788
