"","log10Ta","log10PeakFlux","log10NH","log10Fa","PhotonIndex","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10PeakFluxSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050315A",4.86356,0.285557309,21.91683806,-11.3757179,2.11,1.10818,1.980457892,0.856,1.99544,-5.492144128,23.6542158736,0.0815429767233215,480.347790548265,129.40695774038,4.4521,1.2280629124,3.92221346198508,0.732736,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,"050315A",1.949,0.469674772551798
"050318A",4.132084541,0.499687083,20.92661714,-11.15490196,1.9,1.874408221,1.505149978,0.95,1.98053,-5.966576245,17.0741226539712,0.249687180917049,437.923304924142,124.431837737212,3.61,3.51340617895238,2.2654764562734,0.9025,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",1.44,0.387389826338729
"050319A",3.73997,0.181843588,20.93735437,-10.70553377,2.02,0.863159,2.183383742,0.971,2.01045,-5.882728704,13.9873756009,0.0330670904967137,438.372808014958,114.60845330061,4.0804,0.745043459281,4.76716456482992,0.942841,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,"050319A",3.24,0.627365856592733
"050401A",3.12435,1.029383778,22.12570242,-9.653647026,1.4,0.984108,1.506369717,0.9995,1.78711,-5.085128182,9.7615629225,1.05963096240955,489.546707578394,93.1929009025986,1.96,0.968468555664,2.26914972429466,0.99900025,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",2.9,0.591064607026499
"050505A",4.270583544,0.267171728,22.23063027,-11.04817696,1.41,1.462094791,1.770115295,0.973,2.01835,-5.603800653,18.2378838062836,0.071380732242506,494.20092220144,122.062214139475,1.9881,2.13772117786933,3.13330815759294,0.946729,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",4.27,0.721810615212547
"050730A",4.05018,-0.259637311,21.73850309,-10.09854168,1.53,2.38763,2.194514342,0.5615,1.6177,-5.623423043,16.4039580324,0.0674115332633107,472.562516593939,101.980544062697,2.3409,5.7007770169,4.81589319724369,0.31528225,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",3.967,0.696094159995223
"050802A",3.63973,0.439332694,21.25883595,-10.28650946,1.54,1.44729,1.477121255,0.8585,1.8557,-5.698970004,13.2476344729,0.193013216017298,451.938105949012,105.812276870669,2.3716,2.0946483441,2.18188720197277,0.73702225,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,"050802A",1.7102,0.433001340945038
"050803A",4.21721,-0.017728767,21.34755638,-10.86012091,1.38,1.52234,1.943988875,1.218,2.11696,-5.66756154,17.7848601841,0.000314309179340289,455.718163397279,117.942226179819,1.9044,2.3175190756,3.77909274612377,1.483524,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,"050803A",3.5,0.653212513775344
"050824A",5.08558,-0.301029996,20.9708274,-12.23882419,2.76,0.954481,1.353723938,0.86,1.94709,-6.575118363,25.8631239364,0.09061905849176,439.775601840591,149.788817553729,7.6176,0.911033979361,1.83256850031423,0.7396,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0.8278,0.261928672990642
"060115A",3.69688,-0.060480747,21.43355223,-11.29499204,1,0.889919,2.144885418,1,2.10553,-5.76700389,13.6669217344,0.00365792075767801,459.397161196138,127.576845183663,1,0.791955826561,4.60053345634903,1,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,"060115A",3.53,0.656098202012832
