"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
21,2378,0.4358,2378,1.2061,1487,-0.3564,17,9,2.8,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
22,1604,0.5199,1168,1.0365,145,-2e-04,17,9,2.8,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
23,2378,0.5067,2261,1.0103,5407,-0.2614,16,8,2.8,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
24,5832,0.3978,1318,1.2697,1318,0.2722,17,9,2.8,"Response ~  (AlphaSqr+log10T90Sqr+log10NHSqr+Alpha+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
25,497,0.7753,1598,1.1447,1598,-0.2745,17,9,2.8,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
26,211,0.4735,211,1.1464,1744,-0.1165,17,9,2.8,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
27,1604,0.4063,1604,1.2264,4941,-0.1968,17,9,2.9,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
28,211,0.4491,211,1.0293,1566,1e-04,17,9,2.8,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
29,89,0.5749,89,0.9949,392,-0.0159,17,9,2.6,"Response ~  (log10T90Sqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
30,602,0.5306,5860,1.2374,6115,-0.3686,17,9,2.7,"Response ~  (log10PeakFluxSqr+log10T90+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+Alpha+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
31,712,0.2455,5856,1.2924,5865,-0.0635,17,9,2.6,"Response ~  (log10FaSqr+PhotonIndexSqr+Alpha+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
32,1898,0.5048,1898,1.0271,1898,-0.1441,17,9,2.6,"Response ~  (AlphaSqr+Alpha+log10T90+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
33,2249,0.5556,2249,1.2319,2368,-0.4918,17,9,2.6,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
34,1760,0.6184,1760,1.2047,1566,-0.1502,17,9,2.6,"Response ~  (log10T90Sqr+log10PeakFluxSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
35,4010,0.4012,817,1.2637,4296,-0.1459,16,8,2.6,"Response ~  (AlphaSqr+Alpha+log10T90+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
36,5609,0.6271,5609,1.0446,2481,0.1436,17,9,2.7,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+log10T90+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
37,497,0.675,497,1.4065,3755,-0.4415,17,9,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
38,1566,0.6572,1566,1.0945,1566,0.0086,17,9,2.7,"Response ~  (log10T90Sqr+log10TaSqr+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
39,861,0.5991,861,0.9858,3671,-0.0875,16,8,2.7,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
40,1532,0.537,91,0.8626,3351,-0.0026,17,9,2.7,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
41,631,0.4171,95,1.2163,5058,-0.0884,17,9,2.7,"Response ~  (log10T90Sqr+log10TaSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
42,211,0.491,211,1.3445,9754,-0.4578,16,8,2.6,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
43,278,0.5012,278,1.1535,3661,-0.1553,17,9,2.7,"Response ~  (log10PeakFluxSqr+Alpha+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
