"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10T90Sqr","log10FaSqr","log10TaSqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","PhotonIndexSqr","log10NHSqr","log10PeakFluxSqr","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","log10z","Redshift_crosscheck"
"GRB060814",2.16226561429802,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.6753925867756,119.030170508804,17.8410777769,1.6771286016,0.9409,4.4770751281,23.3834833012754,2.3409,484.299042897189,0.742241541337117,4.89845852373387,0.0352999999999994,0.034855,0.0245650000000001,0,1.44848484848485e-07,0.0181818181818182,0.175757575757576,0.0146412491857506,0.00430869161989862,0.0104993872461393,0.465813957269479,1.9229
"GRB060906",1.63848925695464,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226,2.68464704515576,141.199241357804,18.7904043441,2.9545140769,1.1236,4.3205363881,31.9858987503909,4.1209,502.638489718344,0.0867103582546831,8.16698720444148,0.0884499999999999,0.072145,0.169635,0.00499999999999999,8.24242424242424e-08,0.0666666666666667,0.16969696969697,0.0815374132566298,0.0161974631827828,0.0374103845495022,0.670802284260944,3.686
"GRB060908",1.28555730900777,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1,21.80952201,0.481442629,1.65265759474331,92.6808233019815,7.9477758724,1.9129379481,1.404225,4.5537426025,30.8340539326878,1,475.655250304674,0.231787005018432,1.33033529343473,0.045185,0.05993,0.04964,0.0034749535,6.72727272727273e-08,0.1818181818,0.151515151515152,0.0299356102082822,0.0104343479500535,0.0217168957598539,0.459935016851525,1.8836
"GRB060927",1.35218251811136,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.82839756228599,116.149840286009,9.9349779204,1.9348253604,0.6889,3.7968860736,35.3658760051113,0.81,488.724081753899,0.186074696892248,1.29427663430184,0.0811500000000001,0.108435,0.118785,0.178498106,4.12121212121212e-08,0.2424242424,0.103030303030303,0.0249820977926045,0.0158391122565265,0.0165724044782448,0.8109042806687,5.47
"GRB061021",1.66464197555613,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121,2.7710329067834,100.820849807733,10.4878174801,1.0344313849,0.616225,3.9713315524,30.5666153448573,1.69,435.615781686077,0.617860783818264,5.39883246764966,0.0263999999999998,0.03399,0.010415,0.0168000365,6.12121212121212e-08,0.0363636363636364,0.163636363636364,0.0507507175199213,0.00898111029446789,0.0116311570876723,0.129141845792285,0.3463
"GRB061121",1.91009054559407,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455,3.64844589236785,100.603274315609,14.3453835009,1.8274984225,0.89965225,3.6168812761,23.6514868434408,1.9881,473.215443134795,1.75372402062083,46.1274845779442,0.0126499999999998,0.01703,0.0158499999999999,0.0023582105,1.20606060606061e-07,0.0181818181818182,0.278787878787879,0.246407281873044,0.00382325157840621,0.0057382008275868,0.364363354615731,1.314
"GRB070110",1.94645226501307,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,3.78867641997452,122.07294259696,18.2179580625,2.0370425625,1.406596,4.3512291216,33.5297163615105,2.4964,457.915797226676,0.0492168678765625,14.4780330174947,0.0547500000000003,0.053995,0.046555,0.1216678795,6.54545454545455e-08,0.0727272727272727,0.0727272727272727,0.0711281657048759,0.0175472517755912,0.0526417554287146,0.525304009958239,2.352
"GRB070208",1.67851837904011,-10.86327943,3.44468,1.2125,1.14,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,2.81742394877545,118.010839974261,11.8658203024,1.47015625,1.2996,4.8550156281,40.3433305498639,3.7636,478.066234309186,0.00209374798261508,22.6274169979695,0.161899999999999,0.14114,0.06357,0.015,6.12121212121212e-08,0.218181818181818,0.133333333333333,0.206015982011363,0.0597395201502247,0.0643399233100112,0.335457900689384,1.165
"GRB070223",1.94694327069783,-11.86327943,4.22335,0.991734,1.03,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,3.79058809931555,140.737398834261,17.8366852225,0.983536326756,1.0609,5.1002350569,33.2877196531901,3.4225,470.965433956783,0.0259696154715263,8.08530616043297,0.16615,0.203105,0.079308,0.06,7.27272727272727e-08,0.0727272727272727,0.0909090909090909,0.0396768796607278,0.0185794430922578,0.0572192992938744,0.419873175149476,1.6295
"GRB070306",2.32118402730231,-11.2737,4.86926,1.89982,0.831,1.94468,-5.269217724,1.66,22.44245468,0.609594409,5.38789528860339,127.09631169,23.7096929476,3.6093160324,0.690561,3.7817803024,27.7646554229157,2.7556,503.663772063854,0.371605343484059,64.7675716279367,0.0335000000000001,0.02824,0.06188,0.000999999999999994,1.73333333333333e-07,0.0606060606060606,0.127272727272727,0.134263479543134,0.0139921394309921,0.0135807968501197,0.397227181043161,1.4959
"GRB070508",1.32014628611105,-9.161150909,3.02525,1.37377,0.764,1.82568,-4.707743929,1.1,21.89306622,1.382017043,1.74278621673281,83.9266859774715,9.1521375625,1.8872440129,0.583696,3.3331074624,22.1628529010364,1.21,479.306348513305,1.90997110714246,0.735923905696808,0.0107949999999999,0.01189,0.013355,5e-04,1.65454545454545e-07,0.06060606061,0.36969696969697,0.015292234035637,0.00366612225284185,0.00666213086135178,0.260071387985075,0.82
"GRB070521",1.57863920996807,-10.01233374,3.55243,1.44502,0.98,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.49210175524862,100.246826921142,12.6197589049,2.0880828004,0.9604,4.0008800484,25.9729615319725,1.21,496.186724249071,0.664083492567539,2.81938432428048,0.04901,0.04844,0.0562,0.147518075,1.07272727272727e-07,0.1212121212,0.163636363636364,0.032307204601571,0.00581622391039878,0.0108830581640121,0.489466281303128,2.0865
"GRB070529",2.03822263836872,-10.24641694,3.09323,1.21432,0.76,1.97999,-5.590066877,1.34,22.56252244,0.155336037,4.15435152355874,104.989060108319,9.5680718329,1.4745730624,0.5776,3.9203604001,31.2488476893325,1.7956,509.067418855503,0.0241292843908654,19.9827798950972,0.0552000000000001,0.068045,0.03501,0.015,1.48484848484848e-07,0.096969696969697,0.218181818181818,0.0794726285854208,0.0250918873122187,0.066262349503112,0.544018407858776,2.4996
"GRB070802",1.2148438480477,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,1.47584557513934,136.226722761696,15.3808289856,1.3536857104,0.6084,3.9606572196,42.9397378706878,3.2041,480.212567915359,0.15835625076292,3.01981259231406,0.17395,0.236245,0.2088785,0.045,3.03030303030303e-08,0.163636363636364,0.0606060606060606,0.0799687771478019,0.0470015673425834,0.0658021942774567,0.537819095073274,2.45
"GRB071003",2.17609125905568,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.73537316773854,136.366360911265,22.8877084921,3.9164805801,0.700569,3.6486730225,25.8157674351944,1.8496,435.546082728764,0.638945313275621,4.49440006564942,0.135899999999999,0.098505,0.183105,0.032,1.81818181818182e-07,0.0424242424242424,0.242424242424242,0.0130126209865144,0.00951357025803561,0.0167116683927593,0.415699348887829,1.60435
"GRB071117",0.819543935541869,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443,0.671652262283455,126.234880993059,15.2255295811469,1.22091978637662,0.8836,4.18488849,31.5820256845432,2.4649,485.890230868716,1.1089742071113,1.82485944742003,0.101024385,0.117162967,0.089387802,0.01,6.06060606060606e-08,0.0363636363636364,0.242424242424242,0.120079755797505,0.0109670323640116,0.00931712485678028,0.367542273520577,1.331
"GRB080310",2.56229286445647,-11.3990271,4.32608056,1.59590648,0.878,2.09352,-5.638272164,2.32,21.96085591,0.113943352,6.56534472324457,129.937818826534,18.7149730116099,2.54691749290599,0.770884,4.3828259904,31.7901129953372,5.3824,482.279192299782,0.0129830874649959,17.3987512074303,0.0424734299999994,0.03798676,0.0652763515,0.0375,1.21212121212121e-07,0.096969696969697,0.121212121212121,0.0207018675106699,0.0228877197323238,0.0404936580149266,0.534026106056135,2.42
"GRB080411",1.7481880270062,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747,3.05616137776783,102.283069754376,17.7184221751884,1.66177471066453,0.8281,3.9075010276,20.9617106012618,3.0625,465.389590718341,2.67480708670116,1.0009675337169,0.0604354300000001,0.049275581,0.010296793,0,6.06060606060606e-08,0.0181818181818182,0.545454545454546,0.00776276207959923,0.000997002942546105,0.00548351618331015,0.307496037913213,1.03
"GRB080430",1.20951501454263,-11.17198494,4.21762911,0.99269763,0.39,2.03541,-5.920818754,1.73,21.51787914,0.414973348,1.46292657040406,124.813247499587,17.7883953095194,0.985448584607617,0.1521,4.1428938681,35.0560947177181,2.9929,463.019122683647,0.172202879550329,2.18311336401004,0.0281809649999998,0.038388523,0.020935069,0.0755,6.06060606060606e-08,0.0545454545454545,0.121212121212121,0.0585255609480744,0.0219340647449938,0.0202468289917981,0.247236549506764,0.767
"GRB080516",0.763427993562937,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.582822301355532,123.674508446233,14.2470636610292,0.883918049415106,2.1904,5.43589225,43.3625760075503,3.3124,485.55398863728,0.065164051808975,0.213016433189357,0.0778036650000002,0.111057696,0.084888358,0.03,2.42424242424242e-08,0.163636363636364,0.181818181818182,0.0159503209463535,0.0404936579835962,0.0438681294956119,0.6232492903979,3.2
"GRB080607",1.89762709129044,-10.0540393,3.46298403,1.7256074,1.06,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.60098857759942,101.083706245944,11.992258392035,2.97772089893476,1.1236,4.1378882724,21.3424481685432,1.7161,501.03752022846,1.85943763199952,3.28506192878632,0.11042072,0.069659314,0.0376373875,0.02,0,0.0242424242424242,0.666666666666667,0.0180592945364855,0,0.0125337512783664,0.605951157564873,3.036
"GRB080710",2.07918124604762,-11.23284413,4.09266933,1.52133785,1.3,2.00149,-5.853871964,1.47,20.89722339,0,4.32299465391615,126.176787248875,16.7499422447226,2.31446885384262,1.69,4.0059622201,34.2678169709052,2.1609,436.693945411563,0,17.4370466608647,0.0626949799999998,0.054210787,0.0640164304999999,0.1505178435,1.21212121212121e-07,0.139393939393939,0.121212121212121,0.0631067762125255,0.0376012538165791,0.0526417553822122,0.265996370495079,0.845
"GRB080721",1.20951501454263,-8.714442691,2.87876286,1.33437559,0.735,1.9433,-4.920818754,1.11,21.79728278,1.320146286,1.46292657040406,75.9415114147233,8.28727560411538,1.78055821518785,0.540225,3.77641489,24.2144572097181,1.2321,475.121536591284,1.74278621643959,144,0.00701929850000038,0.007554816,0.00643567299999992,0,6.06060606060606e-07,0.0484848484848485,1.09090909090909,3.86039539469557,0.0219340647449938,0.0226686984957445,0.555215405126073,2.591
"GRB080810",2.02530586526477,-9.931814138,3.2687548,1.44529526,1.079,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.10186384787588,98.6409320717767,10.684757942523,2.08887838857847,1.164241,4.4724636324,28.4861539598773,1.7956,460.136626724788,0.09061905849176,4.33719033229347,0.031830706,0.039738688,0.036139295,0.0015,1.21212121212121e-07,0.0363636363636364,0.121212121212121,0.0177699795120678,0.0114438598573077,0.0263208776707413,0.638489256954637,3.35
"GRB080928",2.44715803134222,-11.1260984,4.08450503,1.76031774,0.99,2.13864,-5.602059991,1.77,21.51035195,0.322219295,5.98858243036273,123.790065606483,16.6831813400953,3.09871854575871,0.9801,4.5737810496,31.3830761427629,3.1329,462.695241012869,0.103825274070297,20.8004346174656,0.0644840350000004,0.047916769,0.075970735,0,1.21212121212121e-07,0.0727272727272727,0.0606060606060606,0.0322625499126953,0.0210567021369837,0.0125337512738,0.430075055551939,1.692
"GRB081007",1,-10.58502665,3.58176278,1.00469263,0.92,2.102,-6.148741651,2.51,21.69605744,0.414973348,1,112.04278918121,12.8290246121933,1.00940728077632,0.8464,4.418404,37.8070238907422,6.3001,470.718908439779,0.172202879550329,2.93713330647929,0.053161115,0.084284398,0.039134851,0.00499999999999999,4.84848484848485e-08,0.121212121212121,0.242424242424242,0.127558078761821,0.0296573269567103,0.0404936579835962,0.184549481320698,0.5295
"GRB081008",2.26834391395106,-10.79317412,3.85550833,1.47398467,0.84,1.98207,-5.366531544,1.69,21.1376737,0.113943352,5.14538411195884,116.492607584638,14.8649444826994,2.17263080739501,0.7056,3.9286014849,28.799660812747,2.8561,446.801249447672,0.0129830874649959,40.3441495698351,0.0605298899999998,0.056285684,0.063988679,0.025,1.21212121212121e-07,0.0424242424242424,0.0606060606060606,0.0944541322655462,0.0122422686816867,0.0202468290074633,0.472537053262077,1.9685
"GRB081029",2.43136376415899,-11.86327943,4.48156171,2.51960373,0.87,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,5.91152975366536,140.737398834261,20.0843953605381,6.34840295622991,0.7569,3.8344689124,32.2371937340703,2.0449,462.122978557239,0.09061905849176,45.6827768024956,0.0832508050000005,0.04285341,0.169198521,0.001,1.21212121212121e-07,0.109090909090909,0.121212121212121,0.0734806588271915,0.0250675025476,0.105283510845884,0.685553652846326,3.8479
"GRB081221",1.53147891704226,-9.354577731,2.93195749,1.23586126,0.991,2.4947,-4.742321425,1.21,21.57331844,1.260071388,2.34542767334492,87.5081245253211,8.5963747231671,1.52735305396879,0.982081,6.22352809,22.489612498014,1.4641,465.408068513644,1.58777990285625,0.801917699762502,0.0249854999999997,0.031176651,0.0128618564999999,5e-04,1.81818181818182e-07,0.0787878787878788,0.303030303030303,0.0102431891749236,0.00436257641157646,0.00723101035445099,0.513217600067939,2.26
"GRB081230",1.78318869107526,-11.32975415,3.66959365,0.99376498,1.02,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,3.17976190797869,128.363329099442,13.4659175561203,0.9875688354744,1.0404,4.3522721641,37.0416618281071,3.8809,427.35143927319,0.0239946172118416,13.7743084089789,0.0701443999999993,0.08735027,0.0403814179999999,0.02,4.84848484848485e-08,0.096969696969697,0.0606060606060606,0.0985519956186671,0.0256789050871822,0.0376012538456717,0.491361693834273,2.1
"GRB090102",1.43136376415899,-9.457174573,3.15380077,1.42487631,0.667,1.76997,-7.167491087,1.36,21.72376179,0.740362689,2.04880222534738,89.4381509041977,9.94645929685259,2.03027249879922,0.444889,3.1327938009,51.3729284822244,1.8496,471.921826308664,0.548136911263311,2.24000000357628,0.0362399829999998,0.041590346,0.0217865955,0.0026734575,1.81818181818182e-09,0.0484848484848485,0.484848484848485,0.0360303570746831,0.0116121519146922,0.0382849130488151,0.406028944963615,1.547
"GRB090205",0.944482672150169,-11.3419886,3.70655,1.29089,1.01,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,0.892047517991923,128.64070540253,13.7385129025,1.6663969921,1.0201,4.1378069056,45.1751531560705,4.6225,476.021670653223,0.09061905849176,1.7940791274129,0.13445,0.114585,0.084185,0.025,1.81818181818182e-08,0.139393939393939,0.0606060606060606,0.0885407574015026,0.0415592805603905,0.0526417554229419,0.752025387323213,4.6497
