"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"070521A",1.57863921,-10.01233374,3.55243,1.44502,0.98,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.819384324,0.04901,0.04844,0.0562,0.147518075,0.009596769,0.121212121,0.017957046,0.0323072045959819,2.0865,0.489466281303128
"070529A",2.038222638,-10.24641694,3.09323,1.21432,0.76,1.97999,-5.590066877,1.34,22.56252244,0.155336037,19.9827799,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,0.0794726286723922,2.4996,0.544018407858776
"070612A",2.566790912,-10.7181305628919,4.20638103728954,1.99629051266023,0.999667561538933,1.97567939099548,-4.974694135,1.69,21.2559971173378,0.178976947,4.875038864,0.830472615610453,0.529085409923076,0.386626127808016,0.192443443140314,0.024623678,0.1,0.109292651,0.00574078763438007,0.671,0.222976449893391
"070714B",1.806179974,-10.74232143,3.22974,1.64623,0.93,2.07429,-6.142667504,1.36,21.64321572,0.431363764,8.408797283,0.09935,0.0946,0.108425,0.005,0.05428681,0.19,0.032169962,0.0570608478017886,0.923,0.28397928423848
"070721B",2.531478917,-10.50863831,3.94739,2.5054,0.52,1.52512,-5.443697499,1.34,21.89473409,0.176091259,21.32020684,0.3648,0.10084,0.09144,0,0.024127471,0.11,0.086858896,0.0272330828957319,3.626,0.6652056284346
"070802A",1.214843848,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.019812592,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,0.079968777148268,2.45,0.537819095073274
"070809A",1.16168428403346,-11.9625735,4.18985,1.17521,0.396,1.37246,-7,1.69,20.80619355,0.079181246,0.271528985,0.1917,0.206985,0.395643,0.0595,0.026318246,0.133333333,0.016256930519715,0.00812673734142058,0.2187,0.0858968111315881
"070810A",1.041392685,-10.77728353,3.36583,1.36994,1.02,2.17076,-6.161150909,2.04,21.93100401,0.278753601,4.99064124,0.06175,0.07187,0.077915,0.01,0.037764738,0.14,0.045715209,0.197037086589132,2.17,0.501059262217751
"071003A",2.170643023,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.494400066,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,0.0131768929142836,1.60435,0.415699348887829
"071010A",0.77815125,-11.0730274355197,4.24093899345619,1.79568340871749,0.900657762051906,2.33496,-6.698970004,2.33,22.13954852,-0.096910013,4.070927175,0.900743937864795,0.531554488191854,0.280602988955496,0.175733864567442,0.086858896,0.37,0.162860431,0.29466353498238,0.99,0.298853076409707
"071010B",1.552668216,-10.4073940631973,3.46676719914564,1.02965787291717,0.883998700329172,2.04061,-5.356547324,1.53,21.30047157,0.886490725,0.593538562,0.849204683043412,0.478389373424474,0.278849861195054,0.187981490414201,0.009870329,0.22,0.016920564,0.00722046281064375,0.947,0.289365951520032
"071020A",0.62324929,-9.169411331,2.311950854,1.119196934,0.844,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982802,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,0.0601790285006581,2.145,0.497620649781288
