"GRB","reason"
"050908A","log10NH<20"
"060512A","log10NH<20"
"060526A","log10NH<20"
"080310A","log10NH<20"
"090529A","log10NH<20"
"100219A","log10NH<20"
"100418A","log10NH<20"
"110808A","log10NH<20"
"120422A","log10NH<20"
"140614A","log10NH<20"
"151215A","log10NH<20"
"160121A","log10NH<20"
"170405A","log10NH<20"
"170531B","log10NH<20"
"191221B","log10NH<20"
"200205B","log10NH<20"
"230116D","log10NH<20"
