"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","Response"
"GRB050904",-0.207608311,22.39388568,1.25,4.6841,-11.4544,1.36946226,2.24104815067164,0.848,1.90813,-5.316052869,0.0431012107962727,501.486115848909,1.5625,21.94079281,131.20327936,1.87542688156431,5.02229681362878,0.719104,3.6409600969,28.2604181060031,0.862727528317975
"GRB060115",-0.060480747,21.43355223,1,3.69688,-11.29499204,0.889919,2.14488541828714,1,2.10553,-5.76700389,0.00365792075767801,459.397161196138,1,13.6669217344,127.576845183663,0.791955826561,4.6005334575808,1,4.4332565809,33.2583338672751,0.656098202012832
"GRB060124",-0.050609993,21.9172644,1.84,4.47599,-10.6893,1.3641,2.8750612633917,0.99,2.00895,-6.336299075,0.00256137139146005,480.366478779507,3.3856,20.0344864801,114.26113449,1.86076881,8.26597726825548,0.9801,4.0358801025,40.1486859678459,0.517987203025078
"GRB060210",0.434568904,22.3877421,1.53,4.15028,-10.66756154,1.20511,2.40654018043396,0.979,2.08163,-5.11577123,0.188850132323761,501.210996336112,2.3409,17.2248240784,113.796869209687,1.4522901121,5.79143564004312,0.958441,4.3331834569,26.1711152776957,0.691081492122968
"GRB060218",-0.602059991,21.59972155,2.26,5.07614,-11.82390874,1.3185,3.32221929473392,0.2529,1.87322,-5.804100348,0.36247623276292,466.547971037534,5.1076,25.7671972996,139.804817891848,1.73844225,11.0371410423023,0.06395841,3.5089531684,33.6875808496537,0.0141423615450058
"GRB060306",0.775974331,21.61973178,1.8,3.61496,-10.70553377,1.03794,1.78675142214556,0.76,2.28823,-5.671620397,0.602136162370898,467.412802239142,3.24,13.0679358016,114.60845330061,1.0773194436,3.19248064453918,0.5776,5.2359965329,32.1672779276664,0.408070285887185
"GRB060418",0.814247596,21.65363309,1.7,3.11887,-9.792961075,1.47655,2.01325866528352,0.98,1.94118,-5.079354999,0.662999147591779,468.879825996343,2.89,9.7273500769,95.9020866164651,2.1801999025,4.05321045333918,0.9604,3.7681797924,25.7998472058663,0.396024896608593
"GRB060526",0.222716471,21.67796993,2.01,3.8752,-11.3053948,1.05873,2.47450763911698,0.93,1.90677,-5.899629455,0.0496026264546938,469.934380285984,4.0401,15.01717504,127.811951583867,1.1209092129,6.12318805604829,0.8649,3.6357718329,34.8056277063036,0.625415352154408
"GRB060604",-0.468521083,21.99003057,2.01,4.45991,-11.76955108,1.21596,1.97772360528885,1.02,2.1711,-6.395773947,0.219512005215493,483.561444469534,4.0401,19.8907972081,138.522332624729,1.4785587216,3.91139065891673,1.0404,4.71367521,40.905924381124,0.496334505996816
"GRB060605",-0.337242168,21.77333803,1.55,4.04162,-11.26121944,1.9179,1.89817648349768,0.835,2.02128,-6.156767222,0.11373227987734,474.078248968644,2.4025,16.3346922244,126.815063275834,3.67834041,3.60307396250362,0.697225,4.0855728384,37.9057826258936,0.679427896612119
"GRB060614",1.06069784,20.51216256,2.02,5.03344,-11.78251606,1.9453,2.03622954408629,0.783,1.89544,-4.690369833,1.12507990778067,420.748812887866,4.0804,25.3355182336,138.827684704158,3.78419209,4.14623075620986,0.613089,3.5926927936,21.9995691703164,0.0511525224473813
"GRB060707",0.004321374,21.20847898,0.6,3.5545,-10.9132,0.861995,1.8208579894397,1.12,2.09345,-5.795880017,1.8674273247876e-05,449.799580645102,0.36,12.63447025,119.09793424,0.743035380025,3.31552381770639,1.2544,4.3825329025,33.5922251714599,0.645913275033844
"GRB060708",0.28780173,20.79066861,1.68,3.50569,-10.86966623,1.12969,1.00860017176192,1.485,2.20484,-6.306273051,0.0828298357909929,432.251901250839,2.8224,12.2898623761,118.149643951602,1.2761994961,1.01727430647817,2.205225,4.8613194256,39.7690797937688,0.465382851448418
"GRB060714",0.10720997,22.0125926,1.93,3.73449,-10.86012091,1.20488,2.06069784035361,0.87,2.04425,-5.548213564,0.0114939776674009,484.554232973575,3.7249,13.9464155601,117.942226179819,1.4517358144,4.24647558923803,0.7569,4.1789580625,30.7826737517536,0.569490954348783
"GRB060729",0.068185862,20.86562801,1.75,5.1057,-11.15058059,1.35481,2.0618293072947,1.317,1.92492,-5.583359493,0.00464931177668304,435.374432251696,3.0625,26.06817249,124.335447494085,1.8355101361,4.25114009241934,1.734489,3.7053170064,31.1739032280732,0.187520720836463
"GRB060814",0.861534411,22.00679538,1.53,4.22387,-10.91009489,1.29504,2.16226561429802,0.97,2.11591,-4.835647144,0.742241541337117,484.299042897189,2.3409,17.8410777769,119.030170508804,1.6771286016,4.67539258677559,0.9409,4.4770751281,23.3834833012754,0.465813957269479
"GRB060906",0.294466226,22.41960057,2.03,4.33479,-11.8827287,1.71887,1.63848925695464,1.06,2.07859,-5.655607726,0.0867103582546831,502.638489718344,4.1209,18.7904043441,141.199241357804,2.9545140769,2.68464704515577,1.1236,4.3205363881,31.9858987503909,0.670802284260944
"GRB060908",0.481442629,21.80952201,1,2.81918,-9.627087997,1.38309,1.28555730900777,1.185,2.13395,-5.552841969,0.231787005018432,475.655250304674,1,7.9477758724,92.6808233019815,1.9129379481,1.6526575947433,1.404225,4.5537426025,30.8340539326878,0.459935016851525
"GRB060927",0.431363764,22.10710478,0.9,3.15198,-10.77728353,1.39098,1.35218251811136,0.83,1.94856,-5.946921557,0.186074696892248,488.724081753899,0.81,9.9349779204,116.149840286009,1.9348253604,1.82839756228598,0.6889,3.7968860736,35.3658760051113,0.8109042806687
"GRB061021",0.78604121,20.87141063,1.3,3.23849,-10.04095861,1.01707,1.66464197555613,0.785,1.99282,-5.528708289,0.617860783818264,435.615781686077,1.69,10.4878174801,100.820849807733,1.0344313849,2.77103290678341,0.616225,3.9713315524,30.5666153448573,0.129141845792285
"GRB061121",1.324282455,21.75351565,1.41,3.78753,-10.03011836,1.35185,1.91009054559407,0.9485,1.90181,-4.863279433,1.75372402062083,473.215443134795,1.9881,14.3453835009,100.603274315609,1.8274984225,3.64844589236785,0.89965225,3.6168812761,23.6514868434408,0.364363354615731
"GRB070110",-0.22184875,21.3989672,1.58,4.26825,-11.04866248,1.42725,1.94645226501307,1.186,2.08596,-5.790484985,0.0492168678765625,457.915797226676,2.4964,18.2179580625,122.07294259696,2.0370425625,3.78867641997451,1.406596,4.3512291216,33.5297163615105,0.525304009958239
"GRB070208",-0.045757491,21.8647258,1.94,3.44468,-10.86327943,1.2125,1.67851837904011,1.14,2.20341,-6.351639989,0.00209374798261508,478.066234309186,3.7636,11.8658203024,118.010839974261,1.47015625,2.81742394877544,1.2996,4.8550156281,40.3433305498639,0.335457900689384
"GRB070223",-0.161150909,21.70173804,1.85,4.22335,-11.86327943,0.991734,1.94694327069783,1.03,2.25837,-5.769551079,0.0259696154715263,470.965433956783,3.4225,17.8366852225,140.737398834261,0.983536326756,3.79058809931556,1.0609,5.1002350569,33.2877196531901,0.419873175149476
"GRB070306",0.609594409,22.44245468,1.66,4.86926,-11.2737,1.89982,2.32118402730231,0.831,1.94468,-5.269217724,0.371605343484059,503.663772063854,2.7556,23.7096929476,127.09631169,3.6093160324,5.38789528860337,0.690561,3.7817803024,27.7646554229157,0.397227181043161
"GRB070508",1.382017043,21.89306622,1.1,3.02525,-9.161150909,1.37377,1.32014628611105,0.764,1.82568,-4.707743929,1.90997110714246,479.306348513305,1.21,9.1521375625,83.9266859774715,1.8872440129,1.7427862167328,0.583696,3.3331074624,22.1628529010364,0.260071387985075
"GRB070521",0.814913181,22.27524914,1.1,3.55243,-10.01233374,1.44502,1.57863920996807,0.98,2.00022,-5.096367484,0.664083492567539,496.186724249071,1.21,12.6197589049,100.246826921142,2.0880828004,2.49210175524861,0.9604,4.0008800484,25.9729615319725,0.489466281303128
"GRB070529",0.155336037,22.56252244,1.34,3.09323,-10.24641694,1.21432,2.03822263836872,0.76,1.97999,-5.590066877,0.0241292843908654,509.067418855503,1.7956,9.5680718329,104.989060108319,1.4745730624,4.15435152355875,0.5776,3.9203604001,31.2488476893325,0.544018407858776
"GRB070802",-0.397940009,21.91375294,1.79,3.92184,-11.6716204,1.16348,1.2148438480477,0.78,1.99014,-6.552841969,0.15835625076292,480.212567915359,3.2041,15.3808289856,136.226722761696,1.3536857104,1.47584557513934,0.6084,3.9606572196,42.9397378706878,0.537819095073274
"GRB071003",0.799340549,20.86974084,1.36,4.78411,-11.67760082,1.97901,2.17609125905568,0.837,1.91015,-5.080921908,0.638945313275621,435.546082728764,1.8496,22.8877084921,136.366360911265,3.9164805801,4.73537316773854,0.700569,3.6486730225,25.8157674351944,0.415699348887829
"GRB071117",1.053078443,22.04291793,1.57,3.901990464,-11.23542972,1.104952391,0.819543935541869,0.94,2.0457,-5.619788758,1.1089742071113,485.890230868716,2.4649,15.2255295811469,126.234880993059,1.22091978637662,0.671652262283455,0.8836,4.18488849,31.5820256845432,0.367542273520577
"GRB080310",0.113943352,21.96085591,2.32,4.32608056,-11.3990271,1.59590648,2.56229286445647,0.878,2.09352,-5.638272164,0.0129830874649959,482.279192299782,5.3824,18.7149730116099,129.937818826534,2.54691749290599,6.56534472324454,0.770884,4.3828259904,31.7901129953372,0.534026106056135
"GRB080411",1.635483747,21.57289018,1.75,4.20932562,-10.11350927,1.28909841,1.7481880270062,0.91,1.97674,-4.578396073,2.67480708670116,465.38959071834,3.0625,17.7184221751884,102.283069754376,1.66177471066453,3.05616137776783,0.8281,3.9075010276,20.9617106012618,0.307496037913213
"GRB080430",0.414973348,21.51787914,1.73,4.21762911,-11.17198494,0.99269763,1.20951501454263,0.39,2.03541,-5.920818754,0.172202879550329,463.019122683647,2.9929,17.7883953095194,124.813247499587,0.985448584607617,1.46292657040406,0.1521,4.1428938681,35.0560947177181,0.247236549506764
"GRB080516",0.255272505,22.03528962,1.82,3.77452827,-11.12090412,0.94016916,0.763427993562937,1.48,2.3315,-6.585026652,0.065164051808975,485.55398863728,3.3124,14.2470636610292,123.674508446233,0.883918049415106,0.582822301355532,2.1904,5.43589225,43.3625760075503,0.6232492903979
"GRB080607",1.36361198,22.38386741,1.31,3.46298403,-10.0540393,1.7256074,1.89762709129044,1.06,2.03418,-4.619788758,1.85943763199952,501.03752022846,1.7161,11.992258392035,101.083706245944,2.97772089893476,3.60098857759942,1.1236,4.1378882724,21.3424481685432,0.605951157564873
"GRB080710",0,20.89722339,1.47,4.09266933,-11.23284413,1.52133785,2.07918124604762,1.3,2.00149,-5.853871964,0,436.693945411563,2.1609,16.7499422447226,126.176787248875,2.31446885384262,4.32299465391613,1.69,4.0059622201,34.2678169709052,0.265996370495079
"GRB080721",1.320146286,21.79728278,1.11,2.87876286,-8.714442691,1.33437559,1.20951501454263,0.735,1.9433,-4.920818754,1.74278621643959,475.121536591284,1.2321,8.28727560411538,75.9415114147233,1.78055821518785,1.46292657040406,0.540225,3.77641489,24.2144572097181,0.555215405126073
"GRB080810",0.301029996,21.45079548,1.34,3.2687548,-9.931814138,1.44529526,2.02530586526477,1.079,2.11482,-5.337242168,0.09061905849176,460.136626724788,1.7956,10.684757942523,98.6409320717767,2.08887838857847,4.10186384787588,1.164241,4.4724636324,28.4861539598773,0.638489256954637
"GRB080928",0.322219295,21.51035195,1.77,4.08450503,-11.1260984,1.76031774,2.44715803134222,0.99,2.13864,-5.602059991,0.103825274070297,462.695241012869,3.1329,16.6831813400953,123.790065606483,3.09871854575871,5.98858243036273,0.9801,4.5737810496,31.3830761427629,0.430075055551939
"GRB081007",0.414973348,21.69605744,2.51,3.58176278,-10.58502665,1.00469263,1,0.92,2.102,-6.148741651,0.172202879550329,470.718908439779,6.3001,12.8290246121933,112.04278918121,1.00940728077632,1,0.8464,4.418404,37.8070238907422,0.184549481320698
"GRB081008",0.113943352,21.1376737,1.69,3.85550833,-10.79317412,1.47398467,2.26834391395106,0.84,1.98207,-5.366531544,0.0129830874649959,446.801249447672,2.8561,14.8649444826994,116.492607584638,2.17263080739501,5.14538411195881,0.7056,3.9286014849,28.799660812747,0.472537053262077
"GRB081029",-0.301029996,21.49704581,1.43,4.48156171,-11.86327943,2.51960373,2.43136376415899,0.87,1.95818,-5.677780705,0.09061905849176,462.122978557239,2.0449,20.0843953605381,140.737398834261,6.34840295622991,5.91152975366537,0.7569,3.8344689124,32.2371937340703,0.685553652846326
"GRB081221",1.260071388,21.57331844,1.21,2.93195749,-9.354577731,1.23586126,1.53147891704226,0.991,2.4947,-4.742321425,1.58777990285625,465.408068513644,1.4641,8.5963747231671,87.5081245253211,1.52735305396879,2.34542767334493,0.982081,6.22352809,22.489612498014,0.513217600067939
"GRB081230",-0.15490196,20.67248024,1.97,3.66959365,-11.32975415,0.99376498,1.78318869107526,1.02,2.08621,-6.086186148,0.0239946172118416,427.35143927319,3.8809,13.4659175561203,128.363329099442,0.9875688354744,3.1797619079787,1.0404,4.3522721641,37.0416618281071,0.491361693834273
"GRB090102",0.740362689,21.72376179,1.36,3.15380077,-9.457174573,1.42487631,1.43136376415899,0.667,1.76997,-7.167491087,0.548136911263311,471.921826308664,1.8496,9.94645929685259,89.4381509041977,2.03027249879922,2.04880222534739,0.444889,3.1327938009,51.3729284822244,0.406028944963615
"GRB090205",-0.301029996,21.81792086,2.15,3.70655,-11.3419886,1.29089,0.944482672150169,1.01,2.03416,-6.721246399,0.09061905849176,476.021670653223,4.6225,13.7385129025,128.64070540253,1.6663969921,0.892047517991924,1.0201,4.1378069056,45.1751531560705,0.752025387323213
"GRB090424",1.851258349,21.63012977,1.19,2.99599056,-9.050609993,1.1284106,1.68124123737559,0.924,1.96315,-4.677780705,3.42715747474221,467.86251386704,1.4161,8.97595943560911,81.9135412453915,1.27331048219236,2.8265720982522,0.853776,3.8539579225,21.8816323240703,0.188647295999717
"GRB090519",-0.22184875,22.13069392,1.02,3.44619,-11.76000021,1.42452,1.80617997398389,0.63,1.46604,-5.920818754,0.0492168678765625,489.767613380725,1.0404,11.8762255161,138.2976049392,2.0292572304,3.26228609842045,0.3969,2.1492732816,35.0560947177181,0.685741738602264
"GRB090529",-0.397940009,21.19187281,2,4.472757799,-12.1873998,0.8815438,2,0.64,2.22623,-6.167491087,0.15835625076292,449.095473195217,4,20.0055623285153,148.53271388504,0.77711947131844,4,0.4096,4.9561000129,38.0379463082244,0.559308010907013
"GRB090530",0.397940009,20.90942658,1.61,3.6839464,-11.16052195,0.88610581,1.68124123737559,1.09,2.03975,-5.958607315,0.15835625076292,437.204119904411,2.5921,13.571461078073,124.557250196432,0.785183506515756,2.8265720982522,1.1881,4.1605800625,35.5050011343715,0.355259905527378
"GRB090618",1.589949601,21.39200012,1.42,3.67275453,-9.640164518,1.30942861,2.05384642685225,0.8945,1.82831,-3.978810701,2.52793973372006,457.61766913408,2.0164,13.4891258376355,92.9327719341062,1.71460328468653,4.21828514509375,0.80013025,3.3427174561,15.8309345943921,0.187520720836463
"GRB090812",0.556302501,21.77771022,1.24,3.52924,-10.16730017,1.37252,1.82412583391655,0.53,1.88559,-5.236572006,0.309472472618855,474.268662426292,1.5376,12.4555349776,103.373992746882,1.8838111504,3.32743505796175,0.2809,3.5554496481,27.4216863740229,0.538070787043172
"GRB091018",1.012837225,21.19187281,1.77,2.89655535,-9.627087997,1.18074867,0.643452676486187,0.91,1.98015,-5.853871964,1.0258392443457,449.095473195217,3.1329,8.39003289561362,92.6808233019815,1.39416742170677,0.414031346877238,0.8281,3.9209940225,34.2678169709052,0.294686624279443
"GRB091020",0.62324929,21.70587483,1.53,2.95265011,-9.71219827,1.17417264,1.53907609879278,0.895,2.08587,-5.431798276,0.388439677485504,471.145002135627,2.3409,8.71814267208301,94.326795235791,1.37868138852457,2.3687552378752,0.801025,4.3508536569,29.5044325111566,0.432969290874406
"GRB091029",0.255272505,21.45058625,1.46,4.30368998,-11.34678749,1.12123368,1.59328606702046,1.064,2.11535,-5.619788758,0.065164051808975,460.127650468689,2.1316,18.5217474439524,128.74958634322,1.25716496516634,2.53856049136153,1.132096,4.4747056225,31.5820256845432,0.574262829707027
"GRB091127",1.667452953,20.87872913,2.05,3.98466812,-9.844663963,1.39581701,0.851258348719075,0.758,1.80187,-5.045757491,2.78039935046842,435.921330083911,4.2025,15.8775800265443,96.9174085443909,1.94830512540534,0.724640776263926,0.574564,3.2467354969,25.4596686579826,0.173186268412274
"GRB050820A",0.389166084,21.61964524,1.25,3.750945731,-10.01818139,1.136499703,1.41497334797082,0.9,1.96878,-5.463441557,0.151450240935895,467.409060303455,1.5625,14.0695938769071,100.363958362942,1.29163157491909,2.00214957546775,0.81,3.8760946884,29.8491936467546,0.558072259099146
"GRB051016B",0.113943352,21.71466751,2.4,4.25742,-11.59006688,1.14771,0.602059991327962,0.73,1.89482,-6.769551079,0.0129830874649959,471.52678506985,5.76,18.1256250564,134.329650282873,1.3172382441,0.362476233157826,0.5329,3.5903428324,45.8268218111901,0.286995073968852
"GRB051109A",0.595496222,21.97057233,1.51,3.91123,-10.51999306,1.22299,1.5705429398819,1.06,2.06584,-5.657577319,0.354615750416273,482.706048507762,2.2801,15.2977201129,110.670253982448,1.4957045401,2.46660512601288,1.1236,4.2676949056,32.0081811204632,0.524525936626376
"GRB060223A",0.130333768,22.49782636,1.74,2.78682,-10.9636,1.1892,1.05307844348342,0.81,2.01015,-6.171984936,0.0169868910810778,506.152190924711,3.0276,7.7663657124,120.20052496,1.41419664,1.10897420812946,0.6561,4.0407030225,38.0933980502109,0.733197265106569
"GRB060502A",0.227886705,21.45692297,1.46,3.3865,-10.55284197,0.897152,1.45331834004704,0.87,2.02719,-5.63638802,0.051932350315757,460.399543340514,2.1316,11.46838225,111.362473643793,0.804881711104,2.11213419751708,0.7569,4.1094992961,31.7688699119995,0.398391440229475
"GRB060510B",-0.244125144,22.00215742,1.78,4.43617,-12.2656,1.00735,2.43964842956347,1.38,2.1317,-5.390405591,0.0595970859330207,484.094931134461,3.1684,19.6796042689,150.44494336,1.0147540225,5.95188445987151,1.9044,4.54414489,29.0564724354841,0.770852011642144
"GRB060607A",0.146128036,21.79614607,1.47,4.37412,-11.02273379,1.10818,2.00945089579869,0.564,1.61002,-5.59345982,0.0213534029052173,475.071983504776,2.1609,19.1329257744,121.500660205208,1.2280629124,4.03789290262616,0.318096,2.5921644004,31.2867927579544,0.610116955411928
"GRB060904B",0.387389826,21.59122827,1.64,3.87074,-11.11633856,1.36265,2.23426412437879,1.58,2.18877,-5.790484985,0.15007087728831,466.181138207247,2.6896,14.9826281476,123.572982980543,1.8568150225,4.99193617748612,2.4964,4.7907141129,33.5297163615105,0.231214647962601
"GRB060912A",0.933487288,21.36738202,1.74,2.455171016,-10.1079054,1.045731532,0.698970004336019,0.63,1.8948,-5.869666232,0.871398516857595,456.565014388619,3.0276,6.02786471780647,102.169751575349,1.09355443701907,0.488559066961494,0.3969,3.59026704,34.4529816750811,0.287129620719111
"GRB061110A",-0.27572413,20.92661714,1.67,2.24983,-8.33235,1.45203,1.60959440922522,1.98,1.82722,-5.974694135,0.0760237958642569,437.923304924142,2.7889,5.0617350289,69.4280565225,2.1083911209,2.59079416220908,3.9204,3.3387329284,35.6969700068034,0.244969460136198
"GRB061222A",0.930949031,22.56660835,1.35,3.92091,-9.954677021,1.35061,1.85369821177617,0.86,1.92748,-5.097453221,0.866666098319839,509.25181242229,1.8225,15.3735352281,99.0955945924254,1.8241473721,3.43619706034217,0.7396,3.7151791504,25.9840293402833,0.489677291663699
"GRB070721B",0.176091259,21.89473409,1.34,3.94739,-10.50863831,2.5054,2.53147891704225,0.52,1.52512,-5.443697499,0.0310081314962051,479.379380871808,1.7956,15.5818878121,110.4314791304,6.27702916,6.4083855074294,0.2704,2.3259910144,29.6338424606189,0.665205628434601
"GRB070810A",0.278753601,21.93100401,2.04,3.36583,-10.77728353,1.36994,1.04139268515823,1.02,2.17076,-6.161150909,0.0777035700704672,480.968936886636,4.1616,11.3288115889,116.149840286009,1.8767356036,1.08449872470107,1.0404,4.7121989776,37.9597805234715,0.501059262217751
"GRB080319B",1.394451681,20.8771334,1.04,5.36799912,-12.15181088,1.42250979,1.69897000433602,0.73,1.81426,-4.091514981,1.94449549064373,435.854699001396,1.0816,28.8154145523208,147.666507663286,2.02353410264584,2.88649907563354,0.5329,3.2915393476,16.7404948397474,0.287129620719111
"GRB080319C",0.716003344,21.75037415,1.37,3.19029,-8.91721463,1.45203,1.53147891704226,1.94,1.61029,-5.443697499,0.512660788619182,473.078775664988,1.8769,10.1779502841,79.516716757486,2.1083911209,2.34542767334493,3.7636,2.5930338841,29.6338424606189,0.469822015978163
"GRB080905B",-0.301029996,22.33533151,1.78,3.67820615,-10.11125904,1.36946226,2.10720996964787,0.375,1.86248,-5.744727495,0.09061905849176,498.867033661599,3.1684,13.5292004818978,102.237559373982,1.87542688156431,4.44033385618338,0.140625,3.4688317504,33.001893991809,0.528145078253106
"GRB081028A",-0.301029996,20.90308999,1.25,4.75426,-11.3994,2.20023,2.41497334797082,0.945,2.51,-5.431798276,0.09061905849176,436.939171130038,1.5625,22.6029881476,129.94632036,4.8410120529,5.83209627140939,0.893025,6.3001,29.5044325111566,0.60616631460762
"GRB081203A",0.462397998,21.66176916,1.54,4.02089,-10.9243983,1.86904,2.46834733041216,0.82,2.03508,-5.113509275,0.213811908554408,469.232243141127,2.3716,16.1675563921,119.342478217043,3.4933105216,6.09273854355284,0.6724,4.1415506064,26.147977105511,0.491361693834273
"GRB090418A",0.278753601,22.02365981,1.48,3.52813657,-10.04720756,1.52909667,1.7481880270062,0.98,2.03408,-5.337242168,0.0777035700704672,485.041591426609,2.1904,12.4477476565714,100.946379753721,2.33813662620509,3.05616137776783,0.9604,4.1374814464,28.4861539598773,0.416307587059883
"GRB090516A",0.204119983,21.19589965,1.84,4.33113504,-11.27490548,1.76098314,2.32221929473392,0.502,2.09,-5.045757491,0.0416649674599203,449.26616197287,3.3856,18.7587307347158,127.123493582934,3.10106161936426,5.3927024528345,0.252004,4.3681,25.4596686579826,0.708335902682263
"GRB091109A",0.113943352,21.89596701,1.31,3.37933883,-11.14630179,1.06152816,1.68124123737559,0.89,1.96352,-5.795880017,0.0129830874649959,479.433371303008,1.7161,11.4199309279458,124.240043593757,1.12684203447299,2.8265720982522,0.7921,3.8554107904,33.5922251714599,0.610234175334389
"GRB091208B",1.181843588,21.91211094,1.74,3.31388094,-10.18045606,1.1606541,1.17318626841227,0.86,2.03333,-5.48148606,1.39675426649671,480.140605846868,3.0276,10.9818068844953,103.641685589591,1.34711793984681,1.37636602039111,0.7396,4.1344308889,30.0466894259743,0.314499227973151
"GRB100219A",-0.397940009,21.75351565,1.34,4.7218991,-12.13548892,0.998947,1.27415784926368,0.46,1.58721,-6.431798276,0.15835625076292,473.215443134795,1.7956,22.2963311105808,147.270091327443,0.997895108809,1.62347822484025,0.2116,2.5192355841,41.3680290631566,0.753330221324521
"GRB100418A",0,21.06857915,2.16,5.54363,-12.48811664,1.81145,0.845098040014257,0.84,2.26662,-6.468521083,0,443.885027399815,4.6656,30.7318335769,155.953057214245,3.2813511025,0.714190697235939,0.7056,5.1375662244,41.8417650012155,0.21045229296202
