"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","Response"
"GRB100425A",0.146128036,20.53466438,2.42,3.60199415,-11.50168945,0.86819371,1.56820172406699,1.46,2.17077,-6.327902142,0.0213534029052173,421.672441199241,5.8564,12.9743618566342,132.288860204241,0.753760318083564,2.45925664736668,2.1316,4.7122423929,40.0423455187282,0.440121603187804
"GRB100513A",-0.22184875,22.05240534,1.62,3.74522911,-11.57186521,0.96306136,1.92427928606188,1.36,2.25722,-5.853871964,0.0492168678765625,486.30858127966,2.6244,14.0267410863914,133.908064438408,0.92748718312505,3.70285077076682,1.8496,5.0950421284,34.2678169709052,0.761326322421457
"GRB100621A",1.10720997,22.28454803,1.9,3.64164386,-9.804100348,0.94079321,1.80345711564841,0.27,2.3024,-4.677780705,1.2259139176674,496.601080901377,3.61,13.2615700030757,96.1203836336537,0.885091863982104,3.25245756798288,0.0729,5.30104576,21.8816323240703,0.188084373714938
"GRB100704A",0.633468456,21.52730245,1.73,3.62503495,-10.35163999,1.01294211,2.29556709996248,1.29,2.11575,-5.22184875,0.401282284747024,463.424750773776,2.9929,13.1408783887215,107.156450482567,1.02605171821125,5.26962831043015,1.6641,4.4763980625,27.2677043678766,0.662757831681574
"GRB100728A",0.707570176,21.52592288,1.18,4.03148606,-10.17587417,1.5588143,2.29776051109913,0.96,1.90402,-4.420216403,0.500655553964671,463.365355835707,1.3924,16.2528798519743,103.548415123673,2.42990202188449,5.27970336636653,0.9216,3.6252921604,19.5383130493503,0.409425868671443
"GRB100814A",0.397940009,20.89608288,1.47,5.22729477,-11.49349497,1.76532941,2.2417954312952,1.1425,1.89414,-5.045757491,0.15835625076292,436.646279727829,2.1609,27.3246106124694,132.100426625415,3.11638792581095,5.02564675577603,1.30530625,3.5877663396,25.4596686579826,0.387389826338729
"GRB100901A",-0.096910013,21.53188109,1.52,4.91124,-11.34103516,1.50754,2.64246452024212,1.075,1.98285,-5.677780705,0.00939155061966017,463.6219032739,2.3104,24.1202783376,128.619078500356,2.2726768516,6.98261874073842,1.155625,3.9316941225,32.2371937340703,0.381656482585787
"GRB100906A",1.004321374,21.96198081,1.78,3.94074768,-10.4698003,1.71220056,2.05842602445701,0.87,2.02817,-4.920818754,1.00866142227325,482.328601098808,3.1684,15.5294922774254,109.61671832188,2.93163075766431,4.23711769816189,0.7569,4.1134735489,24.2144572097181,0.43568513794163
"GRB101219B",-0.22184875,20.49692965,1.56,4.42003952,-11.99567863,0.66918137,1.53147891704226,0.94,1.85684,-5.677780705,0.0492168678765625,420.124125077049,2.4336,19.5367493583618,143.896305794239,0.447803705955077,2.34542767334493,0.8836,3.4478547856,32.2371937340703,0.190331698170291
"GRB110106B",0.322219295,21.29748256,1.76,3.87203946,-10.81530857,1.22519883,1.39445168082622,1.03,2.05121,-5.698970004,0.103825274070297,453.582763393504,3.0976,14.9926895797971,116.970899464315,1.50111217303337,1.94449549015907,1.0609,4.2074624641,32.4782591064918,0.208978517276253
"GRB110213A",0.204119983,21.56708403,1.83,3.84089,-9.896196279,1.8412,1.68124123737559,1.1905,1.96436,-5.229147988,0.0416649674599203,465.139113557081,3.3489,14.7524359921,97.9347007924934,3.39001744,2.8265720982522,1.41729025,3.8587102096,27.3439886804045,0.390935107103379
"GRB110422A",1.487138375,22.02088312,0.86,3.50066971,-9.681936665,1.42239886,1.41329976408125,0.778,1.89199,-4.387216143,2.21158054639764,484.919293384701,0.7396,12.2546884185115,93.7398975850713,2.0232185169293,1.99741622315212,0.605284,3.5796261601,19.2476654853998,0.442479769064449
