"","log10Ta","PhotonIndex","log10Fa","log10PeakFlux","Alpha","log10NH","Beta","log10T90","Gamma","log10Fluence","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10PeakFluxSqr","AlphaSqr","log10NHSqr","BetaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10Ta_opt","PhotonIndex_opt","log10Fa_opt","log10PeakFlux_opt","Alpha_opt","log10NH_opt","Beta_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"090529A",4.472757799,2,-12.1873998,-0.397940009,0.8815438,21.45058625,0.64,1.837651558,2.22623,-6.167491087,20.0055623285153,4,148.53271388504,0.15835625076292,0.77711947131844,460.127650468689,0.4096,3.37696324861983,4.9561000129,38.0379463082244,0.0664439832683159,0.11547934,0.21900534,0.113675222,0.125,0.10857362,0.3,0.108573621,"090529A",0,0,0,0,0,0,0,0,0,0,0,2.625,0.559308010907013
"090530A",3.6839464,1.61,-11.16052195,0.397940009,0.88610581,20.90942658,1.09,1.681241237,2.03975,-5.958607315,13.571461078073,2.5921,124.557250196432,0.15835625076292,0.785183506515756,437.204119904411,1.1881,2.82657209698929,4.1605800625,35.5050011343715,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,"090530A",0,0,0,0,0,0,0,0,0,0,0,1.266,0.355259905527378
"090618A",3.67275453,1.42,-9.640164518,1.589949601,1.30942861,21.39200012,0.8945,2.05388479,1.82831,-3.978810701,13.4891258376355,2.0164,92.9327719341062,2.52793973372006,1.71460328468653,457.61766913408,0.80013025,4.21844273059334,3.3427174561,15.8309345943921,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,0.00413613799999999,0.08,0.008931506,"090618A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"090809A",4.56066,1.34,-11.8559,0.041392685,1.6367,21.91952315,0.96,0.73239376,1.94644,-6.468521083,20.7996196356,1.7956,140.56236481,0.00171335437150922,2.67878689,480.465495123386,0.9216,0.536400619686938,3.7886286736,41.8417650012155,0.0978170519448906,0.338,0.237865,0.319405,0.01,0.063866836,0.24,0.0789626329999999,"090809A",0,0,0,0,0,0,0,0,0,0,0,2.737,0.572523097849638
"090812A",3.52924,1.24,-10.16730017,0.556302501,1.37252,21.77771022,0.53,1.824125834,1.88559,-5.236572006,12.4555349776,1.5376,103.373992746882,0.309472472618855,1.8838111504,474.268662426292,0.2809,3.3274350582662,3.5554496481,27.4216863740229,0.0954430381608785,0.10615,0.13258,0.08412,0.015,0.014975672,0.05,0.024127471,"090812A",0,0,0,0,0,0,0,0,0,0,0,2.452,0.538070787043172
"090927A",4.20121889,1.8,-11.6716204,0.301029996,1.13087741,21.01785522,0.92,0.342422681,2.06549,-6.698970004,17.6502401616928,3.24,136.226722761696,0.09061905849176,1.27888371644831,441.750238048881,0.8464,0.117253292463228,4.2662489401,44.8761991144918,0.0791400972158072,0.076268475,0.093241949,0.074843971,0.01,0.0651441720000001,0.2,0.0434294480000001,"090927A",0,0,0,0,0,0,0,0,0,0,0,1.37,0.374748346010104
"091018A",2.89655535,1.77,-9.627087997,1.012837225,1.18074867,21.19187281,0.91,0.639486489,1.98015,-5.853871964,8.39003289561362,3.1329,92.6808233019815,1.0258392443457,1.39416742170677,449.095473195217,0.8281,0.408942969613547,3.9209940225,34.2678169709052,0.0598714492362227,0.024288603,0.034497878,0.016335114,0.002061639,0.031021034,0.24,0.016865805,"091018A",0,0,0,0,0,0,0,0,0,0,0,0.971,0.294686624279443
"091020A",2.95265011,1.53,-9.71219827,0.62324929,1.17417264,21.70587483,0.895,1.590061231,2.08587,-5.431798276,8.71814267208301,2.3409,94.326795235791,0.388439677485504,1.37868138852457,471.145002135627,0.801025,2.52829471832924,4.3508536569,29.5044325111566,0.0544128110188212,0.034480687,0.045271255,0.018244861,0.002182887,0.0117376889999999,0.07,0.031021034,"091020A",0,0,0,0,0,0,0,0,0,0,0,1.71,0.432969290874406
"091029A",4.30368998,1.46,-11.34678749,0.255272505,1.12123368,21.45058625,1.064,1.593286067,2.11535,-5.619788758,18.5217474439524,2.1316,128.74958634322,0.065164051808975,1.25716496516634,460.127650468689,1.132096,2.53856049129633,4.4747056225,31.5820256845432,0.0535069670717355,0.02563352,0.034224003,0.026782025,0.002,0.018095603,0.27,0.024127471,"091029A",0,0,0,0,0,0,0,0,0,0,0,2.752,0.574262829707027
"091127A",3.98466812,2.05,-9.844663963,1.667452953,1.39581701,20.87872913,0.758,0.84260924,1.80187,-5.045757491,15.8775800265443,4.2025,96.9174085443909,2.78039935046842,1.94830512540534,435.921330083911,0.574564,0.709990331333378,3.2467354969,25.4596686579826,0.0093822306004846,0.018562516,0.021935207,0.013587309,0.00244132,0.014476483,0.07,0.025217099,"091127A",0,0,0,0,0,0,0,0,0,0,0,0.49,0.173186268412274
"050416A",2.99481,3.08,-10.5559552,0.688419822,0.842217,21.75162856,0.9,0.397940009,2.06183,-6.435333936,8.9688869361,9.4864,111.428190184407,0.473921851322512,0.709329475089,473.133345012208,0.81,0.15835625076292,4.2511429489,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0,0,0,0,0,0,0,0,0,0,0,0.6528,0.218220304175545
"050820A",3.750945731,1.25,-10.01818139,0.389166084,1.136499703,21.61964524,0.9,1.414973348,1.96878,-5.463441557,14.0695938769071,1.5625,100.363958362942,0.151450240935895,1.29163157491909,467.409060303455,0.81,2.00214957555033,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",0,0,0,0,0,0,0,0,0,0,0,2.6147,0.558072259099146
"050922C",2.52429,1.37,-9.477555766,0.860936621,1.22035,21.44930866,1.064,0.653212514,2.2119,-5.790484985,6.3720400041,1.8769,89.8240632976399,0.741211865378898,1.4892541225,460.072841991951,1.132096,0.4266865884462,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",0,0,0,0,0,0,0,0,0,0,0,2.198,0.504878459410216
"051016B",4.25742,2.4,-11.59006688,0.113943352,1.14771,21.71466751,0.73,0.602059991,1.89482,-6.769551079,18.1256250564,5.76,134.329650282873,0.0129830874649959,1.3172382441,471.52678506985,0.5329,0.36247623276292,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0,0,0,0,0.9364,0.286995073968852
"051109A",3.91123,1.51,-10.51999306,0.595496222,1.22299,21.97057233,1.06,1.57054294,2.06584,-5.657577319,15.2977201129,2.2801,110.670253982448,0.354615750416273,1.4957045401,482.706048507762,1.1236,2.46660512638384,4.2676949056,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,0,0,0,0,2.346,0.524525936626376
"060223A",2.78682,1.74,-10.9636,0.130333768,1.1892,22.49782636,0.81,1.053078443,2.01015,-6.171984936,7.7663657124,3.0276,120.20052496,0.0169868910810778,1.41419664,506.152190924711,0.6561,1.1089742071113,4.0407030225,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.0579059310000001,"060223A",0,0,0,0,0,0,0,0,0,0,0,4.41,0.73319726510657
"060502A",3.3865,1.46,-10.55284197,0.227886705,0.897152,21.45692297,0.87,1.45331834,2.02719,-5.63638802,11.46838225,2.1316,111.362473643793,0.051932350315757,0.804881711104,460.399543340514,0.7569,2.11213419738036,4.1094992961,31.7688699119995,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0.0191766390000001,0.08,0.0539655859999999,"060502A",0,0,0,0,0,0,0,0,0,0,0,1.5026,0.398391440229475
"060510B",4.43617,1.78,-12.2656,-0.244125144,1.00735,22.00215742,1.38,2.43964843,2.1317,-5.390405591,19.6796042689,3.1684,150.44494336,0.0595970859330207,1.0147540225,484.094931134461,1.9044,5.95188446200147,4.54414489,29.0564724354841,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.0838112159999999,"060510B",0,0,0,0,0,0,0,0,0,0,0,4.9,0.770852011642144
"060912A",2.455171016,1.74,-10.1079054,0.933487288,1.045731532,21.36738202,0.63,0.698970004,1.8948,-5.869666232,6.02786471780647,3.0276,102.169751575349,0.871398516857595,1.09355443701907,456.565014388619,0.3969,0.48855906649176,3.59026704,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"061222A",3.92091,1.35,-9.954677021,0.930949031,1.35061,22.56660835,0.86,1.853698212,1.92748,-5.097453221,15.3735352281,1.8225,99.0955945924254,0.866666098319839,1.8241473721,509.25181242229,0.7396,3.436197061172,3.7151791504,25.9840293402833,0.0973208922530927,0.02311,0.024435,0.018075,0.005,0.00858805099999998,0.04,0.013237581,"061222A",0,0,0,0,0,0,0,0,0,0,0,2.088,0.489677291663699
"070721B",3.94739,1.34,-10.50863831,0.176091259,2.5054,21.89473409,0.52,2.531478917,1.52512,-5.443697499,15.5818878121,1.7956,110.4314791304,0.0310081314962051,6.27702916,479.379380871808,0.2704,6.40838550721549,2.3259910144,29.6338424606189,0.0272330828957319,0.3648,0.10084,0.09144,0,0.024127471,0.11,0.086858896,"070721B",0,0,0,0,0,0,0,0,0,0,0,3.626,0.6652056284346
"070810A",3.36583,2.04,-10.77728353,0.278753601,1.36994,21.93100401,1.02,1.041392685,2.17076,-6.161150909,11.3288115889,4.1616,116.149840286009,0.0777035700704672,1.8767356036,480.968936886636,1.0404,1.08449872437151,4.7121989776,37.9597805234715,0.197037086589132,0.06175,0.07187,0.077915,0.01,0.037764738,0.14,0.045715209,"070810A",0,0,0,0,0,0,0,0,0,0,0,2.17,0.501059262217751
"080319B",5.36799912,1.04,-12.15181088,1.394451681,1.42250979,20.8771334,0.73,1.68090255756894,1.81426,-4.091514981,28.8154145523208,1.0816,147.666507663286,1.94449549064373,2.02353410264584,435.854699001396,0.5329,2.8254334080418,3.2915393476,16.7404948397474,0.00162180613819455,0.097779455,0.087626454,0.075139905,0,0.00536166,0.02,0.008755937,"080319B",0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"080905B",3.67820615,1.78,-10.11125904,-0.301029996,1.36946226,22.33533151,0.375,2.10720997,1.86248,-5.744727495,13.5292004818978,3.1684,102.237559373982,0.09061905849176,1.87542688156431,498.867033661599,0.140625,4.4403338576674,3.4688317504,33.001893991809,0.0951998384562338,0.03236457,0.038825489,0.033301752,0.00558525,0.048254942,0.15,0.086858896,"080905B",0,0,0,0,0,0,0,0,0,0,0,2.374,0.528145078253106
"081028A",4.75426,1.25,-11.3994,-0.301029996,2.20023,20.90308999,0.945,2.414973348,2.51,-5.431798276,22.6029881476,1.5625,129.94632036,0.09061905849176,4.8410120529,436.939171130038,0.893025,5.83209627155033,6.3001,29.5044325111566,0.0544346314312377,0.0572,0.03025,0.054715,5e-04,0.023475377,0.38,0.086858896,"081028A",0,0,0,0,0,0,0,0,0,0,0,3.038,0.60616631460762
"081203A",4.02089,1.54,-10.9243983,0.462397998,1.86904,21.66176916,0.82,2.46834733,2.03508,-5.113509275,16.1675563921,2.3716,119.342478217043,0.213811908554408,3.4933105216,469.232243141127,0.6724,6.09273854151813,4.1415506064,26.147977105511,0.122562443871835,0.05695,0.03932,0.064395,0.0325,0.016920564,0.06,0.029951344,"081203A",0,0,0,0,0,0,0,0,0,0,0,2.1,0.491361693834273
"090418A",3.52813657,1.48,-10.04720756,0.278753601,1.52909667,22.02365981,0.98,1.748188027,2.03408,-5.337242168,12.4477476565714,2.1904,100.946379753721,0.0777035700704672,2.33813662620509,485.041591426609,0.9604,3.05616137774615,4.1374814464,28.4861539598773,0.0320230997079162,0.028659405,0.030759021,0.042154514,0.003531332,0.018882369,0.07,0.0685728129999999,"090418A",0,0,0,0,0,0,0,0,0,0,0,1.608,0.416307587059883
"090516A",4.33113504,1.84,-11.27490548,0.204119983,1.76098314,21.19589965,0.502,2.322219295,2.09,-5.045757491,18.7587307347158,3.3856,127.123493582934,0.0416649674599203,3.10106161936426,449.26616197287,0.252004,5.3927024540703,4.3681,25.4596686579826,0.132356413451328,0.03779605,0.029715315,0.053351589,0.479087085,0.028952965,0.11,0.0542868100000001,"090516A",0,0,0,0,0,0,0,0,0,0,0,4.109,0.708335902682263
"091109A",3.37933883,1.31,-11.14630179,0.113943352,1.06152816,21.89596701,0.89,1.681241237,1.96352,-5.795880017,11.4199309279458,1.7161,124.240043593757,0.0129830874649959,1.12684203447299,479.433371303008,0.7921,2.82657209698929,3.8554107904,33.5922251714599,0.15117163716416,0.05941034,0.074268877,0.033719571,0.03,0.0542868100000001,0.25,0.133629071,"091109A",0,0,0,0,0,0,0,0,0,0,0,3.076,0.610234175334389
"091208B",3.31388094,1.74,-10.18045606,1.181843588,1.1606541,21.91211094,0.86,1.173186268,2.03333,-5.48148606,10.9818068844953,3.0276,103.641685589591,1.39675426649671,1.34711793984681,480.140605846868,0.7396,1.37636601942377,4.1344308889,30.0466894259743,0.0844607534610546,0.036806415,0.052928177,0.030502454,0.034663611,0.026320878,0.11,0.028572005,"091208B",0,0,0,0,0,0,0,0,0,0,0,1.063,0.314499227973151
"100316B",3.5543767,2.23,-11.1481304,0.113943352,1.36246063,21.41315218,1.08,0.579783597,2.23535,-6.698970004,12.6335937255029,4.9729,124.280811415404,0.0129830874649959,1.8562989683,458.523086283839,1.1664,0.336149019350258,4.9967896225,44.8761991144918,0.0508837165764397,0.10431242,0.207348761,0.13322096,0.02,0.0434294479999999,0.18,0.0334072679999999,"100316B",0,0,0,0,0,0,0,0,0,0,0,1.18,0.338456493604605
"100418A",5.54363,2.16,-12.48811664,0,1.81145,21.34783526,0.84,0.84509804,2.26662,-6.468521083,30.7318335769,4.6656,155.953057214245,0,3.2813511025,455.730070288099,0.7056,0.714190697211842,5.1375662244,41.8417650012155,0.059763875267383,0.10745,0.075475,0.16786,0.01,0.063866836,0.25,0.0868588959999999,"100418A",0,0,0,0,0,0,0,0,0,0,0,0.6235,0.21045229296202
"100425A",3.60199415,2.42,-11.50168945,0.146128036,0.86819371,20.53466438,1.46,1.568201724,2.17077,-6.327902142,12.9743618566342,5.8564,132.288860204241,0.0213534029052173,0.753760318083564,421.672441199241,2.1316,2.45925664715657,4.7122423929,40.0423455187282,0.0442926372724909,0.070859065,0.115125536,0.055076895,0.035,0.083162773,0.32,0.062042069,"100425A",0,0,0,0,0,0,0,0,0,0,0,1.755,0.440121603187804
"100513A",3.74522911,1.62,-11.57186521,-0.22184875,0.96306136,22.05240534,1.36,1.924279286,2.25722,-5.853871964,14.0267410863914,2.6244,133.908064438408,0.0492168678765625,0.92748718312505,486.30858127966,1.8496,3.70285077052867,5.0950421284,34.2678169709052,0.0768849139302361,0.09817689,0.128616618,0.061569437,0.025,0.031021034,0.14,0.0723824140000001,"100513A",0,0,0,0,0,0,0,0,0,0,0,4.772,0.761326322421457
"100621A",3.64164386,1.9,-9.804100348,1.10720997,0.94079321,22.28454803,0.27,1.803457116,2.3024,-4.677780705,13.2615700030757,3.61,96.1203836336537,1.2259139176674,0.885091863982104,496.601080901377,0.0729,3.25245756925104,5.30104576,21.8816323240703,0.0114965181711467,0.041282476,0.060455075,0.024177265,0.150679792,0,0.03,0.010178777,"100621A",0,0,0,0,0,0,0,0,0,0,0,0.542,0.188084373714938
"100704A",3.62503495,1.73,-10.35163999,0.633468456,1.01294211,21.52730245,1.29,2.2955671,2.11575,-5.22184875,13.1408783887215,2.9929,107.156450482567,0.401282284747024,1.02605171821125,463.424750773776,1.6641,5.26962831060241,4.4763980625,27.2677043678766,0.0511462884983093,0.04763446,0.053639373,0.01813996,0.01,0.014476483,0.06,0.020199743,"100704A",0,0,0,0,0,0,0,0,0,0,0,3.6,0.662757831681574
"100728A",4.03148606,1.18,-10.17587417,0.707570176,1.5588143,21.52592288,0.96,2.297760511,1.90402,-4.420216403,16.2528798519743,1.3924,103.548415123673,0.500655553964671,2.42990202188449,463.365355835707,0.9216,5.27970336591098,3.6252921604,19.5383130493503,0.0276692267863542,0.0760751,0.053762484,0.034265796,0.005,0,0.02,0.017031156,"100728A",0,0,0,0,0,0,0,0,0,0,0,1.567,0.409425868671443
"100814A",5.22729477,1.47,-11.49349497,0.397940009,1.76532941,20.89608288,1.1425,2.241795431,1.89414,-5.045757491,27.3246106124694,2.1609,132.100426625415,0.15835625076292,3.11638792581095,436.646279727829,1.30530625,5.02564675445248,3.5877663396,25.4596686579826,0.0235643330529017,0.04362636,0.035347138,0.084015169,0.01745135,0.00965098799999999,0.04,0.034743559,"100814A",0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"100816A",3.97801299,0.73,-11.5559552,1.037426498,1.04455013,21.34783526,1.09,0.462397998,1.91138,-5.698970004,15.8245873486087,0.5329,133.540100584407,1.07625373875254,1.09108497408302,455.730070288099,1.1881,0.213811908554408,3.6533735044,32.4782591064918,0.0930248425840856,0.08674922,0.112014005,0.047175154,0.015,0.021714724,0.24,0.015937412,"100816A",0,0,0,0,0,0,0,0,0,0,0,0.804,0.256236533205923
"100901A",4.91124,1.52,-11.34103516,-0.096910013,1.50754,21.53188109,1.075,2.64246452,1.98285,-5.677780705,24.1202783376,2.3104,128.619078500356,0.00939155061966017,2.2726768516,463.6219032739,1.155625,6.98261873945883,3.9316941225,32.2371937340703,0.0223211438768381,0.0283,0.02425,0.036255,5e-04,0.062042069,0.21,0.10857362,"100901A",0,0,0,0,0,0,0,0,0,0,0,1.408,0.381656482585787
"100906A",3.94074768,1.78,-10.4698003,1.004321374,1.71220056,21.96198081,0.87,2.058426024,2.02817,-4.920818754,15.5294922774254,3.1684,109.61671832188,1.00866142227325,2.93163075766431,482.328601098808,0.7569,4.23711769628045,4.1134735489,24.2144572097181,0.00604043448603348,0.048743085,0.039933316,0.059340084,0,0,0.03,0.017199781,"100906A",0,0,0,0,0,0,0,0,0,0,0,1.727,0.43568513794163
"101219B",4.42003952,1.56,-11.99567863,-0.22184875,0.66918137,20.49692965,0.94,1.531478917,1.85684,-5.677780705,19.5367493583618,2.4336,143.896305794239,0.0492168678765625,0.447803705955077,420.124125077049,0.8836,2.34542767321549,3.4478547856,32.2371937340703,0.0692396240032236,0.089446275,0.166829365,0.039390628,0.105,0.082722758,0.16,0.217147241,"101219B",0,0,0,0,0,0,0,0,0,0,0,0.55,0.190331698170291
"110213A",3.84089,1.83,-9.896196279,0.204119983,1.8412,21.56708403,1.1905,1.681241237,1.96436,-5.229147988,14.7524359921,3.3489,97.9347007924934,0.0416649674599203,3.39001744,465.139113557081,1.41729025,2.82657209698929,3.8587102096,27.3439886804045,0.14476482742628,0.03588,0.023515,0.02785,0.226362665,0.029443694,0.12,0.162860431,"110213A",0,0,0,0,0,0,0,0,0,0,0,1.46,0.390935107103379
"110422A",3.50066971,0.86,-9.681936665,1.487138375,1.42239886,22.02088312,0.778,1.413299764,1.89199,-4.387216143,12.2546884185115,0.7396,93.7398975850713,2.21158054639764,2.0232185169293,484.919293384701,0.605284,1.99741622292246,3.5796261601,19.2476654853998,0.00950159657676303,0.024137407,0.029472713,0.022779716,0.005,0.010592548,0.1,0.0141464,"110422A",0,0,0,0,0,0,0,0,0,0,0,1.77,0.442479769064449
"110503A",2.54166555,0.88,-9.08249449,0.130333768,1.14649063,21.13638759,0.687,1,1.90907,-5,6.4600637680568,0.7744,82.4917061608804,0.0169868910810778,1.3144407646778,446.746880354706,0.471969,1,3.6445482649,25,0.147896600362852,0.028998071,0.028887961,0.006289914,0.001,0.017371779,0.25,0.019301977,"110503A",0,0,0,0,0,0,0,0,0,0,0,1.613,0.417139409727326
"110715A",2.61109719,1.25,-9.075720714,1.731588765,0.95853538,22.0746007,0.755,1.113943352,1.85342,-4.928117993,6.8178285356259,1.5625,82.3687064785287,2.99839965107422,0.918790074711744,487.287996064441,0.570025,1.240869791465,3.4351656964,24.2863469529303,0.133629071449258,0.02377653,0.035600881,0.009554076,0.0015,0.007360923,0.12,0.00886315299999999,"110715A",0,0,0,0,0,0,0,0,0,0,0,0.82,0.260071387985075
"110731A",5.08952072,1.15,-12.08512818,1.041392685,1.42351927,21.95954126,0.39,1.588831726,1.85145,-5.22184875,25.9032211593093,1.3225,146.05032312703,1.08449872437151,2.02640711206133,482.221452349642,0.1521,2.52438625354414,3.4278671025,27.2677043678766,0.130539784388153,0.097418495,0.090702815,0.110855301,0.13,0.007238241,0.05,0.011844395,"110731A",0,0,0,0,0,0,0,0,0,0,0,2.83,0.583198773968623
"110808A",4.50711,2.32,-12.08440021,-0.397940009,0.807091,20.86974084,1.4,1.681241237,2.33721,-6.48148606,20.3140405521,5.3824,146.032728435448,0.15835625076292,0.651395882281,435.546082728764,1.96,2.82657209698929,5.4625505841,42.0096615459743,0.204728382319217,0.0837,0.155655,0.0776,0.025,0.105283511,0.43,0.217147241,"110808A",0,0,0,0,0,0,0,0,0,0,0,1.348,0.370698092575577
"110818A",3.84627415,1.58,-11.28316228,0.204119983,1.37167718,22.06812647,0.83,2.012837225,1.95985,-5.397940009,14.7938248369582,2.4964,127.309751036815,0.0416649674599203,1.88149828613275,487.002205895915,0.6889,4.0515136943457,3.8410120225,29.1377563407629,0.0761271870594219,0.05514905,0.059648416,0.067338189,0.01,0.021714724,0.11,0.081430215,"110818A",0,0,0,0,0,0,0,0,0,0,0,3.36,0.639486489268586
"111123A",4.42202873,1.68,-11.60730305,-0.045757491,1.46723371,21.35034301,1.25,2.462397998,2.55463,-5.13667714,19.5543380889454,2.8224,134.729484094539,0.00209374798261508,2.15277475976036,455.837146644656,1.5625,6.06340390055441,6.5261344369,26.3854520405986,0.131921983937837,0.07308827,0.070655771,0.105884147,0.005,0.017847718,0.07,0.048254942,"111123A",0,0,0,0,0,0,0,0,0,0,0,3.1516,0.618215503279417
"111209A",4.13326,1.48,-9.057000407,-0.301029996,2.77382,21.14009932,0.2529,2.505149978,1.81212,-4.443697499,17.0838382276,2.1904,82.0292563723982,0.09061905849176,7.6940773924,446.903799259465,0.06395841,6.2757764122734,3.2837788944,19.7464474626189,0.0401068361866461,0.02099,0.010455,0.04435,5e-05,0.012063736,0.03,0.086858896,"111209A",0,0,0,0,0,0,0,0,0,0,0,0.677,0.224533062606086
"111228A",4.10627835,2.27,-10.65757732,1.093421685,1.15297662,21.41342718,0.99,2.005180513,2.03824,-5.070581074,16.8615218876787,5.1529,113.583954331778,1.19557098122824,1.32935508626662,458.534863593163,0.9801,4.02074888971494,4.1544222976,25.710792428007,0.023242060897345,0.030118345,0.037264425,0.023299272,0,0.010218694,0.06,0.017511874,"111228A",0,0,0,0,0,0,0,0,0,0,0,0.714,0.234010817587179
"120118B",3.68307,2.08,-10.95467702,0.342422681,1.0241,21.451745,1.01,1.36660971,2.20884,-5.744727495,13.5650046249,4.3264,120.004948612516,0.117253292463228,1.04878081,460.177363545025,1.0201,1.86762209946628,4.8789741456,33.001893991809,0.366834332492466,0.1172,0.131765,0.077156,0.005,0.024127471,0.11,0.059221975,"120118B",0,0,0,0,0,0,0,0,0,0,0,2.943,0.595826777073223
"120327A",3.48517215,1.52,-10.15181088,0.591064607,1.44859414,22.16619025,0.63,1.798650645,1.75797,-5.443697499,12.1464249151356,2.3104,103.059264143286,0.349357369648064,2.09842498244234,491.339990199195,0.3969,3.23514414275892,3.0904585209,29.6338424606189,0.051933835584684,0.04362492,0.051679097,0.058002882,0.02,0.012063736,0.06,0.022271512,"120327A",0,0,0,0,0,0,0,0,0,0,0,2.813,0.581266805273671
"120404A",3.79948,1.85,-11.02687215,0.079181246,1.90651,21.70983536,0.69,1.587710965,1.89579,-5.795880017,14.4360482704,3.4225,121.591909412446,0.00626966971811252,3.6347803801,471.316951358306,0.4761,2.52082610838123,3.5940197241,33.5922251714599,0.179553274179706,0.11705,0.068285,0.121385,0.005,0.027143405,0.13,0.0723824139999999,"120404A",0,0,0,0,0,0,0,0,0,0,0,2.876,0.588383768378728
"120422A",5.23266697,1.19,-12.73992861,-0.22184875,0.86153199,21.82763844,1.1,0.728353782,2.32199,-6.638272164,27.380803618929,1.4161,162.305780987897,0.0492168678765625,0.74223736979336,476.445799867366,1.21,0.530499231753704,5.3916375601,44.0666573233372,0.181516258620399,0.11830242,0.217818621,0.214451933,0.035,0.0755294749999999,0.24,0.144764827,"120422A",0,0,0,0,0,0,0,0,0,0,0,0.283,0.108226656374928
"120802A",3.53838419,1.21,-11.17198494,0.477121255,0.54215516,22.12127744,0.91,1.698970004,2.03526,-5.721246399,12.520162676042,1.4641,124.813247499587,0.227644691972775,0.293932217514626,489.350915577453,0.8281,2.88649907449176,4.1422832676,32.7326603580705,0.2694762542188,0.07803221,0.220557212,0.11816229,0.055,0.0685728129999999,0.47,0.028952965,"120802A",0,0,0,0,0,0,0,0,0,0,0,3.796,0.680879174426811
"120811C",3.15909591,1.4,-10.14327111,0.612783857,1.01613299,21.91722026,0.65,1.428134794,1.92121,-5.522878745,9.97988696857873,1.96,102.885948810961,0.375504055399796,1.03252625336634,480.364543925354,0.4225,2.03956898983342,3.6910478641,30.5021896319728,0.0598545187495629,0.05294686,0.084200302,0.03800099,0.090734018,0.043429448,0.3,0.021185097,"120811C",0,0,0,0,0,0,0,0,0,0,0,2.671,0.564784384503987
"120907A",3.2113827,1.73,-10.37675071,0.462397998,1.05329104,21.0438101,0.78,1.227886705,1.82021,-6.173925197,10.3129788458593,2.9929,107.676955297485,0.213811908554408,1.10942201494428,442.841943524862,0.6084,1.50770576031576,3.3131644441,38.1173523381515,0.035217186540104,0.04130341,0.062296694,0.028647271,0.005,0.0713020789999999,0.25,0.059902687,"120907A",0,0,0,0,0,0,0,0,0,0,0,0.97,0.294466226161593
"120922A",3.59799,1.58,-10.59516628,0.301029996,1.06622,21.0163605,1.17,2.238046103,2.06954,-5.207608311,12.9455320401,2.4964,112.257548500849,0.09061905849176,1.1368250884,441.68740866596,1.3689,5.00885035915349,4.2829958116,27.1191843207963,0.075913913084108,0.16365,0.133375,0.03563,0.005,0.049033248,0.36,0.0434294480000001,"120922A",0,0,0,0,0,0,0,0,0,0,0,3.1,0.612783856719735
"121024A",4.17178823,1.41,-11.31158018,0.113943352,1.30353551,21.94617755,0.87,1.838849091,2.00683,-5.958607315,17.4038170359665,1.9881,127.951846168569,0.0129830874649959,1.69920482583096,481.634709056124,0.7569,3.38136597947153,4.0273666489,35.5050011343715,0.201804932759115,0.063305895,0.065435085,0.06666149,0,0.039481317,0.22,0.0668145360000001,"121024A",0,0,0,0,0,0,0,0,0,0,0,2.298,0.5182506513085
"121027A",5.40919042,1.82,-11.92081875,0.113943352,1.50995764,22.07736427,1.16,1.796574333,2.37144,-5.698970004,29.2593409998198,3.3124,142.105919670352,0.0129830874649959,2.27997207459437,487.410013110273,1.3456,3.22767933399439,5.6237276736,32.4782591064918,0.03343969322178,0.041584155,0.037953731,0.058939694,0,0.021714724,0.09,0.0668145360000001,"121027A",0,0,0,0,0,0,0,0,0,0,0,1.773,0.442949869577862
