"","log10PeakFlux","log10Ta","log10NH","log10Fa","PhotonIndex","log10T90","Alpha","log10PeakFluxSqr","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10T90Sqr","AlphaSqr","Beta","Gamma","log10Fluence","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"34",1.06069784,5.03344,20.51216256,-11.78251606,2.02,2.03622954408629,1.9453,1.12507990778067,25.3355182336,420.748812887866,138.827684704158,4.0804,4.14623075620988,3.78419209,0.783,1.89544,-4.690369833,3.31042292001389,0.0429000000000004,0.0289,0.0598299999999999,0.006,2.2e-07,0.0242424242424242,0.448484848484848,0.0132262962918867,0.00468356794668692,0.0169369126150239,"060614",0.125,0.0511525224473813
"36",0.28780173,3.50569,20.79066861,-10.86966623,1.68,1.00860017176192,1.12969,0.0828298357909929,12.2898623761,432.251901250839,118.149643951602,2.8224,1.01727430647817,1.2761994961,1.485,2.20484,-6.306273051,3.60124423553101,0.0611499999999996,0.062725,0.028525,0.3341015195,2.24242424242424e-08,0.0727272727272727,0.0848484848484849,0.153333382301668,0.019714017700399,0.0189944478152724,"060708",1.92,0.465382851448418
"38",0.068185862,5.1057,20.86562801,-11.15058059,1.75,2.0618293072947,1.35481,0.00464931177668304,26.06817249,435.374432251696,124.335447494085,3.0625,4.25114009241934,1.8355101361,1.317,1.92492,-5.583359493,33.90346061055,0.0116000000000005,0.012825,0.0134249999999999,0.077392286,1.27878787878788e-07,0.0848484848484849,0.0787878787878788,0.12770239254628,0.0212785639737521,0.0292454196396911,"060729",0.54,0.187520720836463
"40",0.861534411,4.22387,22.00679538,-10.91009489,1.53,2.16226561429802,1.29504,0.742241541337117,17.8410777769,484.299042897189,119.030170508804,2.3409,4.6753925867756,1.6771286016,0.97,2.11591,-4.835647144,4.89845852373387,0.0352999999999994,0.034855,0.0245650000000001,0,1.44848484848485e-07,0.0181818181818182,0.175757575757576,0.0146412491857506,0.00430869161989862,0.0104993872461393,"060814",1.9229,0.465813957269479
"41",0.387389826,3.87074,21.59122827,-11.11633856,1.64,2.23426412437879,1.36265,0.15007087728831,14.9826281476,466.181138207247,123.572982980543,2.6896,4.99193617748612,1.8568150225,1.58,2.18877,-5.790484985,11.3430592104484,0.0866499999999997,0.081295,0.04215,0.136141492,8.66666666666667e-08,0.0848484848484849,0.127272727272727,0.0287243616501434,0.0232338611473106,0.0226532144239483,"060904B",0.703,0.231214647962601
"42",0.481442629,2.81918,21.80952201,-9.627087997,1,1.28555730900777,1.38309,0.231787005018432,7.9477758724,475.655250304674,92.6808233019815,1,1.65265759474331,1.9129379481,1.185,2.13395,-5.552841969,1.33033529343473,0.045185,0.05993,0.04964,0.0034749535,6.72727272727273e-08,0.1818181818,0.151515151515152,0.0299356102082822,0.0104343479500535,0.0217168957598539,"060908",1.8836,0.459935016851525
"43",0.933487288,2.455171016,21.36738202,-10.1079054,1.74,0.698970004336019,1.045731532,0.871398516857595,6.02786471780647,456.565014388619,102.169751575349,3.0276,0.488559066961494,1.09355443701907,0.63,1.8948,-5.869666232,0.579999999547827,0.147419953,0.156564864,0.0289377854999999,0.0785,3.75757575757576e-08,0.0545454545454545,0.266666666666667,0.0503781598615019,0.0120881068052489,0.0134978859907368,"060912A",0.937,0.287129620719111
"47",-0.27572413,2.24983,21.69605744,-8.33235,1.67,1.60959440922522,1.17705,0.0760237958642569,5.0617350289,470.718908439779,69.4280565225,2.7889,2.59079416220908,1.3854467025,1.98,1.82722,-5.974694135,4.02450144817196,0.2103,0.03335,0.11946,0.0015,4.60606060606061e-08,0.0727272727272727,0.0727272727272727,0.0429439501560867,0.0188715726956945,0.0595944400005545,"061110A",0.7578,0.244969460136198
"48",1.324282455,3.78753,21.75351565,-10.03011836,1.41,1.91009054559407,1.35185,1.75372402062083,14.3453835009,473.215443134795,100.603274315609,1.9881,3.64844589236784,1.8274984225,0.9485,1.90181,-4.863279433,46.1274845779442,0.0126499999999998,0.01703,0.0158499999999999,0.0023582105,1.20606060606061e-07,0.0181818181818182,0.278787878787879,0.246407281873045,0.00382325157840621,0.0057382008275868,"061121",1.314,0.364363354615731
"51",0.930949031,3.92091,22.56660835,-9.954677021,1.35,1.85369821177617,1.35061,0.866666098319839,15.3735352281,509.25181242229,99.0955945924254,1.8225,3.43619706034219,1.8241473721,0.86,1.92748,-5.097453221,16,0.02311,0.024435,0.018075,0.005,9.57575757575758e-08,0.0242424242424242,0.157575757575758,0.0973208923032497,0.00520487944706068,0.00802277632160302,"061222A",2.088,0.489677291663699
"52",-0.22184875,4.26825,21.3989672,-11.04866248,1.58,1.94645226501307,1.42725,0.0492168678765625,18.2179580625,457.915797226676,122.07294259696,2.4964,3.78867641997452,2.0370425625,1.186,2.08596,-5.790484985,14.4780330174947,0.0547500000000003,0.053995,0.046555,0.1216678795,6.54545454545455e-08,0.0727272727272727,0.0727272727272727,0.0711281657048759,0.0175472517755912,0.0526417554287146,"070110",2.352,0.525304009958239
"55",-0.045757491,3.44468,21.8647258,-10.86327943,1.94,1.67851837904011,1.2125,0.00209374798261508,11.8658203024,478.066234309186,118.010839974261,3.7636,2.81742394877545,1.47015625,1.14,2.20341,-6.351639989,22.6274169979695,0.161899999999999,0.14114,0.06357,0.015,6.12121212121212e-08,0.218181818181818,0.133333333333333,0.206015982011363,0.0597395201502247,0.0643399233100112,"070208",1.165,0.335457900689384
"57",-0.161150909,4.22335,21.70173804,-11.86327943,1.85,1.94694327069783,0.991734,0.0259696154715263,17.8366852225,470.965433956783,140.737398834261,3.4225,3.79058809931555,0.983536326756,1.03,2.25837,-5.769551079,8.08530616043297,0.16615,0.203105,0.079308,0.06,7.27272727272727e-08,0.0727272727272727,0.0909090909090909,0.0396768796607277,0.0185794430922578,0.0572192992938744,"070223",1.6295,0.419873175149476
"58",0.609594409,4.86926,22.44245468,-11.2737,1.66,2.32118402730231,1.89982,0.371605343484059,23.7096929476,503.663772063854,127.09631169,2.7556,5.38789528860339,3.6093160324,0.831,1.94468,-5.269217724,64.7675716279367,0.0335000000000001,0.02824,0.06188,0.0009999999999999,1.73333333333333e-07,0.0606060606060606,0.127272727272727,0.134263479543134,0.0139921394309921,0.0135807968501197,"070306",1.4959,0.397227181043161
"61",1.382017043,3.02525,21.89306622,-9.161150909,1.1,1.32014628611105,1.37377,1.90997110714246,9.1521375625,479.306348513305,83.9266859774715,1.21,1.74278621673281,1.8872440129,0.764,1.82568,-4.707743929,0.735923905696808,0.0107949999999999,0.01189,0.013355,5e-04,1.65454545454545e-07,0.06060606061,0.36969696969697,0.015292234035637,0.00366612225284185,0.00666213086135178,"070508",0.82,0.260071387985075
