"","log10PeakFlux","log10Ta","log10NH","log10Fa","PhotonIndex","log10T90","Alpha","log10PeakFluxSqr","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10T90Sqr","AlphaSqr","Beta","Gamma","log10Fluence","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"122",0,5.54363,21.9172644,-12.48811664,2.16,0.845098040014257,1.81145,0,30.7318335769,480.366478779507,155.953057214245,4.6656,0.714190697235938,3.2813511025,0.84,2.26662,-6.468521083,0.963279857831632,0.10745,0.075475,0.16786,0.01,3.03030303030303e-08,0.151515151515152,0.121212121212121,0.0597638752549752,0.0387071730789222,0.0526417553822122,"100418A",0.6235,0.21045229296202
"123",0.146128036,3.60199415,20.53466438,-11.50168945,2.42,1.568201724067,0.86819371,0.0213534029052173,12.9743618566342,421.672441199241,132.288860204241,5.8564,2.4592566473667,0.753760318083564,1.46,2.17077,-6.327902142,3.77353995290746,0.0708590650000005,0.115125536,0.0550768945,0.035,5.45454545454545e-08,0.193939393939394,0.121212121212121,0.0442926372645721,0.0504016806776366,0.0376012538165791,"100425A",1.755,0.440121603187804
"125",1.10720997,3.64164386,22.28454803,-9.804100348,1.9,1.80345711564841,0.94079321,1.2259139176674,13.2615700030757,496.601080901377,96.1203836336537,3.61,3.2524575679829,0.885091863982104,0.27,2.3024,-4.677780705,1.68360084354133,0.0412824764999993,0.060455075,0.024177265,0.1506797915,0,0.0181818181818182,0.181818181818182,0.0114965181773217,0,0.00616895570385114,"100621A",0.542,0.188084373714938
"126",0.707570176,4.03148606,21.52592288,-10.17587417,1.18,2.29776051109913,1.5588143,0.500655553964671,16.2528798519743,463.365355835707,103.548415123673,1.3924,5.27970336636655,2.42990202188449,0.96,1.90402,-4.420216403,12.646583703569,0.0760750999999997,0.053762484,0.034265796,0.005,0,0.0121212121212121,0.121212121212121,0.0276692267878469,0,0.0103219128223693,"100728A",1.567,0.409425868671443
"127",0.397940009,5.22729477,20.89608288,-11.49349497,1.47,2.2417954312952,1.76532941,0.15835625076292,27.3246106124694,436.646279727829,132.100426625415,2.1609,5.02564675577603,3.11638792581095,1.1425,1.89414,-5.045757491,9.46817490453253,0.0436263599999993,0.035347138,0.0840151685,0.01745135,1.21212121212121e-07,0.0242424242424242,0.121212121212121,0.0235643330357211,0.00584908393727375,0.0210567021369837,"100814A",1.44,0.387389826338729
"128",1.037426498,3.97801299,21.34783526,-11.5559552,0.73,0.462397997898956,1.04455013,1.07625373875254,15.8245873486087,455.730070288099,133.540100584407,0.5329,0.213811908460963,1.09108497408302,1.09,1.91138,-5.698970004,0.621173085986678,0.0867492200000006,0.112014005,0.0471751539999999,0.015,6.06060606060606e-08,0.145454545454545,0.242424242424242,0.0930248426037339,0.0131604388353707,0.00965903768348901,"100816A",0.804,0.256236533205923
"129",-0.096910013,4.91124,21.53188109,-11.34103516,1.52,2.64246452024212,1.50754,0.00939155061966017,24.1202783376,463.6219032739,128.619078500356,2.3104,6.98261874073842,2.2726768516,1.075,1.98285,-5.677780705,22.5629902448915,0.0282999999999998,0.02425,0.036255,5e-04,1.81818181818182e-07,0.127272727272727,0.121212121212121,0.022321143869233,0.0376012538214001,0.0658021942265446,"100901A",1.408,0.381656482585787
"130",1.004321374,3.94074768,21.96198081,-10.4698003,1.78,2.05842602445701,1.71220056,1.00866142227325,15.5294922774254,482.328601098808,109.61671832188,3.1684,4.23711769816187,2.93163075766431,0.87,2.02817,-4.920818754,1.59114548550629,0.0487430849999999,0.039933316,0.0593400839999999,0,0,0.0181818181818182,0.242424242424242,0.0060404344778029,0,0.0104241099714586,"100906A",1.727,0.43568513794163
"131",-0.22184875,4.42003952,20.49692965,-11.99567863,1.56,1.53147891704226,0.66918137,0.0492168678765625,19.5367493583618,420.124125077049,143.896305794239,2.4336,2.34542767334492,0.447803705955077,0.94,1.85684,-5.677780705,5.42062428630735,0.0894462749999994,0.166829365,0.0393906275,0.105,2.42424242424242e-07,0.096969696969697,0.181818181818182,0.0692396240004128,0.0501350050952,0.131604388571787,"101219B",0.55,0.190331698170291
"133",0.322219295,3.87203946,21.29748256,-10.81530857,1.76,1.39445168082622,1.22519883,0.103825274070297,14.9926895797971,453.582763393504,116.970899464315,3.0976,1.94449549015906,1.50111217303337,1.03,2.05121,-5.698970004,16.6266176856008,0.0455435550000001,0.058714404,0.049891228,0.005,6.06060606060606e-08,0.0666666666666667,0.181818181818182,0.291163238450461,0.0131604388353707,0.0376012538214001,"110106B",0.618,0.208978517276253
"135",0.204119983,3.84089,21.56708403,-9.896196279,1.83,1.68124123737559,1.8412,0.0416649674599203,14.7524359921,465.139113557081,97.9347007924934,3.3489,2.8265720982522,3.39001744,1.1905,1.96436,-5.229147988,16,0.0358799999999997,0.023515,0.02785,0.2263626645,2.42424242424242e-07,0.0727272727272727,0.363636363636364,0.144764827301084,0.017844662826724,0.0987032912634493,"110213A",1.46,0.390935107103379
"136",1.487138375,3.50066971,22.02088312,-9.681936665,0.86,1.41329976408125,1.42239886,2.21158054639764,12.2546884185115,484.919293384701,93.7398975850713,0.7396,1.99741622315212,2.0232185169293,0.778,1.89199,-4.387216143,0.566646277192499,0.0241374065000004,0.029472713,0.0227797160000001,0.005,6.06060606060606e-07,0.0606060606060606,0.606060606060606,0.00950159657821323,0.00641972626198059,0.00857357580456891,"110422A",1.77,0.442479769064449
"137",0.130333768,2.54166555,21.13638759,-9.08249449,0.88,1,1.14649063,0.0169868910810778,6.4600637680568,446.746880354706,82.4917061608804,0.7744,1,1.3144407646778,0.687,1.90907,-5,3.40544507260987,0.0289980710000002,0.028887961,0.006289914,0.001,2.42424242424242e-07,0.151515151515152,0.0363636363636364,0.147896600345909,0.0105283510764424,0.0116981678760474,"110503A",1.613,0.417139409727326
"138",1.731588765,2.61109719,22.0746007,-9.075720714,1.25,1.11394335230684,0.95853538,2.99839965107422,6.8178285356259,487.287996064441,82.3687064785287,1.5625,1.24086979214859,0.918790074711744,0.755,1.85342,-4.928117993,4,0.0237765295000001,0.035600881,0.0095540759999999,0.0015,1.21212121212121e-07,0.0727272727272727,0.666666666666667,0.133629071354847,0.00446116571350155,0.00537160769437218,"110715A",0.82,0.260071387985075
"141",-0.397940009,4.50711,21.70587483,-12.08440021,2.32,1.68124123737559,0.807091,0.15835625076292,20.3140405521,471.145002135627,146.032728435448,5.3824,2.8265720982522,0.651395882281,1.4,2.33721,-6.48148606,22.6274169979695,0.0837000000000003,0.155655,0.0776,0.025,4.84848484848485e-08,0.260606060606061,0.121212121212121,0.204728382123792,0.0638081883241343,0.131604388554913,"110808A",1.348,0.370698092575577
"142",-0.301029996,4.13326,21.14009932,-9.057000407,1.48,3.14612803567824,2.77382,0.09061905849176,17.0838382276,446.903799259465,82.0292563723982,2.1904,9.89812161688061,7.6940773924,0.2529,1.81212,-4.443697499,29.551808977086,0.0209899999999994,0.010455,0.0443499999999999,4.99999999999997e-05,6.06060606060606e-07,0.0181818181818182,0.0606060606060606,0.0091672768350053,0.00731135491027843,0.0526417554229419,"111209A",0.677,0.224533062606086
"143",1.093421685,4.10627835,21.41342718,-10.65757732,2.27,2.00518051250378,1.15297662,1.19557098122824,16.8615218876787,458.534863593163,113.583954331778,5.1529,4.02074888772492,1.32935508626662,0.99,2.03824,-5.070581074,5.41590248878418,0.030118345,0.037264425,0.0232992715,0,1.21212121212121e-07,0.0363636363636364,0.303030303030303,0.0232420609229749,0.00619314768795071,0.0106132571374752,"111228A",0.714,0.234010817587179
"145",-0.22184875,5.23266697,20.49692965,-12.73992861,1.19,0.728353782021228,0.86153199,0.0492168678765625,27.380803618929,420.124125077049,162.305780987897,1.4161,0.530499231784627,0.74223736979336,1.1,2.32199,-6.638272164,2.23606797749979,0.11830242,0.217818621,0.2144519325,0.035,2.42424242424242e-08,0.145454545454545,0.121212121212121,0.181516258652098,0.0457754394646476,0.0877362590478575,"120422A",0.283,0.108226656374928
"147",0.462397998,3.52138487,21.34792103,-10.29756946,1.62,1.85430604180108,2.26312734,0.213811908554408,12.4001514026649,455.733732303116,106.039936783525,2.6244,3.43845089665999,5.12174535705548,0.645,1.8831,-5.619788758,36.7435331717259,0.0690683199999995,0.047294772,0.130088482,0.013331067,6.06060606060606e-08,0.0484848484848485,0.121212121212121,0.223182009819715,0.0109670323640116,0.0181523294379188,"120729A",0.8,0.255272505103306
"149",0.462397998,3.2113827,21.0438101,-10.37675071,1.73,1.22788670461367,1.05329104,0.213811908554408,10.3129788458593,442.841943524862,107.676955297485,2.9929,1.50770575936703,1.10942201494428,0.78,1.82021,-6.173925197,1.37043061304617,0.0413034100000003,0.062296694,0.0286472705,0.005,6.66666666666667e-08,0.151515151515152,0.242424242424242,0.0352171865726179,0.0432133812541372,0.0363046588758376,"120907A",0.97,0.294466226161593
"150",0.113943352,4.17178823,21.94617755,-11.31158018,1.41,1.83884909073726,1.30353551,0.0129830874649959,17.4038170359665,481.634709056124,127.951846168569,1.9881,3.38136597850523,1.69920482583096,0.87,2.00683,-5.958607315,32.0624390837628,0.0633058950000001,0.065435085,0.06666149,0,6.06060606060606e-08,0.133333333333333,0.121212121212121,0.201804932904889,0.023928070636996,0.0404936580149266,"121024A",2.298,0.5182506513085
"151",0.113943352,5.40919042,22.07736427,-11.92081875,1.82,1.79657433321043,1.50995764,0.0129830874649959,29.2593409998198,487.410013110273,142.105919670352,3.3124,3.2276793347505,2.27997207459437,1.16,2.37144,-5.698970004,4.82005846681452,0.0415841549999998,0.037953731,0.0589396935000001,0,6.06060606060606e-08,0.0545454545454545,0.121212121212121,0.0334396932042907,0.0131604388353707,0.0404936580149266,"121027A",1.773,0.442949869577862
"152",1.11058971,3.23392922,22.04029767,-9.617982957,1.32,1.36735592102602,1.54546584,1.23340950395788,10.4582981999698,485.774721382207,92.5055961611425,1.7424,1.86966221476491,2.38846466260691,0.9455,1.98504,-5.161150909,1.630612160051,0.0286900235000003,0.029795568,0.0324450009999999,0.0103377205,2.42424242424242e-07,0.109090909090909,0.242424242424242,0.0303933846881756,0.0152584798116998,0.00816151246798215,"121128A",2.2,0.505149978319906
"153",0,4.20933518,21.66138196,-11.2823295,2.36,2.26007138798507,1.15615612,0,17.7185026575856,469.215468417013,127.29095894657,5.5696,5.10792267878878,1.33669697381345,0.95,2.0682,-5.886056648,39.28730733208,0.0542507750000008,0.063247159,0.0746028285,0.0049999999999999,1.61818181818182e-07,0.157575757575758,0.181818181818182,0.0937486856217556,0.0540590334499272,0.0789626330733186,"121211A",1.023,0.305995882770805
"155",-0.22184875,2.59006,21.12149747,-9.247183569,2.07,2.47712125471966,1.28449,0.0492168678765625,6.7084108036,446.117655375216,85.5104039587836,4.2849,6.13612971058392,1.6499145601,0.198,1.68684,-5.744727495,46.0880984824801,0.0604700000000005,0.06867,0.031625,0.003,1.21212121212121e-07,0.103030303030303,0.121212121212121,0.0667193561745158,0.0292454196637412,0.0877362590478575,"130418A",1.218,0.345961541813141
"156",0.531478917,3.56731,20.79265849,-10.8728952,1.52,2.09166695759568,0.914676,0.282469839215493,12.7257006361,432.334647081769,118.219850030183,2.3104,4.37507066149759,0.836632184976,1.17,2.29559,-5.148741651,11.7367307263019,0.0550499999999996,0.08535,0.0286905,0.0049999999999999,1.81818181818182e-07,0.151515151515152,0.121212121212121,0.0412728533604636,0.0111214976087664,0.0154828692315688,"130420A",1.297,0.361160995195026
"158",1.477121255,3.24559,20.71960885,-8.91721463,1.18,1.94448267215017,1.3304,2.18188720197277,10.5338544481,429.302190896998,79.516716757486,1.3924,3.78101286229226,1.76996416,0.724,1.92439,-4.677780705,116.258229523501,0.0149749999999997,0.024355,0.0156499999999999,0,6.06060606060606e-07,0.0424242424242424,1.87878787878788,0.573753494976115,0.0125337512738,0.0271982402632532,"130505A",2.27,0.514547752660286
"159",0.113943352,2.65954,21.01365445,-10.51570016,1.35,0.734799829588847,1.16497,0.0129830874649959,7.0731530116,441.573673344005,110.579949855024,1.8225,0.539930789563798,1.3571551009,0.65,2.06879,-6.657577319,2.21218447342499,0.0838000000000001,0.089385,0.04916,0.01,2.42424242424242e-08,0.187878787878788,0.121212121212121,0.176931769753319,0.0478561412369649,0.0404936580149266,"130511A",1.3033,0.362350507594848
"160",-0.096910013,2.071571247,21.35024026,-8.316052869,1.51,1.57634135020579,1.742079764,0.00939155061966017,4.29140743139714,455.832759159725,69.1567353200031,2.2801,2.48485205236862,3.0348419041383,0.98,2.08823,-5.853871964,4.55927186783047,0.166441725,0.100184013,0.041653571,0.015,6.06060606060606e-08,0.0727272727272727,0.121212121212121,0.0525216608407296,0.0188006269082896,0.0658021942265446,"130604A",1.06,0.313867220369153
"162",1.133538908,3.31959,20.48730103,-9.89279003,1.93,1.51188336097887,1.28481,1.28491045594983,11.0196777681,419.729503493839,97.8672945776674,3.7249,2.28579129720478,1.6507367361,1.01,1.79449,-5.187086643,1.86433148597529,0.0548150000000005,0.089045,0.0672699999999999,0.009011148,1.21212121212121e-08,0.0303030303030303,0.363636363636364,0.0249128885168479,0.000809873159060338,0.0116121519324457,"130831A",0.4791,0.16999753706657
"163",0.86332286,5.84588,21.99154725,-10.62525165,1.85,2.25285303097989,1.38344,0.74532636059858,34.1743129744,483.628150448983,112.895972625828,3.4225,5.07534677919529,1.9139062336,1.5915,2.69002,-4.387216143,3.54089256630188,0.0623499999999995,0.06424,0.12684,0.206936072,6.06060606060606e-07,0.0848484848484849,0.363636363636364,0.00859100615953715,0.00641972626198059,0.0216335981082794,"130925A",0.347,0.129367595722986
"164",1.44870632,2.84594,20.84178667,-9.294136288,1.3,1.61384182187607,1.11188,2.09875000160794,8.0993744836,434.38007159779,86.3809693399184,1.69,2.60448542603627,1.2362771344,0.693,2.09466,-4.537602002,4.04266247219712,0.0251749999999999,0.027575,0.0081499999999999,0.0075,0,0.0181818181818182,0.424242424242424,0.0427179076368021,0,0.00655680227037274,"131030A",1.295,0.36078268987328
"165",0.544068044,3.9488,21.32749584,-10.91009489,1.45,2.05037975626146,1.19347,0.296010036501986,15.59302144,454.862078805217,119.030170508804,2.1025,4.2040571448868,1.4243706409,0.94,2.24976,-5.148741651,4.08680221617042,0.0333499999999995,0.047885,0.0454399999999999,0.005,3.03030303030303e-07,0.0666666666666667,0.363636363636364,0.01580476982291,0.018535829347944,0.0451215046497172,"131105A",1.686,0.429106008332697
"166",1.371067862,3.829176603,20.99187128,-10.12551818,1.8,1.77815125038364,1.108879519,1.87982708220925,14.6625934569626,440.658659836089,102.526118413511,3.24,3.16182186924092,1.22961378765767,0.83,1.96657,-4.920818754,2.62312485984891,0.0630358199999996,0.068643889,0.021746292,0.005,0,0.0242424242424242,0.484848484848485,0.0189868108662604,0,0.0089602987940681,"140213A",1.2076,0.343920385393226
"167",0.397940009,4.14388,21.67796993,-11.36251027,2,2.23954972084047,0.875171,0.15835625076292,17.1717414544,469.934380285984,129.106639635855,4,5.01558295211664,0.765924279241,1.03,2.15785,-5.958607315,3.69174647045451,0.0861000000000001,0.13071,0.0833725,0.035,1.21212121212121e-07,0.133333333333333,0.121212121212121,0.00923562857548503,0.0478561412739919,0.0210567021369837,"140430A",1.6,0.414973347970818
"168",1.037426498,3.30686,21.81764402,-9.903089987,1.68,2.04571405894087,0.948932,1.07625373875254,10.9353230596,476.009590583442,98.0711912906197,2.8224,4.18494601094832,0.900471940624,0.9,1.74751,-5.552841969,9.55670993835752,0.0551599999999999,0.06882,0.01557,0.047966029,1.81818181818182e-07,0.096969696969697,0.545454545454546,0.0373575732797357,0.0282009404055501,0.0217328347878503,"140506A",0.889,0.276231957921834
"169",0.204119983,3.58709,20.90144742,-11.09770006,1.59,1.3654879848909,1.40649,0.0416649674599203,12.8672146681,436.870504251025,123.158946621724,2.5281,1.86455743688141,1.9782141201,0.86,1.93407,-5.920818754,5.17115694874123,0.0839500000000006,0.088715,0.10418,0.22,1.21212121212121e-07,0.121212121212121,0.242424242424242,0.096801936547154,0.0438681294899875,0.0658021941756327,"140509A",2.4,0.531478917042255
"170",0.832508913,3.53686,21.32824297,-9.504455662,1.45,2.18977095634687,1.25134,0.693071090224441,12.5093786596,454.893948187355,90.3346774309239,2.1025,4.7950968412603,1.5658517956,0.871,1.84304,-4.853871964,4.78706592379787,0.0150399999999999,0.022285,0.0200600000000001,0.002482817,1.81818181818182e-07,0.0242424242424242,0.181818181818182,0.0134302087546028,0.00564018807248688,0.0116121519146922,"140512A",0.725,0.236789099409293
"171",0.62324929,2.85608,21.74269921,-9.847711656,1.86,1.6232492903979,1.16056,0.388439677485504,8.1571929664,472.744968936535,96.9774248597183,3.4596,2.63493825877729,1.3468995136,0.815,1.95996,-5.619788758,11.5414884203924,0.0427850000000003,0.06161,0.03501,0.0016785515,1.21212121212121e-07,0.0666666666666667,0.242424242424242,0.119342969855398,0.0219340647280231,0.0250675025859251,"140629A",2.275,0.515211304327802
"174",0.785329835,3.30337,21.49730845,-10.61083392,1.86,0.593286067020457,1.54959,0.616742949741127,10.9122533569,462.134270594441,112.589796477823,3.4596,0.351988357320603,2.4012291681,1.08,1.79496,-6.173925197,1.07337229135984,0.0852999999999993,0.081935,0.0977399999999999,0.0049999999999999,1.81818181818182e-08,0.0484848484848485,0.181818181818182,0.118918281419752,0.0117854676147647,0.0129446939467666,"141004A",0.573,0.196728722623287
"175",-0.045757491,5.76634,21.59590717,-12.65757732,1.73,2.74028371968188,2.33322,0.00209374798261508,33.2506769956,466.383206495257,160.214263611778,2.9929,7.50915486435356,5.4439155684,0.82,1.93447,-5.27572413,37.8222135391303,0.1675,0.090095,0.2969,0.01,2.42424242424242e-07,0.0787878787878788,0.181818181818182,0.0298708467601577,0.0198648133335181,0.0877362590591065,"141121A",1.47,0.392696953259666
"176",0.949390007,2.77561,21.48574413,-9.872830386,0.62,0.857935264719429,1.42066,0.90134138539146,7.7040108721,461.63720081983,97.4727798307249,0.3844,0.736052918449197,2.0182748356,1.1,1.80565,-5.585026652,0.473776347689343,0.0424549999999995,0.057375,0.050735,0.07,6.06060606060606e-08,0.23030303030303,0.424242424242424,0.0285379269705628,0.0101234144958991,0.020701813897427,"141220A",1.3195,0.365394376854778
"178",1.58546073,2.49217,22.01715025,-8.609064893,1.08,1.16996817399689,1.19079,2.51368572637213,6.2109113089,484.754905131075,74.1159983318851,1.1664,1.36882552816562,1.4179808241,0.73,1.84772,-4.657577319,2.63134115747024,0.0150249999999996,0.015855,0.0099249999999999,0,1.81818181818182e-07,0.0181818181818182,0.545454545454546,0.077266865767021,0.00358921059277238,0.00615293244030819,"150314A",1.758,0.440594261839831
"180",1.245512668,3.19694,21.79039707,-8.821023053,1.23,1.61172330800734,1.24471,1.55130180614848,10.2204253636,474.821404468265,77.8104477015574,1.5129,2.59765202157413,1.5493029841,0.679,1.70996,-4.769551079,12.0135891154935,0.0051050000000003,0.006975,0.00458,0,1.81818181818182e-07,0.0242424242424242,-0.363636363636364,0.127565659186107,0.00464486077306445,-0.0089730264817645,"150403A",2.06,0.48572142648158
"181",-0.259637311,2.95174,22.340573,-8.853871964,2.1,2.23578087032756,1.82628,0.0674115332633107,8.7127690276,499.101201968329,78.3910487549052,4.41,4.99871610012266,3.3352986384,0.848,2.21622,-6.102372909,99.043754395434,0.0211049999999995,0.015485,0.027365,5e-04,1.15151515151515e-07,0.224242424242424,0.121212121212121,0.249936990127356,0.0633033767677802,0.0957122826220374,"150821A",0.755,0.244277120801843
"182",0.041392685,3.85419,20.842422,-9.970616222,1.42,2.04999285692014,2.03808,0.00171335437150922,14.8547805561,434.406554826084,99.4131878464096,2.0164,4.20247071342361,4.1537700864,0.6645,1.78547,-5.318758763,38.5494757277456,0.703965,0.02868,0.06663,0.0024587915,2.42424242424242e-07,0.0727272727272727,0.242424242424242,0.149214122895038,0.0219340647615575,0.0957122825479837,"150910A",1.359,0.372727940885595
"183",0.986771734,3.15765,22.33647975,-9.642065153,1.57,2.04218159451577,1.33346,0.973718455021367,9.9707535225,498.91832762216,92.9694204146969,2.4649,4.17050566497896,1.7781155716,1.27,1.96079,-4.552841969,3.64878062317384,0.0628200000000003,0.05208,0.02141,0.04,6.06060606060606e-07,0.0242424242424242,0.484848484848485,0.0143797213277669,0.00940031346851669,0.021707940377107,"151021A",2.33,0.52244423350632
"184",0.832508913,3.99907,21.65076489,-9.935542011,1.72,2.11290649025331,1.74508,0.693071090224441,15.9925608649,468.755620322057,98.7149950523459,2.9584,4.46437383655458,3.0453042064,0.9235,2.00612,-5.107905397,5.47526252023579,0.0222100000000003,0.01731,0.0249900000000001,0.0024409705,1.21212121212121e-07,0.0303030303030303,0.363636363636364,0.018335078259774,0.00674894299290958,0.0232243038293844,"151027A",0.81,0.257678574869184
"186",0.230448921,3.69323,21.98623592,-11.5214335,2.41,0.698970004336019,0.897942,0.0531067051900642,13.6399478329,483.394569929898,132.743429894922,5.8081,0.488559066961494,0.806299835364,1.24,2.12551,-6.494850022,2.23606797749979,1.01707,0.166825,0.1244685,0.01,1.81818181818182e-08,0.109090909090909,0.121212121212121,0.194222396757745,0.0246758228535885,0.0309657384870962,"151031A",1.167,0.335858911319818
"188",0.079181246,3.8244,21.0151543,-11.17263073,1.77,1.07918124604762,0.798663,0.00626966971811252,14.62603536,441.636710252808,124.82767742894,3.1329,1.1646321618209,0.637862587569,1.02,2.2054,-6.214670165,2.38388672767792,0.0694000000000008,0.120385,0.106048,0.03,3.03030303030303e-08,0.0787878787878788,0.121212121212121,0.08627573760941,0.0215744899112776,0.0438681294899875,"160121A",1.96,0.471291711058939
"190",-0.22184875,4.47751,21.4198963,-10.99567863,0.75,2.50037371435337,1.10229,0.0492168678765625,20.0480958001,458.811957502754,120.904948534239,0.5625,6.25186871142929,1.2150432441,0.679,1.72551,-5.508638306,75.3682152632844,0.0305500000000007,0.03885,0.03434,0.001,1.21212121212121e-07,0.309090909090909,0.0606060606060606,0.103418641389387,0.0169812114071368,0.0438681295239288,"160227A",2.38,0.528916700277655
"193",0.462397998,4.38419,21.30214687,-11.5214335,1.4,2.15896526038341,0.948229,0.213811908554408,19.2211219561,453.781461271051,132.743429894922,1.96,4.66113099554241,0.899138236441,0.92,1.87827,-4.943095149,19.2297524738119,0.0587499999999999,0.095375,0.070062,0.0049999999999999,1.81818181818182e-07,0.139393939393939,0.181818181818182,0.0579152246029259,0.00692654676618381,0.0272284941568783,"160804A",0.736,0.239549720840473
"194",-0.22184875,4.69106,21.16074757,-11.81247928,1.85,2.02160271602824,0.883711,0.0492168678765625,22.0060439236,447.777237721261,139.534666740429,3.4225,4.08687754145277,0.780945131521,0.84,2.00325,-5.958607315,11.8942948022011,0.133550000000001,0.18179,0.0812555,0.0049999999999999,6.06060606060606e-08,0.103030303030303,0.0606060606060606,0.0491496346215649,0.023928070636996,0.0438681295239288,"161108A",1.159,0.334252642334231
"195",0.832508913,4.08464,21.87736847,-10.74958,1.19,2.09933527768596,1.141,0.693071090224441,16.6842839296,478.61925117215,115.5534701764,1.4161,4.40720860813678,1.301881,1.375,1.92624,-4.698970004,1.09562770301324,0.0383499999999994,0.04019,0.0236499999999999,0.674290141,0,0.0727272727272727,0.181818181818182,0.00378540227238651,0,0.0116121519146922,"161117A",1.549,0.406369835469268
"196",0.531478917,3.70506,21.51361441,-10.43651891,1.57,1.55059520748933,2.32574,0.282469839215493,13.7274696036,462.83560498216,108.920926958788,2.4649,2.40434549748887,5.4090665476,0.71,1.74506,-5.443697499,2.09357115934511,0.106249999999999,0.050725,0.10628,0.005,6.06060606060606e-08,0.0363636363636364,0.121212121212121,0.0255903856452399,0.00731135491027843,0.0154828692315688,"161129A",0.645,0.216165902285993
"197",0.72427587,4.0135,21.16590877,-10.13667714,1.29,0.841359470454855,0.871656,0.524575535864257,16.10818225,447.995694059963,102.752223440599,1.6641,0.707885758524074,0.759784182336,0.73,1.86204,-5.823908741,0.791979781306962,0.0276999999999994,0.03841,0.008668,0,6.06060606060606e-08,0.212121212121212,0.242424242424242,0.0495608715850948,0.0175472517963205,0.0198648133335181,"161219B",0.1475,0.0597526942092988
"199",-0.15490196,4.1513,21.33992622,-11.06348626,1.94,2.33525725643453,1.37345,0.0239946172118416,17.23329169,455.392451075043,122.400728225209,3.7636,5.45342645373014,1.8863649025,0.975,1.97351,-5.958607315,49.4043300783148,0.0529999999999999,0.052235,0.0667449999999999,0.2244236125,1.21212121212121e-07,0.157575757575758,0.0606060606060606,0.0991498518259657,0.0478561412739919,0.0376012538456717,"170519A",0.818,0.259593878885949
"200",-0.096910013,3.80257,21.1034582,-11.39577395,1.95,2.21518796949713,1.02082,0.00939155061966017,14.4595386049,445.355947999147,129.863663919499,3.8025,4.90705774020483,1.0420734724,0.99,2.06685,-5.698970004,8.82050386393155,0.0841500000000002,0.11435,0.107427,0.035,1.21212121212121e-07,0.0848484848484849,0.121212121212121,0.0233394026424894,0.0263208776707414,0.0658021942265446,"170531B",2.366,0.527114111639805
"203",1.1430148,3.63746,21.08891889,-10.18641901,1.65,2.33705972632052,0.774169,1.30648283301904,13.2311152516,444.742499948999,103.763132247289,2.7225,5.46184816438937,0.599337640561,0.66,1.89159,-5.022276395,18.0780517612736,0.0405499999999996,0.06603,0.027333,0.0049999999999999,1.81818181818182e-07,0.0303030303030303,0.242424242424242,0.0361306862562471,0.00831185611850908,0.00757435329683621,"170705A",2.01,0.478566495593843
"204",-0.397940009,4.28080232,21.06857915,-10.075204,1.76,3,2.07276695635913,0.15835625076292,18.3252685029174,443.885027399815,101.509735641616,3.0976,9,4.29636285537427,0.6815,1.84715,-5.552841969,92.5864471189302,0.066395795,0.023936409,0.1495769815,0,1.81818181818182e-07,0.103030303030303,0.121212121212121,0.0402097830827786,0.0282009404055501,0.131604388554913,"170714A",0.793,0.253580289562183
"205",0.591064607,4.41384,21.73970839,-11.26042766,1.94,1.46538285144842,0.971187,0.349357369648064,19.4819835456,472.614920882236,126.797231086093,3.7636,2.1473469013191,0.943204188969,1.14,2.20256,-5.619788758,3.59505880999471,0.0409499999999996,0.065935,0.051271,0.005,1.21212121212121e-07,0.0727272727272727,0.303030303030303,0.0534696644965197,0.0219340647280231,0.0337447149906566,"170903A",0.886,0.27554168840131
"207",-0.15490196,4.78231,20.02880298,-12.10957898,2.07,2.24254142829838,0.718496,0.0239946172118416,22.8704889361,401.152948811657,146.641903072858,4.2849,5.02899205763456,0.516236502016,1.34,1.99001,-5.721246399,22.6645693378338,0.209750000000001,0.378455,0.126956,0.015,1.21212121212121e-07,0.103030303030303,0.121212121212121,0.0563106258474534,0.0277061870402603,0.0752025076913433,"171222A",2.409,0.532627001228891
"209",0.531478917,3.21372,21.4933967,-10.30627305,2.04,1.19033169817029,1.09633,0.282469839215493,10.3279962384,461.966101703571,106.219264181156,4.1616,1.41688955166897,1.2019394689,1.03,1.88733,-6,3.12326232779722,0.0645499999999997,0.088815,0.042095,0.0049999999999999,6.06060606060606e-08,0.0787878787878788,0.181818181818182,0.0875106835160412,0.0263208776911062,0.0232243038473533,"180205A",1.409,0.381836799998343
"211",0.146128036,4.02296,21.41988474,-11.14935376,0.97,2.32221929473392,1.50063,0.0213534029052173,16.1842071616,458.811462274885,124.308089265626,0.9409,5.3927024528345,2.2518903969,0.77,1.86768,-5.48148606,44.0459433119658,0.0482499999999995,0.04314,0.069665,0,1.81818181818182e-07,0.339393939393939,0.242424242424242,0.0910900482410009,0.0239280706215504,0.0752025076331583,"180329B",1.998,0.476831628512261
