"","log10Ta","log10PeakFlux","log10NH","log10Fa","Alpha","PhotonIndex","log10T90","Gamma","Beta","log10Fluence","log10TaSqr","log10PeakFluxSqr","log10NHSqr","log10FaSqr","AlphaSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060206A",3.93814,0.445604203,22.33966406,-10.63078414,1.17565,1.2,0.880813592280791,2.20424,1.265,-6.080398976,15.5089466596,0.198563105731265,499.060590313656,113.013571431276,1.3821529225,1.44,0.775832584346592,4.8586739776,1.600225,36.9712517073418,0.110491399420861,0.07055,0.07444,0.02867,0.013041887,0.0133029706675924,0.181818182,0.0160378107849136,"060206A",4.048,0.703119346236078
"060210A",4.15028,0.434568904,22.3877421,-10.66756154,1.20511,1.53,2.40654018043396,2.08163,0.979,-5.11577123,17.2248240784,0.188850132323761,501.210996336112,113.796869209687,1.4522901121,2.3409,5.79143564004309,4.3331834569,0.958441,26.1711152776957,0.207740121022138,0.0292,0.030365,0.02297,0.083622271,0.0140538367709601,0.054545455,0.0270950212031269,"060210A",3.91,0.691081492122968
"060218A",5.07614,-0.602059991,21.59972155,-11.82390874,1.3185,2.26,3.32221929473392,1.98053,0.745,-5.804100348,25.7671972996,0.36247623276292,466.547971037534,139.804817891848,1.73844225,5.1076,11.0371410423023,3.9224990809,0.555025,33.6875808496537,0.0973208923032497,0.1602,0.14064,0.108235,0.02,0.0254826332026628,0.103030303,0.11581186233247,"060218A",0.0331,0.0141423615450058
"060223A",2.78682,0.130333768,22.49782636,-10.9636,1.1892,1.74,1.05307844348342,2.01015,0.81,-6.171984936,7.7663657124,0.0169868910810778,506.152190924711,120.20052496,1.41419664,3.0276,1.10897420812946,4.0407030225,0.6561,38.0933980502109,0.0421049044034134,0.1982,0.23477,0.18005,0.045,0.018772691379267,0.072727273,0.0350945035988966,"060223A",4.41,0.73319726510657
"060306A",3.61496,0.775974331,21.61973178,-10.70553377,1.03794,1.8,1.78675142214556,2.28823,0.76,-5.671620397,13.0679358016,0.602136162370898,467.412802239142,114.60845330061,1.0773194436,3.24,3.19248064453919,5.2359965329,0.5776,32.1672779276664,0.0249708024012773,0.03495,0.04452,0.02498,0.01,0.014581519111212,0.060606061,0.0141083431596232,"060306A",1.559,0.408070285887185
"060313A",3.67429337622425,0.294466226,21.73850309,-10.8929081579275,1.03665561629623,1.66,1.68124123737559,1.94053,0.900955441828184,-5.698970004,13.5004318145654,0.0867103582546831,472.562516593939,118.655448137044,1.07465486679852,2.7556,2.8265720982522,3.7656566809,0.811720708159818,32.4782591064918,0.134263479547411,2.13254242803763,0.746448577618629,0.466172498473836,0.25029631497808,0.0114438598573077,0.103030303,0.0292454197184288,"060313A",1.1,0.322219294733919
"060418A",3.11887,0.814247596,21.65363309,-9.792961075,1.47655,1.7,2.01325866528352,1.94118,0.98,-5.079354999,9.7273500769,0.662999147591779,468.879825996343,95.9020866164651,2.1801999025,2.89,4.05321045333917,3.7681797924,0.9604,25.7998472058663,0.190629725370006,0.04904,0.057245,0.044705,0.005,0.0079942161609691,0.036363636,0.0141293054922338,"060418A",1.489,0.396024896608593
"060502A",3.3865,0.227886705,21.45692297,-10.55284197,0.897152,1.46,1.45331834004704,2.02719,0.87,-5.63638802,11.46838225,0.051932350315757,460.399543340514,111.362473643793,0.804881711104,2.1316,2.11213419751708,4.1094992961,0.7569,31.7688699119995,0.150287880719686,0.05675,0.075085,0.0205255,0.015,0.0116222057308489,0.048484848,0.0327064159666924,"060502A",1.5026,0.398391440229475
"060510B",4.43617,-0.244125144,22.00215742,-12.2656,1.00735,1.78,2.43964842956347,2.1317,1.38,-5.390405591,19.6796042689,0.0595970859330207,484.094931134461,150.44494336,1.0147540225,3.1684,5.95188445987152,4.54414489,1.9044,29.0564724354841,0.033597137016063,0.2206,0.31628,0.2313695,0.03,0.0113820011696242,0.048484848,0.0507946764616626,"060510B",4.9,0.770852011642144
"060512A",3.69717428340329,0.041392685,21.73850309,-10.711284819121,1.17861811341399,1.56,1.49136169383427,2.02128,0.873767901402406,-5.623423043,13.6690976818587,0.00171335437150922,472.562516593939,114.731622476331,1.38914065726756,2.4336,2.22415970183623,4.0855728384,0.763470345521165,31.6228867205434,0.0511462885027281,2.09854127934629,0.73457156024143,0.467994356006461,0.244695570590399,0.00464486077306445,0.13,0.0376012538590013,"060512A",2.1,0.491361693834273
"060526A",3.8752,0.222716471,21.67796993,-11.3053948,1.05873,2.01,2.47450763911698,1.90677,0.93,-5.899629455,15.01717504,0.0496026264546938,469.934380285984,127.811951583867,1.1209092129,4.0401,6.12318805604827,3.6357718329,0.8649,34.8056277063036,0.0335671166680867,0.06785,0.09216,0.0623145,0.0305,0.034467816033398,0.145454545,0.0283698082758142,"060526A",3.221,0.625415352154408
"060604A",4.45991,-0.468521083,21.99003057,-11.76955108,1.21596,2.01,1.97772360528885,2.1711,1.02,-6.395773947,19.8907972081,0.219512005215493,483.561444469534,138.522332624729,1.4785587216,4.0401,3.91139065891672,4.71367521,1.0404,40.905924381124,0.0777158546563713,0.04195,0.04994,0.04695,0,0.0694033093482565,0.254545455,0.100638650276148,"060604A",2.1357,0.496334505996816
"060605A",4.04162,-0.337242168,21.77333803,-11.26121944,1.9179,1.55,1.89817648349768,2.02128,0.835,-6.156767222,16.3346922244,0.11373227987734,474.078248968644,126.815063275834,3.67834041,2.4025,3.6030739625036,4.0855728384,0.697225,37.9057826258936,0.192243471667048,0.05315,0.037375,0.085,0.10149311,0.0339867861224412,0.121212121,0.0686631594013328,"060605A",3.78,0.679427896612119
"060607A",4.37412,0.146128036,21.79614607,-11.02273379,1.76532941,1.47,2.00945089579869,1.61002,0.564,-5.59345982,19.1329257744,0.0213534029052173,475.071983504776,121.500660205208,3.11638792581095,2.1609,4.03789290262617,2.5921644004,0.318096,31.2867927579544,0.132029607628865,0.0761,0.02584,0.163115,0.012077154,0.0115605423699981,0.048484848,0.0244408150465787,"060607A",3.0749,0.610116955411928
"060614A",5.03344,1.06069784,20.51216256,-11.78251606,1.9453,2.02,2.03622954408629,1.89544,0.783,-4.690369833,25.3355182336,1.12507990778067,420.748812887866,138.827684704158,3.78419209,4.0804,4.14623075620988,3.5926927936,0.613089,21.9995691703164,0.0132262962918312,0.0429,0.0289,0.05983,0.006,0.00468356794668692,0.024242424,0.0169369125967137,"060614A",0.125,0.0511525224473813
"060707A",3.5545,0.004321374,21.20847898,-10.9132,0.861995,0.6,1.8208579894397,2.09345,1.12,-5.795880017,12.63447025,1.8674273247876e-05,449.799580645102,119.09793424,0.743035380025,0.36,3.31552381770639,4.3825329025,1.2544,33.5922251714599,0.0414232995600016,0.07695,0.127895,0.0364485,0.035,0.0248403283013014,0.363636364,0.0599386321664952,"060707A",3.425,0.645913275033844
"060708A",3.50569,0.28780173,20.79066861,-10.86966623,1.12969,1.68,1.00860017176192,2.20484,1.485,-6.306273051,12.2898623761,0.0828298357909929,432.251901250839,118.149643951602,1.2761994961,2.8224,1.01727430647817,4.8613194256,2.205225,39.7690797937688,0.153333382321636,0.06115,0.062725,0.028525,0.33410152,0.019714017700399,0.072727273,0.018994447849191,"060708A",1.92,0.465382851448418
"060714A",3.73449,0.10720997,22.0125926,-10.86012091,1.20488,1.93,2.06069784035361,2.04425,0.87,-5.548213564,13.9464155601,0.0114939776674009,484.554232973575,117.942226179819,1.4517358144,3.7249,4.24647558923804,4.1789580625,0.7569,30.7826737517536,0.0344768087786936,0.0352,0.046765,0.035305,0.005,0.0155321080197879,0.066666667,0.0267321414553261,"060714A",2.711,0.569490954348783
"060729A",5.1057,0.068185862,20.86562801,-11.15058059,1.35481,1.75,2.0618293072947,1.92492,1.317,-5.583359493,26.06817249,0.00464931177668304,435.374432251696,124.335447494085,1.8355101361,3.0625,4.25114009241934,3.7053170064,1.734489,31.1739032280732,0.127702392544209,0.0116,0.012825,0.013425,0.077392286,0.0212785639737521,0.084848485,0.0292454197184288,"060729A",0.54,0.187520720836463
"060814A",4.22387,0.861534411,22.00679538,-10.91009489,1.29504,1.53,2.16226561429802,2.11591,0.97,-4.835647144,17.8410777769,0.742241541337117,484.299042897189,119.030170508804,1.6771286016,2.3409,4.6753925867756,4.4770751281,0.9409,23.3834833012754,0.0146412491865461,0.0353,0.034855,0.024565,0,0.00430869161989862,0.018181818,0.0104993872606212,"060814A",1.9229,0.465813957269479
"060904B",3.87074,0.387389826,21.59122827,-11.11633856,1.36265,1.64,2.23426412437879,2.18877,1.58,-5.790484985,14.9826281476,0.15007087728831,466.181138207247,123.572982980543,1.8568150225,2.6896,4.99193617748612,4.7907141129,2.4964,33.5297163615105,0.0287243616490079,0.08665,0.081295,0.04215,0.136141492,0.0232338611473106,0.084848485,0.0226532143754057,"060904B",0.703,0.231214647962601
