"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
21,132,0.4996,132,1.176,1589,-0.3787,17,9,2.8,"Response ~  (log10NHSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
22,651,0.441,6335,1.1084,1993,-0.0066,17,9,2.7,"Response ~  (log10PeakFluxSqr+log10NHSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
23,861,0.4913,861,1.025,4195,-0.2392,17,9,2.6,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
24,5832,0.4106,543,1.2951,543,0.2636,17,9,2.6,"Response ~  (AlphaSqr+log10T90Sqr+log10NHSqr+Alpha+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
25,652,0.8146,3789,1.1148,7869,-0.1629,17,9,2.5,"Response ~  (PhotonIndexSqr+log10NHSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
26,2007,0.3507,2007,1.2533,1744,-0.2219,17,9,2.5,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
27,1601,0.5017,1601,1.1438,5151,-0.1452,17,9,2.6,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
28,11965,0.3334,1292,1.2107,8471,-0.0224,17,9,2.6,"Response ~  (AlphaSqr+log10T90Sqr+log10FaSqr+log10NHSqr+Alpha+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
29,392,0.5687,392,1.0084,392,0.0045,17,9,2.6,"Response ~  (AlphaSqr+Alpha+log10T90)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
30,861,0.5713,861,1.2085,6115,-0.4047,17,9,2.6,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
31,8066,0.3522,8066,1.2942,165,-0.0133,16,8,2.6,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
32,3980,0.4447,3980,1.0802,7995,-0.0125,17,9,2.5,"Response ~  (log10FaSqr+Alpha+log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
33,4577,0.6123,4577,1.1596,4577,-0.4799,17,9,2.6,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
34,1589,0.6479,1589,1.1515,8066,-0.0636,17,9,2.5,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
35,3980,0.4348,3980,1.2277,4519,-0.0868,16,8,2.6,"Response ~  (log10FaSqr+Alpha+log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
36,1431,0.641,1431,1.0199,1431,0.1421,17,9,2.5,"Response ~  (AlphaSqr+log10T90Sqr+PhotonIndexSqr+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr"
37,497,0.6985,497,1.3778,2529,-0.4833,17,9,2.5,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
38,1943,0.652,1943,1.1066,487,0.0027,15,8,2.6,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10NHSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+log10T90+Alpha+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
39,861,0.6076,861,0.9804,6837,-0.0615,17,9,2.5,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
40,91,0.5492,91,0.8483,7825,0.0029,17,9,2.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
41,275,0.4547,275,1.177,112,-0.1394,16,8,2.6,"Response ~  (log10T90Sqr+log10T90+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
42,211,0.5182,211,1.3204,211,-0.4765,17,9,2.6,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
43,644,0.5123,644,1.1493,644,-0.1198,17,9,2.7,"Response ~  (log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
44,303,0.4695,303,1.138,11470,-0.1553,17,9,2.6,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
