"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10T90","log10Fa","Alpha","Beta","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10T90Sqr","log10FaSqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050315A",21.91683806,0.285557309,2.11,4.86356,1.980457892,-11.3757179,1.10818,0.856,1.99544,-5.492144128,480.347790548265,0.0815429767233215,4.4521,23.6542158736,3.92221346198508,129.40695774038,1.2280629124,0.732736,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,"050315A",1.949,0.469674772551798
"050318A",20.92661714,0.499687083,1.9,4.132084541,1.505149978,-11.15490196,1.874408221,0.95,1.98053,-5.966576245,437.923304924142,0.249687180917049,3.61,17.0741226539712,2.2654764562734,124.431837737212,3.51340617895238,0.9025,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",1.44,0.387389826338729
"050319A",20.93735437,0.181843588,2.02,3.73997,2.183383742,-10.70553377,0.863159,0.971,2.01045,-5.882728704,438.372808014958,0.0330670904967137,4.0804,13.9873756009,4.76716456482992,114.60845330061,0.745043459281,0.942841,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,"050319A",3.24,0.627365856592733
"050401A",22.12570242,1.029383778,1.4,3.12435,1.506369717,-9.653647026,0.984108,0.9995,1.78711,-5.085128182,489.546707578394,1.05963096240955,1.96,9.7615629225,2.26914972429466,93.1929009025986,0.968468555664,0.99900025,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",2.9,0.591064607026499
"050505A",22.23063027,0.267171728,1.41,4.270583544,1.770115295,-11.04817696,1.462094791,0.973,2.01835,-5.603800653,494.20092220144,0.071380732242506,1.9881,18.2378838062836,3.13330815759294,122.062214139475,2.13772117786933,0.946729,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",4.27,0.721810615212547
"050730A",21.73850309,-0.259637311,1.53,4.05018,2.194514342,-10.09854168,2.38763,0.5615,1.6177,-5.623423043,472.562516593939,0.0674115332633107,2.3409,16.4039580324,4.81589319724369,101.980544062697,5.7007770169,0.31528225,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",3.967,0.696094159995223
"050802A",21.25883595,0.439332694,1.54,3.63973,1.477121255,-10.28650946,1.44729,0.8585,1.8557,-5.698970004,451.938105949012,0.193013216017298,2.3716,13.2476344729,2.18188720197277,105.812276870669,2.0946483441,0.73702225,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,"050802A",1.7102,0.433001340945038
"050803A",21.34755638,-0.017728767,1.38,4.21721,1.943988875,-10.86012091,1.52234,1.218,2.11696,-5.66756154,455.718163397279,0.000314309179340289,1.9044,17.7848601841,3.77909274612377,117.942226179819,2.3175190756,1.483524,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,"050803A",3.5,0.653212513775344
"050824A",20.9708274,-0.301029996,2.76,5.08558,1.353723938,-12.23882419,0.954481,0.86,1.94709,-6.575118363,439.775601840591,0.09061905849176,7.6176,25.8631239364,1.83256850031423,149.788817553729,0.911033979361,0.7396,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0.8278,0.261928672990642
"060115A",21.43355223,-0.060480747,1,3.69688,2.144885418,-11.29499204,0.889919,1,2.10553,-5.76700389,459.397161196138,0.00365792075767801,1,13.6669217344,4.60053345634903,127.576845183663,0.791955826561,1,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.038096007,0.303030303,0.059902687,"060115A",3.53,0.656098202012832
"060124A",21.9172644,-0.050609993,1.84,4.47599,1.134495856,-10.6893,1.3641,0.99,2.00895,-6.336299075,480.366478779507,0.00256137139146005,3.3856,20.0344864801,1.28708084728117,114.26113449,1.86076881,0.9801,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,"060124A",2.296,0.517987203025078
"060206A",22.33966406,0.445604203,1.2,3.93814,0.880241776,-10.63078414,1.17565,1.265,2.20424,-6.080398976,499.060590313656,0.198563105731265,1.44,15.5089466596,0.774825584215634,113.013571431276,1.3821529225,1.600225,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,"060206A",4.048,0.703119346236078
"060210A",22.3877421,0.434568904,1.53,4.15028,2.40654018,-10.66756154,1.20511,0.979,2.08163,-5.11577123,501.210996336112,0.188850132323761,2.3409,17.2248240784,5.79143563795443,113.796869209687,1.4522901121,0.958441,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,"060210A",3.91,0.691081492122968
"060306A",21.61973178,0.775974331,1.8,3.61496,2.13255996245349,-10.70553377,1.03794,0.76,2.28823,-5.671620397,467.412802239142,0.602136162370898,3.24,13.0679358016,4.54781199345965,114.60845330061,1.0773194436,0.5776,5.2359965329,32.1672779276664,0.011262218728324,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",1.559,0.408070285887185
"060418A",21.65363309,0.814247596,1.7,3.11887,2.158362492,-9.792961075,1.47655,0.98,1.94118,-5.079354999,468.879825996343,0.662999147591779,2.89,9.7273500769,4.65852864687245,95.9020866164651,2.1801999025,0.9604,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",1.489,0.396024896608593
"060526A",21.51361441,0.222716471,2.01,3.8752,2.47444938,-11.3053948,1.05873,0.93,1.90677,-5.899629455,462.83560498216,0.0496026264546938,4.0401,15.01717504,6.12289973418238,127.811951583867,1.1209092129,0.8649,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,"060526A",3.221,0.625415352154408
"060604A",21.99003057,-0.468521083,2.01,4.45991,1.977723605,-11.76955108,1.21596,1.02,2.1711,-6.395773947,483.561444469534,0.219512005215493,4.0401,19.8907972081,3.9113906577742,138.522332624729,1.4785587216,1.0404,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",2.1357,0.496334505996816
"060605A",21.77333803,-0.337242168,1.55,4.04162,2.059904056,-11.26121944,1.9179,0.835,2.02128,-6.156767222,474.078248968644,0.11373227987734,2.4025,16.3346922244,4.24320471992525,126.815063275834,3.67834041,0.697225,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",3.78,0.679427896612119
"060614A",20.51216256,1.06069784,2.02,5.03344,2.036229544,-11.78251606,1.9453,0.783,1.89544,-4.690369833,420.748812887866,1.12507990778067,4.0804,25.3355182336,4.14623075585845,138.827684704158,3.78419209,0.613089,3.5926927936,21.9995691703164,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,"060614A",0.125,0.0511525224473813
"060707A",21.20847898,0.004321374,0.6,3.5545,1.820857989,-10.9132,0.861995,1.12,2.09345,-5.795880017,449.799580645102,1.8674273247876e-05,0.36,12.63447025,3.31552381610512,119.09793424,0.743035380025,1.2544,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,"060707A",3.425,0.645913275033844
"060708A",20.79066861,0.28780173,1.68,3.50569,1.008600172,-10.86966623,1.12969,1.485,2.20484,-6.306273051,432.251901250839,0.0828298357909929,2.8224,12.2898623761,1.01727430695843,118.149643951602,1.2761994961,2.205225,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,"060708A",1.92,0.465382851448418
"060714A",22.0125926,0.10720997,1.93,3.73449,2.060660074,-10.86012091,1.20488,0.87,2.04425,-5.548213564,484.554232973575,0.0114939776674009,3.7249,13.9464155601,4.24631994057768,117.942226179819,1.4517358144,0.7569,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,"060714A",2.711,0.569490954348783
"060729A",20.86562801,0.068185862,1.75,5.1057,2.062017599,-11.15058059,1.35481,1.317,1.92492,-5.583359493,435.374432251696,0.00464931177668304,3.0625,26.06817249,4.25191657858572,124.335447494085,1.8355101361,1.734489,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0.54,0.187520720836463
"060814A",22.00679538,0.861534411,1.53,4.22387,2.162265614,-10.91009489,1.29504,0.97,2.11591,-4.835647144,484.299042897189,0.742241541337117,2.3409,17.8410777769,4.6753925854868,119.030170508804,1.6771286016,0.9409,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",1.9229,0.465813957269479
"060906A",22.41960057,0.294466226,2.03,4.33479,1.638489257,-11.8827287,1.71887,1.06,2.07859,-5.655607726,502.638489718344,0.0867103582546831,4.1209,18.7904043441,2.68464704530441,141.199241357804,2.9545140769,1.1236,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",3.686,0.670802284260944
"060908A",21.80952201,0.481442629,1,2.81918,1.285557309,-9.627087997,1.38309,1.185,2.13395,-5.552841969,475.655250304674,0.231787005018432,1,7.9477758724,1.65265759472332,92.6808233019815,1.9129379481,1.404225,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",1.8836,0.459935016851525
"060926A",22.50004427,0.037426498,2.54,3.351,0.903089987,-10.84771166,1.45111,1.357,2.00443,-6.659555885,506.25199215196,0.001400742752544,6.4516,11.229201,0.81557152461966,117.6728482585,2.1057202321,1.841449,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",3.2,0.6232492903979
"060927A",22.10710478,0.431363764,0.9,3.15198,1.352953912,-10.77728353,1.39098,0.83,1.94856,-5.946921557,488.724081753899,0.186074696892248,0.81,9.9349779204,1.8304842879961,116.149840286009,1.9348253604,0.6889,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,"060927A",5.47,0.8109042806687
