"GRB","is_optical","reasons","Alpha","Beta","log10T90","PhotonIndex","log10Fa","log10Ta"
"090516A",0,"err>val:Beta",1.76098314,0.502,2.322219295,1.84,-11.27490548,4.33113504
"100621A",0,"err>val:Beta",0.94079321,0.27,1.803457116,1.9,-9.804100348,3.64164386
"131117A",0,"PhotonIndex<0",0.951056,0.86,1.041392685,-0.4,-10.838632,2.87134
"230328B",0,"err>val:Beta",1.20938,0.865,1.283979284,1.22,-10.1038,3.66388
