log10T90,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,Redshift_crosscheck,GRB
1.397940009,1.99215342891529,-5.73555346213348,1.68528474322361,21.1545856750033,0.49787317309306,1.212679677,0.0315728375171381,0.179660088857786,0.0584643654542467,2.04,000926A
2.431363764,1.91703135792151,-5.54501519311092,1.73074257586597,20.9997109050585,0.0099540052549258,3.236126049,0.040345966847899,0.171421395586027,0.0900586582057859,2.14,011211A
1.661907293,2.02236215224452,-5.79045330113306,1.66001947418774,21.1181965423643,0.286068555062632,75.36821526,0.0323124845604323,0.162788614352911,0.0687137148382266,3.198,020124A
2.0,1.96438080403683,-5.46547580308238,1.67186887883644,21.0810752717726,0.355429318153098,0.58931824,0.036356115947561,0.193819704191375,0.062431543050404,2.34,021004A
1.344195716,1.94602716780256,-5.88907181132459,1.69364237204975,21.0511868725117,0.320464469437468,20.65497765,0.0369501006956046,0.199398651948698,0.0723940497319666,1.99,030226A
1.798650645,1.94924493372129,-5.15361554086595,1.63361744707194,21.2067839200846,0.780376798107853,6.325897569,0.0273643578404255,0.164558266578791,0.0358944155859398,0.17,030329A
1.980457892,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.02006162,0.019691613,0.09,0.04950507,1.949,050315A
1.505149978,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.96645741,0.030963588,0.1,0.027486993,1.44,050318A
2.183383742,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.95539119,0.049065331,0.19,0.060001211,3.24,050319A
1.506369717,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.6253575,0.016167167,0.07,0.037341208,2.9,050401A
0.397940009,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,0.043784457,0.22,0.04271749,0.6528,050416A
1.301029996,1.96705146522392,-5.95905698874291,1.5837013438142,21.0181637594417,0.330571846807332,2.937133306,0.0347486663233463,0.18713159391256,0.0657749268162652,3.79,050502A
1.243038049,1.97812318786123,-5.90726604152399,1.49398169361224,21.0347201497492,0.300152911468348,5.47526252,0.0295798799821603,0.14,0.0671099909495084,3.793,050502B
1.770115295,2.01835,-5.603800653,1.41,22.23063027,0.267171728,6.838970679,0.031220366,0.12,0.07277367,4.27,050505A
