"formula_idx","wins","formula","r","rmse","bias"
268,2,"Response ~  (log10T90Sqr+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.51,0.17,-0.42
293,2,"Response ~  (AlphaSqr+log10PeakFluxSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.54,0.17,-0.14
309,2,"Response ~  (PhotonIndexSqr+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.64,0.13,-0.063
377,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.54,0.15,-0.17
391,2,"Response ~  (AlphaSqr+log10T90+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.51,0.17,-0.13
451,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10PeakFluxSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.51,0.16,-0.13
460,2,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+AlphaSqr+log10T90Sqr",0.52,0.16,-0.26
543,2,"Response ~  (log10FaSqr+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Fa+Alpha+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.56,0.16,-0.21
573,2,"Response ~  (log10FaSqr+log10NHSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.64,0.13,-0.35
579,2,"Response ~  (AlphaSqr+log10PeakFluxSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.4,0.17,-0.054
