"formula_idx","wins","formula","r","rmse","bias"
258,0,"Response ~  (AlphaSqr+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.55,0.17,-0.23
260,0,"Response ~  (Alpha+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.55,0.15,-0.17
261,0,"Response ~  (log10T90+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.44,0.17,-0.4
263,0,"Response ~  (log10NHSqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.57,0.16,-0.39
266,0,"Response ~  (log10FaSqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.46,0.16,-0.029
268,0,"Response ~  (log10T90Sqr+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.5,0.16,-0.33
270,0,"Response ~  (log10PeakFluxSqr+Alpha+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.46,0.16,-0.22
272,0,"Response ~  (PhotonIndexSqr+Alpha+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.5,0.16,-0.18
281,0,"Response ~  (log10FaSqr+log10T90+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.52,0.16,-0.25
283,0,"Response ~  (log10T90Sqr+log10T90+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.45,0.18,-0.3
287,0,"Response ~  (log10FaSqr+log10PeakFluxSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.46,0.19,-0.066
289,0,"Response ~  (log10T90Sqr+log10PeakFluxSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.57,0.16,-0.35
293,0,"Response ~  (AlphaSqr+log10NHSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.49,0.16,-0.14
294,0,"Response ~  (log10T90Sqr+log10NHSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.48,0.17,-0.069
297,0,"Response ~  (AlphaSqr+PhotonIndexSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.52,0.16,0.023
302,0,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.46,0.16,-0.28
309,0,"Response ~  (PhotonIndexSqr+log10Fa+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.57,0.17,-0.36
311,0,"Response ~  (log10FaSqr+log10Fa+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.44,0.17,-0.14
317,0,"Response ~  (PhotonIndexSqr+Alpha+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.58,0.14,-0.086
324,0,"Response ~  (PhotonIndexSqr+log10T90+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.55,0.17,-0.36
327,0,"Response ~  (AlphaSqr+log10T90+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.56,0.16,-0.17
341,0,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.59,0.15,-0.11
347,0,"Response ~  (AlphaSqr+log10FaSqr+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.42,0.2,-0.1
355,0,"Response ~  (log10FaSqr+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.52,0.17,-0.15
360,0,"Response ~  (PhotonIndexSqr+log10T90+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.62,0.15,-0.3
366,0,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.43,0.18,-0.16
368,0,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.54,0.16,-0.049
375,0,"Response ~  (log10T90Sqr+log10NHSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.52,0.15,-0.27
376,0,"Response ~  (log10TaSqr+PhotonIndexSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.41,0.17,-0.34
379,0,"Response ~  (log10T90Sqr+PhotonIndexSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.51,0.15,-0.35
383,0,"Response ~  (AlphaSqr+log10FaSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.46,0.17,0.038
391,0,"Response ~  (AlphaSqr+log10T90+Alpha)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.45,0.17,-0.04
394,0,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Alpha)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+log10T90+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.47,0.17,-0.23
404,0,"Response ~  (log10TaSqr+PhotonIndexSqr+Alpha)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.58,0.15,-0.16
405,0,"Response ~  (log10FaSqr+PhotonIndexSqr+Alpha)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.39,0.17,-0.14
412,0,"Response ~  (log10T90Sqr+log10FaSqr+Alpha)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.42,0.2,-0.11
426,0,"Response ~  (log10FaSqr+PhotonIndexSqr+log10T90)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.58,0.15,-0.29
441,0,"Response ~  (log10FaSqr+PhotonIndexSqr+log10PeakFluxSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.52,0.16,-0.069
442,0,"Response ~  (AlphaSqr+PhotonIndexSqr+log10PeakFluxSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.5,0.15,-0.056
444,0,"Response ~  (log10FaSqr+log10TaSqr+log10PeakFluxSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr",0.37,0.17,-0.21
453,0,"Response ~  (log10T90Sqr+PhotonIndexSqr+log10NHSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.52,0.17,-0.29
460,0,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr",0.5,0.16,-0.21
464,0,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr",0.43,0.15,-0.39
497,0,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.51,0.17,-0.17
508,0,"Response ~  (log10PeakFluxSqr+log10T90+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+log10Fa+Alpha+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.072,0.23,-0.28
516,0,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.16,0.25,-0.11
536,0,"Response ~  (log10Fa+log10Ta+PhotonIndex+log10PeakFlux)^2+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.46,0.17,-0.065
543,0,"Response ~  (log10FaSqr+log10Ta+PhotonIndex+log10PeakFlux)^2+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.59,0.18,-0.28
553,0,"Response ~  (AlphaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.38,0.18,-0.23
569,0,"Response ~  (log10T90Sqr+log10T90+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.42,0.18,-0.02
570,0,"Response ~  (log10NHSqr+log10PeakFluxSqr+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10Fa+Alpha+log10T90+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.18,0.25,-0.013
585,0,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr",0.49,0.17,0.072
591,0,"Response ~  (Alpha+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.47,0.17,-0.24
595,0,"Response ~  (PhotonIndexSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.48,0.17,-0.23
627,0,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.6,0.17,-0.28
630,0,"Response ~  (log10FaSqr+log10TaSqr+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr",0.5,0.17,0.077
641,0,"Response ~  (log10FaSqr+Alpha+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.46,0.17,-0.039
662,0,"Response ~  (log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.6,0.17,-0.28
668,0,"Response ~  (log10T90Sqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr",0.56,0.17,-0.16
669,0,"Response ~  (AlphaSqr+log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.58,0.16,-0.16
753,0,"Response ~  (log10T90Sqr+log10FaSqr+log10TaSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+AlphaSqr",0.61,0.17,-0.52
756,0,"Response ~  (log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.45,0.19,-0.037
766,0,"Response ~  (Alpha+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.51,0.15,-0.17
767,0,"Response ~  (log10T90+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.38,0.16,-0.24
771,0,"Response ~  (log10TaSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.43,0.19,-0.023
772,0,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.55,0.16,-0.24
773,0,"Response ~  (AlphaSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.45,0.16,-0.25
787,0,"Response ~  (log10FaSqr+log10T90+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.53,0.16,-0.1
793,0,"Response ~  (log10FaSqr+log10PeakFluxSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.54,0.17,-0.27
794,0,"Response ~  (AlphaSqr+log10PeakFluxSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.44,0.16,-0.17
795,0,"Response ~  (log10T90Sqr+log10PeakFluxSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.53,0.15,-0.28
804,0,"Response ~  (log10T90Sqr+PhotonIndexSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.37,0.17,-0.37
805,0,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr",0.48,0.18,-0.067
808,0,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.52,0.15,-0.16
809,0,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.5,0.17,-0.29
828,0,"Response ~  (log10PeakFluxSqr+log10T90+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+Alpha+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.54,0.15,-0.27
837,0,"Response ~  (log10TaSqr+log10PeakFluxSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.39,0.17,-0.06
847,0,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.64,0.14,-0.13
864,0,"Response ~  (log10PeakFluxSqr+log10T90+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.54,0.17,-0.29
866,0,"Response ~  (PhotonIndexSqr+log10T90+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.61,0.17,-0.46
872,0,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.34,0.21,-0.088
876,0,"Response ~  (log10T90Sqr+log10PeakFluxSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.54,0.17,-0.29
877,0,"Response ~  (PhotonIndexSqr+log10NHSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.48,0.18,-0.068
883,0,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.43,0.17,-0.018
884,0,"Response ~  (AlphaSqr+PhotonIndexSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.53,0.15,-0.15
897,0,"Response ~  (AlphaSqr+log10T90+Alpha+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.45,0.17,-0.11
919,0,"Response ~  (log10T90Sqr+AlphaSqr+Alpha+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr",0.49,0.18,0.0046
934,0,"Response ~  (log10T90Sqr+PhotonIndexSqr+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.44,0.2,-0.042
970,0,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr",0.52,0.17,-0.27
976,0,"Response ~  (Alpha+log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.48,0.17,-0.43
980,0,"Response ~  (PhotonIndexSqr+log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.63,0.16,-0.3
981,0,"Response ~  (log10TaSqr+log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.46,0.17,-0.0054
982,0,"Response ~  (log10FaSqr+log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.52,0.17,-0.33
983,0,"Response ~  (AlphaSqr+log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.59,0.17,-0.23
984,0,"Response ~  (log10T90Sqr+log10Fa+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.49,0.16,-0.21
1001,0,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+log10Fa+Alpha+log10T90+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.46,0.17,-0.13
1003,0,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.55,0.17,-0.23
1010,0,"Response ~  (log10T90Sqr+log10NHSqr+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.55,0.15,-0.31
1024,0,"Response ~  (PhotonIndexSqr+Alpha+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.48,0.17,-0.45
1027,0,"Response ~  (AlphaSqr+Alpha+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.37,0.18,-0.24
1029,0,"Response ~  (log10PeakFluxSqr+log10T90+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.4,0.17,-0.22
1032,0,"Response ~  (log10TaSqr+log10T90+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.41,0.17,-0.21
1034,0,"Response ~  (AlphaSqr+log10T90+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.52,0.19,-0.33
