scheme,r_all,std_all,r_xray,std_xray
global_w=0.0,0.39336191881100363,0.007305202203179938,0.43588505783621817,0.008832121917512342
global_w=0.1,0.39805691533082177,0.007571158589078153,0.4364600616508665,0.008952147931012433
global_w=0.2,0.4015656099011709,0.008008820660214256,0.4361909480118533,0.009209804727927479
global_w=0.3,0.4043157775967807,0.008173893633005977,0.4355756131328031,0.009228374740390812
global_w=0.4,0.4062575896517461,0.008396476877789175,0.4345809797208906,0.009268815221587975
global_w=0.5,0.4079536883477286,0.008673418482867042,0.43366340203272175,0.009347940547468554
global_w=0.6,0.4092484609673039,0.00882240658907244,0.43265218090790364,0.009399450056946932
global_w=0.7,0.4102337560812483,0.008866143939375421,0.4316349622025796,0.009292143489120797
global_w=0.8,0.4112087686720883,0.009207513679593821,0.4308142752340979,0.009545271971747045
global_w=0.9,0.4118832986989183,0.009125583935310759,0.42994941297788125,0.009266076438269778
global_w=1.0,0.4122085269137411,0.00930695648882519,0.4288194934408591,0.009408894427469418
invvar,0.3941282741258772,0.007448186881389662,0.4361189452791964,0.00896345840075719
