GRB,Redshift_crosscheck,log10T90,log10Fa,log10FaErr,log10Ta,log10TaErr,Alpha,AlphaErr,Beta,BetaErr,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,FluenceErr,PhotonIndexErr,PeakFluxErr
110213A,1.46,1.681241237,-9.896196279,0.03588,3.84089,0.023515,1.8412,0.02785,1.1905,0.226362665,1.96436,-5.229147988,1.83,21.56708403,0.204119983,16.0,4.000000045633587e-07,0.12,0.6000000015300541
110422A,1.77,1.413299764,-9.681936665,0.024137407,3.50066971,0.029472713,1.42239886,0.022779716,0.778,0.005,1.89199,-4.387216143,0.86,22.02088312,1.487138375,0.566646277,9.999999686319129e-07,0.1,0.9999999945188384
110503A,1.613,1.0,-9.08249449,0.028998071,2.54166555,0.028887961,1.14649063,0.006289914,0.687,0.001,1.90907,-5.0,0.88,21.13638759,0.130333768,3.405445073,3.999999936418702e-07,0.25,0.06000000001405619
110715A,0.82,1.113943352,-9.075720714,0.02377653,2.61109719,0.035600881,0.95853538,0.009554076,0.755,0.0015,1.85342,-4.928117993,1.25,22.0746007,1.731588765,4.0,1.9999998839065287e-07,0.12,1.1000000377647219
110731A,2.83,1.588831726,-12.08512818,0.097418495,5.08952072,0.090702815,1.42351927,0.110855301,0.39,0.13,1.85145,-5.22184875,1.15,21.95954126,1.041392685,11.66246372,9.99999948682526e-08,0.05,0.3000000008785673
110808A,1.348,1.681241237,-12.08440021,0.0837,4.50711,0.155655,0.807091,0.0776,1.4,0.025,2.33721,-6.48148606,2.32,14.56450155,-0.397940009,22.627417,8.000000020149659e-08,0.43,0.19999999989352193
110818A,3.36,2.012837225,-11.28316228,0.05514905,3.84627415,0.059648416,1.37167718,0.067338189,0.83,0.01,1.95985,-5.397940009,1.58,22.06812647,0.204119983,18.0548006,1.9999999897248788e-07,0.11,0.299999998922959
111008A,4.9898,1.802500068,-10.66756154,0.028511085,3.98993393,0.035676696,1.21584288,0.027351291,0.829,0.001,1.94053,-5.27572413,1.86,22.17059025,0.806179974,2.36485691,3.000000060990589e-07,0.09,0.7000000006424275
111117A,2.211,0.095336512871744,-11.56224944,0.1607292,3.040958613,0.16895411,1.320391508,0.11777667,0.79,0.045,2.19593,-6.853871964,0.65,21.35810434,0.130333768,0.053665607,1.0899999840573072e-08,0.133333333,0.24832504421274088
111123A,3.1516,2.462397998,-11.60730305,0.07308827,4.42202873,0.070655771,1.46723371,0.105884147,1.25,0.005,2.55463,-5.13667714,1.68,21.35034301,-0.045757491,88.09086218,2.999999926153512e-07,0.07,0.09999999900008479
111209A,0.677,2.505149978,-9.057000407,0.02099,4.13326,0.010455,2.77382,0.04435,0.2529,5e-05,1.81212,-4.443697499,1.48,21.14009932,-0.301029996,29.55180898,1.0000000329948036e-06,0.03,0.09999999948438888
111228A,0.714,2.005180513,-10.65757732,0.030118345,4.10627835,0.037264425,1.15297662,0.023299272,0.99,0.0,2.03824,-5.070581074,2.27,21.41342718,1.093421685,5.415902489,2.0000000616284866e-07,0.06,0.4999999920958162
120118B,2.943,1.36660971,-10.95467702,0.1172,3.68307,0.131765,1.0241,0.077156,1.01,0.005,2.20884,-5.744727495,2.08,21.451745,0.342422681,19.64696058,9.99999990774559e-08,0.11,0.3000000011106809
120327A,2.813,1.798650645,-10.15181088,0.04362492,3.48517215,0.051679097,1.44859414,0.058002882,0.63,0.02,1.75797,-5.443697499,1.52,22.16619025,0.591064607,7.52171255,1.0000000329948036e-07,0.06,0.2000000009533849
120404A,2.876,1.587710965,-11.02687215,0.11705,3.79948,0.068285,1.90651,0.121385,0.69,0.005,1.89579,-5.795880017,1.85,21.70983536,0.079181246,16.0,9.999999964098632e-08,0.13,0.2000000009436562
120422A,0.283,0.728353782,-12.73992861,0.11830242,5.23266697,0.217818621,0.86153199,0.214451933,1.1,0.035,2.32199,-6.638272164,1.19,16.83373789,-0.22184875,2.236067977,3.9999999938212924e-08,0.24,0.1999999994073628
120729A,0.8,1.854306042,-10.29756946,0.06906832,3.52138487,0.047294772,2.26312734,0.130088482,0.645,0.013331067,1.8831,-5.619788758,1.62,21.34792103,0.462397998,36.74353317,9.999999778609708e-08,0.08,0.20000000285418873
120802A,3.796,1.698970004,-11.17198494,0.07803221,3.53838419,0.220557212,0.54215516,0.11816229,0.91,0.055,2.03526,-5.721246399,1.21,22.12127744,0.477121255,31.02460027,3.0000000032967437e-07,0.47,0.19999999695003529
120804A,1.3,0.2870342433387931,-9.76498948,0.16554,2.56606,0.17802,1.09546,0.037085,0.86,0.015,2.05668,-6.055517328,1.34,21.60814292,1.033423755,0.083234562,3.030000072250831e-08,0.048484848,3.309597685687526
120811C,2.671,1.428134794,-10.14327111,0.05294686,3.15909591,0.084200302,1.01613299,0.03800099,0.65,0.090734018,1.92121,-5.522878745,1.4,21.91722026,0.612783857,3.693579286,2.9999999887893065e-07,0.3,0.20000000316698144
120907A,0.97,1.227886705,-10.37675071,0.04130341,3.2113827,0.062296694,1.05329104,0.028647271,0.78,0.005,1.82021,-6.173925197,1.73,21.0438101,0.462397998,1.370430613,1.0999999989304815e-07,0.25,0.39999999903088074
120922A,3.1,2.238046103,-10.59516628,0.16365,3.59799,0.133375,1.06622,0.03563,1.17,0.005,2.06954,-5.207608311,1.58,21.0163605,0.301029996,30.24009631,6.999999998133657e-07,0.36,0.19999999927826256
121024A,2.298,1.838849091,-11.31158018,0.063305895,4.17178823,0.065435085,1.30353551,0.06666149,0.87,0.0,2.00683,-5.958607315,1.41,21.94617755,0.113943352,32.06243908,1.0000000113713698e-07,0.22,0.20000000082428468
121027A,1.773,1.796574333,-11.92081875,0.041584155,5.40919042,0.037953731,1.50995764,0.058939694,1.16,0.0,2.37144,-5.698970004,1.82,22.07736427,0.113943352,4.820058467,9.999999963913119e-08,0.09,0.20000000082428468
121128A,2.2,1.367355921,-9.617982957,0.028690024,3.23392922,0.029795568,1.54546584,0.032445001,0.9455,0.010337721,1.98504,-5.161150909,1.32,22.04029767,1.11058971,1.63061216,4.0000000493627554e-07,0.18,0.4000000127079664
121211A,1.023,2.260071388,-11.2823295,0.054250775,4.20933518,0.063247159,1.15615612,0.074602829,0.95,0.005,2.0682,-5.886056648,2.36,21.66138196,0.0,39.28730733,2.6699999942413787e-07,0.26,0.30000000098786533
130408A,3.757,1.447158031,-10.32975415,0.077,3.58393,0.070305,1.39277,0.0643,0.945,0.117120218,2.03183,-5.638272164,1.28,20.06405721,0.69019608,13.06603535,3.9999999938212926e-07,0.26,1.0000000008478913
130418A,1.218,2.0720002324037163,-9.247183569,0.06047,2.59006,0.06867,1.28449,0.031625,0.198,0.003,1.68684,-5.744727495,2.07,21.12149747,-0.22184875,46.08809848,1.999999981549118e-07,0.17,0.1999999994073628
130420A,1.297,2.091666958,-10.8728952,0.05505,3.56731,0.08535,0.914676,0.0286905,1.17,0.005,2.29559,-5.148741651,1.52,20.79265849,0.531478917,11.73673073,2.999999991095947e-07,0.25,0.19999999818302694
130511A,1.3033,0.73479983,-10.51570016,0.0838,2.65954,0.089385,1.16497,0.04916,0.65,0.01,2.06879,-6.657577319,1.35,21.01365445,0.113943352,2.212184473,3.999999997923459e-08,0.31,0.20000000082428468
130514A,3.6,2.309630167,-10.7212464,0.078,3.68772,0.078365,1.17745,0.04188,0.65,0.08,2.0604,-5.040958608,1.8,21.19799139,0.447158031,12.81269759,2.0000000680444023e-07,0.05,0.3000000021330197
130603B,0.356,-0.744727495,-10.51286162,0.04335,3.52927,0.045125,1.50729,0.07082,0.84,0.029144184,2.20112,-6.200659451,0.82,21.35365854,0.806179974,0.024000049,3.0000000527971244e-08,0.07,0.30000000238054675
130604A,1.06,1.57634135,-8.316052869,0.166441725,2.071571247,0.100184013,1.742079764,0.041653571,0.98,0.015,2.08823,-5.853871964,1.51,21.35024026,-0.096910013,4.559271868,9.999999871481455e-08,0.12,0.1999999991272303
130606A,5.913,2.441820772,-10.18045606,0.06815,3.30222,0.07782,1.37571,0.05186,0.44,0.045,1.86465,-5.537602002,1.52,20.24962877,0.414973348,19.31096766,2.000000028541888e-07,0.12,0.20000000097902704
130831A,0.4791,1.511883361,-9.89279003,0.054815,3.31959,0.089045,1.28481,0.06727,1.01,0.009011148,1.79449,-5.187086643,1.93,19.84752454,1.133538908,1.864331486,2.000000430371082e-08,0.05,0.6000000097535626
131004A,0.717,0.187520721,-9.847711656,0.339855,3.06764,0.2446,2.37965,0.27747,1.09,0.01,2.21436,-6.552841969,1.81,21.41915412,0.531478917,0.326337244,1.9999999712385427e-08,0.11,0.19999999818302694
131030A,1.295,1.613841822,-9.294136288,0.025175,2.84594,0.027575,1.11188,0.00815,0.693,0.0075,2.09466,-4.537602002,1.3,20.84178667,1.44870632,4.042662472,0.0,0.03,0.7000000164270286
131105A,1.686,2.050379756,-10.91009489,0.03335,3.9488,0.047885,1.19347,0.04544,0.94,0.005,2.24976,-5.148741651,1.45,21.32749584,0.544068044,4.086802216,4.999999930665398e-07,0.11,0.6000000026430995
131117A,4.042,1.041392685,-10.838632,0.0823,2.87134,0.12461,0.951056,0.0362555,0.86,0.025,2.15896,-6.602059991,-0.4,22.01669496,-0.15490196,3.16227766,3.9999999970039744e-08,1.41,0.10000000024925285
140206A,2.73,1.971275849,-9.730487056,0.012995,3.59073,0.021325,1.22509,0.015545,0.672,0.021902336,1.88134,-4.795880017,1.04,22.00531353,1.28780173,13.75282388,3.0000001734363973e-07,0.15,0.5000000112441242
140213A,1.2076,1.77815125,-10.12551818,0.06303582,3.829176603,0.068643889,1.108879519,0.021746292,0.83,0.005,1.96657,-4.920818754,1.8,20.99187128,1.371067862,2.62312486,0.0,0.04,0.7999999994474015
140419A,3.956,1.976349979,-10.00568285,0.023985,3.68383,0.02442,1.36898,0.017885,0.678,0.001,1.87322,-4.795880017,1.21,22.04094236,0.69019608,3.817215769,0.0,0.04,0.19999999565651153
140423A,3.26,2.127104798,-10.85078089,0.05035,3.90552,0.05495,1.18974,0.045115,0.77,0.149849463,2.06486,-5.026872146,1.33,21.81946365,0.322219295,23.01198296,2.999999961986967e-07,0.06,0.19999999901579635
140430A,1.6,2.239549721,-11.36251027,0.0861,4.14388,0.13071,0.875171,0.0833725,1.03,0.035,2.15785,-5.958607315,2.0,21.67796993,0.397940009,3.69174647,1.9999999974143035e-07,0.22,0.20000000272843008
140506A,0.889,2.045714059,-9.903089987,0.05516,3.30686,0.06882,0.948932,0.01557,0.9,0.047966029,1.74751,-5.552841969,1.68,21.81764402,1.037426498,9.556709938,3.0000000213301964e-07,0.16,0.8999999899619083
140509A,2.4,1.170927303334441,-11.09770006,0.08395,3.58709,0.088715,1.40649,0.10418,0.86,0.22,1.93407,-5.920818754,1.59,20.90144742,0.204119983,5.171156949,1.2099999927225405e-07,0.121212121,0.4312486815751136
140512A,0.725,2.189770956,-9.504455662,0.01504,3.53686,0.022285,1.25134,0.02006,0.871,0.002482817,1.84304,-4.853871964,1.45,21.32824297,0.832508913,4.787065924,2.999999896972054e-07,0.04,0.30000000533544324
140518A,4.707,1.781755375,-11.31158018,0.09045,3.77824,0.070125,1.64981,0.18819,0.94,0.0,1.93772,-6.0,0.92,22.46148952,0.0,2.429189161,9.999999956176009e-08,0.61,0.09999999956176009
140614A,4.233,2.857332496,-10.9589,0.1129,3.70006,0.098945,1.35595,0.093145,0.83,0.05,1.77015,-5.886056648,1.5,12.04338193,-1.4317581319867032,160.0586725,3.9999999865520844e-07,0.46,0.013915576436241105
140629A,2.275,1.62324929,-9.847711656,0.042785,2.85608,0.06161,1.16056,0.03501,0.815,0.001678552,1.95996,-5.619788758,1.86,21.74269921,0.62324929,11.54148842,2.000000010983984e-07,0.11,0.39999999742004333
140903A,0.351,-0.522878745,-11.30980392,0.06395,4.29222,0.074155,1.22723,0.110285,0.57,0.0,1.63218,-6.853871964,1.99,21.07864529,0.397940009,0.034176028,9.999999871481455e-09,0.12,0.20000000272843008
141004A,0.573,0.593286067,-10.61083392,0.0853,3.30337,0.081935,1.54959,0.09774,1.08,0.005,1.79496,-6.173925197,1.86,21.49730845,0.785329835,1.073372291,3.000000067207314e-08,0.08,0.29999999982913517
141121A,1.47,2.74028372,-12.65757732,0.1675,5.76634,0.090095,2.33322,0.2969,0.82,0.01,1.93447,-5.27572413,1.73,21.59590717,-0.045757491,37.82221354,3.9999999999627796e-07,0.13,0.29999999907258096
141220A,1.3195,0.857935265,-9.872830386,0.042455,2.77561,0.057375,1.42066,0.050735,1.1,0.07,1.80565,-5.585026652,0.62,21.48574413,0.949390007,0.473776348,1.0000000048951356e-07,0.38,0.7000000014190482
150120B,3.5,2.017622884887956,-10.79048499,0.0711,3.39431,0.090535,1.17705,0.057705,0.92,0.005,2.01678,-6.26760624,2.2,21.52664292,0.079181246,3.388285726,4.8499999438810064e-08,0.151515152,0.1497896355212643
150314A,1.758,1.169968174,-8.609064893,0.015025,2.49217,0.015855,1.19079,0.009925,0.73,0.0,1.84772,-4.657577319,1.08,22.01715025,1.58546073,2.631341157,2.9999997578224515e-07,0.03,0.9000000419747974
150403A,2.06,1.611723308,-8.821023053,0.005105,3.19694,0.006975,1.24471,0.00458,0.679,0.0,1.70996,-4.769551079,1.23,21.79039707,1.245512668,12.01358912,2.999999892136373e-07,0.04,0.6000000123638666
150821A,0.755,2.23578087,-8.853871964,0.021105,2.95174,0.015485,1.82628,0.027365,0.848,0.0005,2.21622,-6.102372909,2.1,22.340573,-1.4977667946097688,99.0437544,1.9000000060603662e-07,0.37,0.013788821367029363
151021A,2.33,2.042181595,-9.642065153,0.06282,3.15765,0.05208,1.33346,0.02141,1.27,0.04,1.96079,-4.552841969,1.57,22.33647975,0.986771734,3.648780623,9.999999856192713e-07,0.04,0.8000000084375988
151027A,0.81,2.11290649,-9.935542011,0.02221,3.99907,0.01731,1.74508,0.02499,0.9235,0.002440971,2.00612,-5.107905397,1.72,21.65076489,0.832508913,5.47526252,2.000000011081274e-07,0.05,0.5999999950133078
151215A,2.59,1.250420002,-10.72815839,0.093,3.06337,0.11588,1.07478,0.071395,1.015,0.35435971,2.20942,-6.508638306,1.99,11.58323846,0.204119983,1.003450114,7.000000008835777e-08,0.33,0.19999999928197265
160117B,0.87,0.6970621878108274,-11.74958,0.12265,4.10299,0.162075,0.973333,0.093958,0.64,0.015,1.83834,-6.4710833,1.73,20.95374423,-0.7059298077884262,2.461495511,4.380069341275864e-09,0.0041822719666068,0.05537677568561053
160121A,1.96,1.079181246,-11.17263073,0.0694,3.8244,0.120385,0.798663,0.106048,1.02,0.03,2.2054,-6.214670165,1.77,16.38465801,0.079181246,2.383886728,4.99999995033302e-08,0.13,0.2000000009436562
160203A,3.52,1.305351369,-11.36754271,0.08458679,3.66139836,0.087010427,1.146279559,0.0601909,0.61,0.25,1.75592,-5.920818754,1.93,22.0158332,0.113943352,3.236126049,1.0000000047182813e-07,0.2,0.39999999865520874
160227A,2.38,2.500373714,-10.99567863,0.03055,4.47751,0.03885,1.10229,0.03434,0.679,0.001,1.72551,-5.508638306,0.75,21.4198963,-0.22184875,75.36821526,2.0000000127216703e-07,0.51,0.10000000039445692
160327A,4.99,1.447158031,-11.22402567,0.0673,3.76407,0.06033,1.49693,0.1004,0.78,0.02,1.93554,-5.853871964,1.84,20.72655851,0.255272505,9.225420765,9.999999871481455e-08,0.11,0.19999999815491193
160804A,0.736,2.15896526,-11.5214335,0.05875,4.38419,0.095375,0.948229,0.070062,0.92,0.005,1.87827,-4.943095149,1.4,21.30214687,0.462397998,19.22975247,2.9999999568975086e-07,0.23,0.2999999976037863
161108A,1.159,2.021602716,-11.81247928,0.13355,4.69106,0.18179,0.883711,0.0812555,0.84,0.005,2.00325,-5.958607315,1.85,21.16074757,-0.22184875,11.8942948,1.0000000113713698e-07,0.17,0.10000000039445692
161117A,1.549,2.099335278,-10.74958,0.03835,4.08464,0.04019,1.141,0.02365,1.375,0.674290141,1.92624,-4.698970004,1.19,21.87736847,0.832508913,1.095627703,0.0,0.12,0.30000000533544324
161129A,0.645,1.550595207,-10.43651891,0.10625,3.70506,0.050725,2.32574,0.10628,0.71,0.005,1.74506,-5.443697499,1.57,21.51361441,0.531478917,2.093571159,1.0000000329948036e-07,0.06,0.19999999818302694
161219B,0.1475,0.84135947,-10.13667714,0.0277,4.0135,0.03841,0.871656,0.008668,0.73,0.0,1.86204,-5.823908741,1.29,21.16590877,0.72427587,0.791979781,9.999999839764638e-08,0.35,0.3999999999962784
170202A,3.645,1.664641976,-10.65364703,0.04485,3.77629,0.068655,1.1958,0.059155,1.04,0.0,1.99768,-5.48148606,1.68,21.7153121,0.672097858,11.44830537,1.0000000120168711e-07,0.07,0.2999999959665829
170405A,3.51,2.216693599,-10.31069114,0.048255345,3.6300738,0.035670699,1.81152426,0.072401387,0.612,0.0475,1.8473,-5.431798276,1.59,13.21022485,-0.0335186812736592,35.39093667,2.9999999909951857e-07,0.12,0.3281591460161965
170519A,0.818,2.335257256,-11.06348626,0.053,4.1513,0.052235,1.37345,0.066745,0.975,0.224423613,1.97351,-5.958607315,1.94,21.33992622,-0.15490196,49.40433008,1.9999999974143035e-07,0.26,0.10000000024925285
170531B,2.366,2.215187969,-11.39577395,0.08415,3.80257,0.11435,1.02082,0.107427,0.99,0.035,2.06685,-5.698970004,1.95,9.634585075,-0.096910013,8.820503864,1.9999999927826238e-07,0.14,0.1999999991272303
170705A,2.01,2.337059726,-10.18641901,0.04055,3.63746,0.06603,0.774169,0.027333,0.66,0.005,1.89159,-5.022276395,1.65,21.08891889,1.1430148,18.07805176,3.000000088473845e-07,0.05,0.4000000019274048
170903A,0.886,1.465382851,-11.26042766,0.04095,4.41384,0.065935,0.971187,0.051271,1.14,0.005,2.20256,-5.619788758,1.94,21.73970839,0.591064607,3.59505881,2.000000010983984e-07,0.12,0.5000000023834622
171205A,0.0368,2.277379975,-12.42945706,0.0719,5.48376,0.109545,1.13263,0.115455,0.67,0.01,1.66173,-5.443697499,1.41,19.67443398,0.0,35.1681973,3.000000016091348e-07,0.14,0.30000000098786533
171222A,2.409,2.242541428,-12.10957898,0.20975,4.78231,0.378455,0.718496,0.126956,1.34,0.015,1.99001,-5.721246399,2.07,20.02880298,-0.15490196,22.66456934,2.0000000167808685e-07,0.17,0.2000000004985057
180205A,1.409,1.190331698,-10.30627305,0.06455,3.21372,0.088815,1.09633,0.042095,1.03,0.005,1.88733,-6.0,2.04,21.4933967,0.531478917,3.123262328,9.999999956176009e-08,0.13,0.2999999972745404
180329B,1.998,2.322219295,-11.14935376,0.04825,4.02296,0.04314,1.50063,0.069665,0.77,0.0,1.86768,-5.48148606,0.97,21.41988474,0.146128036,44.04594331,3.000000036050613e-07,0.56,0.4000000013064961
180620B,1.1175,2.29841638,-10.98296666,0.0437,4.6659,0.067125,1.09835,0.059445,0.9,0.005,1.99236,-5.0,1.3,21.21643247,0.556302501,27.4443118,2.9999998947493984e-07,0.2,0.1999999983096543
180624A,2.855,2.686993566,-11.54363397,0.088149935,4.171185481,0.099379055,1.243849338,0.123366444,0.95,0.0,2.06008,-5.236572006,1.91,21.1034582,0.146128036,38.50431688,3.000000045133965e-07,0.1,0.20000000065324805
180720B,0.654,3.0644401901042517,-8.847711656,0.004975,3.62033,0.00614,1.34127,0.005375,0.729,0.0,1.8461,-4.065501549,1.36,21.24271531,1.831869774,3.688453378,1.000000031898126e-06,0.03,2.6000000161693078
180728A,0.117,0.938519725,-9.42365865,0.009885,3.8695,0.014745,1.1986,0.0091,0.8595,0.042486494,1.70111,-4.528708289,1.97,21.58733599,2.120573931,0.297321378,6.000000322884274e-07,0.03,2.8999999490751196
181010A,1.39,1.214843848,-9.928117993,0.034615,3.15711,0.057805,1.07011,0.033375,1.115,0.007041969,1.76613,-6.161150909,1.52,22.27837171,0.146128036,2.192792779,6.99999992750645e-08,0.15,0.20000000065324805
181020A,2.938,2.376576957,-10.42365865,0.1418,4.29043,0.047555,2.64643,0.091985,1.228,0.029531206,1.93674,-5.091514981,1.25,20.65703194,0.886490725,11.5888181,3.0000000360453445e-07,0.06,0.2999999958030319
190114A,3.3765,1.823474229,-10.75202673,0.03365,3.74534,0.042215,1.18375,0.04616,0.86,0.0,1.83214,-6.096910013,2.06,21.6447605,-0.301029996,10.18381229,1.1999999947633828e-07,0.22,0.20000000012007033
190627A,1.942,0.204119983,-11.39794001,0.06155,4.71457,0.06135,1.55937,0.11984,0.964,0.023,1.95997,-7.004364805,2.38,21.25707831,0.041392685,0.284871976,2.2000000050616272e-08,0.38,0.3000000008785674
190719C,2.469,2.268811904,-11.257,0.2175,4.88123,0.1943,1.55953,0.21085,0.915,0.22,1.5415,-5.292429824,1.64,20.95382587,0.740362689,9.689285646,2.9999999723607706e-07,0.09,0.3000000006464538
190829A,0.0785,1.764922985,-9.56068,0.013585,4.0838,0.01916,1.03996,0.009675,1.16,0.075,2.0913,-5.193820026,2.56,22.04910001,1.255272505,8.854522046,7.000000006424274e-07,0.21,2.699999987525271
191011A,1.722,0.867467488,-10.8132081,0.05719327,3.15321333,0.06597695,1.30602449,0.05756962,0.94,0.19,1.81479,-6.48148606,1.94,21.65033473,0.255272505,0.950286355,3.999999972082176e-08,0.17,0.19999999815491193
191221B,1.148,1.681241237,-8.11145684,0.06184721,1.95518066,0.05366691,1.15734724,0.00551831,1.39,0.175,1.843,-4.721246399,1.24,16.3283796,0.681241237,16.0,9.999999865158758e-07,0.05,0.7000000000110818
200205B,1.465,2.660865478,-11.7337376,0.10035241,4.53640048,0.08886983,1.56884903,0.19267266,0.516,0.18,1.90881,-5.26760624,1.36,16.75891189,0.301029996,5.385164807,2.000000024286653e-07,0.22,0.19999999927826256
200829A,1.25,1.115277591,-8.6381,0.00955,2.97975,0.00926,1.29833,0.00866,0.64,0.0195,1.88219,-4.292429824,0.83,21.08966848,1.994317153,2.91,9.999999907869236e-07,0.03,1.6000000552237692
201104B,1.954,0.937517892,-9.38944702,0.02110237,2.72159651,0.02972805,1.19537497,0.02348264,0.605,0.175,1.55046,-5.744727495,1.47,21.73058526,0.612783857,0.161839373,9.99999990774559e-08,0.07,0.3000000000301727
210210A,0.715,0.819543936,-10.1403778,0.05799791,3.72413045,0.08857348,1.5451851,0.10645081,0.965,0.15,1.85188,-6.008773924,1.53,21.12319546,0.84509804,0.58931824,8.000000058103498e-08,0.58,0.49999999318721644
210411C,2.826,1.10720997,-9.72925773,0.05048963,2.93128506,0.05901459,1.16829405,0.03209979,1.21,0.14,1.88408,-5.920818754,1.6,21.05996459,0.681241237,0.597059548,1.0000000047182813e-07,0.4,0.2999999984258338
210517A,2.486,0.485721426,-10.8415194,0.25872455,3.057651,0.32132806,1.21043545,0.08060357,0.66,0.22,1.71079,-6.823908741,1.85,21.15768338,0.176091259,1.409113169,2.999999986468168e-08,0.25,0.20000000024917056
210610B,1.13,1.841234296,-9.19036,0.0226,2.89514,0.02831,1.05139,0.01291,0.78,0.029,1.91684,-4.443697499,0.98,21.03780485,1.130333768,2.53,1.0000000329948036e-06,0.11,0.6999999949831726
210619B,1.937,1.784617293,-8.55006175,0.01027813,2.91049117,0.01099582,1.12578835,0.00437126,0.745,0.07,1.92306,-4.022276395,1.41,21.83430305,2.06069784,0.277416677,1.0000000294912818e-06,0.02,2.1999999287002234
210722A,1.145,1.700703717,-10.3507,0.0364819,3.6504,0.0395981,1.43908,0.048071,0.81,0.09,1.83712,-5.602059991,1.62,20.54058972,0.342422681,10.53830531,2.000000027284301e-07,0.14,0.4999999984740101
210822A,1.736,2.257198426,-8.20842,0.017735,2.4985,0.01621,1.267456,0.008455,0.77,0.026,1.70788,-4.698970004,1.3,21.53322281,1.442479769,42.72,4.0000001697720543e-07,0.4,0.7000000122557618
211024B,1.1137,2.780677274,-8.56429146,0.01916437,3.43921565,0.01167528,1.92622006,0.00965772,1.07,0.055,2.08,-5.167491087,1.63,20.98677173,-0.045757491,20.65497765,3.000000053354432e-07,0.09,0.20000000007249613
220101A,4.618,2.238948898,-8.69262974,0.01431841,3.04134881,0.02317526,1.20052929,0.01255481,0.491,0.016,1.62241,-4.602059991,1.13,21.90370028,0.86332286,12.50116167,0.0,0.13,0.299999992615351
220117A,4.961,1.697316542,-10.1070569,0.05084186,3.43803362,0.04500955,1.68612083,0.06200239,1.2,0.55,1.78537,-5.795880017,1.84,21.99532933,0.278753601,3.431095393,1.9999999928197265e-07,0.18,0.39999999898126204
220521A,5.57,1.131939295,-10.6276115,0.16334814,3.30131796,0.13206168,1.71067512,0.12291833,1.1,0.4,2.02179,-6.091514981,1.97,21.85427081,0.672097858,2.691501432,7.999999971781323e-08,0.18,0.3999999946221105
230116D,3.81,1.612783857,-11.1278,0.1014,3.79761,0.13824,1.57289,0.23491,0.84,0.22,1.76412,-6.090443971,1.38,12.161368,-0.22184875,11.18033989,1.2000000081665497e-07,0.22,0.1999999994073628
230325A,1.664,1.580354661,-10.9066853,0.1875455,3.7823081,0.20042492,0.931411844,0.05714513,1.025,0.18,2.0855,-5.886056648,1.82,22.22918251,0.51851394,11.56039866,2.0000000082428452e-07,0.18,0.3999999972082175
230328B,0.09,1.283979284,-10.1038,0.0267,3.66388,0.03231,1.20938,0.02421,0.865,0.84,1.89331,-5.366531544,1.22,21.14580437,0.924279286,3.815689721,1.9999999678428414e-07,0.29,0.49999999957962454
230506C,3.7,1.491361694,-11.4531,0.1023,4.25859,0.11841,1.14181,0.11299,1.11,0.29,2.08995,-5.769551079,1.89,20.96124782,0.380211242,6.32455532,2.0000000194267913e-07,0.17,0.4999999999828943
230818A,2.42,0.992111488,-11.0883,0.2044,3.9564,0.12794,1.39195,0.19715,1.02,0.29,2.00403,-5.721246399,1.36,21.31377445,0.826074803,1.249953617,9.999999865158759e-08,0.1,0.5000000009163389
231210B,3.13,0.873320602,-10.048,0.05243,3.24045,0.04808,1.60174,0.060675,0.84,0.362,1.66432281,-5.853871964,1.08,21.82763844,0.591064607,0.647,2.0000000065324826e-07,0.19,0.7000000033368472
