GRB,Redshift_crosscheck,log10T90,log10Fa,log10FaErr,log10Ta,log10TaErr,Alpha,AlphaErr,Beta,BetaErr,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,FluenceErr,PhotonIndexErr,PeakFluxErr
070521A,2.0865,1.57863921,-10.01233374,0.04901,3.55243,0.04844,1.44502,0.0562,0.98,0.147518075,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.819384324,1.769999916605304e-07,0.121212121,0.2700000004417557
070529A,2.4996,2.038222638,-10.24641694,0.0552,3.09323,0.068045,1.21432,0.03501,0.76,0.015,1.97999,-5.590066877,1.34,22.56252244,0.155336037,19.9827799,2.4499999961440025e-07,0.16,0.3600000010532188
070802A,2.45,1.214843848,-11.6716204,0.17395,3.92184,0.236245,1.16348,0.2088785,0.78,0.045,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.019812592,4.9999999925687395e-08,0.27,0.100000000407278
070809A,0.2187,1.161684284033457,-11.9625735,0.1917,4.18985,0.206985,1.17521,0.395643,0.396,0.0595,1.37246,-7.0,1.69,20.80619355,0.079181246,0.271528985,6.060000091335018e-09,0.133333333,0.044919559042116954
071003A,1.60435,2.170643023,-11.67760082,0.1359,4.78411,0.098505,1.97901,0.183105,0.837,0.032,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.494400066,3.0000000141885847e-07,0.07,0.40000000220418774
071020A,2.145,0.62324929,-9.169411331,0.035099822,2.311950854,0.039262062,1.119196934,0.011153209,0.844,0.001,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982802,1.0000000116951874e-07,0.05,0.29999999587943177
071117A,1.331,0.819543936,-11.23542972,0.101024385,3.901990464,0.117162967,1.104952391,0.089387802,0.94,0.01,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.824859447,9.999999778609708e-08,0.06,0.39999999964386235
080310A,2.42,2.560456622,-11.3990271,0.04247343,4.32608056,0.03798676,1.59590648,0.065276352,0.878,0.0375,2.09352,-5.638272164,2.32,10.56142698,0.113943352,17.39875121,2.0000000233903748e-07,0.16,0.20000000082428468
080411A,1.03,1.748188027,-10.11350927,0.06043543,4.20932562,0.049275581,1.28909841,0.010296793,0.91,0.0,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.000967534,1.0000000880207287e-07,0.03,0.900000029596629
080516A,3.2,0.763427994,-11.12090412,0.077803665,3.77452827,0.111057696,0.94016916,0.084888358,1.48,0.03,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433,4.0000000195805424e-08,0.27,0.3000000013770211
