"","log10Ta","log10NH","log10PeakFlux","log10Fa","PhotonIndex","Gamma","log10T90","Alpha","Beta","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","log10FaSqr","PhotonIndexSqr","GammaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060605A",4.04162,21.77333803,-0.337242168,-11.26121944,1.55,2.02128,1.89817648349768,1.9179,0.835,-6.156767222,16.3346922244,474.078248968644,0.11373227987734,126.815063275834,2.4025,4.0855728384,3.6030739625036,3.67834041,0.697225,37.9057826258936,0.192243471667048,0.05315,0.037375,0.085,0.10149311,0.0339867861224412,0.121212121,0.0686631594013328,"060605A",3.78,0.679427896612119
"060607A",4.37412,21.79614607,0.146128036,-11.02273379,1.47,1.61002,2.00945089579869,1.82770907306845,0.564,-5.59345982,19.1329257744,475.071983504776,0.0213534029052173,121.500660205208,2.1609,2.5921644004,4.03789290262617,3.34052045577675,0.318096,31.2867927579544,0.132029607628865,0.0761,0.02584,0.163115,0.012077154,0.0115605423699981,0.048484848,0.0244408150465787,"060607A",3.0749,0.610116955411928
"060707A",3.5545,21.20847898,0.004321374,-10.9132,0.6,2.09345,1.8208579894397,0.861995,1.12,-5.795880017,12.63447025,449.799580645102,1.8674273247876e-05,119.09793424,0.36,4.3825329025,3.31552381770639,0.743035380025,1.2544,33.5922251714599,0.0414232995600016,0.07695,0.127895,0.0364485,0.035,0.0248403283013014,0.363636364,0.0599386321664952,"060707A",3.425,0.645913275033844
"060708A",3.50569,20.79066861,0.28780173,-10.86966623,1.68,2.20484,1.00860017176192,1.12969,1.485,-6.306273051,12.2898623761,432.251901250839,0.0828298357909929,118.149643951602,2.8224,4.8613194256,1.01727430647817,1.2761994961,2.205225,39.7690797937688,0.153333382321636,0.06115,0.062725,0.028525,0.33410152,0.019714017700399,0.072727273,0.018994447849191,"060708A",1.92,0.465382851448418
"060714A",3.73449,22.0125926,0.10720997,-10.86012091,1.93,2.04425,2.06069784035361,1.20488,0.87,-5.548213564,13.9464155601,484.554232973575,0.0114939776674009,117.942226179819,3.7249,4.1789580625,4.24647558923804,1.4517358144,0.7569,30.7826737517536,0.0344768087786936,0.0352,0.046765,0.035305,0.005,0.0155321080197879,0.066666667,0.0267321414553261,"060714A",2.711,0.569490954348783
"060729A",5.1057,20.86562801,0.068185862,-11.15058059,1.75,1.92492,2.0618293072947,1.35481,1.317,-5.583359493,26.06817249,435.374432251696,0.00464931177668304,124.335447494085,3.0625,3.7053170064,4.25114009241934,1.8355101361,1.734489,31.1739032280732,0.127702392544209,0.0116,0.012825,0.013425,0.077392286,0.0212785639737521,0.084848485,0.0292454197184288,"060729A",0.54,0.187520720836463
"060814A",4.22387,22.00679538,0.861534411,-10.91009489,1.53,2.11591,2.16226561429802,1.29504,0.97,-4.835647144,17.8410777769,484.299042897189,0.742241541337117,119.030170508804,2.3409,4.4770751281,4.6753925867756,1.6771286016,0.9409,23.3834833012754,0.0146412491865461,0.0353,0.034855,0.024565,0,0.00430869161989862,0.018181818,0.0104993872606212,"060814A",1.9229,0.465813957269479
"060904B",3.87074,21.59122827,0.387389826,-11.11633856,1.64,2.18877,2.23426412437879,1.36265,1.58,-5.790484985,14.9826281476,466.181138207247,0.15007087728831,123.572982980543,2.6896,4.7907141129,4.99193617748612,1.8568150225,2.4964,33.5297163615105,0.0287243616490079,0.08665,0.081295,0.04215,0.136141492,0.0232338611473106,0.084848485,0.0226532143754057,"060904B",0.703,0.231214647962601
"060906A",4.33479,22.41960057,0.294466226,-11.8827287,2.03,2.07859,1.63848925695464,1.71887,1.06,-5.655607726,18.7904043441,502.638489718344,0.0867103582546831,141.199241357804,4.1209,4.3205363881,2.68464704515576,2.9545140769,1.1236,31.9858987503909,0.0815374132522222,0.08845,0.072145,0.169635,0.005,0.0161974631827828,0.066666667,0.0374103846163063,"060906A",3.686,0.670802284260944
"060908A",2.81918,21.80952201,0.481442629,-9.627087997,1,2.13395,1.28555730900777,1.38309,1.185,-5.552841969,7.9477758724,475.655250304674,0.231787005018432,92.6808233019815,1,4.5537426025,1.65265759474331,1.9129379481,1.404225,30.8340539326878,0.0299356101984998,0.045185,0.05993,0.04964,0.003474954,0.0104343479500535,0.181818182,0.0217168958293479,"060908A",1.8836,0.459935016851525
"060912A",2.455171016,21.36738202,0.933487288,-10.1079054,1.74,1.8948,0.698970004336019,1.045731532,0.63,-5.869666232,6.02786471780647,456.565014388619,0.871398516857595,102.169751575349,3.0276,3.59026704,0.488559066961494,1.09355443701907,0.3969,34.4529816750811,0.0503781599007772,0.147419953,0.156564864,0.028937785,0.0785,0.0120881068052489,0.054545455,0.0134978860076092,"060912A",0.937,0.287129620719111
"060926A",3.351,22.50004427,0.037426498,-10.84771166,2.54,2.00443,0.903089986991944,1.45111,1.357,-6.659555885,11.229201,506.25199215196,0.001400742752544,117.6728482585,6.4516,4.0177396249,0.815571524605109,2.1057202321,1.841449,44.3496845854381,0.0658325115046647,0.08245,0.09927,0.11561,0.009157091,0.0300466640198818,0.139393939,0.0338066319525806,"060926A",3.2,0.6232492903979
"060927A",3.15198,22.10710478,0.431363764,-10.77728353,0.9,1.94856,1.35218251811136,1.39098,0.83,-5.946921557,9.9349779204,488.724081753899,0.186074696892248,116.149840286009,0.81,3.7968860736,1.82839756228599,1.9348253604,0.6889,35.3658760051113,0.0249820977867784,0.08115,0.108435,0.118785,0.178498106,0.0158391122565265,0.242424242,0.0165724044733706,"060927A",5.47,0.8109042806687
"061007A",3.22805577871297,22.07736427,1.371067862,-9.15316973913155,1.68,1.95996,2.05384642685225,1.645806729439,0.937252845389346,-4.795880017,10.4203441104822,487.410013110273,1.87982708220925,83.7805162733535,2.8224,3.8414432016,4.21828514509377,2.7086797906667,0.878442896190425,23.0004651374599,0.00916727683590926,0.876972988048426,0.610867945773395,0.320272581141177,0.22205729605288,0.0250675025476,0.090909091,0.0789626332133755,"061007A",1.26,0.354108439147401
"061021A",3.23849,20.87141063,0.78604121,-10.04095861,1.3,1.99282,1.66464197555613,1.01707,0.785,-5.528708289,10.4878174801,435.615781686077,0.617860783818264,100.820849807733,1.69,3.9713315524,2.7710329067834,1.0344313849,0.616225,30.5666153448573,0.0507507175232146,0.0264,0.03399,0.010415,0.016800037,0.0089811102944679,0.036363636,0.0116311571135192,"061021A",0.3463,0.129141845792285
"061121A",3.78753,21.75351565,1.324282455,-10.03011836,1.41,1.90181,1.91009054559407,1.35185,0.9485,-4.863279433,14.3453835009,473.215443134795,1.75372402062083,100.603274315609,1.9881,3.6168812761,3.64844589236784,1.8274984225,0.89965225,23.6514868434408,0.246407281884026,0.01265,0.01703,0.01585,0.002358211,0.00382325157840621,0.018181818,0.00573820083195282,"061121A",1.314,0.364363354615731
"061126A",3.70430836926077,21.45058625,1.1430148,-10.6324350011486,1.45,2.0761,1.41463914673701,1.20135349485586,0.898430167788563,-5.397940009,13.7219004945754,460.127650468689,1.30648283301904,113.04867405365,2.1025,4.31019121,2.00120391548081,1.44325021960239,0.807176766392585,29.1377563407629,0.118918281379886,0.803076093511554,0.607449959715881,0.328724853807285,0.225250415293741,0.0421134042739674,0.066666667,0.065802194705171,"061126A",1.1588,0.334212409393176
"061222A",3.92091,22.56660835,0.930949031,-9.954677021,1.35,1.92748,1.85369821177617,1.35061,0.86,-5.097453221,15.3735352281,509.25181242229,0.866666098319839,99.0955945924254,1.8225,3.7151791504,3.43619706034219,1.8241473721,0.7396,25.9840293402833,0.0973208923032497,0.02311,0.024435,0.018075,0.005,0.00520487944706068,0.024242424,0.00802277634320278,"061222A",2.088,0.489677291663699
"070110A",4.26825,21.3989672,-0.22184875,-11.04866248,1.58,2.08596,1.94645226501307,1.42725,1.186,-5.790484985,18.2179580625,457.915797226676,0.0492168678765625,122.07294259696,2.4964,4.3512291216,3.78867641997452,2.0370425625,1.406596,33.5297163615105,0.0711281657171841,0.05475,0.053995,0.046555,0.12166788,0.0175472517755912,0.072727273,0.0526417556261212,"070110A",2.352,0.525304009958239
"070125A",4.24698905911036,21.451745,0.342422681,-10.8150709445949,1.24,2.03408,2.23894889831176,1.65709510934779,0.865318003530188,-5.040958608,18.0369160682031,460.177363545025,0.117253292463228,116.965759536621,1.5376,4.1374814464,5.01289216925145,2.74596420142436,0.74877524723347,25.4112636875693,0.130539784510126,0.798876800864776,0.601396179321431,0.330130625663849,0.226492677488352,0.0438681294899875,0.58,0.0478561411902437,"070125A",1.55,0.406540180433955
