"","Redshift_crosscheck","T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","Gamma","log10Fa","log10Ta","Alpha","Beta","log10TaErr","BetaErr","AlphaErr","T90Err","FluenceErr","PeakFluxErr","PhotonIndexErr","log10FaErr"
"GRB211024B",1.1137,603.5,-5.167491087,-0.045757491,1.63,20.98677173,2.08,-8.56429146,3.43921565,1.92622006,1.07,0.01167528,0.055,0.00965772,20.65497765,3e-07,0.2,0.09,0.01916437
"GRB220101A",4.618,173.36,-4.602059991,0.86332286,1.13,21.90370028,1.62241,-8.69262974,3.04134881,1.20052929,0.491,0.02317526,0.016,0.01255481,12.50116167,0,0.3,0.13,0.01431841
"GRB220117A",4.961,49.81,-5.795880017,0.278753601,1.84,21.99532933,1.78537,-10.1070569,3.43803362,1.68612083,1.2,0.04500955,0.55,0.06200239,3.431095393,2e-07,0.4,0.18,0.05084186
"GRB220521A",5.57,13.55,-6.091514981,0.672097858,1.97,21.85427081,2.02179,-10.6276115,3.30131796,1.71067512,1.1,0.13206168,0.4,0.12291833,2.691501432,8e-08,0.4,0.18,0.16334814
"GRB220611A",2.3608,57,-6.173925197,NA,1.87,20.42473959,1.90103,-12.4941008,5.53,2.26249671,0.32,0.81046481,0.35,0.50304248,12.36931688,1.3e-07,0.4,0.29,0.22640221
"GRB230116D",3.81,41,-6.090443971,-0.22184875,1.38,12.161368,1.76412,-11.1278,3.79761,1.57289,0.84,0.13824,0.22,0.23491,11.18033989,1.2e-07,0.2,0.22,0.1014
"GRB230325A",1.664,38.05,-5.886056648,0.51851394,1.82,22.22918251,2.0855,-10.9066853,3.7823081,0.931411844,1.025,0.20042492,0.18,0.05714513,11.56039866,2e-07,0.4,0.18,0.1875455
"GRB230328B",0.09,19.23,-5.366531544,0.924279286,1.22,21.14580437,1.89331,-10.1038,3.66388,1.20938,0.865,0.03231,0.84,0.02421,3.815689721,2e-07,0.5,0.29,0.0267
"GRB230414B",3.568,25.98,-6.327902142,-0.22184875,1.6,21.69224395,2.02038,-11.9505263,4.8792574,2.06160972,0.37,0.069549,2.19,0.21988187,8.855190621,1e-07,0.2,0.3,0.11074106
"GRB230506C",3.7,31,-5.769551079,0.380211242,1.89,20.96124782,2.08995,-11.4531,4.25859,1.14181,1.11,0.11841,0.29,0.11299,6.32455532,2e-07,0.5,0.17,0.1023
"GRB230818A",2.42,9.82,-5.721246399,0.826074803,1.36,21.31377445,2.00403,-11.0883,3.9564,1.39195,1.02,0.12794,0.29,0.19715,1.249953617,1e-07,0.5,0.1,0.2044
"GRB231210B",3.13,7.47,-5.853871964,0.591064607,1.08,21.82763844,1.66432281,-10.048,3.24045,1.60174,0.84,0.04808,0.362,0.060675,0.647,2e-07,0.7,0.19,0.05243
