"","z","T90","class","logFa","logFaErr","logT_a","logTaErr","Alpha","AlphaErr","Beta","betaErr","Fluence","PhotonIndex","NH","PeakFlux","PhotonIndexErr","PeakFluxErr"
"140423A",3.26,134,"L",-12.7746,0.051905,4.184892,0.057199,1.024631,0.027846,0.54,0.08,94,1.33,6.59878,2.1,0.06,0.2
"140430A",1.6,173.59,"XRR",-12.35,0.02,3.84,0.04,0.78,0.03,1.05,0.08,11,2,4.76398,2.5,0.22,0.2
"140801A",1.32,7,"L",-12.7942,0.036239,4.204885,0.047598,0.861959,0.016398,0.67,0.16,NA,NA,NA,NA,NA,NA
"140907A",1.21,79.2,"L",-12.4311,0.052537,4.201713,0.073581,0.985034,0.036083,1,0.07,43,1.72,3.02766,2.5,0.07,0.2
"141121A",1.47,549.9,"UL",-13.6665,0.125949,5.982598,0.078746,1.859053,0.276557,0.9,0.07,53,1.73,3.94373,0.9,0.13,0.3
"141221A",1.45,33.17,"XRR",-11.3914,0.019721,2.813159,0.020312,1.248584,0.033612,0.26,0.09,21,1.74,2.93689,3.1,0.08,0.2
"150323A",0.593,149.6,"L",-13.0735,0.057188,3.67566,0.12415,0.561833,0.05679,1.1,0.21,61,1.85,4.92829,5.4,0.07,0.3
"150413A",3.139,263.6,"L",-12.0394,0.03439,4.502865,0.019262,2.371952,0.046266,1.3,1.15,43,1.75,NA,1.6,0.14,0.3
"150910A",1.3585,112.2,"L",-10.88,0.03,2.99,0.025,1.239,0.008,0.53,0.14,48,1.42,0.6957,1.1,0.12,0.4
"151027A",0.81,129.69,"L",-11.4508,0.01712,4.619188,0.010892,1.852192,0.014865,0.97,0.04,78,1.72,4.47471,6.8,0.05,0.6
"151029A",1.423,8.95,"L",-12.2958,0.126444,3.059955,0.195675,0.81764,0.07911,1.7,0.39,3.9,0.49,3.56413,1.8,1.08,0.3
"160131A",0.972,325,"L",-11.1733,0.041241,4.001806,0.050707,1.287451,0.038892,0.97,0.04,204,1.24,4.79697,6.4,0.05,0.3
"160227A",2.38,316.5,"L",-12.5779,0.508355,3.999011,0.579293,1.090414,0.340707,0.7,0.04,31,0.75,2.62964,0.6,0.51,0.1
"160314A",0.726,8.73,"L",-12.5865,0.156279,2.806841,0.384008,0.607458,0.053103,0.9,0.09,2.8,1.53,7.90899e-10,0.9,0.22,0.2
