GRB_Name,Redshift_crosscheck,log10Fluence,log10PeakFlux,PhotonIndex,log10NH,Gamma,log10Fa_X,log10Ta_X,Alpha_X,Beta_X,log10TaErr,BetaErr_X,AlphaErr,T90Err,PhotonIndexErr,log10FaErr_X,logT90err,log10PeakFluxErr,logFluenceErr,log10T90
GRB060908A,1.8836,-5.552841969,0.481442629,1.0,21.80952201,2.13395,-9.627087997,2.81918,1.38309,1.185,0.05993,0.003474954,0.04964,1.330335293,0.181818182,0.045185,0.02993561,0.035832878,0.017216674,1.285557309
GRB060926A,3.2,-6.659555885,0.037426498,2.54,22.50004427,2.00443,-10.84771166,3.351,1.45111,1.357,0.09927,0.009157091,0.11561,1.212679677,0.23,0.08245,0.065832512,0.055780943,0.049576996,0.903089987
GRB060927A,5.47,-5.946921557,0.431363764,0.9,22.10710478,1.94856,-10.77728353,3.15198,1.39098,0.83,0.108435,0.178498106,0.118785,1.294276634,0.242424242,0.08115,0.024982098,0.027344467,0.026134535,1.352953912
GRB061021A,0.3463,-5.528708289,0.78604121,1.3,20.87141063,1.99282,-10.04095861,3.23849,1.01707,0.785,0.03399,0.016800037,0.010415,5.398832468,0.06,0.0264,0.050750718,0.019191409,0.014818832,1.664641976
GRB061121A,1.314,-4.863279433,1.324282455,1.41,21.75351565,1.90181,-10.03011836,3.78753,1.35185,0.9485,0.01703,0.002358211,0.01585,46.12748458,0.03,0.01265,0.246407282,0.009468031,0.006308365,1.90982337
GRB061201A,0.111,-6.476253533,0.586587305,0.81,21.16656331,1.65934,-10.4134127,3.49343,1.98937,0.145,0.093885,0.061048094,0.169505,0.098954548,0.15,0.09365,0.056546598,0.034878572,0.035107638,-0.119186408
GRB070110A,2.352,-5.790484985,-0.22184875,1.58,21.3989672,2.08596,-11.04866248,4.26825,1.42725,1.186,0.053995,0.12166788,0.046555,14.47803302,0.12,0.05475,0.071128166,0.086858896,0.028952965,1.946550511
GRB070208A,1.165,-6.351639989,-0.045757491,1.94,21.8647258,2.20341,-10.86327943,3.44468,1.2125,1.14,0.14114,0.015,0.06357,22.627417,0.36,0.1619,0.206015982,0.106160873,0.098570208,1.806179974
GRB070223A,1.6295,-5.769551079,-0.161150909,1.85,21.70173804,2.25837,-11.86327943,4.22335,0.991734,1.03,0.203105,0.06,0.079308,8.08530616,0.072727273,0.16615,0.03967688,0.13084406172284835,0.018572476,1.9408513687053999
GRB070306A,1.4959,-5.269217724,0.609594409,1.66,22.44245468,1.94468,-11.2737,4.86926,1.89982,0.831,0.02824,0.001,0.06188,64.76757163,0.1,0.0335,0.13426348,0.022408315,0.02308703,2.321184027
